,blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,confirmations
0,4264881,2017-09-12 05:28:56,0x7805b4f3f29f141789db179fcb047cdc172a54a5278b00e1900aa4dcf351f3fd,1532612,0xfa7c2ba45198d4ca5a6f946f8f3791a85b3f1983bc523c0a80be4d231b717134,0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98,0xb97048628db6b661d4c2aa833e95dbe1a905b280,0x00abbc67c3f96d3760dcbc4f60bd89254ba94675,9.9e+17,TenXPay,PAY,18,54,201938,51000000000,51937,1670477,deprecated,10919687
1,4264945,2017-09-12 05:53:21,0x74ff0cb01fcd7ea5426842805abd3d6d426d9fc2f57d4ab7aa6a7c93d7838a5b,1532921,0xa1960fa865ab5364d5d88e4741d594b625e7e488ff59a011e33470b2262b1665,0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98,0xb97048628db6b661d4c2aa833e95dbe1a905b280,0x00abbc67c3f96d3760dcbc4f60bd89254ba94675,1.7399e+20,TenXPay,PAY,18,2,187002,51000000000,37001,147830,deprecated,10919623
2,4275846,2017-09-15 07:01:45,0x3eecc6092a0fe54a61f8cd29c2bca31accaa62f4a6a71b89b9404fddcdd3e2dd,0,0x99b34e83e592596332c2f4c5a3c487af9ceb50f79050c240997a83aea2f996cc,0xd6cd31f283d24cfb442cba1bcf42290c07c15792,0xdd974d5c2e2928dea5f71b9825b8b646686bd200,0x00abbc67c3f96d3760dcbc4f60bd89254ba94675,2.16e+21,KyberNetwork,KNC,18,46,150000,21000000000,95020,2531838,deprecated,10908722
3,4293550,2017-09-20 04:46:47,0x62a1507b0e4e41b806510255fd5b31c66bcac12c1957da79f2cfa6d84d909514,3,0x3d359a106bddcdee2e0c738bd9110ce0082ee3aecdc1223d4865233d439addda,0xe16fd9b95758fe8f3a478ef9b750a64513bf2e80,0xb5a5f22694352c15b00323844ad545abb2b11028,0x00abbc67c3f96d3760dcbc4f60bd89254ba94675,1e+21,ICON,ICX,18,14,300000,60000000000,284827,2006451,deprecated,10891018
4,4304014,2017-09-23 07:47:20,0x4b9e52e8a5135e9eb327d96b9f387f0fe78574615fc39af3091cfb40592fe6be,4,0xbd83df1b720ff3ca470d778c087873d1b896ec757ce547641ff0777ea6863366,0x0000000000000000000000000000000000000000,0xd4c435f5b09f855c3317c8524cb1f586e42795fa,0x00abbc67c3f96d3760dcbc4f60bd89254ba94675,2.6e+22,Cindicator,CND,18,28,210000,21000000000,160508,1810869,deprecated,10880554
5,4307213,2017-09-24 10:15:38,0xb90abd21c4be18cfd0c5c5ec35fcbd726504f368f82f82543653710960ed6055,6,0xfa5e7f5fb3725d84b2eefe6ba4bff41e65c040d5a4e8fc28c6bac51e81c3fa87,0x00abbc67c3f96d3760dcbc4f60bd89254ba94675,0xdd974d5c2e2928dea5f71b9825b8b646686bd200,0x8d12a197cb00d4747a1fe03395095ce2a5cc6819,5.6e+20,KyberNetwork,KNC,18,84,250000,21000000000,52692,6123196,deprecated,10877355
6,4308081,2017-09-24 17:30:38,0xbf54d58c78fe1f976b80dc1bbcf6286a01034ca21edcecfa22654c638522d413,11,0x1295cbce81507e56e64fadf3f13ac3e26f95c452615e0464110f70d3184d7021,0x8d12a197cb00d4747a1fe03395095ce2a5cc6819,0xdd974d5c2e2928dea5f71b9825b8b646686bd200,0x00abbc67c3f96d3760dcbc4f60bd89254ba94675,5.85e+19,KyberNetwork,KNC,18,12,250000,21000000000,33198,1338592,deprecated,10876487
7,4318231,2017-09-28 05:46:16,0x59476e8f10d5677b1956696e51d4c9871964cfbdad6c4547d2d74b3705813500,1553,0xa211fd86bad188ca7188389b84a3cdbd79c56c95a1a47b8cc103b415e6839ffd,0xd0643bc0d0c879f175556509dbcee9373379d5c3,0xdd974d5c2e2928dea5f71b9825b8b646686bd200,0x00abbc67c3f96d3760dcbc4f60bd89254ba94675,2e+18,KyberNetwork,KNC,18,115,729000,4000000101,482069,4387983,deprecated,10866337
8,4318231,2017-09-28 05:46:16,0x59476e8f10d5677b1956696e51d4c9871964cfbdad6c4547d2d74b3705813500,1553,0xa211fd86bad188ca7188389b84a3cdbd79c56c95a1a47b8cc103b415e6839ffd,0x0000000000000000000000000000000000000000,0xfce10cbf5171dc12c215bbcca5dd75cbaea72506,0x00abbc67c3f96d3760dcbc4f60bd89254ba94675,1.0,Kyber Genesis,KGT,0,115,729000,4000000101,482069,4387983,deprecated,10866337
9,4353723,2017-10-10 15:01:29,0x598490be0ff44a5346e2d208fbadaf71b6381d11cc2eb96d032e5008861f532d,16,0xfdc16237b40a8b6647a34a8e6c4ee09b5805df6bdfcc914e4267f81b5a01e435,0x0b7bde66ae610c48e576671db31739e3943c2d38,0x27054b13b1b798b345b591a4d22e6562d47ea75a,0x00abbc67c3f96d3760dcbc4f60bd89254ba94675,33000000.0,AirSwap,AST,4,79,940000,21000000000,106781,4156325,deprecated,10830845
10,4354253,2017-10-10 19:23:54,0x5a3ccb0968b3f6f72d4d01154879ab8f540ce5bde0fd8dd78ef654b2b970e660,39,0xb4122a86f2d105002a29ffb04a863a238781ab06117e88a4e5a746ae3663c514,0x0000000000000000000000000000000000000000,0x27dce1ec4d3f72c3e457cc50354f1f975ddef488,0x00abbc67c3f96d3760dcbc4f60bd89254ba94675,1500000000000.0,AirToken,AIR,8,27,3685184,21000000000,3070987,5895868,deprecated,10830315
