,blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,confirmations
0,10546144,2020-07-28 05:39:52,0xcdb6f498b68cb3f22a4065d50ff136821d5e370bd916869b85325df38f3b6e77,43,0x74fb7c8731f26a3a0e7a8a0d25448376646fecd92a9d9b60a6601d52c329c7a7,0x57afeb3d9bbd6a5d3c14e638afc4dfcf6138c5bb,0x998ffe1e43facffb941dc337dd0468d52ba5b48a,0x0174060e830d95595fd77a71bb36151c13af5abb,31182010.0,Rupiah Token,IDRT,2,157,102510,62000000000,41516,9111789,deprecated,4637755
1,10546147,2020-07-28 05:40:14,0xe8ca6b4ac938ffdbe62d91b11041991bf76351178020c630445315b708962751,44,0x3db0ba92a3c3259dbc5ce35ec151e72f49585831146c7e8087174ba0282278b1,0x57afeb3d9bbd6a5d3c14e638afc4dfcf6138c5bb,0x8207c1ffc5b6804f6024322ccf34f29c3541ae26,0x0174060e830d95595fd77a71bb36151c13af5abb,1.254011596e+20,OriginToken,OGN,18,129,97762,62000000000,39396,5588030,deprecated,4637752
2,10546153,2020-07-28 05:42:30,0x7c87da54fe7c42511e71807c022aa1b2a3c5e4aae3aabe9cfea39d50aa76fea4,45,0xcc42f95331c983e94f836bc9c6d6a30e79860480e50339894ac1b706ccd86978,0x57afeb3d9bbd6a5d3c14e638afc4dfcf6138c5bb,0xa0b73e1ff0b80914ab6fe0444e65848c4c34450b,0x0174060e830d95595fd77a71bb36151c13af5abb,29627983770.0,Cronos Coin,CRO,8,173,96122,62000000000,38449,10990756,deprecated,4637746
3,10546153,2020-07-28 05:42:30,0xefadf07984967d4987fadc86e97addb9e8efbb26e1bb2042202f0c7943c89404,46,0xcc42f95331c983e94f836bc9c6d6a30e79860480e50339894ac1b706ccd86978,0x57afeb3d9bbd6a5d3c14e638afc4dfcf6138c5bb,0xbbbbca6a901c926f240b89eacb641d8aec7aeafd,0x0174060e830d95595fd77a71bb36151c13af5abb,3.25e+20,LoopringCoin V2,LRC,18,174,93116,62000000000,36803,11027559,deprecated,4637746
4,10546257,2020-07-28 06:01:51,0xfd0cdfc9d9e6a605282e0108e2a36be81ed0319db40b9a84b45da302fc2f5006,50,0x2e982d8a76c0c5615e098e6fef8b9991881ff34219f1677ec247e49639d53a0e,0x57afeb3d9bbd6a5d3c14e638afc4dfcf6138c5bb,0xf433089366899d83a9f26a773d59ec7ecf30355e,0x0174060e830d95595fd77a71bb36151c13af5abb,5000000000.0,Metal,MTL,8,99,92171,54000000000,36242,4682467,deprecated,4637642
5,10546257,2020-07-28 06:01:51,0x2c16014a8c1ca6fa0433252b5003fc2c3559bdd31861d596d86ce104c4c7ffdf,51,0x2e982d8a76c0c5615e098e6fef8b9991881ff34219f1677ec247e49639d53a0e,0x57afeb3d9bbd6a5d3c14e638afc4dfcf6138c5bb,0xdcd85914b8ae28c1e62f1c488e1d968d5aaffe2b,0x0174060e830d95595fd77a71bb36151c13af5abb,7.5e+21,TOP Network,TOP,18,100,94444,54000000000,37553,4720020,deprecated,4637642
6,10546257,2020-07-28 06:01:51,0x2d6454af4c2d8e2ea410fc262bed5a5769f6106a05273c8f7d866baedf6205a1,52,0x2e982d8a76c0c5615e098e6fef8b9991881ff34219f1677ec247e49639d53a0e,0x57afeb3d9bbd6a5d3c14e638afc4dfcf6138c5bb,0xaaaf91d9b90df800df4f55c205fd6989c977e73a,0x0174060e830d95595fd77a71bb36151c13af5abb,2300000000.0,Monolith,TKN,8,101,98678,54000000000,39845,4759865,deprecated,4637642
7,10546257,2020-07-28 06:01:51,0xad2e170267b86106a1fdfff83996aa59b464058d1fcd4fe4d4cb97aa70baf175,53,0x2e982d8a76c0c5615e098e6fef8b9991881ff34219f1677ec247e49639d53a0e,0x0000000000000000000000000000000000000000,0xfc1e690f61efd961294b3e1ce3313fbd8aa4f85d,0x0174060e830d95595fd77a71bb36151c13af5abb,0.0,Aave Interest bearing DAI,aDAI,18,102,288454,55000000000,160066,4919931,deprecated,4637642
8,10546257,2020-07-28 06:01:51,0xad2e170267b86106a1fdfff83996aa59b464058d1fcd4fe4d4cb97aa70baf175,53,0x2e982d8a76c0c5615e098e6fef8b9991881ff34219f1677ec247e49639d53a0e,0x57afeb3d9bbd6a5d3c14e638afc4dfcf6138c5bb,0xfc1e690f61efd961294b3e1ce3313fbd8aa4f85d,0x0174060e830d95595fd77a71bb36151c13af5abb,1.5278697357531077e+19,Aave Interest bearing DAI,aDAI,18,102,288454,55000000000,160066,4919931,deprecated,4637642
9,10546260,2020-07-28 06:02:27,0x0cbfed8a744ed919a8b4a27913fd4d02119a020903df0e9d262e43d91e4348df,54,0x7513f43b862c53be4f1133639b21ac2a023faaeef95424ad7bf08e6cb28f2d72,0x57afeb3d9bbd6a5d3c14e638afc4dfcf6138c5bb,0xdac17f958d2ee523a2206206994597c13d831ec7,0x0174060e830d95595fd77a71bb36151c13af5abb,100000000.0,Tether USD,USDT,6,181,101111,67000000000,56197,10500664,deprecated,4637639
