,blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,confirmations
0,8912886,2019-11-11 06:28:09,0xe69a01c23c46c42580600cc166bba044f9bf513a574952803deeb18efaa66093,139532,0xcc2c716bb0e7082c8f7f3dc96d30c549d5dd84ef4698fda6c4a781cdb3da0234,0x0a98fb70939162725ae66e626fe4b52cff62c2e5,0xdac17f958d2ee523a2206206994597c13d831ec7,0x01a4391500efaa6edd152711f1bb163c5d77f98c,2000000.0,Tether USD,USDT,6,34,90000,40000000000,53337,1084868,deprecated,6270871
1,8912990,2019-11-11 06:52:08,0x970685d8970b8ef9694a229951de676a68be3622826d85a0be25097f4276da08,246330,0x3a613898e7728c1f9e591b31f49257ba6d1f93011ec00ff8e1f77738d81f9ddc,0xe93381fb4c4f14bda253907b18fad305d799241a,0xdac17f958d2ee523a2206206994597c13d831ec7,0x01a4391500efaa6edd152711f1bb163c5d77f98c,59999000000.0,Tether USD,USDT,6,38,90000,40000000000,38465,1047747,deprecated,6270767
2,9121679,2019-12-17 17:33:32,0xdcf6bcae1b007d348c0164d3cfceed466f80e8f27346b00923f61c7b63da35b3,927,0xc4752a893feaed7dc35bfde69d0c4a6e896f75b4a333520263a375347290cbfa,0x053c85233ceac160b7db301bd308d806f85d1900,0x4129d3b7a6a2c5c997774077ac02bdafd1af1d6a,0x01a4391500efaa6edd152711f1bb163c5d77f98c,1.2607e+22,Ladder Network,LAD,18,100,60000,10000000000,52146,6996324,deprecated,6062078
3,9225280,2020-01-06 06:32:44,0x2f9a00397992a44078087741c7a8801897b92c5c1e1ae2e9417d18141e30e29b,126,0x88276fa5135aee9fea32f007474d8ec873cdb21c7ca75e6b5f08d8e8ace16904,0x01c80b45ba04fab5680864b9db3d4074f817de91,0xdac17f958d2ee523a2206206994597c13d831ec7,0x01a4391500efaa6edd152711f1bb163c5d77f98c,1000000.0,Tether USD,USDT,6,121,60000,8910891000,41185,5252537,deprecated,5958477
4,9225337,2020-01-06 06:45:07,0x7909015d09af0406196def58208df77e9672a0a315ffa3b5e8a8ccb4e3657430,127,0x312cedb369cf78edf8d8897680734ec1197209d0058c8c036d7f36ff6519f4e1,0x01c80b45ba04fab5680864b9db3d4074f817de91,0xdac17f958d2ee523a2206206994597c13d831ec7,0x01a4391500efaa6edd152711f1bb163c5d77f98c,23999000000.0,Tether USD,USDT,6,68,60000,9000000000,41209,3497601,deprecated,5958420
5,9232277,2020-01-07 08:06:32,0xb7633a419315fb1d4b26c01a58b6421461556098a6c240d408de8baae536541a,1,0x24a1bb23106a0056eed0b65ff27df81bc4593da55ec5caea4eab3e032d713554,0x01a4391500efaa6edd152711f1bb163c5d77f98c,0xdac17f958d2ee523a2206206994597c13d831ec7,0xa3b1d76d4eb68e6d007601562c6ba745d3945780,8820000000.0,Tether USD,USDT,6,113,60000,6705051648,56197,7575459,deprecated,5951480
6,9418710,2020-02-04 21:57:11,0x1fa4afa4e432f8306faa1186cfcb336d6693cb46dacc3a4d34505ac55fe82fde,181,0xf41a81af4ce2e9bae502a0e7f3c4e85ac771cd900b7d302729d3ae7f10085f28,0x617c69250f678215f39ab00328ea9d06d77ab778,0x08130635368aa28b217a4dfb68e1bf8dc525621c,0x01a4391500efaa6edd152711f1bb163c5d77f98c,10000000000.0,AfroDex,AfroX,4,5,6900000,2000010000,3835939,5529584,deprecated,5765047
7,9610485,2020-03-05 09:42:56,0x094557fff2b28e594a3030d4108fea37d967c7091a91119ec3d7be4586372cf4,3,0x4c24e1c27be572b63c2d92438517f6166047b1735dc05c99715e154daad374d9,0x01a4391500efaa6edd152711f1bb163c5d77f98c,0xdac17f958d2ee523a2206206994597c13d831ec7,0x9d656b0eeb000827b3a198004b0661225317ffa5,10000000.0,Tether USD,USDT,6,133,60000,10000002470,56173,5093117,deprecated,5573272
8,9610503,2020-03-05 09:46:11,0xf4af8fdca551ac3686b058c1173581910405931aff3b949979d3e3e72d10e8a2,4,0x8a1afd53303f02ef4c1f66cb5cb64e57ebdc504679ebc83526585c330faea875,0x01a4391500efaa6edd152711f1bb163c5d77f98c,0xdac17f958d2ee523a2206206994597c13d831ec7,0x9d656b0eeb000827b3a198004b0661225317ffa5,75171000000.0,Tether USD,USDT,6,36,60000,23275509760,26197,1461792,deprecated,5573254
9,10787866,2020-09-03 10:44:33,0x76fac6573c8cb375ace326eb087d05714b4c96ec47cb8df6032855421a8a9609,2016211,0x9e10c867b341798e5c537a31b1941c23abd65bf1f0e8aa9e7a752f9499762302,0x0d0707963952f2fba59dd06f2b425ace40b492fe,0xdac17f958d2ee523a2206206994597c13d831ec7,0x01a4391500efaa6edd152711f1bb163c5d77f98c,12224829538.0,Tether USD,USDT,6,184,300000,312900001425,56209,9685924,deprecated,4395891
