,blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,confirmations
0,10768389,2020-08-31 11:18:45,0xc32aa59b94fc1835b06d477363756560f109629ad3cae9fc1d505e47fe012df9,0,0xf48668cf76b65f6934d1f4f9d95b46d4ffa5ab55236fab29720f766e07c48123,0x27fa67302c513f5512bbfa5065800c2d7b3871f4,0x469eda64aed3a3ad6f868c44564291aa415cb1d9,0x02de938e72c4d1b4a5592eb3b5df596ae8e8852c,2.0629615235811836e+19,FLUX,FLUX,18,105,176854,198000000000,135040,10975141,deprecated,4416099
1,10880804,2020-09-17 16:30:55,0x2055322b9c2c8ecd38cde9ddb824f66b87c5b4d5969b5d4b87046c624a64304a,2,0x11c52b95b5b743dd576a456505464fd58eafaabb6b5c6d63bd268c56eb5619ee,0x090d4613473dee047c3f2706764f49e0821d256e,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,0x02de938e72c4d1b4a5592eb3b5df596ae8e8852c,4e+20,Uniswap,UNI,18,34,90018,491000000000,81835,2609663,deprecated,4303684
2,10880860,2020-09-17 16:41:03,0xe0f12bec36b87cc7a992dff05b2b3a98fe18f825a3e23675b80a136cc4d23435,3,0x14d66081d1886909c2dc60a1ea625705b432b44b8e7e5b579f6f38a218127445,0x02de938e72c4d1b4a5592eb3b5df596ae8e8852c,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,0xc251b3aeb32d7cc60712588f61501562faab3f42,4e+20,Uniswap,UNI,18,54,83259,491000000000,40506,3479647,deprecated,4303628
3,10912021,2020-09-22 11:27:59,0xbc411316aaa7783cfd00a8d4201d81b5bd2686f053331c760a31853f9ceb6e0e,4,0x766f40d2a3d9990479ee97cbefb6786f9595d47d19bc736bbf408b8422f2279e,0x27fa67302c513f5512bbfa5065800c2d7b3871f4,0x469eda64aed3a3ad6f868c44564291aa415cb1d9,0x02de938e72c4d1b4a5592eb3b5df596ae8e8852c,2.3799295794608546e+19,FLUX,FLUX,18,115,160092,184000000000,120040,6707720,deprecated,4272467
4,10965788,2020-09-30 20:00:19,0x5bad0820068fdeeb49a38ad981c6f03687f6f3f7888d03cb3aae4b9050aab256,10,0x75730c81b6b204267b54178a0c83ae5750d082913bb407e0a103f75563073c2d,0xa799833781eaffa81e36df0cae35deb8671af52f,0x43044f861ec040db59a7e324c40507addb673142,0x02de938e72c4d1b4a5592eb3b5df596ae8e8852c,9.507894102648568e+17,Cap,CAP,18,63,78757,88000000000,37505,2773806,deprecated,4218700
5,10970103,2020-10-01 12:14:53,0xb84865777a82a316e6d3e79f3af61eb3f62c61a02fcbf114405d9e502d6e9c1f,7,0x797dca6375d30b6376e5c2debb5f03a97214436dc2ba66d059d50de2d92b913c,0x90544c3f88d0a9e374ed35490028f45642a8b3f2,0xe63684bcf2987892cefb4caa79bd21b34e98a291,0x02de938e72c4d1b4a5592eb3b5df596ae8e8852c,1.1062607547977128e+19,Chicken,KFC,18,147,167362,55000000000,126544,12404984,deprecated,4214385
6,11091285,2020-10-20 06:01:21,0x7febfae657902a787c7585813a7c61a3af66b794f55579cf0693d831639f0ce2,208,0xd3e121337b97c696e2610e860ac4dcc454f520a90b1bc2ca2d24dd168a4af245,0x8ebd07ad578c537a76efe8a21e02ef2ea909f031,0x738e0c78e759611956894edca8a41955f2701ac5,0x02de938e72c4d1b4a5592eb3b5df596ae8e8852c,4.108e+18,XYfinance,XYFI,18,64,76816,26000000000,51211,3819082,deprecated,4093203
7,11463388,2020-12-16 09:46:24,0x614d964e78b60eb7d3de4ef1b7afb4f70259033b9c4131c26e7aa21c17d04c3f,9,0x6ae400543d478852c4a2f7ccbdd994fc9605bb7b80431fd0470beef917322d01,0x02de938e72c4d1b4a5592eb3b5df596ae8e8852c,0xe63684bcf2987892cefb4caa79bd21b34e98a291,0x90544c3f88d0a9e374ed35490028f45642a8b3f2,1.1062607547977128e+19,Chicken,KFC,18,186,170889,45000000000,115072,11454608,deprecated,3721100
8,11515291,2020-12-24 08:42:25,0x127803ed5cec2d1a818ebf2be62b5b46963747c3cf9191500faadc472c228a5e,12,0xeeaf1e397a59a0cd3bfb092c18172b2157bfd0db2942446eac2e5947f9e91b16,0x02de938e72c4d1b4a5592eb3b5df596ae8e8852c,0x43044f861ec040db59a7e324c40507addb673142,0xc169f0eb31403c0bcc43dc9feca648a79fafc0f4,9.507894102648568e+17,Cap,CAP,18,164,169695,54000000000,113987,10352548,deprecated,3669197
9,11515328,2020-12-24 08:50:09,0x73819d2bfd04aaa344209afb8ebebb53212b644a6098199f7a4efac0f0b236af,13,0x15864e96f586f235c0b0d1ff8aabd3781cc368d021391003d0f0041ab881755e,0x7a8846b6e415ec0b26ec4b9f988c3ec74cb65d91,0x9cd39da8f25ec50cf2ee260e464ac23ea23f6bb0,0x02de938e72c4d1b4a5592eb3b5df596ae8e8852c,3e+19,TOSHIFY.FINANCE,YFT,18,154,174620,67000000000,133462,11359414,deprecated,3669160
10,11515490,2020-12-24 09:27:57,0x0ca716058bc01689203dabffb9ed78df483e087c559d719d7a6176d3a3e065f9,14,0xfbb7baeecd973e517e1e0ca929ff1b24b604d0ef115e32e2dd2f6b10404c3c90,0x02de938e72c4d1b4a5592eb3b5df596ae8e8852c,0x9cd39da8f25ec50cf2ee260e464ac23ea23f6bb0,0xda011e835bd9463fa6ff454f20af106fb8d1d2b4,1e+19,TOSHIFY.FINANCE,YFT,18,68,78322,58000000000,52215,3765510,deprecated,3668998
11,11730904,2021-01-26 11:04:05,0x23f9d711ebf746b773272b13ae7585554a14f9b9b244a9b59f26662ad0abf5e6,6390810,0xa63b84d012ac2a567abaf380eb54464f6d7a82ea5b94460970d6d80a61c452ce,0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,0x441761326490cacf7af299725b6292597ee822c2,0x02de938e72c4d1b4a5592eb3b5df596ae8e8852c,3.2746e+19,UNFI,UNFI,18,41,207128,84000000000,76639,2659275,deprecated,3453584
