,blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,confirmations
0,10747929,2020-08-28 07:55:57,0xd0c923cb64ef953b1757a23ae26dc8a60dbd0c05498fa4bf0f4dd38e94b3389a,21,0x5ef8fa91eb95022aa49edca9104a78c85f7dcae702227cfa0c102a09bfcddbd4,0x29684c575815123db9983998f8b3f047d3f9d1ab,0x6b175474e89094c44da98b954eedeac495271d0f,0x030d9f55c7f7589034b829a87bf3bd84d6682a18,5e+18,Dai Stablecoin,DAI,18,215,104012,75000000000,52006,6540240,deprecated,4436191
1,10757847,2020-08-29 20:28:36,0xf13ae6a687a3f8d4d131ed9288ce6e153baad2977a996a783a4f1678b93176be,1,0x9c8a085034638271e3b24c03006a76f66f1e0cc5ad02c317c59a417866fc15e4,0x0000000000000000000000000000000000000000,0x6b175474e89094c44da98b954eedeac495271d0f,0x030d9f55c7f7589034b829a87bf3bd84d6682a18,5e+21,Dai Stablecoin,DAI,18,60,990946,115000000000,558126,4905899,deprecated,4426273
2,10757859,2020-08-29 20:30:50,0xf5eff121dfc60967dafb0e2559feb369a6674ddabd2d63df59fd62e3a524e36f,2,0x0421e81477094740c0dcfdd21327b274816d2e2dceb7ff639180e95d1f286160,0x030d9f55c7f7589034b829a87bf3bd84d6682a18,0x6b175474e89094c44da98b954eedeac495271d0f,0x030d9f55c7f7589034b829a87bf3bd84d6682a18,1e+20,Dai Stablecoin,DAI,18,47,50867,115000000000,28618,1765566,deprecated,4426261
3,10757956,2020-08-29 20:52:22,0x789d60bf13660bcc2fdd4073ae614ed1730f830419d1b88f2efb7055ca43d96b,33,0x249b4a3ee77643725427382715fe9733d23c6b15e6ad967670b66c856f646410,0x29684c575815123db9983998f8b3f047d3f9d1ab,0x6b175474e89094c44da98b954eedeac495271d0f,0x030d9f55c7f7589034b829a87bf3bd84d6682a18,3.23437173198559e+21,Dai Stablecoin,DAI,18,73,74084,106000000000,22042,5487826,deprecated,4426164
4,10757969,2020-08-29 20:54:18,0x60c9876551c7c3b30481be14373c3f4303a735bebe402b41972b6861a031bcb4,34,0x29a4460514dad1c45a311248bbf74c00775a2212bdd1410dd889b25838474af4,0x29684c575815123db9983998f8b3f047d3f9d1ab,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x030d9f55c7f7589034b829a87bf3bd84d6682a18,57798652711.0,USD Coin,USDC,6,140,115744,106000000000,42393,8400403,deprecated,4426151
5,10757994,2020-08-29 21:01:19,0x1bacf3753a06e33f8c580d04ffeba1067a33333336faa59c0e1995f667f0cbf2,35,0x30f21d34bac14873d9525570094ea9555fa0032321d9ac6b154d941614606631,0x29684c575815123db9983998f8b3f047d3f9d1ab,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x030d9f55c7f7589034b829a87bf3bd84d6682a18,7.9e+19,Wrapped Ether,WETH,18,57,77709,94000000000,36806,4595464,deprecated,4426126
6,10758019,2020-08-29 21:05:13,0xcd4b1bb84b3d05245a07637ea9aefdb7353984e45ac647f37cae5991f9679d31,36,0x26d39be7acb71b23c158f6b6dd8994a07d7de98c7a2ce34af3bb9dc528c7e058,0x29684c575815123db9983998f8b3f047d3f9d1ab,0xba100000625a3754423978a60c9317c58a424e3d,0x030d9f55c7f7589034b829a87bf3bd84d6682a18,1e+19,Balancer,BAL,18,115,85714,91000000000,57143,8579437,deprecated,4426101
7,10758030,2020-08-29 21:08:00,0x68b279588ce5aca7ff6529d7c7b0377496723cc03f99358501d074e42c154885,37,0x69bce030789c8aa223ef655cacd03529fcb24cca7eabad8fabd4961e15f4396c,0x29684c575815123db9983998f8b3f047d3f9d1ab,0xba100000625a3754423978a60c9317c58a424e3d,0x030d9f55c7f7589034b829a87bf3bd84d6682a18,9.467856200304993e+20,Balancer,BAL,18,193,63268,91000000000,27179,12321032,deprecated,4426090
8,10758107,2020-08-29 21:27:19,0x28a27c7bc3540778fe36dee155ff1f38cdfeb853613c3a15d3f365fc54d28be6,58,0x46b733b7c1b8a6039509c6b6758c7ca4fd3ea6c252d26eceeec6bb64480162dc,0x45b669a801e2032027ce27ec229814b5140c7f7c,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x030d9f55c7f7589034b829a87bf3bd84d6682a18,5.1e+19,Wrapped Ether,WETH,18,70,55209,91000000000,21806,7779378,deprecated,4426013
9,10758189,2020-08-29 21:43:26,0x9c5defca87f3f0697ac65bd02381fd3d7d9a00c0fa2a774eeacaa7bc870ee9f2,6,0xe492293400f1846e83156dd35913031ec8dc9da1ed8893edf42bba6e200a101b,0x030d9f55c7f7589034b829a87bf3bd84d6682a18,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x988616a66c1a15a913f9b2f30e82475edb171c5b,500000000.0,USD Coin,USDC,6,9,115696,98400000000,57369,461289,deprecated,4425931
