,blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,confirmations
0,10752665,2020-08-29 01:17:36,0xeead38b69d495a50921c1bbfb40eacc732eb001976b7d45e839e1805285be289,0,0xb37f6316dca927eeff21b275c4c39c198485ad5f08164c745a1bd5e6d73df3d0,0x8bd1661da98ebdd3bd080f0be4e6d9be8ce9858c,0x408e41876cccdc0f92210600ef50372656052a38,0x03356060622b057978f616a26ebb2967a73625ec,1.367286953171312e+21,Republic,REN,18,76,167296,57200000233,126486,10451220,deprecated,4431630
1,10752689,2020-08-29 01:23:23,0x865a03c0fb2cce6d8b2ab8a4a73e8d5dc4372c272471a6fd66504042cf591a35,2,0x49026e345d1a29b128f5d227fa50f138bce8e11e8eda38cb980905030983a4c0,0x745daa146934b27e3f0b6bff1a6e36b9b90fb131,0x6b175474e89094c44da98b954eedeac495271d0f,0x03356060622b057978f616a26ebb2967a73625ec,2e+21,Dai Stablecoin,DAI,18,231,265950,74120000000,179025,12416339,deprecated,4431606
2,10752703,2020-08-29 01:27:29,0xdef6e76080581859d4e3013bd89b1376b006aad1286cb1dadc808a2d98ef0e82,4,0x2a355a788a33805deb85878ab979579c5743611ee5792f36e629a266ee05b849,0x0000000000000000000000000000000000000000,0xfc1e690f61efd961294b3e1ce3313fbd8aa4f85d,0x03356060622b057978f616a26ebb2967a73625ec,0.0,Aave Interest bearing DAI,aDAI,18,83,400000,69300000000,245133,8530142,deprecated,4431592
3,10752703,2020-08-29 01:27:29,0xdef6e76080581859d4e3013bd89b1376b006aad1286cb1dadc808a2d98ef0e82,4,0x2a355a788a33805deb85878ab979579c5743611ee5792f36e629a266ee05b849,0x0000000000000000000000000000000000000000,0xfc1e690f61efd961294b3e1ce3313fbd8aa4f85d,0x03356060622b057978f616a26ebb2967a73625ec,2e+21,Aave Interest bearing DAI,aDAI,18,83,400000,69300000000,245133,8530142,deprecated,4431592
4,10752703,2020-08-29 01:27:29,0xdef6e76080581859d4e3013bd89b1376b006aad1286cb1dadc808a2d98ef0e82,4,0x2a355a788a33805deb85878ab979579c5743611ee5792f36e629a266ee05b849,0x03356060622b057978f616a26ebb2967a73625ec,0x6b175474e89094c44da98b954eedeac495271d0f,0x3dfd23a6c5e8bbcfc9581d2e864a68feb6a076d3,2e+21,Dai Stablecoin,DAI,18,83,400000,69300000000,245133,8530142,deprecated,4431592
5,10752710,2020-08-29 01:28:41,0x54490053eec2a2b98a0ef189a210739e5da53f591780d953326722d715d5b010,5,0x0a0983b23b7015916af04768087e2613e912842932dbb96a2ae308ae6e3f808c,0x745daa146934b27e3f0b6bff1a6e36b9b90fb131,0xc011a73ee8576fb46f5e1c5751ca3b9fe0af2a6f,0x03356060622b057978f616a26ebb2967a73625ec,4e+20,Synthetix Network Token,SNX,18,148,370338,74120000000,266015,7992672,deprecated,4431585
6,10752732,2020-08-29 01:33:33,0x68aea13518d2b55c5cf00f634867ee27989c291ff4b94b7a47589984215788a7,7,0xf92968a1df4110b2205dd1b29299ebc295fd696f5be1bbd68185799f324ed5fb,0x745daa146934b27e3f0b6bff1a6e36b9b90fb131,0x57ab1ec28d129707052df4df418d58a2d46d5f51,0x03356060622b057978f616a26ebb2967a73625ec,2e+21,Synth sUSD,sUSD,18,157,420754,74120000000,308029,7509119,deprecated,4431563
7,10752749,2020-08-29 01:38:03,0x55bbddbc685363494141e86c153375e9657ea1af419e2439a4bd9e6c959ec8f1,9,0x04726f9c4bac36c49b13ca29dd872c1ecb83bbd1cb94460e7a21c8e4b6aa4246,0x0000000000000000000000000000000000000000,0x625ae63000f46200499120b906716420bd059240,0x03356060622b057978f616a26ebb2967a73625ec,0.0,Aave Interest bearing SUSD,aSUSD,18,118,400000,69000000000,327124,7518747,deprecated,4431546
8,10752749,2020-08-29 01:38:03,0x55bbddbc685363494141e86c153375e9657ea1af419e2439a4bd9e6c959ec8f1,9,0x04726f9c4bac36c49b13ca29dd872c1ecb83bbd1cb94460e7a21c8e4b6aa4246,0x0000000000000000000000000000000000000000,0x625ae63000f46200499120b906716420bd059240,0x03356060622b057978f616a26ebb2967a73625ec,2e+21,Aave Interest bearing SUSD,aSUSD,18,118,400000,69000000000,327124,7518747,deprecated,4431546
9,10752749,2020-08-29 01:38:03,0x55bbddbc685363494141e86c153375e9657ea1af419e2439a4bd9e6c959ec8f1,9,0x04726f9c4bac36c49b13ca29dd872c1ecb83bbd1cb94460e7a21c8e4b6aa4246,0x03356060622b057978f616a26ebb2967a73625ec,0x57ab1ec28d129707052df4df418d58a2d46d5f51,0x3dfd23a6c5e8bbcfc9581d2e864a68feb6a076d3,2e+21,Synth sUSD,sUSD,18,118,400000,69000000000,327124,7518747,deprecated,4431546
