,blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,confirmations
0,10556988,2020-07-29 21:36:10,0xad0bce50cf6dbd8eb0325e27b92c3a17e5e2880d2fb322b5f35b49d1104814c8,1,0xfb23ff307f502841c0f3cc33222424af5bd91574691420f6195f3cd6f544255c,0xace1a7986cda86a053c9c9ee8cf65095fe45e284,0x97a42154b194d1b6d4d5046f744e627ad6d7af4d,0x03a8dfa089ad1238b04c298ec76c97c22647f86c,3e+22,YFI.Finance,YFI,18,43,51223,55000000000,36223,1814889,deprecated,4626814
1,10557757,2020-07-30 00:32:27,0x7c2e1e0f0eb721b4dd9c9f1cc981ce43b5708aafe990adc0c293dcd3ab12c321,2,0x913355ae5cabe6503e2b8d7c543e4c85b070aad8e0fffefad380321d6e9192e4,0x03a8dfa089ad1238b04c298ec76c97c22647f86c,0x97a42154b194d1b6d4d5046f744e627ad6d7af4d,0x9019bbe11d04d8ab0b51f0732c70eed4f7ca0f52,5e+21,YFI.Finance,YFI,18,84,3022303,45000001400,2707185,8448546,deprecated,4626045
2,10557757,2020-07-30 00:32:27,0x7c2e1e0f0eb721b4dd9c9f1cc981ce43b5708aafe990adc0c293dcd3ab12c321,2,0x913355ae5cabe6503e2b8d7c543e4c85b070aad8e0fffefad380321d6e9192e4,0x0000000000000000000000000000000000000000,0x9019bbe11d04d8ab0b51f0732c70eed4f7ca0f52,0x03a8dfa089ad1238b04c298ec76c97c22647f86c,1.8303005217723128e+20,Uniswap V2,UNI-V2,18,84,3022303,45000001400,2707185,8448546,deprecated,4626045
3,10562872,2020-07-30 19:45:31,0xaed9434da1f979d8a1186c937446c1ace60adbb98d3c1b727df834411e26c5e4,3,0x184d6f913f9ba11a597a1f954f3e860fd14bbd2ae246cf90b0e228791f00a43e,0x03a8dfa089ad1238b04c298ec76c97c22647f86c,0x97a42154b194d1b6d4d5046f744e627ad6d7af4d,0x9019bbe11d04d8ab0b51f0732c70eed4f7ca0f52,4.226812495863758e+21,YFI.Finance,YFI,18,31,183997,56000000000,141772,3137696,deprecated,4620930
4,10562872,2020-07-30 19:45:31,0xaed9434da1f979d8a1186c937446c1ace60adbb98d3c1b727df834411e26c5e4,3,0x184d6f913f9ba11a597a1f954f3e860fd14bbd2ae246cf90b0e228791f00a43e,0x0000000000000000000000000000000000000000,0x9019bbe11d04d8ab0b51f0732c70eed4f7ca0f52,0x03a8dfa089ad1238b04c298ec76c97c22647f86c,1.7142025080544638e+20,Uniswap V2,UNI-V2,18,31,183997,56000000000,141772,3137696,deprecated,4620930
5,10568822,2020-07-31 17:48:47,0x6df88032e51c1ac6263706023242141887e022d989d6c2c76a8a4474ed711676,5,0xbeba16e9901d4baba6ca22b9f5142ae8e0b2409e4eebc59d37af25b964a57044,0x03a8dfa089ad1238b04c298ec76c97c22647f86c,0x9019bbe11d04d8ab0b51f0732c70eed4f7ca0f52,0x9019bbe11d04d8ab0b51f0732c70eed4f7ca0f52,3.5445030298267766e+20,Uniswap V2,UNI-V2,18,132,236747,75000000000,136310,6218428,deprecated,4614980
6,10568822,2020-07-31 17:48:47,0x6df88032e51c1ac6263706023242141887e022d989d6c2c76a8a4474ed711676,5,0xbeba16e9901d4baba6ca22b9f5142ae8e0b2409e4eebc59d37af25b964a57044,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0x97a42154b194d1b6d4d5046f744e627ad6d7af4d,0x03a8dfa089ad1238b04c298ec76c97c22647f86c,7.81089285900501e+21,YFI.Finance,YFI,18,132,236747,75000000000,136310,6218428,deprecated,4614980
7,10779293,2020-09-02 03:07:13,0xfe9e8264aa64e8922c04e131f1fbb4b7c7b6fbbd0f8bbf9a8efd44c21429fe6b,7,0xffdf68940b1d46b7a30cf942c755ee0c16d25326404ee81d900671e59bd6880d,0xda3706c9a099077e6bc389d1baf918565212a54d,0x3d3d35bb9bec23b06ca00fe472b50e7a4c692c30,0x03a8dfa089ad1238b04c298ec76c97c22647f86c,1.028505615179606e+22,Vidya,VIDYA,18,223,167777,485111110000,126917,11953119,deprecated,4404509
8,10876862,2020-09-17 02:07:24,0x8a9e2bed581967ecf8d8451c182b49fd184a2d6b4818a4537b21c4da94d36808,8,0xc36f262e733d5f2bccd7b86cfa6c26855c93979ce103483f3bf249e9004b9794,0x090d4613473dee047c3f2706764f49e0821d256e,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,0x03a8dfa089ad1238b04c298ec76c97c22647f86c,4.07660597e+20,Uniswap,UNI,18,160,89131,315822210000,81029,10201281,deprecated,4306940
9,10881425,2020-09-17 18:42:24,0x0de73e5086472069945b87472363187807a209db5bd7e72070efe15f6666bc1c,12,0xaf73cd2cb2eaa320f5b391c3b1434a5393b11d01aec8b3f1c0659e9f5a1d7976,0x03a8dfa089ad1238b04c298ec76c97c22647f86c,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,0xd3d2e2692501a5c9ca623199d38826e513033a17,4.07660597e+20,Uniswap,UNI,18,106,152258,479111110000,98135,6750520,deprecated,4302377
