,blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,confirmations
0,10776633,2020-09-01 17:23:47,0x077b0a51abcf546800fcb5a6b022cd7cc2f9e52b86c500b7911d4c01febfd41f,0,0x9c62018fcb815eb3c1185d5021c51eb8fe6c2caee752f5befd40e429922dade7,0x12d4444f96c644385d8ab355f6ddf801315b6254,0x38e4adb44ef08f22f5b5b76a8f0c2d0dcbe7dca1,0x057f8707f317023db00518f3bb646136be909dfd,6.6608894184940765e+19,Concentrated Voting Power,CVP,18,277,156901,477000000000,117184,11505535,deprecated,4407191
1,10782705,2020-09-02 15:45:34,0xb526cf78f0f7a35b9c3f3962bc9efe59b815efd9fd5c1d728386cc346db1b15d,1,0xaa4167da73d4863cda5e3203d8221dcd9a1e87a395046e31159fe4221aeea833,0x73282a63f0e3d7e9604575420f777361eca3c86a,0x89ee58af4871b474c30001982c3d7439c933c838,0x057f8707f317023db00518f3bb646136be909dfd,5.4e+18,yfBETA,YFBETA,18,83,256294,500000000000,168614,10667690,deprecated,4401119
2,10801599,2020-09-05 13:13:10,0x31df63af0b14fdc8a4597a3cac28828b7abf14be551e3eed2b46e0ce1c98c75a,9,0x2dd0106bf4c6c47bcb2c2eaf430700aacdb5cd9f365a27decb4b24e27fb01b40,0x27e97de56c8fc1ebbee532188f3ebc8b253884db,0x8762db106b2c2a0bccb3a80d1ed41273552616e8,0x057f8707f317023db00518f3bb646136be909dfd,2.8e+23,Reserve Rights,RSR,18,20,53938,679500000000,53938,2006548,deprecated,4382225
3,10801603,2020-09-05 13:14:37,0x3677efba90c119739136c111572fb232aefb0d27d412471f5d432b5a7a90c755,10,0xd58d1d0cff40123686aeab0ab73cdc7d444094d3f95990a07a1daa63eaeaebb4,0x27e97de56c8fc1ebbee532188f3ebc8b253884db,0x80fb784b7ed66730e8b1dbd9820afd29931aab03,0x057f8707f317023db00518f3bb646136be909dfd,2.9523103432238726e+21,EthLend,LEND,18,9,55200,679500000000,40200,641308,deprecated,4382221
4,10801607,2020-09-05 13:15:55,0x7f1d52e9ac35ea7b8f006db13ad2022884257b1f95ec6fde543cf0c2bce7c581,11,0x324d0e7cce63d77e45a5173b66e61d47c220ab617cc89a704021a40f9bd54b98,0x27e97de56c8fc1ebbee532188f3ebc8b253884db,0xc011a73ee8576fb46f5e1c5751ca3b9fe0af2a6f,0x057f8707f317023db00518f3bb646136be909dfd,2.6812402194969297e+20,Synthetix Network Token,SNX,18,16,92801,679500000000,77026,1170748,deprecated,4382217
5,10820976,2020-09-08 12:24:54,0x1ec86a99c3dd78f412ec196a2a005e7e154e536336b2da12f38b9776dbbf36ba,8,0xaa2fe8f57e4b76b436ab216274e95c90c9fd4054dc9146c10ca385c2b170631a,0x057f8707f317023db00518f3bb646136be909dfd,0x89ee58af4871b474c30001982c3d7439c933c838,0xed643618dd5194f243a8f23c7bd786a37a6dcf8b,2e+17,yfBETA,YFBETA,18,146,168027,82000000000,127470,7259860,deprecated,4362848
6,11106798,2020-10-22 15:27:37,0xac5d0845be8f58b9bcffb65208a660b9569d3aa3b4928464e9fef05d080c6883,9,0xf74e6422ce956bb73aa4b0f49ef960fddc42aaaf4b4f527c6830983906dd5045,0xed643618dd5194f243a8f23c7bd786a37a6dcf8b,0x89ee58af4871b474c30001982c3d7439c933c838,0x057f8707f317023db00518f3bb646136be909dfd,2.2985672397466145e+18,yfBETA,YFBETA,18,106,150199,71000001459,111186,5431050,deprecated,4077026
7,11139246,2020-10-27 14:46:35,0xc4bd60eb39a7eb18235fd52dbac856aff7715a73cc18fcf2e5b6aef124c0c9dd,10,0x7a398564d9626142aa4a7deee05a4a2ffaffb6bdab459a524bb931c35ca67aba,0xd64224a4c2bed96c75df9517b2d77aebb13f0e37,0x4bd70556ae3f8a6ec6c4080a0c327b24325438f3,0x057f8707f317023db00518f3bb646136be909dfd,2.567991817335315e+21,Hxro,HXRO,18,125,171953,48000000000,130653,9652094,deprecated,4044578
8,11173304,2020-11-01 20:19:13,0x8ed5c1403c4897a4e7778b4f13a74d770ccca847e02e607910133a521778dd89,11,0x33d5bf528912f86eb41fbdfead76d8697ed5a12b68bd40ca7873f42ef3526920,0x057f8707f317023db00518f3bb646136be909dfd,0x89ee58af4871b474c30001982c3d7439c933c838,0xed643618dd5194f243a8f23c7bd786a37a6dcf8b,6.49e+18,yfBETA,YFBETA,18,60,216239,20000000000,186080,7191613,deprecated,4010520
9,11173304,2020-11-01 20:19:13,0x8ed5c1403c4897a4e7778b4f13a74d770ccca847e02e607910133a521778dd89,11,0x33d5bf528912f86eb41fbdfead76d8697ed5a12b68bd40ca7873f42ef3526920,0x2fdbadf3c4d5a8666bc06645b8358ab803996e28,0x0bc529c00c6401aef6d220be8c6ea1667f6ad93e,0x057f8707f317023db00518f3bb646136be909dfd,1.819141618766883e+16,yearn.finance,YFI,18,60,216239,20000000000,186080,7191613,deprecated,4010520
