,blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,confirmations
0,10763376,2020-08-30 16:52:07,0xb62245c3302ca18e928c14d88755cc9a18a6522b559871d6522eb731cbb6bec1,0,0x94b80cf0964b6d261ab66c96575c451c8cf840d1c468c4f2166f647b00d76da0,0xce84867c3c02b05dc570d0135103d3fb9cc19433,0x6b3595068778dd592e39a122f4f5a5cf09c90fe2,0x065d722a7d53481e2db6443c9e392e981929ea32,3.7e+19,SushiToken,SUSHI,18,49,173456,264000000233,132404,2564918,deprecated,4421351
1,10763857,2020-08-30 18:37:43,0x5441c558f1aa8157a1b18fae0701ac2d7a0287af31b27a74b0792a8d936fca86,2,0xc340cfd4860c04441689e5ce10ee1a4e756fccec76180ab04de5f8f25eab995c,0x065d722a7d53481e2db6443c9e392e981929ea32,0x6b3595068778dd592e39a122f4f5a5cf09c90fe2,0xce84867c3c02b05dc570d0135103d3fb9cc19433,3.7e+19,SushiToken,SUSHI,18,193,155037,198000000233,100661,11787421,deprecated,4420870
2,10764073,2020-08-30 19:26:34,0x8362a802be062a7da8218293ba2d6995bc4d07546f3aa071fa99686596675a38,3,0x1140ec5312040bbf6abb96ed3022cf3fd41119ca1b7ba23f522061d7bb7c4756,0xce84867c3c02b05dc570d0135103d3fb9cc19433,0x6b3595068778dd592e39a122f4f5a5cf09c90fe2,0x065d722a7d53481e2db6443c9e392e981929ea32,1e+21,SushiToken,SUSHI,18,26,160239,195800000233,132404,2505023,deprecated,4420654
3,10764390,2020-08-30 20:33:55,0x8dac084cae8a85642fe38086de3774e3e37db8a8cff89da4c2094dc177d2e479,4,0x790148812d4b398cae88d49e7fc71ea54f8b4d08697e874bf195f62d507c31f4,0x065d722a7d53481e2db6443c9e392e981929ea32,0x6b3595068778dd592e39a122f4f5a5cf09c90fe2,0xce84867c3c02b05dc570d0135103d3fb9cc19433,1e+21,SushiToken,SUSHI,18,40,155050,165000000233,112689,2181396,deprecated,4420337
4,10764980,2020-08-30 22:38:18,0xe9b5f94be61f5314d431cfa3ad671ecefe01160f65b13455d639d0207c66108b,5,0xbf0685bdc1bf14a351b0f6faa7ab506f82daf6ce81682e1135ec9ee7d4bb1c22,0xce84867c3c02b05dc570d0135103d3fb9cc19433,0x6b3595068778dd592e39a122f4f5a5cf09c90fe2,0x065d722a7d53481e2db6443c9e392e981929ea32,1e+21,SushiToken,SUSHI,18,27,160239,134200000233,132404,5593806,deprecated,4419747
5,10765206,2020-08-30 23:29:39,0xfc6194f0e0be17e2797c176ac40e9a86581b224556a678c2916c70701be5911f,6,0x564d7eccae904263b1986e1f0abde97ab935e570ac648f15519e50f94816e267,0x065d722a7d53481e2db6443c9e392e981929ea32,0x6b3595068778dd592e39a122f4f5a5cf09c90fe2,0xce84867c3c02b05dc570d0135103d3fb9cc19433,1e+21,SushiToken,SUSHI,18,136,168268,114400000233,100673,10185009,deprecated,4419521
6,10769958,2020-08-31 17:06:32,0xfcb85184fa97cfa0d343219eba1cd3721c7c33843a6b42d2d963f4e0f935e0eb,9,0xa713ebb3f56470f9060b8898220d0c20690ee05ff1a2c9ba49fc2a916a388798,0xb328eb3175b5440dff5b158205a9906a97c37c51,0x3c6ff50c9ec362efa359317009428d52115fe643,0x065d722a7d53481e2db6443c9e392e981929ea32,5.3e+21,PeerEx Network,PERX,18,211,174842,324500000233,133664,8596523,deprecated,4414769
7,10769973,2020-08-31 17:09:56,0x06c310baaad621103bd37d31cc1f690969e5719e2e49b6aeb95aa0c8557fa9df,10,0x22f5825e57a2c97f042e1b29e9d2df9bce259196bf73dd7141ead1839f595cea,0xb328eb3175b5440dff5b158205a9906a97c37c51,0x3c6ff50c9ec362efa359317009428d52115fe643,0x065d722a7d53481e2db6443c9e392e981929ea32,4.4e+22,PeerEx Network,PERX,18,236,158342,327800000233,118664,8669524,deprecated,4414754
8,10775352,2020-09-01 12:46:31,0x68e292b5d720703546157200a1c27aa96c979d1ce35068e435cce6913bb5c915,11,0x92c5bf80ccb1476e40b696f292dc60f34dc1647c17ff7a449128851d0abf639b,0x2caccf71bdf8fff97c06a46eca29b611b1a74b5e,0xba21ef4c9f433ede00badefcc2754b8e74bd538a,0x065d722a7d53481e2db6443c9e392e981929ea32,2.2e+22,Swapfolio,SWFL,18,228,173746,495000000233,132667,10088032,deprecated,4409375
9,10776229,2020-09-01 15:57:11,0x711bb328e9044c6e5e979896beb976662837f541604f6215f45d1dbc88f34a79,13,0xdeca15ffb91022a6c91125b8817c637a3f3f385772cc97ebc001202fd3dc173b,0x065d722a7d53481e2db6443c9e392e981929ea32,0xba21ef4c9f433ede00badefcc2754b8e74bd538a,0x2caccf71bdf8fff97c06a46eca29b611b1a74b5e,2.2e+22,Swapfolio,SWFL,18,77,168303,495000000233,112721,4589408,deprecated,4408498
