,blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,confirmations
0,10770146,2020-08-31 17:49:58,0x71e5d72c77755003150eb75020ab4c176714cc903cbda7e4ea0aa0627ebc6fc8,0,0xf86baf62534a518b0a1bf590acb2312837ada7aeed88f806559c2fe1778b6507,0xcb4f983e705caeb7217c5c3785001cb138115f0b,0x45f24baeef268bb6d63aee5129015d69702bcdfa,0x092f803f9fd46ecf4b01bc4ef87e14bdcf27106a,2e+18,YFValue,YFV,18,162,173314,300000000000,120259,11460876,deprecated,4414156
1,10780151,2020-09-02 06:23:23,0x122d57d373df98cadd93a7ee811921b62a5b56c833774e858230dad5e6d32fc7,2,0x45bb4325bc02ec832db56c0fc32f3b98dc505142992c782f4ed39bbad6ed415c,0xcb4f983e705caeb7217c5c3785001cb138115f0b,0x45f24baeef268bb6d63aee5129015d69702bcdfa,0x092f803f9fd46ecf4b01bc4ef87e14bdcf27106a,2.5e+18,YFValue,YFV,18,182,156814,471000000000,117275,12435304,deprecated,4404151
2,10848838,2020-09-12 18:42:10,0x7acdec428b13421edbbf8db4c277dd5ec280d7eae4489de367854a0c69b24ca2,0,0xe1174a800458a1f76e2f81f9671ea0bc283294996a46b1bbdb769eb241208f69,0x5715df424c7ab8dd5db7430a67bfa150d24ef0c0,0x514910771af9ca656af840dff83e8264ecf986ca,0x092f803f9fd46ecf4b01bc4ef87e14bdcf27106a,9e+18,ChainLink Token,LINK,18,13,200000,110000000000,36577,1725516,deprecated,4335464
3,10848870,2020-09-12 18:48:33,0xb035827f4dcff6311876763de89056512863e337cbb4500da2fa30a9fa000ece,4,0xa14ad2497beacddf8250f28261f2739a01dc657110cd2375b22cb91e7116afb7,0x092f803f9fd46ecf4b01bc4ef87e14bdcf27106a,0x514910771af9ca656af840dff83e8264ecf986ca,0xa2107fa5b38d9bbd2c461d6edf11b11a50f6b974,9e+18,ChainLink Token,LINK,18,38,184186,93000000000,154389,4457963,deprecated,4335432
4,10848870,2020-09-12 18:48:33,0xb035827f4dcff6311876763de89056512863e337cbb4500da2fa30a9fa000ece,4,0xa14ad2497beacddf8250f28261f2739a01dc657110cd2375b22cb91e7116afb7,0xcb4f983e705caeb7217c5c3785001cb138115f0b,0x45f24baeef268bb6d63aee5129015d69702bcdfa,0x092f803f9fd46ecf4b01bc4ef87e14bdcf27106a,4.470168753090208e+18,YFValue,YFV,18,38,184186,93000000000,154389,4457963,deprecated,4335432
5,10865346,2020-09-15 07:50:55,0x899a26ac292d5061952ade298a3b1e19b12d4a718c72860be9437c87026150e3,29,0xbc825adb9df16a8ae2bd656d98ae0675ccd9e69ac23ef78dc6c0c07188d23109,0xbf543e4ecac2ef571342127554bf9dccf46ae175,0xd0c59798f986d333554688cd667033d469c2398e,0x092f803f9fd46ecf4b01bc4ef87e14bdcf27106a,7.9478e+18,Ymen.Finance,YMEN,18,131,93880,192000000000,62587,11200856,deprecated,4318956
6,10881348,2020-09-17 18:25:02,0x8b03936494f22f53c1f5b09bde9fc392b38436130e1210b0b003d2f539e1c845,5,0x65b5c8f9b92aed542f8e92480f5be7e43453c45f7e1dfa2df5333030d9c60a5e,0x090d4613473dee047c3f2706764f49e0821d256e,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,0x092f803f9fd46ecf4b01bc4ef87e14bdcf27106a,4e+20,Uniswap,UNI,18,111,90016,493000000000,81833,7965519,deprecated,4302954
7,10881425,2020-09-17 18:42:24,0x98e43e0b5034fa0eada58347ebde337b1ba869f4cc6a78349601fd4e14b0d671,6,0xaf73cd2cb2eaa320f5b391c3b1434a5393b11d01aec8b3f1c0659e9f5a1d7976,0x092f803f9fd46ecf4b01bc4ef87e14bdcf27106a,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,0xf261059596d5b65cc46de4bd2bdf7d319f186a13,4e+20,Uniswap,UNI,18,83,83259,493000000000,40506,5379813,deprecated,4302877
8,10892171,2020-09-19 10:37:43,0x73b2e67263c5612d0377f68d158ff6ffd9bf425a789bd477256a08692e5f8b7b,8,0x599ba507a5f49d8c0ae151a0a086fc0862cb94de50186c23b06382f9395c941a,0xe2f021411a15f677100a79f1bf6afd89d00c778b,0x10bae51262490b4f4af41e12ed52a0e744c1137a,0x092f803f9fd46ecf4b01bc4ef87e14bdcf27106a,2500000000.0,Soft Link,SLINK,9,52,177025,123000000000,135648,4373297,deprecated,4292131
9,10927146,2020-09-24 19:12:10,0x6fcc7eac401604982555ec707b77c0f66b99fc16ac3f986defa26912bf64a108,0,0xfde6b0ca09e5ccd68ba9b7edead6e91b808a6fd56902aba32494b5cf86c9139b,0xe615a968f8deabb00930ecb53bc0dc1d317478a0,0xdf49c9f599a0a9049d97cff34d0c30e468987389,0x092f803f9fd46ecf4b01bc4ef87e14bdcf27106a,2.1843572e+21,Smart Advertising Transaction Token,SATT,18,11,60000,89000000000,53331,578322,deprecated,4257156
10,10930907,2020-09-25 09:03:02,0xb2a51ffd989c8e23f84f144318fe32c31bfa1b082854d3d661a3fcdb3d14efcb,9,0x26ac3b1f1b12e61da409e1a402998df40020035b84596cd88d8c39203c415eee,0x092f803f9fd46ecf4b01bc4ef87e14bdcf27106a,0xdf49c9f599a0a9049d97cff34d0c30e468987389,0xdb66898fc869e60f284aee0a9d72ac94cc9014df,2.1843572e+21,Smart Advertising Transaction Token,SATT,18,110,80013,114000000000,38342,5295810,deprecated,4253395
11,10953256,2020-09-28 21:08:36,0x3b123ac6ffc9240ff8f1a49a80a3143383b11dc555afc7fb21ce4e16b206d304,10,0xecc9e7a9b16e64cad90d18a938f00300f1376767fcdb69964b4eb0f0c5ba3c14,0x05f21e62952566cefb77f5153ec6b83c14fb6b1d,0xaf9f549774ecedbd0966c52f250acc548d3f36e5,0x092f803f9fd46ecf4b01bc4ef87e14bdcf27106a,1.95e+21,Rio Fuel Token,RFuel,18,141,161251,91000000000,133324,8630482,deprecated,4231046
12,11431181,2020-12-11 10:51:02,0xe199da8998c0ca17df3ded35db032a6e4b0a653a851e6385de389bf397724cab,12,0xcd9d7746558a0dbcf30ba1fdbe2adf40cf15da0d6057fa568f72b630e5f87225,0x092f803f9fd46ecf4b01bc4ef87e14bdcf27106a,0x45f24baeef268bb6d63aee5129015d69702bcdfa,0xdb66898fc869e60f284aee0a9d72ac94cc9014df,8.970168753090208e+18,YFValue,YFV,18,72,76728,30000000000,36152,4335911,deprecated,3753121
13,11520659,2020-12-25 04:42:00,0x299f4278b9961934b37648c79deb82a58a0c873b7c3fd6457e490adee24ae42a,15,0xc6dd43dbc9e15a0734537866d17ae9e5c698876fabd41d0ad9095cd583522dea,0x1df4139144595e0245b084e7ea1a75101fb95548,0x111111111117dc0aa78b770fa6a738034120c302,0x092f803f9fd46ecf4b01bc4ef87e14bdcf27106a,1.18143e+19,1INCH Token,1INCH,18,162,232664,96800000000,170084,11911410,deprecated,3663643
14,11520788,2020-12-25 05:10:36,0x85884d48f055717b42e55dccc40029dcfe0edebed8956f4fb8f8c53ab152f5f6,16,0x30bbdcc9fc4d0c8eb5b8b7016cbf0e220b830da84e9be59da590bc61679c81b8,0x092f803f9fd46ecf4b01bc4ef87e14bdcf27106a,0x111111111117dc0aa78b770fa6a738034120c302,0xf261059596d5b65cc46de4bd2bdf7d319f186a13,1.18143e+19,1INCH Token,1INCH,18,223,76677,122100000000,36118,11492947,deprecated,3663514
15,11548463,2020-12-29 10:46:53,0xf2a9b568283b31bd162a27e2bed314890439897c3ceb542b9465c70dbf102387,19,0xec41eea883103514f4cd742282aa1fd7012e5afbe9bd51d25774d8d67a88290b,0x092f803f9fd46ecf4b01bc4ef87e14bdcf27106a,0xaf9f549774ecedbd0966c52f250acc548d3f36e5,0xc0ed34eb71e79a30cf48e9d098b5156f5926a630,1.95e+21,Rio Fuel Token,RFuel,18,93,78181,45100000000,37121,6335999,deprecated,3635839
16,11550772,2020-12-29 19:22:48,0x3bcd0ae45138666c3cfd9862ffb645d210426db4bbe36ca4d979247f4b08cded,20,0xe850497df76053ea1e4e78fa362c46b58734adcf56591ac241295df5ff58bd9c,0x762285c45264deb91c40c9664ad5fc7c8f5cb5e1,0x66d25c70183e83cebc4ac5c88a228a2a4a98fd5b,0x092f803f9fd46ecf4b01bc4ef87e14bdcf27106a,3.096437252301354e+22,Exeedme,XED,18,49,164861,79200000000,124307,3731519,deprecated,3633530
17,11555049,2020-12-30 11:17:28,0x04dd1b9075fa56ccab90dc39eca9e153d0478f1e4d8f7659cd17664ed8cf868f,21,0x9123d5b9a1d9193eb6468734e94719d9fc3777659a2714f18faf5d20facfd3be,0x63407f8112f61708decf0265217f5f3c7695f605,0x3415c9d9c198308c916d4b245677878ebd9f1d77,0x092f803f9fd46ecf4b01bc4ef87e14bdcf27106a,2.2e+20,Exeedme,XED,18,109,203755,92400000000,159948,7241128,deprecated,3629253
18,11555537,2020-12-30 13:03:37,0x5fdcea8111f283bd0f1121aa79d08973a16ea4a9e85a808acfb8c158edc299df,24,0xf12d1b04bfe0b8ab1d75af5629d7e2e061838675b95f67d62161eae7ec32cca9,0x092f803f9fd46ecf4b01bc4ef87e14bdcf27106a,0x66d25c70183e83cebc4ac5c88a228a2a4a98fd5b,0x762285c45264deb91c40c9664ad5fc7c8f5cb5e1,5.000372523013541e+21,Exeedme,XED,18,216,165844,92400000000,125486,9597256,deprecated,3628765
19,11555548,2020-12-30 13:06:03,0xdf93b4ee8b4d636ce581432308f93bbc8aab00623d77c948c54a45ac03b124b5,25,0x1dfb3ab78f978ad8a9b59aada6f4b6e7cb125cdd3a5e6b257975d81d5ba1638e,0x092f803f9fd46ecf4b01bc4ef87e14bdcf27106a,0x66d25c70183e83cebc4ac5c88a228a2a4a98fd5b,0x762285c45264deb91c40c9664ad5fc7c8f5cb5e1,1e+22,Exeedme,XED,18,164,165818,100100000000,125462,9007657,deprecated,3628754
20,11555565,2020-12-30 13:09:10,0x138db910500f8ae0e0665d6a9a263c3b2803332f1a67b44b08255b6aab8806df,26,0x35633c0be6f0fc08ff364c740d29e6f13e18337b736f87e0b2e8a48feb42e0bd,0x092f803f9fd46ecf4b01bc4ef87e14bdcf27106a,0x66d25c70183e83cebc4ac5c88a228a2a4a98fd5b,0x762285c45264deb91c40c9664ad5fc7c8f5cb5e1,5.96e+21,Exeedme,XED,18,98,165818,92400000000,125462,5307270,deprecated,3628737
