,blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,confirmations
0,10755547,2020-08-29 12:07:10,0x69582c9abcf22634c594b6b28cb132b59a02db8d3aaf832b8c25db575efbf02f,0,0xbb9fbe66f9b1887ced79dd692b30e242d683815f72ac2f6358845273d45077c5,0xad617e2affc78c40d5cffa3e22970c159a8dbda0,0x46f4e420c75401494a39b70653f4bbb88ad2d728,0x0bbce04d84f2cec26f14404249ba196e547f9bc7,99000000.0,WenBURN,WENB,6,101,207061,52000000000,162954,8142226,deprecated,4428807
1,10791833,2020-09-04 01:28:12,0x24603dc6b82058211b5111d40d8497f23efdba6f7ad63ce4f1e65d3be4944861,4,0x6f17f7bff2a6c978d7036f4f418de55d48646d8bfa4d9c0d24e268d8722468e3,0xe20d1742b1e01a2beb257c3826eb4ce96e1752e7,0x0501e7a02c285b9b520fdbf1badc74ae931ad75d,0x0bbce04d84f2cec26f14404249ba196e547f9bc7,4.0075936863683763e+18,Walnut.Finance,WTF,18,27,177334,250000000000,135469,1171624,deprecated,4392521
2,11257242,2020-11-14 17:44:00,0x97ce0839b3bd635a96aa9f2a0507c0a69e13a5515c0b3c5b313a8afaf203f8c3,7,0x1840336581829ad51f8c89c0404dc1102e602b47727b4cc85f4a595904ed04c3,0x090d4613473dee047c3f2706764f49e0821d256e,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,0x0bbce04d84f2cec26f14404249ba196e547f9bc7,4e+20,Uniswap,UNI,18,85,90016,46000000000,81833,5240203,deprecated,3927112
3,11257248,2020-11-14 17:46:44,0x46b7c9d7f19e035fc26a5aa100584e662b34d99a053e1f1348daf0a9ffa7088f,9,0x3c9c78e0a1277c43939dedbe31c85723660abb79c662a60669386c5c22d41975,0x0bbce04d84f2cec26f14404249ba196e547f9bc7,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,0xd3d2e2692501a5c9ca623199d38826e513033a17,4e+20,Uniswap,UNI,18,68,152245,46000000000,110139,5461091,deprecated,3927106
4,11292848,2020-11-20 04:41:47,0xe2e811e60d207d44914f6613318f726a25fee44f396a4cff9ada5cf6ae473de4,5367,0x65311aa3ec0e09826058af57f44e2d4261616e0092831bc46dd6fec7d1ab9c16,0x648dbc134593fd40eac70d05fce6d66c606bfa5d,0xdac17f958d2ee523a2206206994597c13d831ec7,0x0bbce04d84f2cec26f14404249ba196e547f9bc7,8203075.0,Tether USD,USDT,6,48,84000,42900000000,56197,2329146,deprecated,3891506
5,11292885,2020-11-20 04:49:04,0x9afce255c7cb481e50e01de571bfe62bc88f552071d3860f3c17d05819e99c90,16,0xdf5e46fcaf8cc3ddf5b425a152e5fa4db45d43c7c5a7ece467ae3b222d45942c,0x0bbce04d84f2cec26f14404249ba196e547f9bc7,0xdac17f958d2ee523a2206206994597c13d831ec7,0xbeabef3fc02667d8bd3f702ae0bb2c4edb3640cc,8000000.0,Tether USD,USDT,6,61,153662,58000000000,134064,2426185,deprecated,3891469
6,11292885,2020-11-20 04:49:04,0x9afce255c7cb481e50e01de571bfe62bc88f552071d3860f3c17d05819e99c90,16,0xdf5e46fcaf8cc3ddf5b425a152e5fa4db45d43c7c5a7ece467ae3b222d45942c,0x0000000000000000000000000000000000000000,0xbeabef3fc02667d8bd3f702ae0bb2c4edb3640cc,0x0bbce04d84f2cec26f14404249ba196e547f9bc7,1.7743632019893952e+16,Mooniswap V1 (ETH-USDT),MOON-V1-ETH-USDT,18,61,153662,58000000000,134064,2426185,deprecated,3891469
7,12619607,2021-06-12 12:18:32,0x876269740ba6ee8d93a78c4d6bf118bf5ad942ca54eaefdb52639b01c8c81072,21,0x805813bda17ba48035061c8fa714e9f53ec729d5b57ee242ed8a0a049c191b02,0x0bbce04d84f2cec26f14404249ba196e547f9bc7,0xbeabef3fc02667d8bd3f702ae0bb2c4edb3640cc,0x0000000000000000000000000000000000000000,1.7743632019893952e+16,Mooniswap V1 (ETH-USDT),MOON-V1-ETH-USDT,18,171,130137,12100000000,98317,10178796,deprecated,2564747
8,12619607,2021-06-12 12:18:32,0x876269740ba6ee8d93a78c4d6bf118bf5ad942ca54eaefdb52639b01c8c81072,21,0x805813bda17ba48035061c8fa714e9f53ec729d5b57ee242ed8a0a049c191b02,0xbeabef3fc02667d8bd3f702ae0bb2c4edb3640cc,0xdac17f958d2ee523a2206206994597c13d831ec7,0x0bbce04d84f2cec26f14404249ba196e547f9bc7,25838320.0,Tether USD,USDT,6,171,130137,12100000000,98317,10178796,deprecated,2564747
9,12619642,2021-06-12 12:26:17,0x0500ba323f2ab1a325d5dac9a443b3834c2fc540feb5368fefaf78d71f65925d,23,0xc3fa02915a9b0d4f5cdb9cff717ebe5e9b567233a95b5cfcce01a1c9b83a7f09,0x0bbce04d84f2cec26f14404249ba196e547f9bc7,0xdac17f958d2ee523a2206206994597c13d831ec7,0x293cd5f95b636fbfb3dfcf9069e4101c95f465af,26041395.0,Tether USD,USDT,6,45,94813,11000000000,48209,3437854,deprecated,2564712
10,12630519,2021-06-14 04:50:12,0x8af9a75f8775b8efcada1dbade85fe6e3d8b367dd530bf0b205cd8e621820077,25,0x91630f4ee6166c071f6c7d04a0475eab4dfd3c3c026108eed4f84a311bddcfa2,0xe295ad71242373c37c5fda7b57f26f9ea1088afe,0x111111111117dc0aa78b770fa6a738034120c302,0x0bbce04d84f2cec26f14404249ba196e547f9bc7,3.8272014736690785e+18,1INCH Token,1INCH,18,313,150000,10000000000,76050,14779796,deprecated,2553835
