,blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,confirmations
0,10763887,2020-08-30 18:46:37,0x082de2559fbc50055091a28183c9f6bb2a526d9848d655d5f867d21780084e08,0,0xb1cf307b42759d2c767f7a36da959230c25c68b6880a238b7780e7351a0ad741,0x0000000000000000000000000000000000000000,0xa92469de06d27f9c71162b6f6c421c1ac270f7cb,0x0c6a15abab61e54b7c51811919f9ec5b23114e39,2.5e+22,Detached Finance,DTF,18,119,3905749,168300000000,2603833,9481042,deprecated,4420420
1,10763898,2020-08-30 18:48:49,0x1abc03c291d66074a88f24cb2dc21d47678c99a44884ef55ef32e66d49104cf1,2,0x2bf463ae57f12384d3cdeb51d960d1717f0d1d617758049dc42c493405a633ff,0x0c6a15abab61e54b7c51811919f9ec5b23114e39,0xa92469de06d27f9c71162b6f6c421c1ac270f7cb,0x00eb9c19c63a3c4846000045505519f207f1b99d,2e+22,Detached Finance,DTF,18,38,3023839,168300000000,2708576,4912298,deprecated,4420409
2,10763898,2020-08-30 18:48:49,0x1abc03c291d66074a88f24cb2dc21d47678c99a44884ef55ef32e66d49104cf1,2,0x2bf463ae57f12384d3cdeb51d960d1717f0d1d617758049dc42c493405a633ff,0x0000000000000000000000000000000000000000,0x00eb9c19c63a3c4846000045505519f207f1b99d,0x0c6a15abab61e54b7c51811919f9ec5b23114e39,7.071067811865475e+20,Uniswap V2,UNI-V2,18,38,3023839,168300000000,2708576,4912298,deprecated,4420409
3,10763999,2020-08-30 19:10:09,0xc4c455fcbd5451828438f164cc77ff6c8c29b8f55077954405ed0819dd20b8cf,3,0xef2d78c061c6334ca804231edcc285d8509e933e8ec165d8cb5215b481516ae7,0x00eb9c19c63a3c4846000045505519f207f1b99d,0xa92469de06d27f9c71162b6f6c421c1ac270f7cb,0x0c6a15abab61e54b7c51811919f9ec5b23114e39,2.0500672730146273e+21,Detached Finance,DTF,18,90,149414,178000000000,110483,5478753,deprecated,4420308
4,10764012,2020-08-30 19:12:16,0x8d924ffc4ffe7c762057b64aba83f49f8db3ba8605f9d2fdb4b941f0c555fac5,4,0xdcf3dfe1741981d0bc73ec429c4a98b427d27885e5522f00c997cc3f51ccc81d,0x00eb9c19c63a3c4846000045505519f207f1b99d,0xa92469de06d27f9c71162b6f6c421c1ac270f7cb,0x0c6a15abab61e54b7c51811919f9ec5b23114e39,1.1433362481268701e+21,Detached Finance,DTF,18,136,149414,157000000000,110483,9146946,deprecated,4420295
5,10764035,2020-08-30 19:16:32,0xc639aeeac2d9d67437eb1f5f9cbe76c9b40e196760044276bab62e3f026533de,5,0x252d5fc8362cae99fd6fbf57f7be2faf7e002046c36ae020463812a70aa1fd70,0x00eb9c19c63a3c4846000045505519f207f1b99d,0xa92469de06d27f9c71162b6f6c421c1ac270f7cb,0x0c6a15abab61e54b7c51811919f9ec5b23114e39,2.3573566581978258e+21,Detached Finance,DTF,18,135,149400,120000000000,110471,10596579,deprecated,4420272
6,10764047,2020-08-30 19:18:18,0x41c9293829aa43040d8cd8233e54e75791d4fe796deda5a5e6c0464f55634140,6,0xa451f74799d998af03d4ecedd9f2d923b621e3e0b06d0a136633a879b0466c35,0x0c6a15abab61e54b7c51811919f9ec5b23114e39,0xa92469de06d27f9c71162b6f6c421c1ac270f7cb,0x0218f83900146f1998273b01d2cc146cec7c2d58,1e+19,Detached Finance,DTF,18,89,78304,157000000000,52203,5988074,deprecated,4420260
7,10764048,2020-08-30 19:18:34,0x876b45b1bfcf26e0810e3092fdb9e49f8ca6e647090656ac32459e726040afbd,7,0x48457b1b8e1faa9bd3927a22983961d578f632bb6c2c98da02ec8f66b9f2d0b6,0x0c6a15abab61e54b7c51811919f9ec5b23114e39,0xa92469de06d27f9c71162b6f6c421c1ac270f7cb,0x9aa735aa93a5a574c1e707216717111f141ae354,1e+19,Detached Finance,DTF,18,63,78322,157000000000,52215,2955265,deprecated,4420259
8,10764048,2020-08-30 19:18:34,0xe6fd71e824082ba2054c994531a627915ee0d6b28e5235e44716f4e45f5a031f,8,0x48457b1b8e1faa9bd3927a22983961d578f632bb6c2c98da02ec8f66b9f2d0b6,0x0c6a15abab61e54b7c51811919f9ec5b23114e39,0xa92469de06d27f9c71162b6f6c421c1ac270f7cb,0x482528ce4059f441e06a63ca3efb8833312cd600,1e+19,Detached Finance,DTF,18,64,78304,157000000000,52203,3007468,deprecated,4420259
9,10764063,2020-08-30 19:24:13,0x1832fec2ed445412d4c3ee5bad50a86c822ebf9d048d1719f1138ca441130267,9,0x4d55782e7145aa90c8f7769aba28a438ecbd8559440b44aabef867da15523e23,0x00eb9c19c63a3c4846000045505519f207f1b99d,0xa92469de06d27f9c71162b6f6c421c1ac270f7cb,0x0c6a15abab61e54b7c51811919f9ec5b23114e39,7.653272115220843e+20,Detached Finance,DTF,18,87,149414,173000000000,110483,4301478,deprecated,4420244
10,10764087,2020-08-30 19:29:24,0xd9a2a8784928338bfaa138efb0d3720ca4941cd25ed12ebfcc8c78913451134e,10,0x86e2e179ce01294af225c63f6453c33ff8f908f49508c878fe9fcae297e50ccd,0x00eb9c19c63a3c4846000045505519f207f1b99d,0xa92469de06d27f9c71162b6f6c421c1ac270f7cb,0x0c6a15abab61e54b7c51811919f9ec5b23114e39,3.697352655052432e+20,Detached Finance,DTF,18,79,149400,157000000000,110471,9647029,deprecated,4420220
11,10764109,2020-08-30 19:32:31,0xa2fa42ac0d3a016de68905490ace8fc870f48f946a887a5856d3186ca15f1e6e,11,0x08756f282e2a534c78194ffea57ec68bd10bd371c2f3700163a5543350c2b528,0x00eb9c19c63a3c4846000045505519f207f1b99d,0xa92469de06d27f9c71162b6f6c421c1ac270f7cb,0x0c6a15abab61e54b7c51811919f9ec5b23114e39,1.9857040727540496e+21,Detached Finance,DTF,18,29,149414,169000000000,110483,1918140,deprecated,4420198
12,10764127,2020-08-30 19:36:08,0xb66504781665c5f2bcac6814db898cea39cb944ccfd8d05795bf7eee06cbafb0,12,0xaab2f38fea6a6fc94a179835a18c963a94d672748307368e6817d8309d9825a8,0x00eb9c19c63a3c4846000045505519f207f1b99d,0xa92469de06d27f9c71162b6f6c421c1ac270f7cb,0x0c6a15abab61e54b7c51811919f9ec5b23114e39,7.577494512225932e+20,Detached Finance,DTF,18,84,149414,109000000000,110483,6433684,deprecated,4420180
13,10764154,2020-08-30 19:41:34,0x6014b38dbc9cfee3320de595472dfccee94b5fa6dc2dbbe4f44ec5fca1c04242,13,0x4e5ba9cacc4bef32e81e5ef11ec9cccad6479748d8be38b75b2d290f80f9f954,0x0c6a15abab61e54b7c51811919f9ec5b23114e39,0x00eb9c19c63a3c4846000045505519f207f1b99d,0x00eb9c19c63a3c4846000045505519f207f1b99d,7.071067811865475e+20,Uniswap V2,UNI-V2,18,88,299064,165000000000,173814,4402405,deprecated,4420153
