,blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,confirmations
0,10756971,2020-08-29 17:19:41,0xdad689aaadc2320e07078f5c0fddf2cdd8e86cbcb232bb49c332f616bf9c80e0,0,0xe349871dd1c95cce6b1057505677dc7f24ab4197d9be31c7135a8dfecd1c9f9e,0x12d4444f96c644385d8ab355f6ddf801315b6254,0x38e4adb44ef08f22f5b5b76a8f0c2d0dcbe7dca1,0x0deb50014bf63339cb1b2ddd686bad9debe5debf,4.672971197309304e+20,Concentrated Voting Power,CVP,18,164,170329,130000000000,129200,7462237,deprecated,4427341
1,10757035,2020-08-29 17:33:30,0x8c42af9074f516e26221b9d4a7ad9a7f9109ae2fbb0a40105e70f52c92499b43,2,0x9039b3ade0890089a884ca11bc3fa7223d5e72f19dd6714d7e863202c9e8ae2f,0x12d4444f96c644385d8ab355f6ddf801315b6254,0x38e4adb44ef08f22f5b5b76a8f0c2d0dcbe7dca1,0x0deb50014bf63339cb1b2ddd686bad9debe5debf,4.334456547146762e+20,Concentrated Voting Power,CVP,18,58,153567,130000000000,114200,1474085,deprecated,4427277
2,10761523,2020-08-30 09:58:23,0x997e3bd0485f5defc035c439f05bfa580d6053e50b78cc4d8d16352822497817,3,0xc124d7517ab0d196e5289f02ef805cc2befc6fb43c87c1ec91c85667d4ce514c,0x12d4444f96c644385d8ab355f6ddf801315b6254,0x38e4adb44ef08f22f5b5b76a8f0c2d0dcbe7dca1,0x0deb50014bf63339cb1b2ddd686bad9debe5debf,4.4877984772419256e+20,Concentrated Voting Power,CVP,18,144,153554,260000000000,114188,6607601,deprecated,4422789
3,10761550,2020-08-30 10:05:25,0x35504fe2f0afaff125ac59ef9547b83c440bfbb4e51946453d1692459c1ffec2,5,0xfea9274c6796bdd370f430f8acb4e749c9558e5b5c8958267de05d0b04643b60,0x12d4444f96c644385d8ab355f6ddf801315b6254,0x38e4adb44ef08f22f5b5b76a8f0c2d0dcbe7dca1,0x0deb50014bf63339cb1b2ddd686bad9debe5debf,4.424232728690784e+20,Concentrated Voting Power,CVP,18,81,153567,260000000000,102184,5229823,deprecated,4422762
4,10761562,2020-08-30 10:08:41,0xf7b1b1c1e4d04eb101c2b1c01dfe7efa4a66d480ea745bf66ad89f3cec0572ff,6,0xb5bd1e5fc1b0dde774a351fe21a5418d4177e7423686a4a7984efe2a0d69cf5a,0x12d4444f96c644385d8ab355f6ddf801315b6254,0x38e4adb44ef08f22f5b5b76a8f0c2d0dcbe7dca1,0x0deb50014bf63339cb1b2ddd686bad9debe5debf,4.347368913609637e+20,Concentrated Voting Power,CVP,18,84,153567,260000000000,114200,5102261,deprecated,4422750
5,10761573,2020-08-30 10:12:25,0x4754cfaba7a62d8e35d285f17e7cde5c0bfbc1d3144a861ce72f7357c5e13adf,7,0x8d9edcfc5b04629fb7633ff7797414f9ed50a4055e14fccc76163feab285d673,0x12d4444f96c644385d8ab355f6ddf801315b6254,0x38e4adb44ef08f22f5b5b76a8f0c2d0dcbe7dca1,0x0deb50014bf63339cb1b2ddd686bad9debe5debf,4.238180727896732e+20,Concentrated Voting Power,CVP,18,217,153567,270000000000,114200,10164661,deprecated,4422739
6,10761617,2020-08-30 10:26:45,0xfdd666bb588ef6c93a83a4650f6bac6b3f04527eae6be604a5e1aadfb8f03253,8,0x0dadc846410571e79733e909edd008eaf90622772fe7a99448f29e9033bfbb21,0x12d4444f96c644385d8ab355f6ddf801315b6254,0x38e4adb44ef08f22f5b5b76a8f0c2d0dcbe7dca1,0x0deb50014bf63339cb1b2ddd686bad9debe5debf,4.316770397448809e+20,Concentrated Voting Power,CVP,18,95,153567,270000000000,102184,5612547,deprecated,4422695
7,10761648,2020-08-30 10:32:51,0xd042f45a74e0d7252e73b8eed14a64319a3f18133eecd91ca5c2ed9f99d8d631,9,0x6980035ff606fccdbdb8be0af55685713cc9dfabba920ed3eab519120d10eb80,0x12d4444f96c644385d8ab355f6ddf801315b6254,0x38e4adb44ef08f22f5b5b76a8f0c2d0dcbe7dca1,0x0deb50014bf63339cb1b2ddd686bad9debe5debf,4.3482179610336906e+20,Concentrated Voting Power,CVP,18,76,153567,260000000000,114200,3464457,deprecated,4422664
8,10761769,2020-08-30 11:02:39,0x4eac46da823d4bf07c151167bc94f956e82b648869b0b8410d6746d28f241adb,10,0x49458ffcf5be3a3a7e4b922100373bd45d99d231e67c409412fb2ff56592ae01,0x12d4444f96c644385d8ab355f6ddf801315b6254,0x38e4adb44ef08f22f5b5b76a8f0c2d0dcbe7dca1,0x0deb50014bf63339cb1b2ddd686bad9debe5debf,4.537660750860749e+20,Concentrated Voting Power,CVP,18,171,140140,170000000000,114200,9965140,deprecated,4422543
9,10762342,2020-08-30 13:05:53,0xae64540a3d73add294aed90ea953f15046f74aa523ee989bacd6e7daf8cf1279,11,0xa0128f4b5b4d6ce73d71243ff746b60bce0617aa5c7e9292732400ae5a57d9fa,0x12d4444f96c644385d8ab355f6ddf801315b6254,0x38e4adb44ef08f22f5b5b76a8f0c2d0dcbe7dca1,0x0deb50014bf63339cb1b2ddd686bad9debe5debf,4.808534306585608e+20,Concentrated Voting Power,CVP,18,121,153567,180000000000,114200,5926406,deprecated,4421970
