,blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,confirmations
0,10761058,2020-08-30 08:16:03,0x04240bd66a4b02dcc508f5bc306964c4cb3d4ff12ea594af93e4fded5ce7023f,2,0xcf1c6f027a5c26dbe2d13d18a587e536e4522ee8b9e630fbb4baeb953cf91d09,0x608903534527b0623fe0b0bd81a2f29bc5b50d32,0xa54c67bd320da4f9725a6f585b7635a0c09b122e,0x1102514bce64fbc21d62c0e76509d09aea67afa6,73737.0,TimeMiner,TIME,6,171,203562,255000000000,158939,9391662,deprecated,4423464
1,10881031,2020-09-17 17:20:31,0x9bebd090ef4268a587b7edb20084633e31c13956bb913b77e0adebad3c15314f,3,0x120a328eb77a655ad1d0efe3ccd8665fde7baa5a4166b3f560f11fba9a28f0a8,0x090d4613473dee047c3f2706764f49e0821d256e,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,0x1102514bce64fbc21d62c0e76509d09aea67afa6,4e+20,Uniswap,UNI,18,104,90040,405000000000,81855,4570790,deprecated,4303491
2,10885427,2020-09-18 09:49:54,0x7feae2018524ec1b810ea58579c73bba21533c041fee5a0733850a9e75878628,5,0x9aece69f57988014e4f83a93c922153d39eac88a0aa8ebc7ee718ec77890b9fe,0x1102514bce64fbc21d62c0e76509d09aea67afa6,0xa54c67bd320da4f9725a6f585b7635a0c09b122e,0x608903534527b0623fe0b0bd81a2f29bc5b50d32,254333.0,TimeMiner,TIME,6,125,210349,210000000000,150451,7653249,deprecated,4299095
3,10885427,2020-09-18 09:49:54,0x7feae2018524ec1b810ea58579c73bba21533c041fee5a0733850a9e75878628,5,0x9aece69f57988014e4f83a93c922153d39eac88a0aa8ebc7ee718ec77890b9fe,0x0000000000000000000000000000000000000000,0x608903534527b0623fe0b0bd81a2f29bc5b50d32,0x1102514bce64fbc21d62c0e76509d09aea67afa6,12189064760.0,Uniswap V2,UNI-V2,18,125,210349,210000000000,150451,7653249,deprecated,4299095
4,10885918,2020-09-18 11:38:56,0xc873f71168ebbb606026f64265e0db9c54767d8bb763d15fb7395cfc289b7709,8,0xbcd999a5079a8502b680b7052c65dab211031326d830f38f8fd00d888aa01e09,0x1102514bce64fbc21d62c0e76509d09aea67afa6,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,0xd3d2e2692501a5c9ca623199d38826e513033a17,1.5336018923361695e+20,Uniswap,UNI,18,209,184632,200000000000,134848,10061886,deprecated,4298604
5,10885918,2020-09-18 11:38:56,0xc873f71168ebbb606026f64265e0db9c54767d8bb763d15fb7395cfc289b7709,8,0xbcd999a5079a8502b680b7052c65dab211031326d830f38f8fd00d888aa01e09,0x0000000000000000000000000000000000000000,0xd3d2e2692501a5c9ca623199d38826e513033a17,0x1102514bce64fbc21d62c0e76509d09aea67afa6,1.008007210832955e+19,Uniswap V2,UNI-V2,18,209,184632,200000000000,134848,10061886,deprecated,4298604
6,10894700,2020-09-19 19:55:39,0xfa4548d26dc4a372c93b5e32c6c29919da342c3773577098aec3e0b30bb08da8,9,0x8edb3d5579d36e6dd57d8959fa737b901f0fc22341d5d1315438009cb6de0466,0xa478c2975ab1ea89e8196811f51a7b7ade33eb11,0x6b175474e89094c44da98b954eedeac495271d0f,0x1102514bce64fbc21d62c0e76509d09aea67afa6,7.597325244062289e+20,Dai Stablecoin,DAI,18,65,152541,253000000000,125298,6941617,deprecated,4289822
7,10895022,2020-09-19 21:08:36,0x7fdf2497c398ef71c454641ccb7e0018476e7ea106fe7b10f41e18f69912c86b,11,0xcdd6e0e5bc71e8655c69f5beb248f646f9b424dfd497cb9c5154253a47618835,0x1102514bce64fbc21d62c0e76509d09aea67afa6,0x6b175474e89094c44da98b954eedeac495271d0f,0xa478c2975ab1ea89e8196811f51a7b7ade33eb11,6.85304049349916e+20,Dai Stablecoin,DAI,18,6,193586,125000000000,150490,434806,deprecated,4289500
8,10895022,2020-09-19 21:08:36,0x7fdf2497c398ef71c454641ccb7e0018476e7ea106fe7b10f41e18f69912c86b,11,0xcdd6e0e5bc71e8655c69f5beb248f646f9b424dfd497cb9c5154253a47618835,0x0000000000000000000000000000000000000000,0xa478c2975ab1ea89e8196811f51a7b7ade33eb11,0x1102514bce64fbc21d62c0e76509d09aea67afa6,2.9897857477561872e+19,Uniswap V2,UNI-V2,18,6,193586,125000000000,150490,434806,deprecated,4289500
9,10918634,2020-09-23 11:35:16,0x5e69b3504531a232a4d79ff8f24911f5153d271c6b25a3326eae7cbbbbec8026,13,0x8e8b9041a1c60038312409f33a3c0b4b98e29773fded1c56814d737214900daa,0x1102514bce64fbc21d62c0e76509d09aea67afa6,0x6b175474e89094c44da98b954eedeac495271d0f,0xae461ca67b15dc8dc81ce7615e0320da1a9ab8d5,7.442847505631302e+19,Dai Stablecoin,DAI,18,29,196739,100000000000,165492,1930300,deprecated,4265888
