,blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,confirmations
0,5589867,2018-05-10 15:01:32,0x3949871bd688045cbfdf5f2b67858a6b24bdd65dd6de774742b98a402cc538d9,64660,0x4d6ecd87b7f585ac187b87145b7d93d5193c9e791590a81e70b845084fb8e5ce,0x8958618332df62af93053cb9c535e26462c959b0,0x419d0d8bdd9af5e606ae2232ed285aff190e711b,0x113c55cf6ca7068ef9ce675853e3ead702a3d3f9,688655973884.0,FunFair,FUN,8,44,100000,24000000000,59063,1774650,deprecated,9593843
1,6709704,2018-11-15 15:12:24,0xdb973e73cf4cdd0e9f7bd65249cf02a4cc86af7bc94c20ed2ccd6e01dbbdd4b0,0,0x400e028703cb82be49352da85bd20718574c55dc2e7bc4dfb7b50675fe5f168f,0x113c55cf6ca7068ef9ce675853e3ead702a3d3f9,0x419d0d8bdd9af5e606ae2232ed285aff190e711b,0x5b6556f2ed8e729bc484782422a460672d8d15cc,688655973884.0,FunFair,FUN,8,186,59175,41000000000,44175,7960393,deprecated,8474006
2,10775017,2020-09-01 11:29:31,0x1c567a62681dab4fd6129d84a227f109da83ad6372d0a0bbe50817b34432b97e,5,0xd98a184a4066a0694555cc06d38d1de96645b7a9efb8d207ad67c435bec60126,0x3da1313ae46132a397d90d95b1424a9a7e3e0fce,0xd533a949740bb3306d119cc777fa900ba034cd52,0x113c55cf6ca7068ef9ce675853e3ead702a3d3f9,2.9448155889208558e+20,Curve DAO Token,CRV,18,156,164925,459000000000,124363,9845227,deprecated,4408693
3,10775748,2020-09-01 14:11:22,0x574a10844b919a1709f5a410c28dedacd80e7de663b04a2be88599d5f899e4f9,7,0xd51250dd5900396a4a4c457eb6533afd7ec818b6763fb51b9556c77086a086d8,0x0f8e31593857e182fab1b7bf38ae269ece69f4e1,0x12b19d3e2ccc14da04fae33e63652ce469b3f2fd,0x113c55cf6ca7068ef9ce675853e3ead702a3d3f9,7354138217941678.0,GRID,GRID,12,64,165841,477000000000,125184,4101120,deprecated,4407962
4,10775930,2020-09-01 14:51:39,0x92592ccd1fa5b3fafd6b3f89ca8b635888047a900af8829cace611ffe475d09d,10,0x6997bcd16e377275cc8cf4037f5d565da8896c99a615806ca2f13c212b372d22,0x3e66b66fd1d0b02fda6c811da9e0547970db2f21,0x45f24baeef268bb6d63aee5129015d69702bcdfa,0x113c55cf6ca7068ef9ce675853e3ead702a3d3f9,2.1018162637352055e+19,YFValue,YFV,18,67,356484,469000000000,252084,7679430,deprecated,4407780
5,10775980,2020-09-01 15:04:31,0x97828db4faa66ae3e5cd6808ff461178fa8aea758cff8fa8396750980d9f680b,11,0xca1be09051a726d94c4a45f2378385a872554958cab17f7a7847522b13515461,0x3e66b66fd1d0b02fda6c811da9e0547970db2f21,0x0ae055097c6d159879521c384f1d2123d1f195e6,0x113c55cf6ca7068ef9ce675853e3ead702a3d3f9,6.514354314327742e+19,STAKE,STAKE,18,81,232397,478000000000,170597,6839946,deprecated,4407730
6,10776062,2020-09-01 15:22:00,0x9cbb67292208cacbd5025f4b01b4e81142bc04cf31e382f77143431cbfa51925,12,0x96a05311103878158c221d58810948639d4ca37d7e81c6fee0045c7120c60028,0x12d4444f96c644385d8ab355f6ddf801315b6254,0x38e4adb44ef08f22f5b5b76a8f0c2d0dcbe7dca1,0x113c55cf6ca7068ef9ce675853e3ead702a3d3f9,1.5277124502151073e+20,Concentrated Voting Power,CVP,18,144,170329,477000000000,129200,9001508,deprecated,4407648
7,10777495,2020-09-01 20:30:37,0xc53aa710954eb4bcd2f72c162d157c9973232578f6fe9af07a96f43ba07dd70f,13,0xecca855511354a0eec4637515646894d27c3546cca4b6c22c59f10e053b68768,0xd583d0824ed78767e0e35b9bf7a636c81c665aa8,0xa8b919680258d369114910511cc87595aec0be6d,0x113c55cf6ca7068ef9ce675853e3ead702a3d3f9,1.427662981394812e+21,LUKSO,LYXe,18,191,188731,479000000000,145668,7864931,deprecated,4406215
8,10790597,2020-09-03 20:53:34,0x50d9786ec784241eacd3bd35afe2e1333ae7c77e6bd1b89835c2dca3d4dedd11,21,0xc7a45d2a25ed2df05bb08f6f0eb03fe4332ba460e175cd811e2278ce5f7a7844,0x0f8e31593857e182fab1b7bf38ae269ece69f4e1,0x12b19d3e2ccc14da04fae33e63652ce469b3f2fd,0x113c55cf6ca7068ef9ce675853e3ead702a3d3f9,2128083141173934.0,GRID,GRID,12,50,149079,275000000000,110184,8048385,deprecated,4393113
9,10790610,2020-09-03 20:55:37,0x5ef69ab095477c8b26dc5499561796e4d9bb13b10faff72f819f8d9e63d3a0e7,22,0xaa6290883a36f23db9c4b56041d112ee273d37348c9f078d0cc65de45f7a522e,0x0f8e31593857e182fab1b7bf38ae269ece69f4e1,0x12b19d3e2ccc14da04fae33e63652ce469b3f2fd,0x113c55cf6ca7068ef9ce675853e3ead702a3d3f9,8653073632555414.0,GRID,GRID,12,138,149079,250000000000,110184,7891291,deprecated,4393100
