,blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,confirmations
0,10756825,2020-08-29 16:47:41,0xa1e6ebd02dfcc565cdced1939b6edf49f1402d458d4524d04a62516360b384b5,0,0xa1073bc4c45c5567463a69c287c7b17a74fe307d76bd7f9c3fa7e116d525e0ad,0x583cadd830374bb5c1ec8e1b648e0294cc1e01f1,0xc0134b5b924c2fca106efb33c45446c466fbe03e,0x13af0bcef44bb79eb362b9fdce618b3d56872512,1.40787694230098e+21,aleph.im,ALEPH,18,127,165508,108900000000,124886,9794004,deprecated,4427728
1,10793602,2020-09-04 07:42:35,0x5702f265370f164587c34aab7fa9c370bf586bbd7bb3397e64616b4addbcf894,572512,0x31ac897e4bc1b699ae19f8cac4dea95fdbc3e2032725222c57f0c0886745f383,0x46340b20830761efd32832a74d7169b29feb9758,0xdac17f958d2ee523a2206206994597c13d831ec7,0x13af0bcef44bb79eb362b9fdce618b3d56872512,241801330.0,Tether USD,USDT,6,148,200000,200000000000,56209,7991527,deprecated,4390951
2,10813951,2020-09-07 10:27:04,0x14a1cdc40d4f9866e684a4b34c6341880aad04aff7848af05beb37ff27e408d1,2,0x3b555b9679e67c37a2a500570b38ba561492a94a18c1ea03fbb2ca8b5f31e729,0x13af0bcef44bb79eb362b9fdce618b3d56872512,0xdac17f958d2ee523a2206206994597c13d831ec7,0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852,241801330.0,Tether USD,USDT,6,63,198519,84000000000,143187,4102565,deprecated,4370602
3,10813951,2020-09-07 10:27:04,0x14a1cdc40d4f9866e684a4b34c6341880aad04aff7848af05beb37ff27e408d1,2,0x3b555b9679e67c37a2a500570b38ba561492a94a18c1ea03fbb2ca8b5f31e729,0x583cadd830374bb5c1ec8e1b648e0294cc1e01f1,0xc0134b5b924c2fca106efb33c45446c466fbe03e,0x13af0bcef44bb79eb362b9fdce618b3d56872512,7.334855131351586e+20,aleph.im,ALEPH,18,63,198519,84000000000,143187,4102565,deprecated,4370602
4,10820955,2020-09-08 12:19:45,0x30c21a54f11ff3ad0907aa30cd7ae3b871ada9328e98f8ec5ad491ae8a7ab3b8,593716,0xb3c40490bacfe8098c72a33abd9417451e54265b76b5fe6689747b33ca987a83,0x46340b20830761efd32832a74d7169b29feb9758,0xdac17f958d2ee523a2206206994597c13d831ec7,0x13af0bcef44bb79eb362b9fdce618b3d56872512,1166880000.0,Tether USD,USDT,6,117,200000,83000000000,56197,6667879,deprecated,4363598
5,10821047,2020-09-08 12:38:56,0x4b7d51201b5344c6d131bccf813ee52eb18c46637ba51dfd39fdf0ecc9987f86,3,0xfa4174cff2d10c5f157d5e4a4a200dcad81621e0715438995f188d76e7292685,0x13af0bcef44bb79eb362b9fdce618b3d56872512,0xdac17f958d2ee523a2206206994597c13d831ec7,0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852,1166880000.0,Tether USD,USDT,6,117,171873,72000000000,143187,10588804,deprecated,4363506
6,10821047,2020-09-08 12:38:56,0x4b7d51201b5344c6d131bccf813ee52eb18c46637ba51dfd39fdf0ecc9987f86,3,0xfa4174cff2d10c5f157d5e4a4a200dcad81621e0715438995f188d76e7292685,0x583cadd830374bb5c1ec8e1b648e0294cc1e01f1,0xc0134b5b924c2fca106efb33c45446c466fbe03e,0x13af0bcef44bb79eb362b9fdce618b3d56872512,5.609178240456037e+21,aleph.im,ALEPH,18,117,171873,72000000000,143187,10588804,deprecated,4363506
7,10881508,2020-09-17 19:02:39,0x223c16cdf86b49a4ccc7e1418089853aad478e36334e7094b51ebfe3e35ec19f,5,0x97c64f5da8d12f0ee45113fb1f955f784499c530f1ed8cb8f0d23ad67f3fbb73,0x090d4613473dee047c3f2706764f49e0821d256e,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,0x13af0bcef44bb79eb362b9fdce618b3d56872512,4e+20,Uniswap,UNI,18,263,89972,400000000000,81793,12309611,deprecated,4303045
8,10940151,2020-09-26 19:42:34,0x08b923129535fa4bb7242e09e97a0805cd26c629d90e0f013410de7bacd9d5b6,33,0x190f13685e2c4501cff6c4e3af75097fc2f904aec1623088c8a0fa2e2cb2acc5,0xd152f549545093347a162dce210e7293f1452150,0x27702a26126e0b3702af63ee09ac4d1a084ef628,0x13af0bcef44bb79eb362b9fdce618b3d56872512,7.75054069589217e+21,aleph.im v2,ALEPH,18,7,11416784,76577490775,11397393,12289662,deprecated,4244402
9,10957063,2020-09-29 11:12:50,0x346b9dcf98fc1544ee83b965627acf7a39cd209cbd15984a5a2bc9ecf4de1871,11,0xcdfbc0463492e0c2fb099c39b2dec04bb6ed1b3a580dc17a8ce9301ee0f5cd9e,0x05f21e62952566cefb77f5153ec6b83c14fb6b1d,0xaf9f549774ecedbd0966c52f250acc548d3f36e5,0x13af0bcef44bb79eb362b9fdce618b3d56872512,2.891130322165949e+21,Rio Fuel Token,RFuel,18,37,200000,175000000000,125345,2411957,deprecated,4227490
10,11319737,2020-11-24 07:47:07,0x95228b435e657e1a2b503709488c33eb205e6d438ebfebc4edd33a00d42c96ea,14,0xb608b9fe3165e199206870a3de7015ee088393bae010abdd8007958b260e1d81,0x13af0bcef44bb79eb362b9fdce618b3d56872512,0xaf9f549774ecedbd0966c52f250acc548d3f36e5,0x05f21e62952566cefb77f5153ec6b83c14fb6b1d,2.891130322165949e+21,Rio Fuel Token,RFuel,18,163,224515,81000000000,178517,9913676,deprecated,3864816
11,11319737,2020-11-24 07:47:07,0x95228b435e657e1a2b503709488c33eb205e6d438ebfebc4edd33a00d42c96ea,14,0xb608b9fe3165e199206870a3de7015ee088393bae010abdd8007958b260e1d81,0xf043c39a106db6b58c76995f30ba35fd211c3b76,0x95a4492f028aa1fd432ea71146b433e7b4446611,0x13af0bcef44bb79eb362b9fdce618b3d56872512,3.463454089043888e+20,APY Governance Token,APY,18,163,224515,81000000000,178517,9913676,deprecated,3864816
12,11348334,2020-11-28 17:13:49,0xd110f3156ce011bf4ab0b48d904b40a68957b2b33259c7f55a541db9548989a7,222820,0x602d25fed916ae894231b70793fe1b86677c3ff6305f4547202e4b4d281c66c9,0x986a2fca9eda0e06fbf7839b89bfc006ee2a23dd,0x9aeb50f542050172359a0e1a25a9933bc8c01259,0x13af0bcef44bb79eb362b9fdce618b3d56872512,107400000000.0,oinfinance,OIN,8,165,114140,37400000000,57070,11761957,deprecated,3836219
13,11348395,2020-11-28 17:25:43,0x2221b09131cd35e868ac288833babd69d375b888047fb04ba4e70fc14ba0ed3c,16,0x1cecd583226f25598163966e00a70e2d687eaebe5a95f7c8bdb91b3be82851ff,0x13af0bcef44bb79eb362b9fdce618b3d56872512,0x9aeb50f542050172359a0e1a25a9933bc8c01259,0x54d16d35ca16163bc681f39ec170cf2614492517,107400000000.0,oinfinance,OIN,8,100,225343,18000000000,179300,8122763,deprecated,3836158
14,11348395,2020-11-28 17:25:43,0x2221b09131cd35e868ac288833babd69d375b888047fb04ba4e70fc14ba0ed3c,16,0x1cecd583226f25598163966e00a70e2d687eaebe5a95f7c8bdb91b3be82851ff,0x1bfffb738d69167d5592160a47d5404a3cf5a846,0x16980b3b4a3f9d89e33311b5aa8f80303e5ca4f8,0x13af0bcef44bb79eb362b9fdce618b3d56872512,463928635.0,KIRA Network,KEX,6,100,225343,18000000000,179300,8122763,deprecated,3836158
15,11374673,2020-12-02 18:14:57,0xa435d2e7e4001e184ad049454ac81ce68cd4d56b043b2ad4d1fa9af7150439ce,933882,0x28d30f4c7f61323966cec34632052e29daf48c8d4352660d0f30c6420e766c80,0x46340b20830761efd32832a74d7169b29feb9758,0x514910771af9ca656af840dff83e8264ecf986ca,0x13af0bcef44bb79eb362b9fdce618b3d56872512,5.97e+19,ChainLink Token,LINK,18,81,200000,32000000000,51589,6075136,deprecated,3809880
16,11374694,2020-12-02 18:18:53,0x6ac1f31879b4fcba284930d2e905d0a3c738e6e45400104750e81560a49f7569,18,0xb21bf816632f483bc1040bf6f566341a461624b003df0dc86c2720895f258ed3,0x13af0bcef44bb79eb362b9fdce618b3d56872512,0x514910771af9ca656af840dff83e8264ecf986ca,0xa2107fa5b38d9bbd2c461d6edf11b11a50f6b974,5.97e+19,ChainLink Token,LINK,18,91,297024,28000000000,243350,10659513,deprecated,3809859
17,11374694,2020-12-02 18:18:53,0x6ac1f31879b4fcba284930d2e905d0a3c738e6e45400104750e81560a49f7569,18,0xb21bf816632f483bc1040bf6f566341a461624b003df0dc86c2720895f258ed3,0x70258aa9830c2c84d855df1d61e12c256f6448b4,0x0ba45a8b5d5575935b8158a88c631e9f9c95a2e5,0x13af0bcef44bb79eb362b9fdce618b3d56872512,3.064656448554382e+19,Tellor Tributes,TRB,18,91,297024,28000000000,243350,10659513,deprecated,3809859
18,11473440,2020-12-17 22:47:04,0xc060e9a9e98727f0e43ea1613c3411119f25833ad0ae05aac598da7e4d278e09,995976,0x588f968e09239e80de7a32d5c2e195c4cdc20de169cc7fb3d93b7113bfbd6639,0x46340b20830761efd32832a74d7169b29feb9758,0xdac17f958d2ee523a2206206994597c13d831ec7,0x13af0bcef44bb79eb362b9fdce618b3d56872512,608900000.0,Tether USD,USDT,6,191,220000,82000000000,56209,10712550,deprecated,3711113
19,11477298,2020-12-18 12:53:07,0x433c679f685caf964c4f0e412002e09e0cc7c35b4966c88b209611bd6b72c1b2,19,0x627c897e4c2d81c6bf1ca9bf12ce78926d6d90a672f341afc5811abbaae6e8c4,0x13af0bcef44bb79eb362b9fdce618b3d56872512,0xdac17f958d2ee523a2206206994597c13d831ec7,0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852,608900000.0,Tether USD,USDT,6,152,187767,51000000000,145393,8659727,deprecated,3707255
