,blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,confirmations
0,10784935,2020-09-02 23:57:49,0x57f94a114032763c2b796c3bb2be0842a6a45577cae964476dece5ba76a3d948,0,0xb8ce201a050bbefea390d2a973d2feb8847791d8f79b7855d3ea13d4d235835e,0xb56e8c046cfdd2e5ec7e0be0b1b3c46f58d1f3b6,0x88093840aad42d2621e1a452bf5d7076ff804d61,0x17b8d80fa181521ca3a736af901d079dcad40c92,1922545700.0,Soft Yearn Finance,SYFI,9,73,154099,242000000000,126691,8260427,deprecated,4399153
1,10844608,2020-09-12 03:12:06,0x43b7113b73ddd21c6c188022eecd30a8e8adf8448e64a5e971527bc2598bc3a1,5,0x14c4c949624d168a1e9d81c489e952307d8528f2764842c1b2c445480e3aa80f,0xd152f549545093347a162dce210e7293f1452150,0x322124122df407b0d0d902cb713b3714fb2e2e1f,0x17b8d80fa181521ca3a736af901d079dcad40c92,1922545700.0,Soft Yearn Finance,SYFI,9,2,12435907,115000000000,12401487,12443487,deprecated,4339480
2,10868594,2020-09-15 19:36:53,0x0dc30e48a8e72ab6c1450571ad5436d57f0cc384689f53facadd4d1c27aa8334,5,0x15d557c264bfc7c4aa964f7cea8ecfc55b161123c186b8d6c8d11fa13054b071,0x17b8d80fa181521ca3a736af901d079dcad40c92,0x322124122df407b0d0d902cb713b3714fb2e2e1f,0x1164447f948d33f69120a8ae50e43a9309d61336,1922545700.0,Soft Yearn Finance,SYFI,9,100,169462,103000000000,113775,12140189,deprecated,4315494
3,10869158,2020-09-15 21:45:31,0xb3e73692b20c6d3b918d88f2b82211b98fe62e7b49f9725087a8a960a884cd00,6,0xa9f6d79ecdf3a107daa417ea6432a9badaebf24b39e76c9e1cd3bee9400fa0b7,0xd0b9bd17279e4305db1b19d3bbdffa86679f6293,0x15bcdfad12498de8a922e62442ae4cc4bd33bd25,0x17b8d80fa181521ca3a736af901d079dcad40c92,3.4254252631348104e+20,Walletreum,WALT,18,102,217881,104000000000,168542,8039724,deprecated,4314930
4,11003911,2020-10-06 18:57:18,0x2d7bfa0376daee2bf28ab6574337074a5a110ba0b54dbc54408998f8774cd821,5393284,0x65ed20a1482442aebc087c03dcef9d29a65de620168a7dd3ecfc6399bc50a556,0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,0xdac17f958d2ee523a2206206994597c13d831ec7,0x17b8d80fa181521ca3a736af901d079dcad40c92,996000000.0,Tether USD,USDT,6,88,207128,93000000000,56197,7112289,deprecated,4180177
5,11004348,2020-10-06 20:32:32,0xabd690120e95ecfda724f00daa4c7b9e614c594cb7bbc99bf822a3c7e72e0837,8,0xdfd0316fde9d96cf3294966b8da09b62ec3c1f0a8a34aec83dfd9238abdb80ac,0x17b8d80fa181521ca3a736af901d079dcad40c92,0xdac17f958d2ee523a2206206994597c13d831ec7,0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852,500000000.0,Tether USD,USDT,6,44,201391,217000000000,172585,4872526,deprecated,4179740
6,11004348,2020-10-06 20:32:32,0xabd690120e95ecfda724f00daa4c7b9e614c594cb7bbc99bf822a3c7e72e0837,8,0xdfd0316fde9d96cf3294966b8da09b62ec3c1f0a8a34aec83dfd9238abdb80ac,0x3845a342a030ca67bd16ddf739b1a67fe5b3f8f9,0x5d762f76b9e91f71cc4f94391bdfe6333db8519c,0x17b8d80fa181521ca3a736af901d079dcad40c92,1.3293189306860802e+19,IYF.finance,IYF,18,44,201391,217000000000,172585,4872526,deprecated,4179740
7,11004515,2020-10-06 21:09:06,0x3b8aeb90a54200fc51753a7affdb984404ba70fa81908b2cb5fe6a1b9fd8ded8,10,0x144a5b1e46376d7190ff10525a3ddfc59e48a7c84b5167513d042a2786e241c3,0x17b8d80fa181521ca3a736af901d079dcad40c92,0xdac17f958d2ee523a2206206994597c13d831ec7,0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852,496000000.0,Tether USD,USDT,6,112,184629,182000000000,142585,10367489,deprecated,4179573
8,11004515,2020-10-06 21:09:06,0x3b8aeb90a54200fc51753a7affdb984404ba70fa81908b2cb5fe6a1b9fd8ded8,10,0x144a5b1e46376d7190ff10525a3ddfc59e48a7c84b5167513d042a2786e241c3,0x3845a342a030ca67bd16ddf739b1a67fe5b3f8f9,0x5d762f76b9e91f71cc4f94391bdfe6333db8519c,0x17b8d80fa181521ca3a736af901d079dcad40c92,1.197770528181798e+19,IYF.finance,IYF,18,112,184629,182000000000,142585,10367489,deprecated,4179573
9,11004662,2020-10-06 21:38:30,0x87b691da290c04134ae10b884b2d3588cc0d553f92f89f027e359177a18d51bd,12,0xdd9e8557684eec5167899e0ea91ddea6085f5d1a332c172a5d840852e3a169ef,0x17b8d80fa181521ca3a736af901d079dcad40c92,0x5d762f76b9e91f71cc4f94391bdfe6333db8519c,0x3845a342a030ca67bd16ddf739b1a67fe5b3f8f9,1.5e+19,IYF.finance,IYF,18,45,209497,116000000000,180046,4121835,deprecated,4179426
