,blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,confirmations
0,9619186,2020-03-06 18:05:45,0x6b79137e01a4164fdb593957c00b9ae6040153f2f58b90b41c998aa8b8fd0847,2015613,0x31039be8cd7190165a081d6192d28e0e9bfb027192a6abc1198dc5343ebc6337,0x0681d8db095565fe8a346fa0277bffde9c0edbbf,0x0f5d2fb29fb7d3cfee444a200298f468908cc942,0x1919dc4558b0b5a47654dcaa448436f2952c967b,2.4e+19,Decentraland,MANA,18,5,207128,40000000000,52437,228223,deprecated,5565414
1,9619219,2020-03-06 18:13:33,0x07bde30b40bd43ec045b1f72431d429410884096885fdb98e51e3e5cae08549f,2038601,0xca5e92d2413817e324b6ede4c45491aba0e237c723525f0ee29f411ffffca18d,0xd551234ae421e3bcba99a0da6d736074f22192ff,0x0f5d2fb29fb7d3cfee444a200298f468908cc942,0x1919dc4558b0b5a47654dcaa448436f2952c967b,4.26501e+20,Decentraland,MANA,18,6,207128,40000000000,37449,197916,deprecated,5565381
2,9619317,2020-03-06 18:34:19,0xfb8ac50d9718dc0dc293b64ca18488b456365ee606b30856bc5c304593a450a8,10,0x8e51d01861c3b6563434af874f29672b662988bbc416f488885af6cc7788111a,0x1919dc4558b0b5a47654dcaa448436f2952c967b,0x0f5d2fb29fb7d3cfee444a200298f468908cc942,0x6843291bd86857d97f0d269e698939fb10d60772,1e+20,Decentraland,MANA,18,6,433392,20000000000,269728,400937,deprecated,5565283
3,9653236,2020-03-11 23:31:05,0x4f84fc2476ef3fe2fb6039111894031009485d2364842383e9463bacf06a3c1b,9457,0x8ac1fded1ed40946a472821e7931d0ca265b135435cea9b0024c6c68827d6d38,0xc12d1c73ee7dc3615ba4e37e4abfdbddfa38907e,0xc12d1c73ee7dc3615ba4e37e4abfdbddfa38907e,0x1919dc4558b0b5a47654dcaa448436f2952c967b,88888800000000.0,KickToken,KICK,8,16,7000000,2000000000,2727934,3342535,deprecated,5531364
4,10695719,2020-08-20 07:30:34,0xfdab67fec8699fe94317cf43cd740e5f976720d6d0e08ecc002e1d02b138f0fa,13,0xcbff7a0362bab0b75fc16c3b4a8adb7ddd689dffc5f93e7dc1fdc85f7f05e679,0x4ddc2d193948926d02f9b1fe9e1daa0718270ed5,0x4ddc2d193948926d02f9b1fe9e1daa0718270ed5,0x1919dc4558b0b5a47654dcaa448436f2952c967b,499548223.0,Compound Ether,cETH,8,189,242020,108000000000,135981,12311399,deprecated,4488881
5,10762161,2020-08-30 12:26:36,0xcfa4df995361857fd27dfe1af818e37d4414c3225c9bb8f2aaa02fed24bc092e,16,0x2b88f3acea54cd68e3c4f04b450cf7abe3df63bfc2614ca715c9a8eef38f5ee4,0x1919dc4558b0b5a47654dcaa448436f2952c967b,0x0f5d2fb29fb7d3cfee444a200298f468908cc942,0x11b1f53204d03e5529f09eb3091939e4fd8c9cf3,3.50501e+20,Decentraland,MANA,18,18,216756,129000000000,171533,2576808,deprecated,4422439
6,10762161,2020-08-30 12:26:36,0xcfa4df995361857fd27dfe1af818e37d4414c3225c9bb8f2aaa02fed24bc092e,16,0x2b88f3acea54cd68e3c4f04b450cf7abe3df63bfc2614ca715c9a8eef38f5ee4,0xb6909b960dbbe7392d405429eb2b3649752b4838,0x0d8775f648430679a709e98d2b0cb6250d2887ef,0x1919dc4558b0b5a47654dcaa448436f2952c967b,1.0211699743519755e+20,BAT,BAT,18,18,216756,129000000000,171533,2576808,deprecated,4422439
7,10805645,2020-09-06 03:57:44,0x8f1107ef5dc19c77c0db50ec68ccea9447c8321ad5201febe5ac38dfbb3d4a21,17,0x04d340a1b343556d38af3a58bda28e2e9e3f43df6d5f455254632a6aa01a7e3d,0xb6909b960dbbe7392d405429eb2b3649752b4838,0x0d8775f648430679a709e98d2b0cb6250d2887ef,0x1919dc4558b0b5a47654dcaa448436f2952c967b,7.103488134568755e+20,BAT,BAT,18,41,149487,83846412659,110549,10129113,deprecated,4378955
8,10805808,2020-09-06 04:38:05,0x9bda3ccaeb036a71f63f84db01f1c0c925e152b5d45316a3dad03f337e1f8204,20,0xfb61f6672549a099e21eda9fe3a71760fa1967a469112ebe0cb300f9865b0cf2,0x1919dc4558b0b5a47654dcaa448436f2952c967b,0x0d8775f648430679a709e98d2b0cb6250d2887ef,0x6c8c6b02e7b2be14d4fa6022dfd6d75921d90e4e,8.124658108920731e+20,BAT,BAT,18,136,302020,84000000000,187786,9274959,deprecated,4378792
9,10805808,2020-09-06 04:38:05,0x9bda3ccaeb036a71f63f84db01f1c0c925e152b5d45316a3dad03f337e1f8204,20,0xfb61f6672549a099e21eda9fe3a71760fa1967a469112ebe0cb300f9865b0cf2,0x6c8c6b02e7b2be14d4fa6022dfd6d75921d90e4e,0x6c8c6b02e7b2be14d4fa6022dfd6d75921d90e4e,0x1919dc4558b0b5a47654dcaa448436f2952c967b,3979294745158.0,Compound Basic Attention Token,cBAT,8,136,302020,84000000000,187786,9274959,deprecated,4378792
