,blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,confirmations
0,8310774,2019-08-08 15:29:54,0x65fb40566b7e318aa8ce96763f29f223aeb86e276a403c64d59165f59846d3f4,518,0xbe9de6bc127e5f2a1b95556b2cedc1fde0fe4bd000aa5b4ed669594b05cc26d6,0xa4eff1f24a45ae0980364557c21f1c448de1aae9,0x4c1c4957d22d8f373aed54d0853b090666f6f9de,0x20f8f5c313a64a9d408814561917ea43ca4ff01b,1e+18,Silverway,SLV,18,44,1500000,1500000000,1176663,7537930,deprecated,6873915
1,8595505,2019-09-21 23:14:22,0xa0cf409f98b7e24fb69985240c18f616325cba302930b5a2795bfadb3bf0c9ba,120,0x7371b1790b9176d84b9639f8a7e71e341990679dc62baaa2eab0f22f34f9a0dc,0xe5ccfca59acd6a3dea18a97a8d12a1fc5be09b13,0xbddab785b306bcd9fb056da189615cc8ece1d823,0x20f8f5c313a64a9d408814561917ea43ca4ff01b,5.037782114986172e+20,Ebakus,EBK,18,64,699329,5000000000,695019,9188853,deprecated,6589184
2,9133402,2019-12-20 01:47:39,0x6087ce97a76cde19dbf2e04e3dfbc5a12a589bbd5e4d2b1ae81537b35eb4d9da,1389,0xcfa1e5000168e48c8f2f6f839e06ff38b1cc08f1d7363ba9a849049ef5b98892,0xc12d1c73ee7dc3615ba4e37e4abfdbddfa38907e,0xc12d1c73ee7dc3615ba4e37e4abfdbddfa38907e,0x20f8f5c313a64a9d408814561917ea43ca4ff01b,88888800000000.0,KickToken,KICK,8,52,7000000,4000000000,2728018,5533024,deprecated,6051287
3,10750506,2020-08-28 17:24:01,0x66d7d98623cdf2205dbfc59195b0b96520639d4d6745c0d717347eb527ccb2bf,35,0x3dcc433f55fe44f5298559c6aadcab234762f4434cf15e70ab193e0a9663e825,0xb2fba7f4384c517e1524846aba89393b3ef42042,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x20f8f5c313a64a9d408814561917ea43ca4ff01b,11845037757.0,USD Coin,USDC,6,126,86808,138000000000,42393,9030701,deprecated,4434183
4,10750645,2020-08-28 17:51:51,0x6e69f0616202f593c934f74cefb2ed07cda7e804f7366d2bdb272b76ab9de19f,8,0x99f2fd7a633cb8997933e88a0d152cd1e7752d3432ff1fa2fb70daae47c18b5e,0x20f8f5c313a64a9d408814561917ea43ca4ff01b,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,11845037757.0,USD Coin,USDC,6,87,202087,99000000000,150705,3842565,deprecated,4434044
5,10750645,2020-08-28 17:51:51,0x6e69f0616202f593c934f74cefb2ed07cda7e804f7366d2bdb272b76ab9de19f,8,0x99f2fd7a633cb8997933e88a0d152cd1e7752d3432ff1fa2fb70daae47c18b5e,0x0000000000000000000000000000000000000000,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,0x20f8f5c313a64a9d408814561917ea43ca4ff01b,496078035982410.0,Uniswap V2,UNI-V2,18,87,202087,99000000000,150705,3842565,deprecated,4434044
6,10750665,2020-08-28 17:56:11,0x1ca46ea29ba9b429a2b78e66f0965a7bd2f0e230b8f07b1b2656c82c4a39ee19,10,0x29f38a892e8206d709a2660d04de374e9651a461082334dc18a424de60ae6c4b,0x20f8f5c313a64a9d408814561917ea43ca4ff01b,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,0xc2edad668740f1aa35e4d8f227fb8e17dca888cd,496078035982410.0,Uniswap V2,UNI-V2,18,141,212385,100000000000,126590,12108562,deprecated,4434024
7,10753267,2020-08-29 03:38:07,0x26b46d888fac0616cb60e4f98d753466cd03a60470163eff35640fa6b716a129,11,0xbd056bd826c5e50f24b5df1aa8c28f3929789abc64d26332969414174a2b3046,0xf421c3f2e695c2d4c0765379ccace8ade4a480d9,0xba11d00c5f74255f56a5e366f4f77f5a186d7f55,0x20f8f5c313a64a9d408814561917ea43ca4ff01b,4.339611925422149e+20,BandToken,BAND,18,86,252549,81000000000,190761,10063604,deprecated,4431422
8,10753284,2020-08-29 03:40:45,0x708fa46ea33b898f0f2d7e377e33c1427f1b30fa67da751fa1be1689d98a69aa,13,0xedbd0de6b0e65336afe82f00ae8c695621495fbea071f61216f96828ca54098d,0x20f8f5c313a64a9d408814561917ea43ca4ff01b,0xba11d00c5f74255f56a5e366f4f77f5a186d7f55,0xf421c3f2e695c2d4c0765379ccace8ade4a480d9,4.3374089420485034e+20,BandToken,BAND,18,138,262856,81000000000,201476,9951006,deprecated,4431405
9,10753284,2020-08-29 03:40:45,0x708fa46ea33b898f0f2d7e377e33c1427f1b30fa67da751fa1be1689d98a69aa,13,0xedbd0de6b0e65336afe82f00ae8c695621495fbea071f61216f96828ca54098d,0x0000000000000000000000000000000000000000,0xf421c3f2e695c2d4c0765379ccace8ade4a480d9,0x20f8f5c313a64a9d408814561917ea43ca4ff01b,6.170305073741711e+19,Uniswap V2,UNI-V2,18,138,262856,81000000000,201476,9951006,deprecated,4431405
