,blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,confirmations
0,10708462,2020-08-22 06:33:51,0x8a7cd812ccc862bb25331d56d513a36318e5e39c0e56c7c07818ba32cfaa06ac,349726,0xf29d4414b7f31d8ac98273ea9bf0dbe3a48760d9b407d56a9eebf73f7779f49e,0x340d693ed55d7ba167d184ea76ea2fd092a35bdc,0x0d8775f648430679a709e98d2b0cb6250d2887ef,0x22ccddb9d63be50b944eb5784f66469ef40625d3,1.8e+19,BAT,BAT,18,130,100000,100000001459,52028,11680968,deprecated,4475306
1,10781189,2020-09-02 10:06:57,0x9e51e88540109848aa5c7a539d3a88d621f7ea5629cb65f9ea08b6fa894a3dce,3,0xd8b04bd633782165c52967b5a26633f2b73a71082181e8528b9cebebf435edd3,0x302ac87b1b5ef18485971ed0115a17403ea30911,0x4a57e687b9126435a9b19e4a802113e266adebde,0x22ccddb9d63be50b944eb5784f66469ef40625d3,1.8563893625253374e+22,Flexacoin,FXC,18,101,167790,273800000000,126929,8065936,deprecated,4402579
2,10781230,2020-09-02 10:16:49,0xf0df059594e3a8a0382d8848e89783c666cd6eca7799da3eb6527d43a36935d0,4,0x7bdae0eb65018099fbd38f5fd074e4ab4eebefe0a6a8f83a4bae1c3baddffc80,0x22ccddb9d63be50b944eb5784f66469ef40625d3,0x4a57e687b9126435a9b19e4a802113e266adebde,0x12f208476f64de6e6f933e55069ba9596d818e08,1.856e+22,Flexacoin,FXC,18,184,38444,265000000000,38444,10930646,deprecated,4402538
3,10817732,2020-09-08 00:20:47,0xf25195543d1a0a1fa46303b2fe85fdc6d0ca396ecdab5090f735808ac02a3e39,6,0xa7d4edebb98cfe74d74145485f2a3597c0fa0f4b4a6301be4423b1ac8984d777,0x12f208476f64de6e6f933e55069ba9596d818e08,0x4a57e687b9126435a9b19e4a802113e266adebde,0x22ccddb9d63be50b944eb5784f66469ef40625d3,1.856e+22,Flexacoin,FXC,18,122,97044,76000000000,96937,12271136,deprecated,4366036
4,10817810,2020-09-08 00:40:42,0x54babe5321e15d06bd6f30a5c915e5bfad5e2836b65958d4eb720502d4a8a2fd,92,0x9eeca89c522fe74058f9d6ad5c284ebee9fe774a3e2c0a8ffb555aa637167ee2,0xbf46c9300951accd3dab52d0683b8302f8c8d39d,0xf911a7ec46a2c6fa49193212fe4a2a9b95851c27,0x22ccddb9d63be50b944eb5784f66469ef40625d3,19156710682042.0,Antiample,XAMP,9,106,78295,78000000000,52197,7541273,deprecated,4365958
5,10817810,2020-09-08 00:40:42,0xb3971b2b62d5f4fcc56f64f87a0144c9bc054a133d7a8051f538c42822613ebb,93,0x9eeca89c522fe74058f9d6ad5c284ebee9fe774a3e2c0a8ffb555aa637167ee2,0xbf46c9300951accd3dab52d0683b8302f8c8d39d,0xf9c36c7ad7fa0f0862589c919830268d1a2581a1,0x22ccddb9d63be50b944eb5784f66469ef40625d3,8138820004617995.0,Boa,BOA,18,111,92355,78000000000,46570,7735809,deprecated,4365958
6,10817810,2020-09-08 00:40:42,0x40c044ea384c1ca6c21f8ec5e17417295d99576d7814a5d12ab3281393428ea4,94,0x9eeca89c522fe74058f9d6ad5c284ebee9fe774a3e2c0a8ffb555aa637167ee2,0xbf46c9300951accd3dab52d0683b8302f8c8d39d,0x7777770f8a6632ff043c8833310e245eba9209e6,0x22ccddb9d63be50b944eb5784f66469ef40625d3,5.529845967855127e+19,"Tokens of Babel, Price is God",TOB,18,113,78349,78000000000,52233,7809042,deprecated,4365958
7,10817904,2020-09-08 01:02:27,0x4fe7ea1d6c0c1020430c048a9184b19609f1babfec6c2842abad9ff1f1cf03f7,8,0xa48099699422d80fb5ddec5cdadde5b1775cfb6cb1451899dc2b3a08b2af8113,0x22ccddb9d63be50b944eb5784f66469ef40625d3,0x4a57e687b9126435a9b19e4a802113e266adebde,0x302ac87b1b5ef18485971ed0115a17403ea30911,1.8563893625253374e+22,Flexacoin,FXC,18,105,169538,75000000000,113844,10105611,deprecated,4365864
8,10817968,2020-09-08 01:17:39,0x3546de958a945d02f604bbbf344609aab91387053b0149cef3049528f69cb605,12,0xb3dbcce48a26abccc4501dcc50efe9136492e17595f01153c9ba6255458157d3,0x7844c04b043b51dc45bdf59ee2de53e7686865ff,0x7777770f8a6632ff043c8833310e245eba9209e6,0x22ccddb9d63be50b944eb5784f66469ef40625d3,3.1104617438153814e+19,"Tokens of Babel, Price is God",TOB,18,103,150561,74000000000,111510,6010109,deprecated,4365800
9,10817982,2020-09-08 01:20:24,0x4aed58ceda43a086c85a37f36a5fa7dfed6286893c01888fb7075d21dc8ead38,13,0x092c215428eecbee81a18c0b59d162f0f02a522d48821f97879e4a79c1ac2906,0x6c35c40447e8011a63ab05f088fa7cd914d66904,0xf911a7ec46a2c6fa49193212fe4a2a9b95851c27,0x22ccddb9d63be50b944eb5784f66469ef40625d3,7108531575718.0,Antiample,XAMP,9,89,137017,71000000000,111404,7098347,deprecated,4365786
