,blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,confirmations
0,10789631,2020-09-03 17:25:02,0xec14179faf1fbc738e5890da302911d497b1dedbc4b77a1b0c03449764057243,0,0x9106d9e2c31811e3f7680c0c5280c4a6165df4c148b646e4b8f8ff5e73827b21,0x143fd84c05df351896f20347505596d2045b6def,0x974060b947164a2add38c569486f14b92e60d7d1,0x24cb7545ed30d4e91ee756e28445476b7b5ba518,1.3773628119445905e+20,Yakuza Finance,YFKZ,18,1,165022,1200000000000,112435,236874,deprecated,4394540
1,10789647,2020-09-03 17:27:18,0x510de9935796e9c043f4eb985dcda30b9f885bc4130c1f418fea5b61601dc196,1,0xa1514f12db6abab35b5ab08e663af931356ea704e2abcd1c3cab4918bedfd7aa,0x143fd84c05df351896f20347505596d2045b6def,0x974060b947164a2add38c569486f14b92e60d7d1,0x24cb7545ed30d4e91ee756e28445476b7b5ba518,1.559372648458678e+20,Yakuza Finance,YFKZ,18,28,134832,1200000000000,109451,708604,deprecated,4394524
2,10789657,2020-09-03 17:29:27,0xdd5388fc7dc6de1dd31a2892298df17124c513559fea833e6f2de170f8083575,2,0xaa36a9bb58ade2ce6b08fe46c89a92a12ffac985b0cf8d930986de29f226c855,0x143fd84c05df351896f20347505596d2045b6def,0x974060b947164a2add38c569486f14b92e60d7d1,0x24cb7545ed30d4e91ee756e28445476b7b5ba518,7.642317622139142e+19,Yakuza Finance,YFKZ,18,0,148260,1200000000000,109451,109451,deprecated,4394514
3,10789667,2020-09-03 17:31:22,0xb66ee7e7bccde8e8da1a481a418235fe548f61b7dfbdc99ccbc13ce79730eb3e,3,0x26657927963402344c5c3b7d9f643b3a862d14bfe23faa51396a95b39b219a8e,0x143fd84c05df351896f20347505596d2045b6def,0x974060b947164a2add38c569486f14b92e60d7d1,0x24cb7545ed30d4e91ee756e28445476b7b5ba518,8.712692437546074e+19,Yakuza Finance,YFKZ,18,3,148260,800000000000,97435,250144,deprecated,4394504
4,10789668,2020-09-03 17:31:28,0xdd5b0fab03657c69da2a6605300d3b01c0c35ab032254abb1e9e7b9a2b7ee3db,4,0x2b413890ded1036467c17ec820ab83d7ba7d0d2ecbd19bed3b7b69fecde6aff7,0x143fd84c05df351896f20347505596d2045b6def,0x974060b947164a2add38c569486f14b92e60d7d1,0x24cb7545ed30d4e91ee756e28445476b7b5ba518,6.9841025780842996e+19,Yakuza Finance,YFKZ,18,8,134832,800000000000,97435,394316,deprecated,4394503
5,10791382,2020-09-03 23:53:49,0x2b7e1ec80d59ad550073079d8b054c618cef462e84fcacb9ab1270f2320a34ef,6,0x8e1fe065faab1754d5bd9bfe5ba72da8da32886eaa61c4da723ace6ea48f392d,0x24cb7545ed30d4e91ee756e28445476b7b5ba518,0x974060b947164a2add38c569486f14b92e60d7d1,0x143fd84c05df351896f20347505596d2045b6def,5.27064672418022e+20,Yakuza Finance,YFKZ,18,107,165864,500000000000,110504,5927035,deprecated,4392789
6,10870450,2020-09-16 02:25:31,0xb4a374da8d32def3020473413717261d33408cc00be7977cf41b3ba1ccbbae42,1692,0x8c7798a1d245112f00c0543c5469baeb5f5f2d9e8544b091886764c9f6c6c635,0xd152f549545093347a162dce210e7293f1452150,0x87047986e8e4961c11d2edcd94285e3a1331d97b,0x24cb7545ed30d4e91ee756e28445476b7b5ba518,5.270646724e+20,Yakuza DFO,YKZ,18,100,2115484,139000000000,2096284,8038293,deprecated,4313721
7,10871858,2020-09-16 07:44:00,0xe92568e50b5fd6b758593ca137303d42fb4067f5fb298a22b5eab9d052f8ecef,12,0x3e2e6224e148d69d0419977c207aea4717f44395d5e4b49fdd6b7990649491eb,0x24cb7545ed30d4e91ee756e28445476b7b5ba518,0x87047986e8e4961c11d2edcd94285e3a1331d97b,0xee737e77789ff7c467e2e532f144f5ce1c05cb2e,8e+19,Yakuza DFO,YKZ,18,174,76755,182000000000,51170,12420198,deprecated,4312313
8,10871858,2020-09-16 07:44:00,0xb7b2b4bd943dada6cbdbffe7ec73792adac1924217a1895d248ae0a03ab37b5a,13,0x3e2e6224e148d69d0419977c207aea4717f44395d5e4b49fdd6b7990649491eb,0x24cb7545ed30d4e91ee756e28445476b7b5ba518,0x87047986e8e4961c11d2edcd94285e3a1331d97b,0x18e7c7a2aaa31fa85b2aa441d441d60cbd9776f1,8.6e+19,Yakuza DFO,YKZ,18,175,76755,300000000000,51170,12471368,deprecated,4312313
9,10871866,2020-09-16 07:44:53,0x4f8f38341dba802432b3f3659768886063c506575305d9edbf793ce9b157b608,14,0xc390bffba9ed074933bacc8c787508b543014c50afb0c8551ede868fc83c829c,0x24cb7545ed30d4e91ee756e28445476b7b5ba518,0x87047986e8e4961c11d2edcd94285e3a1331d97b,0xa25a27e406a9fc7c82e5e4948f6e6832f0f2dd13,9.1e+19,Yakuza DFO,YKZ,18,62,76755,250000000000,51170,2423509,deprecated,4312305
