,blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,confirmations
0,4862985,2018-01-06 10:13:18,0x7fe8b89f7d643e6ef6ebbb9526ca80df3778f55e9a9d2b21ce0df41d9dedb77a,6,0x7a87b4c24a8592d9357e72c8a5538e1e7a5254a74cf1dd0d16ac5c8decbd5b5d,0xd8b424ef87b314a9b79c1e8148bf3543cc08abf8,0x52a7cb918c11a16958be40cba7e31e32a499a465,0x27022cf4ac36608f7d49280c258e9a5369f259c9,1e+19,fidentiaX,fdX,18,31,250000,40000000000,51942,3436647,deprecated,10321313
1,4863032,2018-01-06 10:24:14,0x53270ce15a4d3f95ebd31b5bcb86f9d1e7e562152e3391268b1f4d529f7eeac6,7,0x5ca7c169f0e39bb37a169de04c1f4e719e71b039946412d0bc216aaac4ab36fb,0xd8b424ef87b314a9b79c1e8148bf3543cc08abf8,0x52a7cb918c11a16958be40cba7e31e32a499a465,0x27022cf4ac36608f7d49280c258e9a5369f259c9,2e+20,fidentiaX,fdX,18,205,250000,40000000000,37006,5771039,deprecated,10321266
2,4869370,2018-01-07 14:19:14,0xdd65c71c6739dbd079a0d27dcbd07cdf4e8d3190d844e85b59773e6723ab085d,14,0x1eaf496f26c43841afd6abb6adbb578ae31d824040d4a472f282ef5b9966ed45,0xd8b424ef87b314a9b79c1e8148bf3543cc08abf8,0x52a7cb918c11a16958be40cba7e31e32a499a465,0x27022cf4ac36608f7d49280c258e9a5369f259c9,3e+20,fidentiaX,fdX,18,113,250000,50000000000,37006,5051304,deprecated,10314928
3,4869522,2018-01-07 14:58:47,0x5ffc6eb61c54cb0ba1cf2f1d7c51a66a27f564263853a4d980cf3cfc9161c036,15,0x67d43ab1c85ab36eb677fbc746c9e5fe4e49c4866bf3006777d90187056a4944,0xd8b424ef87b314a9b79c1e8148bf3543cc08abf8,0x180e5087935a94fd5bbab00fd2249c5be0473381,0x27022cf4ac36608f7d49280c258e9a5369f259c9,20000000000.0,ZCashGOLD,ZCG,8,88,250000,50000000000,51353,2760800,deprecated,10314776
4,4898233,2018-01-12 22:04:07,0xe2cf231c502e96a0c7f874aae04da9c6ebf38617fe2ca5de3d4bf429e643a51a,2,0x76781291d7a398b9175599e019ffadb276cac8ccb7201be60377c6f75315001b,0x27022cf4ac36608f7d49280c258e9a5369f259c9,0x180e5087935a94fd5bbab00fd2249c5be0473381,0xd8b424ef87b314a9b79c1e8148bf3543cc08abf8,20000000000.0,ZCashGOLD,ZCG,8,112,36353,60000000000,21353,4470058,deprecated,10286065
5,4901970,2018-01-13 14:22:09,0xe67c8a3914a932ef368512cf4e58a1313abb569bfb69f0218af0e9f70d4e31ff,3,0x84c1c2c229d07736123279255e66482694a09c7a26f91d4ed857034078ea5d41,0x27022cf4ac36608f7d49280c258e9a5369f259c9,0x52a7cb918c11a16958be40cba7e31e32a499a465,0x6e07f925af0533adf73f9381a4db66d1c7bf01ce,5.1e+20,fidentiaX,fdX,18,138,52006,50000000000,37006,3272956,deprecated,10282328
6,4994708,2018-01-29 16:05:23,0x0b1bdd15d1a409bb0e24d35c7620517c21ef09ab38dad7c0b137b23818bdd09b,4546,0x9b5468ea89e78df0d71bc151fad15d899adc5e7bb4be7bd3961f85aec26956f3,0xb61286d7f5ed55512a56dca8f20d53acdd1b988e,0x53148bb4551707edf51a1e8d7a93698d18931225,0x27022cf4ac36608f7d49280c258e9a5369f259c9,5411112717474.0,Peculium,PCL,8,75,90000,49500000000,52068,2349388,deprecated,10189590
7,5014333,2018-02-02 00:31:00,0xd7a7510445f56e9210ec693e49680b518e68adf5641a3efe0e989d588cb7b8e8,14028,0x028fa815f16a2d055d9c4f9b8570122f1f873a957ee6042d7bd8c7352eeb097a,0xb1af571f1e8be1182bb4268380d6d1d8991137a6,0xba9d4199fab4f26efe3551d490e3821486f135ba,0x27022cf4ac36608f7d49280c258e9a5369f259c9,840826000000.0,SwissBorg,CHSB,8,274,200000,21000000000,124573,6929553,deprecated,10169965
8,5108622,2018-02-17 20:28:26,0x713b7f1bb0548b2c685e43404a5b68efe5c7341ea941ae5a2c28ada6130cb4c1,12,0x78f34109d530bfbad6478c9bf89d5bbb0dd8061544de010b0d7b01541623db77,0x27022cf4ac36608f7d49280c258e9a5369f259c9,0x53148bb4551707edf51a1e8d7a93698d18931225,0x3618516f45cd3c913f81f9987af41077932bc40d,5411100000000.0,Peculium,PCL,8,203,106943,41000000000,76943,4555809,deprecated,10075676
9,5108622,2018-02-17 20:28:26,0x713b7f1bb0548b2c685e43404a5b68efe5c7341ea941ae5a2c28ada6130cb4c1,12,0x78f34109d530bfbad6478c9bf89d5bbb0dd8061544de010b0d7b01541623db77,0x3618516f45cd3c913f81f9987af41077932bc40d,0x3618516f45cd3c913f81f9987af41077932bc40d,0x27022cf4ac36608f7d49280c258e9a5369f259c9,5411100000000.0,Peculium,PCL,8,203,106943,41000000000,76943,4555809,deprecated,10075676
10,5366931,2018-04-02 12:06:36,0x31d7c0400852add39903bce818857230ecb311f7c28ba16dfc1ed667f7ce350c,8244,0x75c0598fda6810c37fe8b05780eb8a3667cc12bff13bae1a1aa54d058ea891be,0xf3b0d5fc99be8e26809a7bb16f9f5cc4aafaf475,0x272f022a374fc7e9213b35952e167ea217303e18,0x27022cf4ac36608f7d49280c258e9a5369f259c9,840826000000.0,SwissBorg Referendum 1,RSB1,8,39,200005,2000000005,53063,1893485,deprecated,9817367
11,5595824,2018-05-11 16:15:51,0x4c323b101e82334e9f3ca4af62c7199a555dd6a818a47eb98e0f4eda855339f2,14,0x32ef27fc5a991aabe7325dcd962b1e3b8bc35344826728670847303bd1567be3,0x27022cf4ac36608f7d49280c258e9a5369f259c9,0xba9d4199fab4f26efe3551d490e3821486f135ba,0xfad27efffb1b512abcf445f778f25f57a5bffb0f,840826000000.0,SwissBorg,CHSB,8,177,128770,41000000000,109573,4438329,deprecated,9588474
12,7291326,2019-03-02 16:51:30,0xe6e2c3e0a573009bba420bd4cd7cbb34f6f05a214809189f52dda81c2f7f9716,63,0x4b0465a231307930c1b87d6832e467d472162465ba5d7ace9df0abad81406f8c,0x5b96b1f07151010c9b05faddc7bfb24b8569c3e8,0x0f02e27745e3b6e9e1310d19469e2b5d7b5ec99a,0x27022cf4ac36608f7d49280c258e9a5369f259c9,5411100000000.0,Peculium,PCL,8,3,6986404,20000000000,6976404,7056178,deprecated,7892972
13,10251334,2020-06-12 14:11:16,0x6dc78628951d32584ee27c3df01cd20be42141be2fa49f2114bdc4725ae2c3ff,196,0x757b805ff4dc4299fcba47daf2f83034fcd0d5c81b91bf528afc9bb79c0c782c,0x5a7101dae58c717167b6cbfda4fc6af915c1d1f0,0x6710c63432a2de02954fc0f851db07146a6c0312,0x27022cf4ac36608f7d49280c258e9a5369f259c9,1e+22,Smart MFG,MFG,18,11,180000,42474836480,103758,498167,deprecated,4932964
14,10251690,2020-06-12 15:28:14,0x9e6885bf064eee03fa3f1b4d69815aab69b5d3c2dcc5ce191baddc21f56eb3c8,780,0x41b7e82cbf45065828c4dc3490507ad6979223658a2ffcc8d0f40ace1d436432,0xe9759406924477c8a7923f78c40cf40d483d50d1,0x6710c63432a2de02954fc0f851db07146a6c0312,0x27022cf4ac36608f7d49280c258e9a5369f259c9,2.40913876818e+23,Smart MFG,MFG,18,65,180000,42474836480,88758,2593205,deprecated,4932608
15,10252031,2020-06-12 16:41:33,0x2c213e67beaa6f4e39c2ccc9d5f97cdad9f1e77a1adaaf19ad4ed87bd11d4f7f,22,0x67b448af66f530e0772cd79518ca7807b021655cd3ae6fbd0a9c5bcfb62cdecf,0x6c0b9e585f515a0e40fc5d617ad43a27a50e5ee4,0xdac17f958d2ee523a2206206994597c13d831ec7,0x27022cf4ac36608f7d49280c258e9a5369f259c9,9000000.0,Tether USD,USDT,6,18,120000,42474836480,56197,686289,deprecated,4932267
