,blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,confirmations
0,10765762,2020-08-31 01:37:52,0x3483bc7b1ae35ac02957329b69aef1816391ef98356612755ead8c4b14313c6b,402082,0x6ecf70e7c74f79d1ead85debaa36893dad6af5f421ed8922619b168761453ade,0x5041ed759dd4afc3a72b8192c143f72f4724081a,0xdac17f958d2ee523a2206206994597c13d831ec7,0x2809bd419ba685c930005ca813ec6950b99164f3,5715000.0,Tether USD,USDT,6,45,420000,161000000000,56185,1586561,deprecated,4418829
1,10765775,2020-08-31 01:41:28,0xd9ff44380ab9e491e54ff2b54becf27f3a9e6b6083580e478c6257c8b678210c,402090,0x7c258068973f5a829e329599f60a79bc2b7972f2fb9e18f73cc4458593457964,0x5041ed759dd4afc3a72b8192c143f72f4724081a,0xdac17f958d2ee523a2206206994597c13d831ec7,0x2809bd419ba685c930005ca813ec6950b99164f3,1497650000.0,Tether USD,USDT,6,224,420000,159000000000,41197,9199906,deprecated,4418816
2,10765800,2020-08-31 01:46:32,0x624021ddbe8a5f437d55f63f363bf77bd3637763bd8bf33afc014ab456116595,44908,0xed654b229ab239c463551e48044c44d056f98837d1d04065b37baf9fbb93ac76,0x2809bd419ba685c930005ca813ec6950b99164f3,0xdac17f958d2ee523a2206206994597c13d831ec7,0x41f8d14c9475444f30a80431c68cf24dc9a8369a,1503365000.0,Tether USD,USDT,6,85,450000,143000000000,259408,4398928,deprecated,4418791
3,10765878,2020-08-31 02:06:27,0x45cc76b44dc06c4666226b1f26053258dbad2fd5e7f9add9e7fa7163bb2e78d0,2,0xaefd40a98996fee215adaaf198f0d815a2ea385cf243c32f1904fb3810955ab3,0x4686c30e1154d36b9949f2d625ebe7c8801be5c0,0xaba8cac6866b83ae4eec97dd07ed254282f6ad8a,0x2809bd419ba685c930005ca813ec6950b99164f3,3.3791103081280613e+24,YAMv2,YAMv2,24,121,249122,147400000233,196732,7257202,deprecated,4418713
4,10765914,2020-08-31 02:14:21,0x6bd099f32d5852185d26d3394ec70a22c1318f8342001fdcac199cca1d4027b8,3,0x3e0355bcf638fbf75a41177659435b7fb2b192dfdad5fbc3b68699ea5c36e716,0xa5904961f61bae7c4dd8478077556c91bf291cfd,0xaba8cac6866b83ae4eec97dd07ed254282f6ad8a,0x2809bd419ba685c930005ca813ec6950b99164f3,2.5151553569777222e+25,YAMv2,YAMv2,24,164,148035,147400000233,97234,10629317,deprecated,4418677
5,10766466,2020-08-31 04:12:50,0xfa0478557542709a74bf1d24470d348dbaecf0098c2825a7d74d7ba208a65794,4,0x70bf1fced0e385babe00f51964d7a873a13935b645e80813267c8824a3ddbbc3,0xce84867c3c02b05dc570d0135103d3fb9cc19433,0x6b3595068778dd592e39a122f4f5a5cf09c90fe2,0x2809bd419ba685c930005ca813ec6950b99164f3,2.2161930199157395e+20,SushiToken,SUSHI,18,13,164980,176000000233,124413,793037,deprecated,4418125
6,10768995,2020-08-31 13:35:29,0x03e9b6d2886a3aa2632e2c489b032bc0525dfdc02843e6fcb7e6a1cbb24e0ac7,7,0xd147a63006ed50430f5556a9c5196d68afccc477535748cc25cf997e76396fe9,0x2809bd419ba685c930005ca813ec6950b99164f3,0x6b3595068778dd592e39a122f4f5a5cf09c90fe2,0xce84867c3c02b05dc570d0135103d3fb9cc19433,2.2161930199157395e+20,SushiToken,SUSHI,18,67,168281,266000001561,112701,4274477,deprecated,4415596
7,10769036,2020-08-31 13:45:19,0x7c5adc18f244f52b983ab15a3cbac27bd3847147aec786b1babed20b4ad66ebb,8,0x140fc93f4a943a933bec738044abde8585a9fefebff2e39f370103ac9e6fbb20,0x41f8d14c9475444f30a80431c68cf24dc9a8369a,0xdac17f958d2ee523a2206206994597c13d831ec7,0x2809bd419ba685c930005ca813ec6950b99164f3,868902246.0,Tether USD,USDT,6,46,360004,291600001482,287404,1356247,deprecated,4415555
8,10771964,2020-09-01 00:08:27,0xef148a7f2e08c1342516c711ace73e31a3aa3d5c648d8d9d0a2a36cce81f5455,9,0x9beb4bc1866c351936783680eb0265048290440c00da74c3a7808ff268362d30,0x2809bd419ba685c930005ca813ec6950b99164f3,0xaba8cac6866b83ae4eec97dd07ed254282f6ad8a,0x2239bc6ca998ac70f37ff22f6fe9c924880b09ba,2.8530663877905287e+25,YAMv2,YAMv2,24,97,60000,210000001561,51123,5602776,deprecated,4412627
9,10772009,2020-09-01 00:18:55,0x23c380ad43ebb2f40797b6a18b6a7ae04ff5972e9c03707be62fc086c6bd79a0,10,0x6e32db85e1b772bb1774f99308dc1d7b81dfbd5903a48ed5e5fcb56fea82579d,0x2809bd419ba685c930005ca813ec6950b99164f3,0xdac17f958d2ee523a2206206994597c13d831ec7,0x2239bc6ca998ac70f37ff22f6fe9c924880b09ba,868902246.0,Tether USD,USDT,6,139,60000,218000001561,41209,10117397,deprecated,4412582
10,10877767,2020-09-17 05:25:03,0x36e1503a71ecbe8c26722e1616e680b5a83d01fb46e652cbf17cd73d449d054d,12,0x7d33dc58df8c2da2f39844b2b2a9eb7ed358f20c132d87271f1b49b26453ebea,0x090d4613473dee047c3f2706764f49e0821d256e,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,0x2809bd419ba685c930005ca813ec6950b99164f3,4e+20,Uniswap,UNI,18,200,89961,501000001561,81783,6843899,deprecated,4306824
