,blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,confirmations
0,4519658,2017-11-09 11:46:56,0xdde9d0ec08c81a626bd99355103babcca30408db8ff2c06c67007d5d4b398bf2,10,0xabef3f03fdf1b19401192c95ce876a7f01083735cfdcf278468c6247b19198b2,0x8d12a197cb00d4747a1fe03395095ce2a5cc6819,0x255aa6df07540cb5d3d297f0d0d4d84cb52bc8e6,0x2c4b798c9c36c7431217dccd684c719b1502a57f,4e+19,Raiden,RDN,18,93,250000,4000000000,63152,3348803,deprecated,10664567
1,4519678,2017-11-09 11:51:10,0x1a87d529343fb6c72afbc9e73d61dfd8779242f245f5352c71ec75e3fe32a3a2,14,0xa825476d15483c5435852db46f8657d3c07cc4b49426a9ab426d8cf3694cec44,0x8d12a197cb00d4747a1fe03395095ce2a5cc6819,0x255aa6df07540cb5d3d297f0d0d4d84cb52bc8e6,0x2c4b798c9c36c7431217dccd684c719b1502a57f,6.7e+20,Raiden,RDN,18,29,250000,4000000000,48152,885656,deprecated,10664547
2,4519724,2017-11-09 12:01:04,0xdc56aadca51fc823180b978acce1069d1fd95d64ef964664a46a572b95c3e41c,16,0x3768330a635baf7807635f798a5153dbb030c4d45d9ffc4aca3c961e6640f822,0x8d12a197cb00d4747a1fe03395095ce2a5cc6819,0x255aa6df07540cb5d3d297f0d0d4d84cb52bc8e6,0x2c4b798c9c36c7431217dccd684c719b1502a57f,5.034e+21,Raiden,RDN,18,20,250000,4000000000,48216,675016,deprecated,10664501
3,4519830,2017-11-09 12:23:47,0x31a5a3cd382381517ceb56deda21f9bb0bfc198e6a61f397ce9beb1ef19bdf88,17,0x50b72e99df66820d0b257f0084274f0478f454858e137aab93f51fee05bd3ea6,0x2c4b798c9c36c7431217dccd684c719b1502a57f,0x255aa6df07540cb5d3d297f0d0d4d84cb52bc8e6,0xe76ba0d72da961da7d7b1ccc97bfd7413a3ac380,5.744e+21,Raiden,RDN,18,27,60000,10500000000,37263,1941949,deprecated,10664395
4,4520640,2017-11-09 15:27:40,0x111e90ff8adafbd49b36c19dcc8b62773776cdde7ad907efb857b8d1eddf690d,31,0xca69dba8a611465f981467201798c994592991b0ee9dbfc6d8f5930df0a88829,0x8d12a197cb00d4747a1fe03395095ce2a5cc6819,0xba5f11b16b155792cf3b2e6880e8706859a8aeb6,0x2c4b798c9c36c7431217dccd684c719b1502a57f,17900000000.0,Aeron,ARN,8,10,250000,4000000000,63349,494799,deprecated,10663585
5,4520644,2017-11-09 15:29:31,0x6f123dc361d69d52be56336b79ea3011553986ed462a52605b685759f046e5b6,33,0x9ab1b97f582cedd8cfced15613d0e8adbb12d337e8642ecfccb69d7afddb99bc,0x2c4b798c9c36c7431217dccd684c719b1502a57f,0xba5f11b16b155792cf3b2e6880e8706859a8aeb6,0x8d12a197cb00d4747a1fe03395095ce2a5cc6819,2900000000.0,Aeron,ARN,8,146,250000,4000000000,38343,5833519,deprecated,10663581
6,4523113,2017-11-10 01:03:28,0x36b0a12c38f3003896e38827c4d24e65a1804d4206be68ab11c1965242a9d1fb,35,0xc72d642327ec1302de4102fe2bb83952cccfd5ec16b790384ca243c4ad523d78,0x8d12a197cb00d4747a1fe03395095ce2a5cc6819,0xba5f11b16b155792cf3b2e6880e8706859a8aeb6,0x2c4b798c9c36c7431217dccd684c719b1502a57f,1300000000000.0,Aeron,ARN,8,98,250000,4000000000,48413,3865647,deprecated,10661112
7,4523396,2017-11-10 02:08:03,0x76017d21464a4652b3821a473ef30735680ff3221c05ae2a12520b5783c1ee4e,45,0x6315508a461dc6b881cad87dfe97a222367fed9c6e849a0aa9367b98dc75e448,0x8d12a197cb00d4747a1fe03395095ce2a5cc6819,0xba5f11b16b155792cf3b2e6880e8706859a8aeb6,0x2c4b798c9c36c7431217dccd684c719b1502a57f,1054900000000.0,Aeron,ARN,8,58,250000,4000000000,48349,2399474,deprecated,10660829
8,4524943,2017-11-10 08:08:05,0x68cdf84b0efbca384f2dbf2f8c10d45f25234f97f26e17aa22b7fbf07a1762f8,47,0x0fd5287f7d8b610ac751145b4706215f70356f6b39ed850648cd45754d5d5572,0x2c4b798c9c36c7431217dccd684c719b1502a57f,0xba5f11b16b155792cf3b2e6880e8706859a8aeb6,0x8d12a197cb00d4747a1fe03395095ce2a5cc6819,1000000000000.0,Aeron,ARN,8,50,250000,4000000000,38407,2246774,deprecated,10659282
9,4524944,2017-11-10 08:08:12,0xe2a0edbefd340e447245d12f9fdf053eb16a56223f3ad59cfad5b4ec5797afd4,49,0x92c5b2126be5208a5acec281bf0869a8b863c230061702a56da33d144b3a4749,0x2c4b798c9c36c7431217dccd684c719b1502a57f,0xba5f11b16b155792cf3b2e6880e8706859a8aeb6,0x8d12a197cb00d4747a1fe03395095ce2a5cc6819,1000000000000.0,Aeron,ARN,8,51,250000,4000000000,38407,2387258,deprecated,10659281
10,4525102,2017-11-10 08:40:25,0xb29e92ecb27e5374df112eb192234d3b0df1551b8895e50fe488353888d095f8,63,0x0eb393b9a82efd27f186161eb14fea0ec392d7bba972c0153cafedea5a49421c,0x8d12a197cb00d4747a1fe03395095ce2a5cc6819,0xba5f11b16b155792cf3b2e6880e8706859a8aeb6,0x2c4b798c9c36c7431217dccd684c719b1502a57f,1827000000000.0,Aeron,ARN,8,71,250000,4000000000,48413,2742810,deprecated,10659123
11,4525118,2017-11-10 08:43:15,0x2c0309852f5d67aadf7f81402b64f01c1b63f05dad0a86ef6010f810bd285ea4,64,0x95abac56849f1a63b2278dfa7a3291cedf29af9df0c238d85e430e6848860889,0x8d12a197cb00d4747a1fe03395095ce2a5cc6819,0x07e3c70653548b04f0a75970c1f81b4cbbfb606f,0x2c4b798c9c36c7431217dccd684c719b1502a57f,1.5e+21,Delta,DLT,18,116,250000,4000000000,47548,4731753,deprecated,10659107
12,4525125,2017-11-10 08:44:57,0xe4bb50b16faaf9e472a7132e4bda676adb18cea8972312229fb51543c683da4f,65,0x91fafba64b9c30e4f22c827ce9a38e9189b6a2809e40a68867df226185ec9bc7,0x2c4b798c9c36c7431217dccd684c719b1502a57f,0x07e3c70653548b04f0a75970c1f81b4cbbfb606f,0xe76ba0d72da961da7d7b1ccc97bfd7413a3ac380,1.5e+21,Delta,DLT,18,2,60000,50199101440,36595,78595,deprecated,10659100
13,4526405,2017-11-10 13:44:28,0x8f1e99029c11d44084067a7fd4c0f38c526f02409b556e8ddd06b591902d2c9b,67,0x5129552ca0539bd673cd6266316e41ff7df529970ab7ec5b0624e76c37282e1d,0x2c4b798c9c36c7431217dccd684c719b1502a57f,0xba5f11b16b155792cf3b2e6880e8706859a8aeb6,0x8d12a197cb00d4747a1fe03395095ce2a5cc6819,196900000000.0,Aeron,ARN,8,118,250000,4000000000,38407,6062837,deprecated,10657820
14,4530275,2017-11-11 04:31:59,0x1acf127f63dfdcc1a5c51180c2c82ed9c3eedbcf08c399af4f19996d7e71e4f7,81,0x74e2e9bd0d8fb3e74379ca49809e1b571cc48903f880aa1a8edb5a40c254cb75,0x8d12a197cb00d4747a1fe03395095ce2a5cc6819,0xba5f11b16b155792cf3b2e6880e8706859a8aeb6,0x2c4b798c9c36c7431217dccd684c719b1502a57f,855400000000.0,Aeron,ARN,8,50,250000,4000000000,48349,1579317,deprecated,10653950
15,4536904,2017-11-12 05:47:54,0x0bdb43c511d9265fa5a6bc9cef658dc525dc07aa295d17985373e00a145ae3f2,83,0xdd9722e91455017ae617d58e835399d8902a57773e44a9568e2d0da853cd4af9,0x2c4b798c9c36c7431217dccd684c719b1502a57f,0xba5f11b16b155792cf3b2e6880e8706859a8aeb6,0x8d12a197cb00d4747a1fe03395095ce2a5cc6819,100000000000.0,Aeron,ARN,8,36,250000,4000000000,38407,1544759,deprecated,10647321
16,4543647,2017-11-13 07:41:40,0x8f25dde16fae294afe43934ad504ffffa35ba238abac5315e937654f5d6b4d1d,89,0x2ebb25d701ea8e15a6be366fc45c2a6c9da5e12dda60aa1af56bb99bb0fb98d2,0x2c4b798c9c36c7431217dccd684c719b1502a57f,0xba5f11b16b155792cf3b2e6880e8706859a8aeb6,0x8d12a197cb00d4747a1fe03395095ce2a5cc6819,55400000000.0,Aeron,ARN,8,55,250000,4000000000,38407,1785100,deprecated,10640578
17,4544011,2017-11-13 09:04:30,0xc34c34e3fe48403e6996bbc099bed441bcdf675bdeda4fafcf6e7443ca61481e,94,0x940e20fedeecc89d1d62bac54e8fb1399c3de496537e6de8573e217eae9d6a60,0x2c4b798c9c36c7431217dccd684c719b1502a57f,0xba5f11b16b155792cf3b2e6880e8706859a8aeb6,0x8d12a197cb00d4747a1fe03395095ce2a5cc6819,500000000000.0,Aeron,ARN,8,16,250000,4000000000,38407,705280,deprecated,10640214
18,4544011,2017-11-13 09:04:30,0xdd8c9ef70c7244fb1b2f82b9371c60c4c78a6f444527c5f620da2d839f997d3a,96,0x940e20fedeecc89d1d62bac54e8fb1399c3de496537e6de8573e217eae9d6a60,0x2c4b798c9c36c7431217dccd684c719b1502a57f,0xba5f11b16b155792cf3b2e6880e8706859a8aeb6,0x8d12a197cb00d4747a1fe03395095ce2a5cc6819,500000000000.0,Aeron,ARN,8,33,250000,4000000000,38407,1298703,deprecated,10640214
19,4545281,2017-11-13 14:03:54,0x0c1e01f1551ea1ebdf62838aa3a9065db31e54a72c66e4a244bc8546ffb217c2,109,0x7bd06c13ef6fe023ed2238a3f2b17a0008da71261b43968faff9aaa568d52f49,0x2c4b798c9c36c7431217dccd684c719b1502a57f,0xba5f11b16b155792cf3b2e6880e8706859a8aeb6,0x8d12a197cb00d4747a1fe03395095ce2a5cc6819,1700000000000.0,Aeron,ARN,8,154,250000,4000000000,26736,5707586,deprecated,10638944
20,4547120,2017-11-13 21:09:41,0x9d46988f893ae145722e79cdebe6fe3ea067d6cb8add964d761f769bf734a103,778,0xbc8569e6a9c65285864449815524f9efe3e3c8b885361d1ddcb91fc7b726db90,0xae2b80f7f4d285caa658a285233550d19c8e7847,0x519475b31653e46d20cd09f9fdcf3b12bdacb4f5,0x2c4b798c9c36c7431217dccd684c719b1502a57f,2.399262841e+19,VIU,VIU,18,23,3300000,200000000,3269628,4147616,deprecated,10637105
