,blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,confirmations
0,10783930,2020-09-02 20:14:17,0x1072fd17406cf1f1457d36364244d5eaa80501b1811e04094c25fa99bedb12c7,0,0x729587b08d80c535fc5ba9dc1839029f88e53481ab9e42abcd3132aea370130e,0xc5be99a02c6857f9eac67bbce58df5572498f40c,0xd46ba6d942050d489dbd938a2c909a5d5039a161,0x2e07a5f174d7ec23737d8760445dbe8319709579,107621557889.0,Ampleforth,AMPL,9,70,173566,300000000000,132096,4601425,deprecated,4400281
1,10787027,2020-09-03 07:40:09,0xa99e76e9686c65d72ea0e38f1d1b9af240c3c4e5630b5111ae192b8bef6e2fe1,1717,0x2772fe7885089f062fa072a8147727f58537c3cf42525680a09a682ccfca7fa5,0xe515ae2bb32282f3bdf9ab51de0afbb0b70415d8,0x464ebe77c293e473b48cfe96ddcf88fcf7bfdac0,0x2e07a5f174d7ec23737d8760445dbe8319709579,1.254744202416993e+21,Kryll,KRL,18,196,100000,420000000000,53457,9907562,deprecated,4397184
2,10787027,2020-09-03 07:40:09,0xb08950ad1b123b6e57de2d0e7e75ac478136b32de99c15e8844b8d75628391ce,1718,0x2772fe7885089f062fa072a8147727f58537c3cf42525680a09a682ccfca7fa5,0xe515ae2bb32282f3bdf9ab51de0afbb0b70415d8,0x464ebe77c293e473b48cfe96ddcf88fcf7bfdac0,0x2e07a5f174d7ec23737d8760445dbe8319709579,8e+19,Kryll,KRL,18,197,100000,420000000000,38433,9945995,deprecated,4397184
3,10790568,2020-09-03 20:45:00,0xfa942da6755d0c93a910b8802f06d6adecacfe778620b25d844958cea8a7147c,3,0xfa1324bc8f61237f4a8e12eacaac49de604ac42bb7613b676eec5b74228074cf,0x98f90bfc702ec548d21b5a566a4df6853e2890d4,0x8ab7404063ec4dbcfd4598215992dc3f8ec853d7,0x2e07a5f174d7ec23737d8760445dbe8319709579,3.607468524360938e+21,Akropolis,AKRO,18,106,263461,150000000000,209377,9007840,deprecated,4393643
4,11538701,2020-12-27 22:56:55,0x9e8d98eff0a07847830580fd1ab77f8834218ecfff8471374efad03f22938976,7,0xb0f5a19c1fde0bb6390e0e5b9819b89090046d8dc27af7ce3103802f3fec5576,0x2e07a5f174d7ec23737d8760445dbe8319709579,0x8ab7404063ec4dbcfd4598215992dc3f8ec853d7,0x8cb77ea869def8f7fdeab9e4da6cf02897bbf076,3.607468524360938e+21,Akropolis,AKRO,18,101,201775,40000000000,143150,7644424,deprecated,3645510
5,11538704,2020-12-27 22:57:12,0x23c44f23995ecc3829f55f34b9c48499ca814c0dd90b456725c5cf0ff4da2b64,8,0xee393d40171d20bccbf1d09a18ccf2c652f11b0369a84bf5aa921142cc6613b6,0x2e07a5f174d7ec23737d8760445dbe8319709579,0x464ebe77c293e473b48cfe96ddcf88fcf7bfdac0,0x3e7ac3dfe933d3027a5968be23c624f1309b1b02,1.334744202416993e+21,Kryll,KRL,18,87,169330,40000000000,113655,8760525,deprecated,3645507
6,11538712,2020-12-27 22:59:36,0x4cfbd7b2111fe66424caa819af148920f9a8152f69adeabe919ced21c5b64b58,9,0xbb5b358d8f1258a754c34c2d666f2aa2116a372d76babbc060026734f8ae1ee4,0x2e07a5f174d7ec23737d8760445dbe8319709579,0xd46ba6d942050d489dbd938a2c909a5d5039a161,0xc5be99a02c6857f9eac67bbce58df5572498f40c,84061444938.0,Ampleforth,AMPL,9,143,174512,40000000000,133366,12188226,deprecated,3645499
7,11921862,2021-02-24 20:02:14,0x84c2d51637589effb1e64322aa0ea241e94900c2897e96ad39d008b16448594e,11,0xc0c9b1c66d52ad6ddf0f4ebc95fb2bfd12ee069cf1f5e0c412a0eb502e71642b,0x481efdd010433ded1a931b557e4fe63b7b897964,0xee573a945b01b788b9287ce062a0cfc15be9fd86,0x2e07a5f174d7ec23737d8760445dbe8319709579,5.0485399866733724e+20,Exeedme,XED,18,29,167091,143000000000,126301,2909990,deprecated,3262349
8,11921911,2021-02-24 20:14:27,0x75b26625abf3b37aa726c6233bc6360e0aa12533df46976b011a4574c94394ae,12,0x4b794a93d3c1154965ae614f3dd537ed57c3cf95f4f93e03940636038f536ac0,0x7894dae584dfa3a5d60a13bafc25ee0b43124e7e,0x0d6ae2a429df13e44a07cd2969e085e4833f64a0,0x2e07a5f174d7ec23737d8760445dbe8319709579,5.1609542658341634e+20,PolkaBridge,PBR,18,89,174190,148000000000,132656,4460674,deprecated,3262300
9,11921916,2021-02-24 20:15:45,0x887291ee867bf9864c447ee005b2d7dc41f69c17a205c41af84a143da2b5cd9e,13,0x236eaea44fa936b57289dbbc4860ecafd5ab92e0952b00376bf1580e16ab3ac0,0x29f07e631a2f990e1f6117c6285a44e746b1f090,0x9af15d7b8776fa296019979e70a5be53c714a7ec,0x2e07a5f174d7ec23737d8760445dbe8319709579,3.932331228338548e+18,Evn Token,EVN,18,73,206177,148000000000,161280,8266738,deprecated,3262295
