,blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,confirmations
0,8670572,2019-10-03 17:25:35,0x78059b8d94dec77ab244c5a03fea7b14dd182adc180af361d439ef85a4fffda7,2516,0x0de5cc88b96e26d209fb8ee20231071af7dbeafae8a7474d0b1194d1add4e06d,0xe5ccfca59acd6a3dea18a97a8d12a1fc5be09b13,0xbddab785b306bcd9fb056da189615cc8ece1d823,0x2e43ceaccd216a4d71e5aa10fe02d4070a46f4f2,5e+18,Ebakus,EBK,18,20,695937,1010000000,691627,5469015,deprecated,6513975
1,9214625,2020-01-04 15:17:52,0x2f8ca90db5592d36a51fa91f0157a583bba43e2ff7fcc5fd3a0a2be325645fcb,2927,0x8312869d6811a06ed6ead976c3f27c1330705ee9e0fa52df56bfe597f464ce69,0xc12d1c73ee7dc3615ba4e37e4abfdbddfa38907e,0xc12d1c73ee7dc3615ba4e37e4abfdbddfa38907e,0x2e43ceaccd216a4d71e5aa10fe02d4070a46f4f2,88888800000000.0,KickToken,KICK,8,28,7000000,1000000000,2728030,4461708,deprecated,5969922
2,10764728,2020-08-30 21:48:19,0x568b98c438019e180688fd4b1c81ed357ef578d6192a818c13a0e76283d1c099,1,0xbffbbc7618dbdca94ca275ad82d23273bb35e829a92b5e28dead4df2cc48cfb0,0x3da1313ae46132a397d90d95b1424a9a7e3e0fce,0xd533a949740bb3306d119cc777fa900ba034cd52,0x2e43ceaccd216a4d71e5aa10fe02d4070a46f4f2,1.1429185406826593e+20,Curve DAO Token,CRV,18,97,151497,100000000000,124363,12178360,deprecated,4419819
3,10764843,2020-08-30 22:11:54,0xfe8667af970bb94a40b9f7d97797cebdf6e35144ca03de5d22f7c9bfd99979a5,2,0xd30487c9be4ee4b60374e76fb2d5e05043576861c2a4913db15caff64d370c09,0x2fdbadf3c4d5a8666bc06645b8358ab803996e28,0x0bc529c00c6401aef6d220be8c6ea1667f6ad93e,0x2e43ceaccd216a4d71e5aa10fe02d4070a46f4f2,1.2274339987233896e+16,yearn.finance,YFI,18,124,151640,119000000000,124491,6709057,deprecated,4419704
4,10782717,2020-09-02 15:48:14,0x3835b2d6149dc2c555c2379508367fcfb9cae14678c0db8698766f312c645168,4,0x4d6c570b4a6f0fdcd870737a218d7ddee2a8485c98562bd1cd550ec3e26b8251,0x2e43ceaccd216a4d71e5aa10fe02d4070a46f4f2,0xd533a949740bb3306d119cc777fa900ba034cd52,0x3da1313ae46132a397d90d95b1424a9a7e3e0fce,1.1429185406826593e+20,Curve DAO Token,CRV,18,108,152639,500000000000,110497,7381627,deprecated,4401830
5,11163776,2020-10-31 09:22:46,0x1d438abe0ab88f0702e6cfda7de68b273820c29034644e252a810d006a93a78a,41,0x89d5222bc561887f7309484b40497feae75fce127716ab55862b182753cfb3ac,0xd31e655bc4eb5bcfe25a47d636b25bb4aa4041b2,0xa9517b2e61a57350d6555665292dbc632c76adfe,0x2e43ceaccd216a4d71e5aa10fe02d4070a46f4f2,856420144564.0,a!NEVER VISIT www.168pools.com to check DeFi ROi !,a!NEVER VISIT www.168pools.com to check DeFi ROi !,0,42,2500000,25000000000,2332959,5141461,deprecated,4020771
6,11181642,2020-11-03 02:56:00,0xc506c6c5af58582ebf7ca2d1bda40f0c38373a722604bda035832b2a0a06bab8,53,0x33550f4606b3c9bf4ba6c54bdc42a4e59520dc542d19a624f950250cc3a28efb,0xd31e655bc4eb5bcfe25a47d636b25bb4aa4041b2,0xb07de4b2989e180f8907b8c7e617637c26ce2776,0x2e43ceaccd216a4d71e5aa10fe02d4070a46f4f2,856420144564.0,A! WWW.SPACESWAP.APP ! TOP DEFI AGGREGATOR !,A! WWW.SPACESWAP.APP ! TOP DEFI AGGREGATOR !,0,93,2500000,30000000000,2332959,8126478,deprecated,4002905
7,11624430,2021-01-10 02:48:45,0xff87bbd77322d9511d6c7ce594d4a4d8d26b606e91ed90251db616259ea55bca,7,0x0755a4f1b4c84eb55042ad57350b39a29cdc1851445370cb0ba718803dc8cc9d,0xce84867c3c02b05dc570d0135103d3fb9cc19433,0x6b3595068778dd592e39a122f4f5a5cf09c90fe2,0x2e43ceaccd216a4d71e5aa10fe02d4070a46f4f2,1.05e+20,SushiToken,SUSHI,18,180,173456,80000000000,132404,11650070,deprecated,3560117
8,11624448,2021-01-10 02:52:28,0xc66c345f33572043c5d135c28c296f3ef0a9dca7a5358aa0ac7b5a7941cb5354,9,0x1f7d71d79093db3c2e56a67a4698f5afb91c130957f2c9d11d85c53da0743383,0x2e43ceaccd216a4d71e5aa10fe02d4070a46f4f2,0x0bc529c00c6401aef6d220be8c6ea1667f6ad93e,0x2fdbadf3c4d5a8666bc06645b8358ab803996e28,1.2274339987233896e+16,yearn.finance,YFI,18,100,168438,68000000000,112844,8241050,deprecated,3560099
9,11624453,2021-01-10 02:53:39,0xedb79e0784e85f1f0335670ca38bfa4155fb80bbad9008ca29500176fd2a05c5,10,0x352a883b5b64586ba3c1862eafe1637acda67bc5334dcb7ca38926e3b091a536,0x090d4613473dee047c3f2706764f49e0821d256e,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,0x2e43ceaccd216a4d71e5aa10fe02d4070a46f4f2,4e+20,Uniswap,UNI,18,161,89134,69000001459,81031,4905868,deprecated,3560094
10,11624487,2021-01-10 03:00:24,0x82ded782b073de5d4b924ee027ae0c02616c0fce185cb425ee7d3852b5e3fdd7,12,0x377817ae8c73901cddb3d618e65a6d5d963eb9c392e5d4ffa7f7b0c2129bb2fc,0x2e43ceaccd216a4d71e5aa10fe02d4070a46f4f2,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,0xd3d2e2692501a5c9ca623199d38826e513033a17,2e+20,Uniswap,UNI,18,261,165463,57000001459,125139,10791973,deprecated,3560060
11,11662337,2021-01-15 22:06:32,0xde7831b2c8dbcccf7a5b40f480ca820e00d8e195dd3e8e9cb42d21aa4da6278e,14,0xc57585b42158d38082c49de46e41d95ee36aefe65d297eebdb2a4c938b687ceb,0xddf9b7a31b32ebaf5c064c80900046c9e5b7c65f,0x2ba592f78db6436527729929aaf6c908497cb200,0x2e43ceaccd216a4d71e5aa10fe02d4070a46f4f2,5.089570948899125e+18,Cream,CREAM,18,153,170303,48300001532,129176,9599962,deprecated,3522210
12,11662354,2021-01-15 22:11:03,0x58449bafd379482af14568e0be8b7615d57687dbc6e389e1d0e5a2495c4891bb,15,0x299e865ce1e54fa697f5f3a17a20614427e6349457c1c57a151953009dcc3685,0x8bd1661da98ebdd3bd080f0be4e6d9be8ce9858c,0x408e41876cccdc0f92210600ef50372656052a38,0x2e43ceaccd216a4d71e5aa10fe02d4070a46f4f2,5.742903941262337e+20,Republic,REN,18,150,167310,48300001532,126498,10922496,deprecated,3522193
13,11662374,2021-01-15 22:15:29,0x3468af251252134c155630c7511aada246471dcf061911d31f12ce74770a8b3e,17,0x26940d159eabb50e4fd59d0fd3412cd3a4c1f8de23352dc6197e92b8e410e1d3,0x70258aa9830c2c84d855df1d61e12c256f6448b4,0x0ba45a8b5d5575935b8158a88c631e9f9c95a2e5,0x2e43ceaccd216a4d71e5aa10fe02d4070a46f4f2,8.583156592034582e+18,Tellor Tributes,TRB,18,128,247471,48300001532,198233,8292408,deprecated,3522173
14,11667664,2021-01-16 17:49:04,0x691fb5e2e8219fa6768a9e0024b9977a69f0e32096a1f0d2f8f435240f545703,18,0xf54313663f940012bde0c18a145027e8b1f4259c7289be756aab0de6d38ec5f6,0xba65016890709dbc9491ca7bf5de395b8441dc8b,0x8762db106b2c2a0bccb3a80d1ed41273552616e8,0x2e43ceaccd216a4d71e5aa10fe02d4070a46f4f2,5.888110521585418e+21,Reserve Rights,RSR,18,117,168139,65000000000,127241,8776223,deprecated,3516883
15,11675730,2021-01-17 23:31:15,0x0bd1d91b99084dc140bcc4551b99b04feb571a5abc7514192ef97677aa2f4c40,19,0xbae23d1c959cdbdefff4782e4ddfe0a4f7c7a18f822a8f77e148a2fec9608287,0x19dff439fd91c3946b98eb65e07368c5c8c3414d,0x3e9bc21c9b189c09df3ef1b824798658d5011937,0x2e43ceaccd216a4d71e5aa10fe02d4070a46f4f2,1.0062780703745818e+22,Linear Token,LINA,18,20,283699,43000001347,227630,1568456,deprecated,3508817
16,11675745,2021-01-17 23:34:48,0x0d5950b5c53b40e898dba92d22e80bace45b497ae2ee2fa817d8fdd39737d33c,20,0x49ac9843d1659cdb49931c799a19dbac3e9dd0f69f973f2693bb25a39bc772fd,0x70ec2fa6eccf4010eaf572d1c1a7bcbc72dec983,0xfa5047c9c78b8877af97bdcb85db743fd7313d4a,0x2e43ceaccd216a4d71e5aa10fe02d4070a46f4f2,6.76574803704843e+17,ROOK,ROOK,18,244,164864,40000000000,124309,11678712,deprecated,3508802
17,11675756,2021-01-17 23:36:51,0x5ef50b9f9f06b1a949821347a04cca0bc2489a6323b12de3bcd2216276ed8784,21,0xaa038678feb48bb2312c5798c45aa41ae9b414a7e53d347b27f1807c9a24416a,0x4d96369002fc5b9687ee924d458a7e5baa5df34e,0x8888801af4d980682e47f1a9036e589479e835c5,0x2e43ceaccd216a4d71e5aa10fe02d4070a46f4f2,2.665839233935964e+18,88mph.app,MPH,18,59,164923,40000000000,124362,5958970,deprecated,3508791
18,11675779,2021-01-17 23:42:52,0xf1c29b1f1831f6e58b145e31ba094fbec6671916b77f6f06a5c352240d875051,24,0x4734d821680b3c2778376b74a0d8b7d0607acd0fc08c75c901f4a50d7fe539bc,0xc76225124f3caab07f609b1d147a31de43926cd6,0xb753428af26e81097e7fd17f40c88aaa3e04902c,0x2e43ceaccd216a4d71e5aa10fe02d4070a46f4f2,4.873064006583241e+17,Spice,SFI,18,102,151371,44000000000,112234,9369853,deprecated,3508768
19,11675790,2021-01-17 23:45:16,0xf4ed13d939fdb8f30b4020c91f066e60757bce4bd12d5f7629e53a8143245798,25,0x97a256a95c2bcf37dd0c4002acd3d1a8d84492d42afa509e049de1cd8facc543,0x8867f20c1c63baccec7617626254a060eeb0e61e,0x6c5ba91642f10282b576d91922ae6448c9d52f4e,0x2e43ceaccd216a4d71e5aa10fe02d4070a46f4f2,9.243902419340004e+20,Phala,PHA,18,162,167273,45100000000,126466,11980046,deprecated,3508757
20,11676654,2021-01-18 02:55:01,0xfd9f37287a80758d0750189764c01b2c1190a638937b0707a7be9ec13047965d,26,0xb6a5a6f3c49b22d9ed71168b57a1e3bb2bcd24798eb77ef96cb1fdee7f1f2278,0xe2aab7232a9545f29112f9e6441661fd6eeb0a5d,0x0aacfbec6a24756c20d41914f2caba817c0d8521,0x2e43ceaccd216a4d71e5aa10fe02d4070a46f4f2,1.031523532585976e+20,YAM,YAM,18,25,177428,40000000000,135554,1984026,deprecated,3507893
21,11676660,2021-01-18 02:55:48,0xe14f188edba0560c1711ba1f04190ea602bf858abbef5f786663c4245ce30406,27,0x4fe4b607b226624882f6ee4b06e015dad91c73aa68c252d73f93e5068caaad2f,0x8175362afbeee32afb22d05adc0bbd08de32f5ae,0xed91879919b71bb6905f23af0a68d231ecf87b14,0x2e43ceaccd216a4d71e5aa10fe02d4070a46f4f2,6.353096843985157e+20,DMM: Governance,DMG,18,166,170305,40000000000,129178,9409490,deprecated,3507887
22,11676669,2021-01-18 02:57:28,0xc19d54444da6e7a61b66267b28293b53d407855882dc67bea380287ad939fff8,28,0x3f33155871bf59742095f2c50494b489986a8220b87301c884883a126d52d809,0x64cac8fa24f437ceca90e20a7a24a609f162b0d1,0x362bc847a3a9637d3af6624eec853618a43ed7d2,0x2e43ceaccd216a4d71e5aa10fe02d4070a46f4f2,1.9936224453756885e+20,Parsiq Token,PRQ,18,106,154432,38000001561,126990,7774833,deprecated,3507878
23,11679996,2021-01-18 15:20:29,0x9802524b282abbb1f4997fbf017b8798dfcd0c229d9462ff959224822ff81396,32,0x65e2c940d5f3d3807ddfeefcca8017b83a950411205a653d3528cc45a8e10561,0x2e43ceaccd216a4d71e5aa10fe02d4070a46f4f2,0x408e41876cccdc0f92210600ef50372656052a38,0x8bd1661da98ebdd3bd080f0be4e6d9be8ce9858c,5.742903941262337e+20,Republic,REN,18,237,169175,112960381461,113514,7013880,deprecated,3504551
24,11680007,2021-01-18 15:23:32,0xb4d8f43b98d071a37a38a1483bd559c1d06e30f31cae1d9e2ea5905f2ecc8206,33,0x964d9fa2da2992c71b30c722787f814cfa90879534065feca467a9d0ad8ea6ca,0x8973be4402bf0a39448f419c2d64bd3591dd2299,0xa1d0e215a23d7030842fc67ce582a6afa3ccab83,0x2e43ceaccd216a4d71e5aa10fe02d4070a46f4f2,5.5894010359073344e+17,YFII.finance,YFII,18,159,164849,109000000000,124296,9874758,deprecated,3504540
25,11720792,2021-01-24 21:33:04,0x3a2a61a5fadb1d6c9aee3bb47aeb01c798bb9d079ec5b68028491c446c884929,34,0x80016d203de2e3d31b3ac098e5ca044941df1abc3acda51542405212c2d6acac,0xc0897d6ba893e31f42f658eead777aa15b8f824d,0xb4d930279552397bba2ee473229f89ec245bc365,0x2e43ceaccd216a4d71e5aa10fe02d4070a46f4f2,1.8352165644330764e+19,MahaDAO,MAHA,18,71,152550,70000000000,125306,7307262,deprecated,3463755
26,11731610,2021-01-26 13:34:36,0x1264d1b80eb1c10e5a751d651719c3f10c3225ace0cba0750f118c668c7ed1f4,37,0xa6d1893937b57d80dd04a0b57038ea549aa32f54651518b0a07ed44540a6f651,0x2e43ceaccd216a4d71e5aa10fe02d4070a46f4f2,0x8762db106b2c2a0bccb3a80d1ed41273552616e8,0xba65016890709dbc9491ca7bf5de395b8441dc8b,5.888110521585418e+21,Reserve Rights,RSR,18,140,197957,79000001459,166571,8781762,deprecated,3452937
27,11731610,2021-01-26 13:34:36,0x1264d1b80eb1c10e5a751d651719c3f10c3225ace0cba0750f118c668c7ed1f4,37,0xa6d1893937b57d80dd04a0b57038ea549aa32f54651518b0a07ed44540a6f651,0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852,0xdac17f958d2ee523a2206206994597c13d831ec7,0x2e43ceaccd216a4d71e5aa10fe02d4070a46f4f2,205107694.0,Tether USD,USDT,6,140,197957,79000001459,166571,8781762,deprecated,3452937
28,11731615,2021-01-26 13:35:12,0x2c4313d0830b1082fd0f209649472f9f3c2418a37b21bd85fb31687c8c7850fc,38,0x355a6fc2f9b19a96024d6086b492b9b740aa86d4b2f52e73363fefeddd95499d,0x2e43ceaccd216a4d71e5aa10fe02d4070a46f4f2,0x3e9bc21c9b189c09df3ef1b824798658d5011937,0x19dff439fd91c3946b98eb65e07368c5c8c3414d,1.0062780703745818e+22,Linear Token,LINA,18,180,182718,78000001459,144790,11917177,deprecated,3452932
29,11731615,2021-01-26 13:35:12,0x2c4313d0830b1082fd0f209649472f9f3c2418a37b21bd85fb31687c8c7850fc,38,0x355a6fc2f9b19a96024d6086b492b9b740aa86d4b2f52e73363fefeddd95499d,0x19dff439fd91c3946b98eb65e07368c5c8c3414d,0xdac17f958d2ee523a2206206994597c13d831ec7,0x2e43ceaccd216a4d71e5aa10fe02d4070a46f4f2,364015280.0,Tether USD,USDT,6,180,182718,78000001459,144790,11917177,deprecated,3452932
30,11731621,2021-01-26 13:36:10,0xf47b025f9d30de2c3ad01281c6e38dfa8d06c045959e7a99b6b18dd50fe11538,39,0x790649c807636ed135884ae75bacb8343e4ae6a59172de8bbe4ce79d3bd9bc8a,0x2e43ceaccd216a4d71e5aa10fe02d4070a46f4f2,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,0x5ac13261c181a9c3938bfe1b649e65d10f98566b,1e+20,Uniswap,UNI,18,173,131484,71000001459,113301,11246445,deprecated,3452926
31,11731621,2021-01-26 13:36:10,0xf47b025f9d30de2c3ad01281c6e38dfa8d06c045959e7a99b6b18dd50fe11538,39,0x790649c807636ed135884ae75bacb8343e4ae6a59172de8bbe4ce79d3bd9bc8a,0x5ac13261c181a9c3938bfe1b649e65d10f98566b,0xdac17f958d2ee523a2206206994597c13d831ec7,0x2e43ceaccd216a4d71e5aa10fe02d4070a46f4f2,1198843101.0,Tether USD,USDT,6,173,131484,71000001459,113301,11246445,deprecated,3452926
32,11731659,2021-01-26 13:43:59,0x86101c6860390216011ea1b53b2c76ca350e24fea023d50350b079e020e203e2,41,0x1f0687be279256075554d789f2ee33ef40a7e424c0c67c8cb0676f327db9d2d5,0x2e43ceaccd216a4d71e5aa10fe02d4070a46f4f2,0x6b3595068778dd592e39a122f4f5a5cf09c90fe2,0xce84867c3c02b05dc570d0135103d3fb9cc19433,5.5e+19,SushiToken,SUSHI,18,183,206320,55000000000,165189,9997932,deprecated,3452888
33,11731659,2021-01-26 13:43:59,0x86101c6860390216011ea1b53b2c76ca350e24fea023d50350b079e020e203e2,41,0x1f0687be279256075554d789f2ee33ef40a7e424c0c67c8cb0676f327db9d2d5,0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852,0xdac17f958d2ee523a2206206994597c13d831ec7,0x2e43ceaccd216a4d71e5aa10fe02d4070a46f4f2,389409779.0,Tether USD,USDT,6,183,206320,55000000000,165189,9997932,deprecated,3452888
34,11731683,2021-01-26 13:48:55,0x80a23e232a1ed8696201828c1c483c0f89afa5aa2248a3ee2da4a4c2996247a2,45,0x3d75d93fbf028a702a5d910c85f6ae89e2614fd3f908a6dc96426bb8a11aea31,0x2e43ceaccd216a4d71e5aa10fe02d4070a46f4f2,0x2ba592f78db6436527729929aaf6c908497cb200,0xddf9b7a31b32ebaf5c064c80900046c9e5b7c65f,2.2e+18,Cream,CREAM,18,137,190304,55000000000,162836,11727585,deprecated,3452864
35,11731683,2021-01-26 13:48:55,0x80a23e232a1ed8696201828c1c483c0f89afa5aa2248a3ee2da4a4c2996247a2,45,0x3d75d93fbf028a702a5d910c85f6ae89e2614fd3f908a6dc96426bb8a11aea31,0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852,0xdac17f958d2ee523a2206206994597c13d831ec7,0x2e43ceaccd216a4d71e5aa10fe02d4070a46f4f2,329773982.0,Tether USD,USDT,6,137,190304,55000000000,162836,11727585,deprecated,3452864
36,11731687,2021-01-26 13:49:57,0xfb7b9e12ea03ad16b7be9fe7c72a0db624e7a14a5296b3f4a573df4d7c07861d,46,0x29b4eceeb800f9502773b144fcc3d492aae8e3629d9ea674f38fbc6a234e6b2a,0x2e43ceaccd216a4d71e5aa10fe02d4070a46f4f2,0x8888801af4d980682e47f1a9036e589479e835c5,0x4d96369002fc5b9687ee924d458a7e5baa5df34e,1.6e+18,88mph.app,MPH,18,124,192832,55000000000,165134,10133050,deprecated,3452860
37,11731687,2021-01-26 13:49:57,0xfb7b9e12ea03ad16b7be9fe7c72a0db624e7a14a5296b3f4a573df4d7c07861d,46,0x29b4eceeb800f9502773b144fcc3d492aae8e3629d9ea674f38fbc6a234e6b2a,0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852,0xdac17f958d2ee523a2206206994597c13d831ec7,0x2e43ceaccd216a4d71e5aa10fe02d4070a46f4f2,210302645.0,Tether USD,USDT,6,124,192832,55000000000,165134,10133050,deprecated,3452860
38,11731688,2021-01-26 13:50:03,0xad1210562fa2c592c3c3afa26f0eeae209c5853eb451d4dc14d0f02a057df031,47,0xbfa88266e1c7b6f3db5df6b616f5e195144441278e837da5762dac1852e743fe,0x2e43ceaccd216a4d71e5aa10fe02d4070a46f4f2,0xa1d0e215a23d7030842fc67ce582a6afa3ccab83,0x8973be4402bf0a39448f419c2d64bd3591dd2299,2.5e+17,YFII.finance,YFII,18,84,192735,55000000000,165046,6930601,deprecated,3452859
39,11731688,2021-01-26 13:50:03,0xad1210562fa2c592c3c3afa26f0eeae209c5853eb451d4dc14d0f02a057df031,47,0xbfa88266e1c7b6f3db5df6b616f5e195144441278e837da5762dac1852e743fe,0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852,0xdac17f958d2ee523a2206206994597c13d831ec7,0x2e43ceaccd216a4d71e5aa10fe02d4070a46f4f2,426652884.0,Tether USD,USDT,6,84,192735,55000000000,165046,6930601,deprecated,3452859
40,11745832,2021-01-28 18:06:02,0xadf9ef655e8cdce790671268b85b7b25027fbfe565af6ca537cded8c5cf4b34d,50,0x12d3802f5ec403719340ac3060b2e3416c40309c0f7a0558e746f74df5281f90,0x2e43ceaccd216a4d71e5aa10fe02d4070a46f4f2,0xdac17f958d2ee523a2206206994597c13d831ec7,0x3041cbd36888becc7bbcbc0045e3b1f144466f5f,350000000.0,Tether USD,USDT,6,107,227225,60000000000,196023,7709765,deprecated,3438715
41,11745832,2021-01-28 18:06:02,0xadf9ef655e8cdce790671268b85b7b25027fbfe565af6ca537cded8c5cf4b34d,50,0x12d3802f5ec403719340ac3060b2e3416c40309c0f7a0558e746f74df5281f90,0x684b00a5773679f88598a19976fbeb25a68e9a5f,0x6468e79a80c0eab0f9a2b574c8d5bc374af59414,0x2e43ceaccd216a4d71e5aa10fe02d4070a46f4f2,3.563872105096768e+21,E-RADIX,eXRD,18,107,227225,60000000000,196023,7709765,deprecated,3438715
42,11745833,2021-01-28 18:06:06,0x0e38c3e6d4bc459c4c3b15620145de8fc25d7c50ad4672042b1d2836dfc2ace8,51,0x22e9ef23c6b3ab34fa3e263009cd19979ed8ba015e6bba2bddb81be46b42596f,0x2e43ceaccd216a4d71e5aa10fe02d4070a46f4f2,0xdac17f958d2ee523a2206206994597c13d831ec7,0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852,2007744828.0,Tether USD,USDT,6,122,153392,60000000000,114166,10483462,deprecated,3438714
43,11745833,2021-01-28 18:06:06,0x9b94d94c4a91463d20bb5af9f4f71084716b23b1a8bec7ba52a5cd2437a28f1b,52,0x22e9ef23c6b3ab34fa3e263009cd19979ed8ba015e6bba2bddb81be46b42596f,0x2e43ceaccd216a4d71e5aa10fe02d4070a46f4f2,0xa1d0e215a23d7030842fc67ce582a6afa3ccab83,0x8973be4402bf0a39448f419c2d64bd3591dd2299,3.0894010359073344e+17,YFII.finance,YFII,18,123,192748,100000000000,150058,10633520,deprecated,3438714
44,11745833,2021-01-28 18:06:06,0x9b94d94c4a91463d20bb5af9f4f71084716b23b1a8bec7ba52a5cd2437a28f1b,52,0x22e9ef23c6b3ab34fa3e263009cd19979ed8ba015e6bba2bddb81be46b42596f,0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852,0xdac17f958d2ee523a2206206994597c13d831ec7,0x2e43ceaccd216a4d71e5aa10fe02d4070a46f4f2,525148870.0,Tether USD,USDT,6,123,192748,100000000000,150058,10633520,deprecated,3438714
45,11746374,2021-01-28 20:06:34,0xd34810b2b58af832f963ccf52e7017d7ba342f37b2aafa1ac606b6db2e2cb1b1,53,0xb5a929bd015a5d8aa0b1607d8717e78de52dd981294a282924b536e5e858b769,0x2e43ceaccd216a4d71e5aa10fe02d4070a46f4f2,0xdac17f958d2ee523a2206206994597c13d831ec7,0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852,400000000.0,Tether USD,USDT,6,112,201522,61600000000,172702,10160923,deprecated,3438173
46,11746374,2021-01-28 20:06:34,0xd34810b2b58af832f963ccf52e7017d7ba342f37b2aafa1ac606b6db2e2cb1b1,53,0xb5a929bd015a5d8aa0b1607d8717e78de52dd981294a282924b536e5e858b769,0x60b2cc2c6ecd3dd89b4fd76818ef83186e2f2931,0xa1faa113cbe53436df28ff0aee54275c13b40975,0x2e43ceaccd216a4d71e5aa10fe02d4070a46f4f2,2.349463603712744e+20,AlphaToken,ALPHA,18,112,201522,61600000000,172702,10160923,deprecated,3438173
47,11746386,2021-01-28 20:08:48,0x73f0e5a588f67d168c1cad0d594e75dbbfd453f338055cd4734ba3ccc498ef6c,54,0x3828c40b82da78a50c4e151bda20fd014c1bd44f126b2151bc77beb9cfd811b3,0x2e43ceaccd216a4d71e5aa10fe02d4070a46f4f2,0xdac17f958d2ee523a2206206994597c13d831ec7,0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852,350000000.0,Tether USD,USDT,6,66,201446,61600000000,184651,10088332,deprecated,3438161
48,11746386,2021-01-28 20:08:48,0x73f0e5a588f67d168c1cad0d594e75dbbfd453f338055cd4734ba3ccc498ef6c,54,0x3828c40b82da78a50c4e151bda20fd014c1bd44f126b2151bc77beb9cfd811b3,0x8d2a4cc2e2ca0f7ab011b686449dc82c3af924c7,0x3155ba85d5f96b2d030a4966af206230e46849cb,0x2e43ceaccd216a4d71e5aa10fe02d4070a46f4f2,1.0854201526848948e+20,THORChain ETH.RUNE,RUNE,18,66,201446,61600000000,184651,10088332,deprecated,3438161
