,blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,confirmations
0,10638628,2020-08-11 12:24:50,0xaf9ed9c998ca661a6aa10248cf16621ad36ea8f68c87c317dbc05ec9fb06eca2,21002,0xa16642f1d0ba7e0c65022a06abe425a7b20878b12082af5b1e29cbb98df48680,0x07f0eb0c571b6cfd90d17b5de2cc51112fb95915,0xdac17f958d2ee523a2206206994597c13d831ec7,0x3081fdae3fb9d04f4eb6c19d9de46e82abc55f03,325580000.0,Tether USD,USDT,6,158,174000,111000000000,56209,8152689,deprecated,4546071
1,10638936,2020-08-11 13:39:07,0xc9e18cef0fdffbfbd9bd641dd17b436d9816264bf65c030dd4fe3fd712f54c95,14,0xd65b44055a74e3319f258833eaab3fffc4b0dd82c5a31d5abd3b0ecb2858f1b7,0x3081fdae3fb9d04f4eb6c19d9de46e82abc55f03,0xdac17f958d2ee523a2206206994597c13d831ec7,0x378cd9f6103d3e79aef03030c8dfc19076253647,325580000.0,Tether USD,USDT,6,132,53571,157000000000,26209,6365520,deprecated,4545763
2,10754180,2020-08-29 07:00:43,0xc91d8279dfbd8b451c8af06a2762a703fc1263ea70613862f9c3e9e53cd9f133,16,0x0be10e7483de2f78b6da40f292e227481c7d4e0ea40e73adef89bad9129b5443,0xb9b752f7f4a4680eeb327ffe728f46666763a796,0x56d811088235f11c8920698a204a5010a788f4b3,0x3081fdae3fb9d04f4eb6c19d9de46e82abc55f03,4.960288456074896e+19,bZx Protocol Token,BZRX,18,183,266545,99000000000,215303,10232174,deprecated,4430519
3,10754227,2020-08-29 07:12:29,0x1c5b9cc43a5fddb45796b8e89d7d2c46bfefd21bce86c17a00f13647173b0dbe,17,0xf544038664f0e02a1c8213a08dc44d215640571834bce584c5ed4ca57e7e2428,0xb9b752f7f4a4680eeb327ffe728f46666763a796,0x56d811088235f11c8920698a204a5010a788f4b3,0x3081fdae3fb9d04f4eb6c19d9de46e82abc55f03,1.5557406430027668e+20,bZx Protocol Token,BZRX,18,232,254614,102000000000,204626,11213504,deprecated,4430472
4,10767955,2020-08-31 09:46:46,0xd8178b8750da7dd7203a1bf5092008a8daa9d5cf1aa5fbe63656ccc9cab696a7,2719761,0xa2ce09586710a1f6b56a8f4b06a049887d5a1f91a914d4e6ca93a158182b821e,0x0681d8db095565fe8a346fa0277bffde9c0edbbf,0xdac17f958d2ee523a2206206994597c13d831ec7,0x3081fdae3fb9d04f4eb6c19d9de46e82abc55f03,1446590000.0,Tether USD,USDT,6,146,207128,251000000000,56209,4577074,deprecated,4416744
5,10768180,2020-08-31 10:36:15,0xa963b888d53300f49f12969ebc34847d4f71170509ded77314b6653f3401b9e4,20,0x9e7532a4fc591c928499f38b9158b34ac60a78a202aa59af1dc4f222d1cdad53,0x3081fdae3fb9d04f4eb6c19d9de46e82abc55f03,0xdac17f958d2ee523a2206206994597c13d831ec7,0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852,1446590000.0,Tether USD,USDT,6,120,294131,217000000000,240765,6694601,deprecated,4416519
6,10768180,2020-08-31 10:36:15,0xa963b888d53300f49f12969ebc34847d4f71170509ded77314b6653f3401b9e4,20,0x9e7532a4fc591c928499f38b9158b34ac60a78a202aa59af1dc4f222d1cdad53,0x88d97d199b9ed37c29d846d00d443de980832a22,0x04fa0d235c4abf4bcf4787af4cf447de572ef828,0x3081fdae3fb9d04f4eb6c19d9de46e82abc55f03,7.98941823848787e+19,UMA Voting Token v1,UMA,18,120,294131,217000000000,240765,6694601,deprecated,4416519
7,10808196,2020-09-06 13:14:26,0x42d732b6d8609649659f48508cc1b54ac3f27109b69cd7834043d7a58cc41cbe,23,0x031bd170576c4027cc2e8790084f515bf1438dbdfafa8c766b7c826ec9fa162e,0x33906431e44553411b8668543ffc20aaa24f75f9,0xc4c2614e694cf534d407ee49f8e44d125e4681c4,0x3081fdae3fb9d04f4eb6c19d9de46e82abc55f03,4.772092915065209e+22,Chain Games,CHAIN,18,40,172197,115000000000,130871,2150617,deprecated,4376503
8,10822662,2020-09-08 18:32:17,0x77c5d7b99f388d2a06443fd634e47fe69cce9c394032dcda7bec79fc3fdf8ea7,25,0x2395fbd40f0baefdb175fc3242198769892951c8f0b8d5c0288c0ccb90f6324b,0x3081fdae3fb9d04f4eb6c19d9de46e82abc55f03,0x04fa0d235c4abf4bcf4787af4cf447de572ef828,0x88d97d199b9ed37c29d846d00d443de980832a22,7.98941823848787e+19,UMA Voting Token v1,UMA,18,118,285638,133000000000,234169,6908345,deprecated,4362037
9,10822662,2020-09-08 18:32:17,0x77c5d7b99f388d2a06443fd634e47fe69cce9c394032dcda7bec79fc3fdf8ea7,25,0x2395fbd40f0baefdb175fc3242198769892951c8f0b8d5c0288c0ccb90f6324b,0x7835a44f91b9d196076cb2b38280bbc4bf237924,0x4b4701f3f827e1331fb22ff8e2beac24b17eb055,0x3081fdae3fb9d04f4eb6c19d9de46e82abc55f03,1.032533467301846e+22,DistX,DISTX,18,118,285638,133000000000,234169,6908345,deprecated,4362037
