,blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,confirmations
0,7275828,2019-02-27 20:15:41,0x0292d1eb649f00127b0e2728c03a4a6fa7f5f3567cc850005b88d2b61f572e7e,0,0xdc60613d5a505a88afa438b6b46f718e6fdda8e7d30dcdb7a27517f5a44c87e0,0x90a7f1d0c24c808daf3a6d2a5a1cc64ee83b4298,0x0d8775f648430679a709e98d2b0cb6250d2887ef,0x308aec1e9ab89834b671aed825178be206c5a3cf,1.84952935e+19,BAT,BAT,18,42,200000,14000000000,36852,3593992,deprecated,7908557
1,7297677,2019-03-03 16:37:46,0xbed7be39bc57efdea71f0bc03d2fcf29a01a8ec4f7d67129c6190b8f5ffcb4ef,2971003,0x916136ef15166ccd146a4ec2e239a708ffda7eafec2cdcba7015aa13f562b86f,0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,0xb8c77482e45f1f44de1745f52c74426c631bdd52,0x308aec1e9ab89834b671aed825178be206c5a3cf,9.3e+17,BNB,BNB,18,14,105028,40000000000,52514,399873,deprecated,7886708
2,7361930,2019-03-13 17:07:26,0x5887e7f9e8e88303b93da08a36c951189cddd89688784040c4b5caac0836354c,1322815,0x563ac7fa6c9f50d959869bfc53c3bdba84de8bd4cb04e7b58dd92586c54056ff,0xd551234ae421e3bcba99a0da6d736074f22192ff,0xb8c77482e45f1f44de1745f52c74426c631bdd52,0x308aec1e9ab89834b671aed825178be206c5a3cf,2e+19,BNB,BNB,18,8,75156,40000000000,37578,268747,deprecated,7822455
3,7411618,2019-03-21 10:26:40,0xbc80072cd02ffba7a3ffb8a4a65fa6af083e84090b63367a43f5fe8adc85b5f0,1316482,0x6ae38b95876ce4b7a7a1524f9cbfc758976da93597277fd3b9107b07767c8e9c,0x0681d8db095565fe8a346fa0277bffde9c0edbbf,0xb8c77482e45f1f44de1745f52c74426c631bdd52,0x308aec1e9ab89834b671aed825178be206c5a3cf,4.94e+18,BNB,BNB,18,12,75028,40000000000,37514,405348,deprecated,7772767
4,7464138,2019-03-29 15:18:14,0xba72bf2c0e5469e3ab3dd462f9902141fc13f35542a12e5ba3cf8161d0f0d953,0,0x7c89eed6a4c24064bb918311a5609202ed5f3779f9909aa990c554056c544fc8,0x6470441454c35a6d02b5266983c1fdcb9dae7b4a,0x0d8775f648430679a709e98d2b0cb6250d2887ef,0x308aec1e9ab89834b671aed825178be206c5a3cf,2.387697131e+19,BAT,BAT,18,67,200000,10000000000,21916,3231092,deprecated,7720247
5,7464661,2019-03-29 17:13:18,0x9439e46dcb9a8f3c83c98e68a12885fe30e46a619a7e4f9efe5c3ed800abe121,45,0x5bb381e57f1668020eb5360893c4ea01e044b45b98f498da0afc1527a543cf0c,0x6eff33066147e7dd30c9178ee640236a67222b76,0x297e4e5e59ad72b1b0a2fd446929e76117be0e0a,0x308aec1e9ab89834b671aed825178be206c5a3cf,1e+18,ValorToken,VALOR,18,10,1961104,15000000000,1960848,2665315,deprecated,7719724
6,7477097,2019-03-31 15:59:53,0xcc41a7b9905ab10d6b665e35264049cf92a49051f8574087e79b0b013b5b39e0,0,0x1cca5aaae02bfb8f74272f4b00da8bcb7c60dd50f7b2bf6bc6187bb8275a3f32,0x26d1825b736586262e23b02e0aa610f24e0783d7,0xe41d2489571d322189246dafa5ebde1f4699f498,0x308aec1e9ab89834b671aed825178be206c5a3cf,9.39699863e+18,ZRX,ZRX,18,147,200000,5000000000,37106,4629097,deprecated,7707288
7,7624998,2019-04-23 16:55:24,0x80ff384d287d61009a55429af99d74cad02a1e4d4c13a24a39ea4fafa4cb8362,0,0x4f781f240d006436e14b0ce30a2e26d7e3166b11fee519f0d27d33f5ea38371d,0x308aec1e9ab89834b671aed825178be206c5a3cf,0xb8c77482e45f1f44de1745f52c74426c631bdd52,0xad2d2ffc87d3b513886bc3f173bf2579318886dd,1e+18,BNB,BNB,18,158,73519,6000000000,52514,4814637,deprecated,7559387
8,7625052,2019-04-23 17:09:09,0x3c596e77f136305763bb5db1ae81c54e76f818076a34ebf19db3195bfad75c7e,1,0x71be264bfcff193c427a0e4aae58e86728b6780e2d855d7ea9219d80c61fc406,0x308aec1e9ab89834b671aed825178be206c5a3cf,0xb8c77482e45f1f44de1745f52c74426c631bdd52,0xad2d2ffc87d3b513886bc3f173bf2579318886dd,2.487e+19,BNB,BNB,18,95,52609,6000000000,22578,6675799,deprecated,7559333
9,8162651,2019-07-16 15:16:51,0xd958ec0227d47d7ef5084eea300bdb139cd6ef03745fa15d3a23510a6729df8e,2,0xea5cb21677f7d6972880c38a6ae89f58826ccc2d943bb94ec7725082d1bbc162,0x079e0a6ffe76306f1fb93a376dec12286872a874,0x514910771af9ca656af840dff83e8264ecf986ca,0x308aec1e9ab89834b671aed825178be206c5a3cf,9.21624483e+18,ChainLink Token,LINK,18,123,62401,20000000000,37001,5217944,deprecated,7021734
10,8248375,2019-07-29 23:08:04,0xa651b00a0d98b24e323d7064374a5e378f6b2d60d216abc63d0988c75405d41c,184638,0x7161091ca6979afcc765b891d89e33602d06284e337ee60323611050b6eae277,0x00cfbbaf7ddb3a1476767101c12a0162e241fbad,0x4dc3643dbc642b72c158e7f3d2ff232df61cb6ce,0x308aec1e9ab89834b671aed825178be206c5a3cf,1e+17,Amber,AMB,18,18,60000,2000000000,52108,708706,deprecated,6936010
11,8657547,2019-10-01 16:26:31,0xba206d92f8f8baa7c9c5791edc02cbdb30f86e77ba6a8663a701beea6b56ee19,3,0xc6210e5f4fd3d474606b02517ddc9c992334b5b038858ba3f32bbd6191889009,0x308aec1e9ab89834b671aed825178be206c5a3cf,0xe41d2489571d322189246dafa5ebde1f4699f498,0xad2d2ffc87d3b513886bc3f173bf2579318886dd,9.39699863e+18,ZRX,ZRX,18,107,72948,10000000000,37106,5314669,deprecated,6526838
12,8657549,2019-10-01 16:26:59,0x43b383eafdc82e660dc0832e328542d5e885907719e1290c99dd34cbcae51c5b,4,0x17e6db564ce4e0266aadd57a87575d8d9a0b5c966c91c6853e17d3e2eef7f3be,0x308aec1e9ab89834b671aed825178be206c5a3cf,0x4dc3643dbc642b72c158e7f3d2ff232df61cb6ce,0xad2d2ffc87d3b513886bc3f173bf2579318886dd,1e+17,Amber,AMB,18,88,72951,10000000000,37108,8121167,deprecated,6526836
