,blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,confirmations
0,10777407,2020-09-01 20:07:33,0xb53bd21f4201f0bf5145c0cfa99b2f48552b7ef89607de81e9310d18566add7a,1,0x8160d84a6308be0539d11e906a0c316cb6f4f8605101b1440497c7dc2c6f00e8,0xe964d013d193354170ad1d3d8e500f6d26334f45,0x54c9ea2e9c9e8ed865db4a4ce6711c2a0d5063ba,0x319ab25aee1aef3a190db7b7674b5c469ebd5600,6.404856744122858e+21,BarterTrade,BART,18,137,165113,479000000000,124532,10426665,deprecated,4406805
1,10782907,2020-09-02 16:28:40,0xd13ca182a0dd3a194e5541b692eb08ed6451453423b6921ebebbfd7e8342e598,5,0x0df774b1920397330bd507cd693ee2afde1d227e5300e01691568e5527a763b9,0xf80d79c62ffd82bc2914e4e2e42c5b89e4a50e2d,0xf1f5de69c9c8d9be8a7b01773cc1166d4ec6ede2,0x319ab25aee1aef3a190db7b7674b5c469ebd5600,3.205324169639523e+20,Definitex,DFX,18,30,166085,500000000000,125401,3114491,deprecated,4401305
2,10786254,2020-09-03 04:37:58,0xa971016765c76205b35349f2b73d1b970379050ce67b54415f8669f881e2de80,7,0xb3d87f40fba4913332b9607e535efc3c167257690c2ec284719298db1913219b,0x319ab25aee1aef3a190db7b7674b5c469ebd5600,0xf1f5de69c9c8d9be8a7b01773cc1166d4ec6ede2,0xf80d79c62ffd82bc2914e4e2e42c5b89e4a50e2d,3.205324169639523e+20,Definitex,DFX,18,94,156246,362000000000,113776,6371735,deprecated,4397958
3,10786833,2020-09-03 06:52:29,0x88e2dee03e64f7a618609ace9d08f0d995367a32953338bc159cf5424780cfe0,8,0x88960f5d253eae7e90bc9b18fb95ce3faa973856659d1118e54bcb49644f24ab,0xd4ab59987e04cf4bc918ce1327f79e8169c4f0be,0x03c866291f072471a781e701fbc9ebd2f79260df,0x319ab25aee1aef3a190db7b7674b5c469ebd5600,13.0,YieldLife.finance,YFLF,0,232,151615,400000000000,124468,11352786,deprecated,4397379
4,10786889,2020-09-03 07:05:10,0xe7a8891a626b9bcb652db2f06833bb02304d78875dfb9e3e943763d4a194140a,9,0xa0f27e3851736eac9a4018302d9c0102cf4589d254dbb1f51e37f203a79e5598,0xabf1ace8c28630a1e512cee59a3c410abddc2d20,0x2b78c26973545f9fd7ebdb01922966628382e6ba,0x319ab25aee1aef3a190db7b7674b5c469ebd5600,5.035557745566816e+18,yefam.finance,YEFAM,18,106,164836,401000000000,124284,6440759,deprecated,4397323
5,10786906,2020-09-03 07:09:25,0xa0d57b59ebead8e1c1124aee6bbb61bf3ee49c514781c1ac857360ef028c32f9,11,0x334ae47243c219c082859904098fd357c5bfa907d15983cb692b8d2219c6796d,0x319ab25aee1aef3a190db7b7674b5c469ebd5600,0x03c866291f072471a781e701fbc9ebd2f79260df,0xd4ab59987e04cf4bc918ce1327f79e8169c4f0be,13.0,YieldLife.finance,YFLF,0,97,155146,400000000000,112776,11730145,deprecated,4397306
6,10786938,2020-09-03 07:17:49,0x587e11bc4e8923db6348fe454b31f653c6eced38c8ad378f7bec6d932d25e129,16,0x9d2c82d9cf711cfb3063af61ab3b722204b11977b8b65b3223baec78f1bb3107,0x319ab25aee1aef3a190db7b7674b5c469ebd5600,0x2b78c26973545f9fd7ebdb01922966628382e6ba,0xabf1ace8c28630a1e512cee59a3c410abddc2d20,5.035557745566816e+18,yefam.finance,YEFAM,18,51,168099,401000000000,112536,3367950,deprecated,4397274
7,10789752,2020-09-03 17:48:04,0x2b21ae82c7cb7912e232a0fc16962135f9fa4fd61cc841a529147095acfbbe9e,17,0xa383927a96c2a65717591098a090da91cea678bd2d104b3be37c56aa9a903a41,0x73282a63f0e3d7e9604575420f777361eca3c86a,0x468ab3b1f63a1c14b361bc367c3cc92277588da1,0x319ab25aee1aef3a190db7b7674b5c469ebd5600,4e+19,YELD,YELD,18,124,288561,466000000000,189789,10201119,deprecated,4394460
8,10790038,2020-09-03 18:52:10,0xe7d0b16e7c26e1afb99b3e61156249d9d0287c600c375b387a27f423592f82a1,22,0xe03eff3aeae08532b231dc9fd188d563dc502dc43ce1ea6787467f9d0316b925,0x319ab25aee1aef3a190db7b7674b5c469ebd5600,0x468ab3b1f63a1c14b361bc367c3cc92277588da1,0x164ed0df02b3747315b50b806b79962ad9517578,2e+19,YELD,YELD,18,167,155174,487000000000,115786,9577953,deprecated,4394174
9,10790448,2020-09-03 20:23:16,0x0cb270fe452f27359166062d52570e3d0b74880065bcc36f97c586e3234d29d9,23,0x8fbd50418ce4f00eef2ab5237de259d4553a28fd46a0eda87817544fe21473b9,0x319ab25aee1aef3a190db7b7674b5c469ebd5600,0x468ab3b1f63a1c14b361bc367c3cc92277588da1,0x164ed0df02b3747315b50b806b79962ad9517578,2e+19,YELD,YELD,18,50,155174,377000000000,112802,6009111,deprecated,4393764
