,blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,confirmations
0,8528229,2019-09-11 11:30:35,0x81bcc4a5023fa0e59488873d9b5558f1677b9dfbe3c29ebeaaa2b0d609275334,33,0x86c4898cb88105f9273eb9c0d16afb69d3d7bfbbd6d4fba1fbcbf0ca4116e0ed,0x326e99add8d8f0e7356b94122f7530d6c5a58de3,0xfcd3a0f5f416e407647a7518b90354946d316059,0xfcd3a0f5f416e407647a7518b90354946d316059,9e+18,BitConnect2,BC2,18,99,171066,10000000000,114044,6487701,deprecated,6656111
1,10761489,2020-08-30 09:50:43,0x6997791f72e1859f6f6c28029addd44b392229e3de497e667f1fb53bd019ed9c,35,0x2a72b40fdc4a89ec63677ecb48cacdd8e21a853a141728061ff9517e89e7de6c,0xcb4f983e705caeb7217c5c3785001cb138115f0b,0x45f24baeef268bb6d63aee5129015d69702bcdfa,0x326e99add8d8f0e7356b94122f7530d6c5a58de3,3.115322775326515e+18,YFValue,YFV,18,125,164849,221000000000,112280,12250087,deprecated,4422851
2,10764760,2020-08-30 21:54:54,0xbdcf8db53e5799821853b3e3dcd9319c8f08de601ac0f68152b627d7dbd804f0,39,0xba1b20ab985ab874f16a3f2e2015cb087dfde9a39b38b19a672a14bf6cde480f,0x6e07a1c50d4db0979a0a65bc8b13744a8a1501de,0xcee1d3c3a02267e37e6b373060f79d5d7b9e1669,0x326e99add8d8f0e7356b94122f7530d6c5a58de3,1.5554481183913876e+18,yffi.finance,YFFI,18,101,151344,139000000000,124226,10485691,deprecated,4419580
3,10774122,2020-09-01 08:13:46,0xe6c3fcbd74d39cb3cbf13f6ff8c64ed6e2b55ea675d0b8a9580f48e253d5125f,41,0x9628b23a39b0d86cc5db4c8508e2604922f6f2e443aa4690838536b729029b4e,0x326e99add8d8f0e7356b94122f7530d6c5a58de3,0x45f24baeef268bb6d63aee5129015d69702bcdfa,0x1f30c9f912f48bb15b3b17c591db906f0128e179,0.0,YFValue,YFV,18,219,41484,428000000000,27656,11456040,deprecated,4410218
4,10777150,2020-09-01 19:16:42,0x75595376e014c93b3bb6ce98f04ba5744b77d25308ba93b5da6a4f4f92f51841,42,0x2943ece6e3bc6b1fd1f2c76cf9978b0837f2dec90277b8c435eb8f3b7e4c5c6a,0x326e99add8d8f0e7356b94122f7530d6c5a58de3,0xcee1d3c3a02267e37e6b373060f79d5d7b9e1669,0x80bb7285126cb7fbe18179b77c3816e9e4934dfa,0.0,yffi.finance,YFFI,18,40,41484,479000000000,27656,2582956,deprecated,4407190
5,10778210,2020-09-01 23:01:56,0xdad422a42a65270773ac4c06fb5b079694091695ebed3f75b895d2374e9cf721,44,0x04daf355e6dfd0f25c1392187fe2133423bd9c16a6eea0e2d0034ae9b21999b2,0x326e99add8d8f0e7356b94122f7530d6c5a58de3,0xcee1d3c3a02267e37e6b373060f79d5d7b9e1669,0x80bb7285126cb7fbe18179b77c3816e9e4934dfa,1.5554481183913876e+18,yffi.finance,YFFI,18,142,76728,400000000000,36152,11962572,deprecated,4406130
6,10784266,2020-09-02 21:30:44,0x6a153c05ba2f3afa4accaac857118792751354474c6b95b08995cd2c73a0f032,48,0x5bf2036e256ca6f6194424322a8e3dac066f9cf48b6c16043e9ffafe91bcae05,0x1103358cd6389fc536c4bf7e2820cc0d2f1f38aa,0x85ca6bf48fbfdc4bd9deea4e4fe8259a65dac9d8,0x326e99add8d8f0e7356b94122f7530d6c5a58de3,4.904752867591662e+18,YFA-finance,YFA,18,97,166325,320000000000,125617,8228101,deprecated,4400074
7,10784612,2020-09-02 22:47:18,0x14184658c9919991320b73dcc913eb61faaf917f006bf467f09812329e666086,49,0x9db9e35beff91e20835c714df92dc4ee0e15ec0b988eedab28d6b2f42ddcb406,0x326e99add8d8f0e7356b94122f7530d6c5a58de3,0x85ca6bf48fbfdc4bd9deea4e4fe8259a65dac9d8,0x5411bddf493cc8ad4ad01da02e5e30e742076610,4.904752867591662e+18,YFA-finance,YFA,18,9,55959,320000000000,22306,720999,deprecated,4399728
8,10789861,2020-09-03 18:12:32,0x6096082b8c2f08b51abf5f406025d44c09a021dc86c3bf19562fa7f0726e4191,116,0xe352209d6536c81cbf706a7b43b2476f5e7d821278575711e7da1bd6822fcb75,0x5411bddf493cc8ad4ad01da02e5e30e742076610,0xef327568556310d344c49fb7ce6cbfe7b2bb83e6,0x326e99add8d8f0e7356b94122f7530d6c5a58de3,4.90475e+18,YFA finance,YFA,18,225,80272,340000000000,53515,8975175,deprecated,4394479
9,10789891,2020-09-03 18:18:26,0x52fb9b91acbc2d937907b22ab9d82588dc3cc5095f431433fee6ed8813a8dbcb,50,0xbcca04c211b6a0e53ead5f87c08596a82ca071ffedd3629c1594ad2bd9135aff,0x326e99add8d8f0e7356b94122f7530d6c5a58de3,0xef327568556310d344c49fb7ce6cbfe7b2bb83e6,0x6c74da2a57cdd77cded9ad7f6a4d504437ab17e5,4.90475e+18,YFA finance,YFA,18,39,80272,484000000000,38515,3787810,deprecated,4394449
10,10798192,2020-09-05 00:35:03,0x248ec289bd6d42d1327a4a34cfc8ae8206fe42abb36679008ef9ff5b986ebfcf,30,0xab9ef2f6edb2700eca7330d8768d6fa53819a1eefee2239862c13fbf3a2f1d00,0xa5403b1849cd49e7c9df080993efa829ecf8f624,0x38acefad338b870373fb8c810fe705569e1c7225,0x326e99add8d8f0e7356b94122f7530d6c5a58de3,2.2255e+19,yearn4.finance,YF4,18,173,100000,101000000000,53604,12247662,deprecated,4386148
11,10806984,2020-09-06 08:53:04,0x5994dae502cc828070ad719887d1187f8313e3eec69a8fc41690e3fba2ba67a0,52,0xc26a7f23087faac4123650eef14ae019d24c1ef2bc1fadcdd9a601ac1a037559,0x7baf8fcb946891385fd96fefc96bd7dcb40bd779,0xe7ad6a626810adcfae4602648ae3fed6fd9ca36e,0x326e99add8d8f0e7356b94122f7530d6c5a58de3,6.9837193279040045e+19,Topaz Finance,TPZ,18,259,165078,143000000000,112484,12240109,deprecated,4377356
12,10809786,2020-09-06 19:02:48,0xe38a6c1f5c23500c21d1ad4aa966d48ad0b2b105c3565bbf6ab92cdc941f8da1,54,0x82280110c0e3efa351e076fb865b717b2ef98db1539bb89f52aedde369b7dc76,0x6a2a19d5a051486a2ebc8ff4ed1eac4a45afe74a,0xcd453276f4db9c38855056a036c4a99a8cac7b8d,0x326e99add8d8f0e7356b94122f7530d6c5a58de3,1.2883357809990356e+18,Yakuza DAO,YKZ,18,190,164781,97000000000,124234,10934243,deprecated,4374554
13,10810654,2020-09-06 22:05:41,0xb5de8d1f344bf12cb8cb7fd55ee8244a2abca64800a5fc72acae1adae9021a07,55,0x0ef17342d1091bfbcc7148d6bd535acc3046f20faed32fc6397061b6ac860c01,0x6a2a19d5a051486a2ebc8ff4ed1eac4a45afe74a,0xcd453276f4db9c38855056a036c4a99a8cac7b8d,0x326e99add8d8f0e7356b94122f7530d6c5a58de3,3.6905519275786696e+18,Yakuza DAO,YKZ,18,127,148019,89000000000,109234,8004156,deprecated,4373686
14,10822775,2020-09-08 18:56:02,0x6e892ea823be28708c25a8cd4222b7c34604b207f7b7e4ae3e45c1378a6dfe4a,57,0xd913c487f582fa4d055855ac7f88fc351fad32b101cd1e3df1608f80ec348e0f,0x326e99add8d8f0e7356b94122f7530d6c5a58de3,0xcd453276f4db9c38855056a036c4a99a8cac7b8d,0x6a2a19d5a051486a2ebc8ff4ed1eac4a45afe74a,4.978887708577705e+18,Yakuza DAO,YKZ,18,21,178258,130000000000,121771,1318592,deprecated,4361565
15,10829308,2020-09-09 19:02:39,0x8d5ba8b137f8d9afb8646f1e21aa91265c16053ba6e30ec01195bcadbd7e45cd,58,0xad1446128a4a3180bc18d2f38046dde1c9bb41a72dc3a6dd45b06ac3492ed00c,0x7e9cbdd5c051d2722806e0a09b5eae1252ad9dd6,0x1be3cc2c09699be03a7fc307abffcb3ba3ef2f00,0x326e99add8d8f0e7356b94122f7530d6c5a58de3,7.876657488763647e+19,yield.finance,YiFi,18,170,167274,87000000000,126467,9367642,deprecated,4355032
16,10829337,2020-09-09 19:07:57,0x14ad1f0f0528ac3c75be34412b084e47b555696d349a9a1bb250a671faa3306f,59,0x6a004acfa0ba4c839bc3ebcc2d99fa9b7269c33504483b4d86c787dce96bd23b,0x327dda63853fba7963097e20f4e1f435a7244361,0x766f07570e0034521badd25f758a2259429ac43b,0x326e99add8d8f0e7356b94122f7530d6c5a58de3,3.7561046826227565e+19,Vault.money,XVFI,18,21,166162,86700001459,125471,2609458,deprecated,4355003
17,10833679,2020-09-10 11:23:54,0x29eb541202d4bac6b99f20bdebb69cbfeceb93619503d05ae2c8b43e3ab686cc,60,0xee1ee9d7180cdcba74f52c76b9a850a81d9f82ac2ce0ce87ce41d57555b48c16,0xed394ef77bdeb1e9bf6d76ad59baac3afb65c189,0xc47e5efe35397007d94b9d6b1f68565df148d73c,0x326e99add8d8f0e7356b94122f7530d6c5a58de3,2.7720841472313315e+19,YFSTAR.finance,YFSTAR,18,75,164785,85500000000,124238,7515223,deprecated,4350661
18,10846748,2020-09-12 11:05:30,0x0cf31fe1bbad167891bf868a6f691e1124ee25856494d2cb2ad6ed80529e5c68,63,0xe68f3fc74821a41932c2d77c01d107a7ed26a7c55f46448789d326216e3ccd03,0xaf996125e98b5804c00ffdb4f7ff386307c99a00,0x5befbb272290dd5b8521d4a938f6c4757742c430,0x326e99add8d8f0e7356b94122f7530d6c5a58de3,3.1715136043103514e+18,Xfinance,XFI,18,44,165147,82000000000,124563,2973749,deprecated,4337592
19,10846762,2020-09-12 11:08:24,0xb06b2730b06190d19d006f2003a72ac2cfcb7402b8f45cdfe53f292f4abe89c9,64,0x76f76f636fcd08084fa109899edeb81c991987070402156a0c5cfe60f64365e6,0x190c9e680623701edfc85c4cd59cc2ab2213e4b0,0x5befbb272290dd5b8521d4a938f6c4757742c430,0x326e99add8d8f0e7356b94122f7530d6c5a58de3,3.30501968503937e+18,Xfinance,XFI,18,105,152098,82000000000,100075,5829197,deprecated,4337578
20,10846855,2020-09-12 11:25:00,0x380d03958591f8fe6456568f041c4f7add5005a3760a106b8b2c9e6158cf365a,66,0x711b5657ef180590605d64f155b58f16f61c7532e8071f585c80526adddb086c,0x326e99add8d8f0e7356b94122f7530d6c5a58de3,0x5befbb272290dd5b8521d4a938f6c4757742c430,0x5cd1c00a88822182733e3ac335863fcc9a1c0705,6.4765e+18,Xfinance,XFI,18,80,300000,100000000000,181716,3222304,deprecated,4337485
