,blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,confirmations
0,10754797,2020-08-29 09:17:14,0x7591ada14159eee5313339a1f211069728297b36a5d53df2590e2190f828045e,0,0xce2fcda8856947461d2924309a5061c8f6ed3ee10bd72a7a0e3dd60843b4e6ef,0xce84867c3c02b05dc570d0135103d3fb9cc19433,0x6b3595068778dd592e39a122f4f5a5cf09c90fe2,0x34159019e86053bc77a4f8761dc58a34b2b6e862,3.313138798767215e+20,SushiToken,SUSHI,18,188,164993,107000000000,112409,9175497,deprecated,4429766
1,10754937,2020-08-29 09:50:50,0x9fd57b4ef3a9af77b0f5d5d18aa17b57e03d6d0b755f9e5e353c40442e594204,1,0x6a4755370e3420dca1344fffa1340842abb9e1745967f6ca6d7b3ca60230de78,0xce84867c3c02b05dc570d0135103d3fb9cc19433,0x6b3595068778dd592e39a122f4f5a5cf09c90fe2,0x34159019e86053bc77a4f8761dc58a34b2b6e862,1.6350771467250654e+20,SushiToken,SUSHI,18,132,134803,105000000000,97409,9611755,deprecated,4429626
2,10755687,2020-08-29 12:39:16,0xb8f77ffe92af802dd9f24edec0df270bf38db79c37997551f7452a6876231ebc,2,0x03370209db70b815787ef57370f5375060ebc7f1e00e110982169f93c99064e3,0xce84867c3c02b05dc570d0135103d3fb9cc19433,0x6b3595068778dd592e39a122f4f5a5cf09c90fe2,0x34159019e86053bc77a4f8761dc58a34b2b6e862,1.175794908479952e+20,SushiToken,SUSHI,18,176,134803,63000000000,97409,12142306,deprecated,4428876
3,10775025,2020-09-01 11:31:21,0x1dfbabc174dce173c7583f13f6423f25660825c2e84a93ab7960be8b83778b3d,5,0x83891d83edd64c5748bc095cc2f82b0930e6783dfbe641521c7fa31dd7458924,0x34159019e86053bc77a4f8761dc58a34b2b6e862,0x6b3595068778dd592e39a122f4f5a5cf09c90fe2,0xce84867c3c02b05dc570d0135103d3fb9cc19433,6.121105329649354e+20,SushiToken,SUSHI,18,140,178971,462000000000,137422,9006067,deprecated,4409538
4,10775025,2020-09-01 11:31:21,0x1dfbabc174dce173c7583f13f6423f25660825c2e84a93ab7960be8b83778b3d,5,0x83891d83edd64c5748bc095cc2f82b0930e6783dfbe641521c7fa31dd7458924,0x0000000000000000000000000000000000000000,0xce84867c3c02b05dc570d0135103d3fb9cc19433,0x34159019e86053bc77a4f8761dc58a34b2b6e862,9.1295829540045e+19,Uniswap V2,UNI-V2,18,140,178971,462000000000,137422,9006067,deprecated,4409538
5,10775721,2020-09-01 14:05:07,0x598008bb4a55d63b5802ba3de3acbdad9a630b371bc6dd191bcb666a405f8752,11,0x39fd5e8e16c2a5a71043646c5dc90648f495d2f8429f65666fed0453a8e0c475,0x34159019e86053bc77a4f8761dc58a34b2b6e862,0xce84867c3c02b05dc570d0135103d3fb9cc19433,0xc2edad668740f1aa35e4d8f227fb8e17dca888cd,9.1295829540045e+19,Uniswap V2,UNI-V2,18,233,250000,478000000000,73090,11740102,deprecated,4408842
6,10775800,2020-09-01 14:24:27,0x8f6ce2a94b39481a9c75e97ca9d37a811bfb20670917baa4a3e26e1a00712a4c,12,0x2091e6831505323728b7f81bd6229f8efbdf1157bf7a2ece29597e3e3cd01451,0xe875d87b63df4129182e582bfe8b46240ee5d83f,0xd6c67b93a7b248df608a653d82a100556144c5da,0x34159019e86053bc77a4f8761dc58a34b2b6e862,6.101295812716602e+19,ExNetwork Community Token,EXNT,16,187,250000,478000000000,125452,10249808,deprecated,4408763
7,10782386,2020-09-02 14:31:01,0xf31f7ccf76301da0ac68779d2c6afc9b80d90675cd23a92677faaddb4cb45582,16,0x0d8d4585e156d4a8d57743003893b38f417aba43c013c6c1f10e33fb4e8270e5,0x34159019e86053bc77a4f8761dc58a34b2b6e862,0xd6c67b93a7b248df608a653d82a100556144c5da,0xe875d87b63df4129182e582bfe8b46240ee5d83f,6.101295812716602e+19,ExNetwork Community Token,EXNT,16,31,250000,477000000000,157467,1860882,deprecated,4402177
8,10782386,2020-09-02 14:31:01,0xf31f7ccf76301da0ac68779d2c6afc9b80d90675cd23a92677faaddb4cb45582,16,0x0d8d4585e156d4a8d57743003893b38f417aba43c013c6c1f10e33fb4e8270e5,0xce84867c3c02b05dc570d0135103d3fb9cc19433,0x6b3595068778dd592e39a122f4f5a5cf09c90fe2,0x34159019e86053bc77a4f8761dc58a34b2b6e862,1.6878792719714723e+20,SushiToken,SUSHI,18,31,250000,477000000000,157467,1860882,deprecated,4402177
9,10786425,2020-09-03 05:21:04,0x21dcb57d5dc99210c3b095c468294e9151f224bf25c2976fa22fe1c27d4eaf73,18,0xf90dbd329181d7d1ec8e37da0a6f313c7d77b4608efc539fb3ee4eb31c585dd4,0xc2edad668740f1aa35e4d8f227fb8e17dca888cd,0x6b3595068778dd592e39a122f4f5a5cf09c90fe2,0x34159019e86053bc77a4f8761dc58a34b2b6e862,1.1297550867225325e+20,SushiToken,SUSHI,18,16,177601,500000000000,69077,914210,deprecated,4398138
