,blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,confirmations
0,10782013,2020-09-02 13:14:05,0x64486628717bcc5a5850b883485375e9c47e305ffc5adf46d38b1c2b1449a59f,0,0x6abf75f5a29bed82f21068e6c9c17decc0c83e0904e0b6823844a5cad058575d,0x6225f6d7ad5ea259a2227d3f39cf808f3098af6e,0x6a7ef4998eb9d0f706238756949f311a59e05745,0x367b2e968d71a633ac2ef239a042f3f35ac39de4,5.843088451019618e+19,Kenysians Network,KEN,18,57,170782,433000000000,129606,5568900,deprecated,4401799
1,10782029,2020-09-02 13:17:44,0x1a2142a345d6b2a8097774a8eb1446f1cc7c2e0ca178a27dce4d810ce2db8e78,1,0xd7b7a09a3ce221d22a192c0a7382479d9ed9652a717dc4a35a849de0b13393d7,0x596f7383223db0d484fd220d0ab036e042bafea4,0x25377ddb16c79c93b0cbf46809c8de8765f03fcd,0x367b2e968d71a633ac2ef239a042f3f35ac39de4,1.4218347228083853e+19,Synthetic CBDAO,SBREE,18,135,166162,440000000000,125471,8934084,deprecated,4401783
2,10782183,2020-09-02 13:51:39,0xf12903a8999a6c117c66f65b17a0065929d7a4dccab35f56f0019e0750473978,3,0xa0ea5848b1aeebeb30c9f3af60e72c17d52bd56b0548123144050992880715d7,0x3185626c14acb9531d19560decb9d3e5e80681b1,0x7de91b204c1c737bcee6f000aaa6569cf7061cb7,0x367b2e968d71a633ac2ef239a042f3f35ac39de4,10000000000.0,Robonomics,XRT,9,20,173123,450000000000,132101,2140666,deprecated,4401629
3,10977089,2020-10-02 14:15:02,0x18457b612eca948c0f2b0760e12fa2282198f42869b48f3a5c5ad541e6a5f9a5,4,0x529cc5af65ad89b60aed74b80c28f1dc3767ca9a06de71a93b490927290d7f6c,0xffa98a091331df4600f87c9164cd27e8a5cd2405,0x83e6f1e41cdd28eaceb20cb649155049fac3d5aa,0x367b2e968d71a633ac2ef239a042f3f35ac39de4,6.035837642797703e+20,PolkastarterToken,POLS,18,71,167118,84600000000,126327,6653262,deprecated,4206723
4,10977096,2020-10-02 14:16:16,0xcf01a7f9655c24928fbb793bd60d0b1c3b3baf98f8931cf6f2d18d4500cea620,5,0x5f1a778ab586bbdb88108bccd7efe5560a422cb881b3bbb9aa1bed9738a17c28,0xab9bef8242c2b97772ae239a5d71c60496a06334,0x7865af71cf0b288b4e7f654f4f7851eb46a2b7f8,0x367b2e968d71a633ac2ef239a042f3f35ac39de4,5.201572088319032e+22,Sentivate,SNTVT,18,57,165035,84600000000,124463,5849715,deprecated,4206716
5,10977123,2020-10-02 14:23:44,0x1171ae54256703a5e68a7efbf4c471b5e37ffdae7ceaa4c221a2a5dbddb21aac,6,0x8e5bbbbdeaf139b6b17497bf2b1de59e88197acb837a548faf84fa748f228bab,0xb38be7fd90669abcdfb314dbddf6143aa88d3110,0xc3771d47e2ab5a519e2917e61e23078d0c05ed7f,0x367b2e968d71a633ac2ef239a042f3f35ac39de4,4.5693246656829996e+21,Gather,GTH,18,111,167304,84600000000,126492,10524139,deprecated,4206689
6,11140633,2020-10-27 19:56:03,0x1750e2ae957634f6ee21ea271055e076396a84d284bdf38a92395c847c8cb703,7,0x26c31043163e09498b7f9c44d7e4904b1b06411a37d5682480df452bfd46ff0c,0xeb8195bd9ac4ffd3be2056db1a8e8c66b2708028,0x1de5e000c41c8d35b9f1f4985c23988f05831057,0x367b2e968d71a633ac2ef239a042f3f35ac39de4,6.0029050515986305e+22,BonFi,BNF,18,122,165287,26000000000,124688,6148500,deprecated,4043179
7,11140651,2020-10-27 19:59:52,0x30b7a9f6afb882d37f9776afa417a26c7c6936d128a77e6fcd8f184eb0c5419b,8,0xe0c96444211920f69bcfeb603220211c0da03a8b163f7b1b33105e5fc5019550,0x3185626c14acb9531d19560decb9d3e5e80681b1,0x7de91b204c1c737bcee6f000aaa6569cf7061cb7,0x367b2e968d71a633ac2ef239a042f3f35ac39de4,17898762925.0,Robonomics,XRT,9,67,147880,22300000000,109110,9312827,deprecated,4043161
8,11140652,2020-10-27 19:59:53,0x363334dafc2a26cc6ce0c2756748302a1b62526d2f5f0535022bb32dac34c196,9,0x8a4f45fa41fb9c747c1834ea40e835538868c4f9ca0bfb9ab4933d5bf22f3012,0xffa98a091331df4600f87c9164cd27e8a5cd2405,0x83e6f1e41cdd28eaceb20cb649155049fac3d5aa,0x367b2e968d71a633ac2ef239a042f3f35ac39de4,6.615853945205208e+20,PolkastarterToken,POLS,18,62,150356,20900000000,99311,8261093,deprecated,4043160
9,11140667,2020-10-27 20:02:45,0x36bf75517712c815cd8a3a34201739215b2a3dd2e28059501f103b9cba3571fe,10,0x617143e0cdd7dd5c1d0ee42efbddfc5a1ed50a05245aabca326a4ce55aba178a,0x6225f6d7ad5ea259a2227d3f39cf808f3098af6e,0x6a7ef4998eb9d0f706238756949f311a59e05745,0x367b2e968d71a633ac2ef239a042f3f35ac39de4,6.0061115846768796e+19,Kenysians Network,KEN,18,27,154020,22300000000,114606,3930479,deprecated,4043145
