,blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,confirmations
0,4847382,2018-01-03 12:49:15,0xf13c53e6788f433f1ff913e5db899d39553848cba8f978157b093f693d375837,119,0xfb66f5b7d37a605b289cc7a234ea76cbf9d4bcba40934c363632a3ba8a2eb564,0x117902245867814cc7305480f32e1901297a617b,0x9b20dabcec77f6289113e61893f7beefaeb1990a,0x36f08be5d946d23c59b319fd0005365b688da4d8,3e+22,Fair Token,FAIR,18,292,60000,21000000000,52976,7794765,deprecated,10336891
1,5185396,2018-03-02 21:59:40,0x0c03e5b4a08952feda77d68955779321d166c7528c3f792f4d82fa72649f1f64,5918,0x2a4e876ccd8f8489bb62dfc4db135d4853804c7bd99609babee7ddb094b71662,0x00ee840b6fda7705b2731206b7e85e29a76dcddd,0x4212fea9fec90236ecc51e41e2096b16ceb84555,0x36f08be5d946d23c59b319fd0005365b688da4d8,6.6e+19,Six Domain Asset,SDA,18,101,51439,10000000000,51439,6663513,deprecated,9998877
2,5252497,2018-03-14 07:12:17,0xd7ee13f95c1b4d86862f35f50a86c62e65154fe099e9685c5ac7188fc91e2b51,36,0x394e6e2438c11e47bc000d8939fefb46249f42cb324296719a7c89a39b7aca4f,0x4be5173155e33d9108a4bca5ccdc6173930e5b70,0xb54add2fa57b070842089ca45554c11c201e8080,0x36f08be5d946d23c59b319fd0005365b688da4d8,8.88888e+23,King of kingdom,KKK,18,156,60000,4000000000,51756,7973834,deprecated,9931776
3,5385655,2018-04-05 15:02:04,0x750154f8c73724836a273f14e72f3ef7ed7f4b936871421fb4971c533363136e,510,0xfd7b549720d002069dc2d55a9e0e0f917459ad22a4d1c6377554de2e2f22ee45,0x117902245867814cc7305480f32e1901297a617b,0x9b20dabcec77f6289113e61893f7beefaeb1990a,0x36f08be5d946d23c59b319fd0005365b688da4d8,6.9e+21,Fair Token,FAIR,18,167,60000,20356716544,37976,5175059,deprecated,9798618
4,5489959,2018-04-23 05:13:00,0x5c1bc7437ffc007b06fe13ee2a56cff69367cc2cea0de62e9108d216660a1a5d,105,0x6746e2ab4e84a5b5a305656cb7fbe21f17854b71c8222f8bc1d61a895ab8be8f,0x7a8dbf3ee35b765426e40097826d46fdeda792e9,0xe130d59c0d7f84260b776aa5f93de5031c5a0bf6,0x36f08be5d946d23c59b319fd0005365b688da4d8,6.666e+21,Aladdin Bao,ABAO,18,153,60000,3000000000,53355,6212454,deprecated,9694314
5,5800650,2018-06-16 19:09:28,0xe7cfbdbb96c710cb6b00a97443d76ad73a83cefab53dbe91825c8c4832985948,223,0xe64d9fafa1480d90d76c1d7acaea5d1eb5ed0ef7a98b0bccdedf8f9ddaec15be,0x0000000000000000000000000000000000000000,0x7b2f9706cd8473b4f5b7758b0171a9933fc6c4d6,0x36f08be5d946d23c59b319fd0005365b688da4d8,911.0,An Etheal Promo,HEALP,0,56,1800000,2000000000,1707909,4113601,deprecated,9383623
6,5909094,2018-07-05 09:06:41,0x3ad37c01cff9acdb9ed339e77b8f3f76508f1a09b265d5c307acaa98f8199258,1373,0x2332c651d03ffeba2fcb1f0ae2432fe689a975c52aa7fbda85ebd5fd3e883e7e,0x1cbd39b61919b41e22b1eb8bc564e67cae7376b9,0x351d5ea36941861d0c03fdfb24a8c2cb106e068b,0x36f08be5d946d23c59b319fd0005365b688da4d8,2e+19,FRESCO,FRES,18,70,4150000,44000000000,3949278,5758140,deprecated,9275179
7,6357014,2018-09-18 23:02:17,0xf707c6376faae82ca76794e6d5fde8dc34a77ea2ed8246aea3fa4f0356b88d83,2233,0xe262e6440265296953d7134a5da33bd6328278f7a9c3250e7a1b13509bbd3d45,0x8e306b005773bee6ba6a6e8972bc79d766cc15c8,0x58b6a8a3302369daec383334672404ee733ab239,0x36f08be5d946d23c59b319fd0005365b688da4d8,2.126312039124412e+18,Livepeer Token,LPT,18,22,2400000,4700000000,2165460,5624163,deprecated,8827259
8,8353472,2019-08-15 06:21:40,0xfcb747c235956a3e41578af53a08328496003fcd64c451867b4c5aa48ba0de86,68,0x646153d614d3bf5bd1f0a9fbe11e78fa6d4894d15261ef0efa2acf3d0b36939b,0x13d1114028b059d425fbbb080d43370d86720f1b,0x4289a6afe4ab265bc0e4c6f858ece66df2fae1ed,0x36f08be5d946d23c59b319fd0005365b688da4d8,35000.0,L-BOX,LBOX,0,38,60000,16000000000,52110,3481819,deprecated,6830801
9,8371622,2019-08-18 02:04:49,0x577771a4194c120db821aef989c6486369cbc27160d509f23f5c2665ba2be190,1,0xd9abf753b544a4d37234c7edf2cfb2837f1c8b8d17fbf8beed49704930eda6ac,0x36f08be5d946d23c59b319fd0005365b688da4d8,0x4289a6afe4ab265bc0e4c6f858ece66df2fae1ed,0x2f0fa57858cc58f5242a8190eed0df26c0418b5c,35000.0,L-BOX,LBOX,0,135,60000,5000000000,37174,6954748,deprecated,6812651
10,8390960,2019-08-21 02:18:15,0x02287560f8c599fac56d3c7f258f4e9bcee4ca805e818b73f6dab73f8992e0aa,2,0x51e21b7ba9b34638677f098ffa41f3b6486c363133e7f0518399b50e36a092cc,0x36f08be5d946d23c59b319fd0005365b688da4d8,0x9b20dabcec77f6289113e61893f7beefaeb1990a,0x0b3b5d077aa4b7ba5f23a5b90b6e32986b1155b5,3.69e+22,Fair Token,FAIR,18,21,60000,1100000000,38040,6731448,deprecated,6793313
11,10763443,2020-08-30 17:07:05,0x657c15cef306ba1d8605c17a3aa903dabea7eb29bc9162a4cfa004a88eaabaf2,4,0x9cbd242b2145c6b2d1f8cbd2dc2472a48cf95c3e9e52669c2c7d6c3121699bf8,0x811beed0119b4afce20d2583eb608c6f7af1954f,0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce,0x36f08be5d946d23c59b319fd0005365b688da4d8,8.525930656654338e+29,SHIBA INU,SHIB,18,52,165326,247000001235,124724,4307102,deprecated,4420830
12,10780765,2020-09-02 08:34:18,0x5ae1f2ba80ed4bf54e375201782f433a7d0ea1b2bde519e66a8a6c8aeafd6925,6,0x1f55c0b51caf749c2ab26180fa43e560e4caeb996c32b9be4fa3fd731a94c06c,0x36f08be5d946d23c59b319fd0005365b688da4d8,0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce,0x811beed0119b4afce20d2583eb608c6f7af1954f,8.525930656654338e+29,SHIBA INU,SHIB,18,40,168369,471000001347,112781,2107228,deprecated,4403508
13,10815570,2020-09-07 16:18:33,0x7c4e14a087c541ef6dc62329b8d248b1419d0a4cbd2aa39a2c1f18eb1f852484,8,0x25b6346d4b5dcc3338c31c1f47c5d97ced377e5c62cfc61a6dbbe31461b3aefa,0x35b9729ff21d54f02bda512f7060466494a40ede,0x4d953cf077c0c95ba090226e59a18fcf97db44ec,0x36f08be5d946d23c59b319fd0005365b688da4d8,7.332927798898575e+21,MINISWAP,MINI,18,220,172726,107000001347,131345,10898472,deprecated,4368703
14,10821101,2020-09-08 12:52:34,0xf3a28bf821cb1d0d72dde5bae356355507ce70a2b61255197124ad28f7fa61cb,10,0x533b96ae7ffb24da3f562b075767d8f060730b25f7610aa8166dcc69580817fd,0x36f08be5d946d23c59b319fd0005365b688da4d8,0x4d953cf077c0c95ba090226e59a18fcf97db44ec,0x35b9729ff21d54f02bda512f7060466494a40ede,7.332927798898575e+21,MINISWAP,MINI,18,117,168949,79000001347,113308,9042459,deprecated,4363172
15,10877356,2020-09-17 03:58:30,0xdbcdfac776cd081d8b6bbd591c58667fcdf24011a52116661330d09b62d76295,12,0xdec024b83d1923bff2a2d7a79d4381b809559a773916b6e426263eb67216f327,0x090d4613473dee047c3f2706764f49e0821d256e,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,0x36f08be5d946d23c59b319fd0005365b688da4d8,4e+20,Uniswap,UNI,18,141,90062,551000001561,81875,8088736,deprecated,4306917
16,10877375,2020-09-17 04:04:23,0x98ff1e91079e9bbd2e17780ed3f3d2034786478c4868240461c3b532d49c6df4,13,0xd9889d7d97c765433b6425b5cea6df04623106e909430fba30a7a4f1cb3968f4,0x36f08be5d946d23c59b319fd0005365b688da4d8,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,0xea507247320dbc4bbdac19ea137071ccdf5d07dc,4e+20,Uniswap,UNI,18,74,60000,600000001561,40506,2866533,deprecated,4306898
17,11493944,2020-12-21 02:19:29,0x428f6fe0f9a981a14f4eb0f7fba47a0439407abc8058a5ceadb1b9f0f5151ea0,16,0x1e38862ef798e2f71b8e321dda6f9d9edabee7e98a3625583196a5753f2c020f,0x3cd1c0b98be4451ca51265bbaeb76cf7b31e1c02,0xdc99bdc0c6428addf4d1762560801f5d3447f9e0,0x36f08be5d946d23c59b319fd0005365b688da4d8,1.0578835022143334e+17,World Block Club Token,WBCB,18,92,165014,83600000233,124442,8050736,deprecated,3690329
18,11800332,2021-02-06 03:38:47,0x4eeb274e3345202def50a8c83cf2ac0d243554a84b6dc9996188d28a231c1280,19,0xda2bf3dc74620e80896b7885967debd50cf06797327ff7c0f207f1413bc20133,0x6e8abba440a58421f5eec9892b19c1a72c55c992,0x054d64b73d3d8a21af3d764efd76bcaa774f3bb2,0x36f08be5d946d23c59b319fd0005365b688da4d8,3.0561574556480365e+21,Plasma,PPAY,18,166,169375,231000001459,128347,10926250,deprecated,3383941
19,11852959,2021-02-14 05:33:52,0x075fac50cda30c516a62dc27b6282427151270a6807fcd077df59c0426729d81,21,0x0f042fe839bce28c29099cab0910e70327aaad41c5962ba5fad883ad3a60c66f,0x36f08be5d946d23c59b319fd0005365b688da4d8,0x054d64b73d3d8a21af3d764efd76bcaa774f3bb2,0x6e8abba440a58421f5eec9892b19c1a72c55c992,1.4557414216095278e+21,Plasma,PPAY,18,93,164664,100100000233,124413,9613879,deprecated,3331314
