,blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,confirmations
0,10765599,2020-08-31 00:59:34,0x4ca14c5b64982c7090181a59b82bcb319ea5341bce3163a4e105a3f6686a177d,2,0x22eadaa7167dbb98803194a976f5199a2faf675bf11532cacc20e61d47bd1f9a,0x39713aa1558c48dd795b53122c8daf4489dd4475,0xce84867c3c02b05dc570d0135103d3fb9cc19433,0xc2edad668740f1aa35e4d8f227fb8e17dca888cd,0.0,Uniswap V2,UNI-V2,18,79,141991,131000000000,94661,6551113,deprecated,4418806
1,10765731,2020-08-31 01:29:08,0xaa0a78a8f264eb3e7ee94b83f5ffb50c6e08ae179c42f409f85b7766cb53dc37,3,0x9f8948b91e7652111e1421f3981b2db9940f234b581ee65c6426148a3502e53a,0x39713aa1558c48dd795b53122c8daf4489dd4475,0xce84867c3c02b05dc570d0135103d3fb9cc19433,0xc2edad668740f1aa35e4d8f227fb8e17dca888cd,0.0,Uniswap V2,UNI-V2,18,106,141991,133000000000,94661,4278299,deprecated,4418674
2,10765733,2020-08-31 01:29:19,0xf2fcf6db24918e6b6b702126955c63189fe0cac877a773d0bfbc4a2d34047e11,4,0x41c44bf7e70f2a64a8745903c5ebb3d4e778103ff080b8d659521e81ae2ab591,0x39713aa1558c48dd795b53122c8daf4489dd4475,0xce84867c3c02b05dc570d0135103d3fb9cc19433,0xc2edad668740f1aa35e4d8f227fb8e17dca888cd,0.0,Uniswap V2,UNI-V2,18,140,61705,133000000000,41137,9452904,deprecated,4418672
3,10766653,2020-08-31 04:55:50,0x39495102d0436bc84e9251895764a39b07f9b790cb4bf9c4a8e85a4727d3ea55,5,0xcc99ca93fbe3e3c6b4c0ae1bc193deefd10ca7d36ba72fc36eb789aa37272855,0xd876bea7f5121a8e21459224e58aec6c933a16e9,0x84ca8bc7997272c7cfb4d0cd3d55cd942b3c9419,0x39713aa1558c48dd795b53122c8daf4489dd4475,5.499039061442558e+19,DIAToken,DIA,18,75,249495,179000001459,197067,7158888,deprecated,4417752
4,10774617,2020-09-01 10:02:27,0x0e22d97bcf114d3f9e0a6e593e2b2ff0d08a32de749b27a2c52def041f689cf7,7,0x130f59753233cd1dc57b123db91515db1fea0166be6b7cc348f47514d445bdf1,0x80c5e6908368cb9db503ba968d7ec5a565bfb389,0x43ae24960e5534731fc831386c07755a2dc33d47,0x39713aa1558c48dd795b53122c8daf4489dd4475,6.498108488163645e+18,Uniswap V2,UNI-V2,18,66,863161,444500000729,619463,4945549,deprecated,4409788
5,10890016,2020-09-19 02:43:32,0x27a3a0bc81d3839f67e486da174a5c32e72e509415ebf9ad3fba25d665061a85,8,0xc7e2cafbb26f21fa0656576da1e89702cbeb0a2eb56b78de3f9e2694d535c660,0x090d4613473dee047c3f2706764f49e0821d256e,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,0x39713aa1558c48dd795b53122c8daf4489dd4475,4e+20,Uniswap,UNI,18,51,90009,108000001459,81827,2757773,deprecated,4294389
6,10890047,2020-09-19 02:49:16,0x544a6e4cf41c3546dca15b5b576433a42a11e267dcf17af928fc1182a8fd7057,9,0xe4aba7d92696e5de0b5440c9589824022b9b9af7615d1de99c5606fc6a3e27cf,0x80c5e6908368cb9db503ba968d7ec5a565bfb389,0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852,0x39713aa1558c48dd795b53122c8daf4489dd4475,7919567230059.0,Uniswap V2,UNI-V2,18,58,498610,173800000000,319853,4317015,deprecated,4294358
7,10890927,2020-09-19 06:06:21,0x785a83a7d74ce77189f501dd93c9d4ceae5415137066b678cdb85b2149c2d23f,12,0xf21993a85ece6542d0931f1a9a25e51a178967cbe2aa90c6f9afed36a6bc4683,0x39713aa1558c48dd795b53122c8daf4489dd4475,0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852,0x6c3e4cb2e96b01f4b866965a91ed4437839a121a,7919567230059.0,Uniswap V2,UNI-V2,18,87,400000,159000000000,112867,4571988,deprecated,4293478
8,10890927,2020-09-19 06:06:21,0x3f25ae8de65c178bc619bddda28b6779ac502ccf7ff2a06769664e0289209831,13,0xf21993a85ece6542d0931f1a9a25e51a178967cbe2aa90c6f9afed36a6bc4683,0x80c5e6908368cb9db503ba968d7ec5a565bfb389,0xbb2b8038a1640196fbe3e38816f3e67cba72d940,0x39713aa1558c48dd795b53122c8daf4489dd4475,1709160044669.0,Uniswap V2,UNI-V2,18,88,762139,161000000000,481409,5053397,deprecated,4293478
9,10890930,2020-09-19 06:07:20,0x12619ff7dfaba54a1120f9a36b1802332487bbf3f599c8d2af4ed8d376dc35b2,14,0x4b47cc01f9ecd98cd6fa42c51dafb1c7d6fae818f2f9c89575ebf78891bb74a2,0x2346722daa00ebbd0fc452c0e7ab7976bdafeae8,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,0x39713aa1558c48dd795b53122c8daf4489dd4475,5.692177112440342e+19,Uniswap,UNI,18,14,200149,161000000000,145748,952076,deprecated,4293475
