,blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,confirmations
0,9216678,2020-01-04 22:41:18,0x8f2ac4a046c43eaac82dec79c122d7e30adc594303977cb8d1a0322646ff5593,3090,0x1bc4e12bb2981df93dae4d93b5219f371a801d735cc4e3ed7bc23d9bfc9ff3b9,0xc12d1c73ee7dc3615ba4e37e4abfdbddfa38907e,0xc12d1c73ee7dc3615ba4e37e4abfdbddfa38907e,0x3f1d79de69fcbff330410806cabb4b7cdeb5a1d2,88888800000000.0,KickToken,KICK,8,5,7000000,1000000000,2727958,3608810,deprecated,5967474
1,10777612,2020-09-01 21:02:04,0xd68cd84ab569dcce17a78b3b4fe5387d4effcdb7ade0476c31332e7029b24691,34,0x1ecbb4bd250641f1dc6733d9ce12bc9e66aca6c038b889e4c80f9ffa6e6c59c5,0x7c66550c9c730b6fdd4c03bc2e73c5462c5f7acc,0xdd974d5c2e2928dea5f71b9825b8b646686bd200,0x3f1d79de69fcbff330410806cabb4b7cdeb5a1d2,1.8145940428419744e+20,KyberNetwork,KNC,18,102,625228,479000000000,448872,9819543,deprecated,4406540
2,10779027,2020-09-02 02:05:03,0xfd22cad0919aa08408ab51b74abcec125c7306db61efa55dcad6d7fe9430d624,40,0xcf3342905e323955f2019a96cddd2cbd7d1ff05f267ac1a7c18bc802c5719c1a,0x3f1d79de69fcbff330410806cabb4b7cdeb5a1d2,0xdd974d5c2e2928dea5f71b9825b8b646686bd200,0xeb131f8cbda675257a7258a2d3017b47afe8ba9c,1.7545940428419744e+20,KyberNetwork,KNC,18,18,240213,465000000000,147889,2867317,deprecated,4405125
3,10779027,2020-09-02 02:05:03,0xfd22cad0919aa08408ab51b74abcec125c7306db61efa55dcad6d7fe9430d624,40,0xcf3342905e323955f2019a96cddd2cbd7d1ff05f267ac1a7c18bc802c5719c1a,0xeb131f8cbda675257a7258a2d3017b47afe8ba9c,0xbfdef139103033990082245c24ff4b23dafd88cf,0x3f1d79de69fcbff330410806cabb4b7cdeb5a1d2,7.585963579906503e+21,Balancer Pool Token,BPT,18,18,240213,465000000000,147889,2867317,deprecated,4405125
4,10779149,2020-09-02 02:32:59,0x81e81f1ad784e32993c57ac82baa8f5bcbfff9557aa3f6cb9722a6d03f855eef,41,0x7591e94ff9cedc9a01b19068e99b935985889cde1ee4f479ed7b50cbf4d2d35f,0x3f1d79de69fcbff330410806cabb4b7cdeb5a1d2,0xbfdef139103033990082245c24ff4b23dafd88cf,0x9b74774f55c0351fd064cfdffd35db002c433092,7.585963579906503e+21,Balancer Pool Token,BPT,18,129,199335,480000000000,117890,5457866,deprecated,4405003
5,10779764,2020-09-02 04:49:05,0x167f88effed88c1ba5ac7b3f04e262cfb0a33c162250985aefe06ae79d0b419a,43,0x764173222ded9797188edb7d58916011c538f38fa66b8ebb8e7589b31bf41ff7,0x88d97d199b9ed37c29d846d00d443de980832a22,0x04fa0d235c4abf4bcf4787af4cf447de572ef828,0x3f1d79de69fcbff330410806cabb4b7cdeb5a1d2,2.409256454174037e+19,UMA Voting Token v1,UMA,18,8,244358,480000000000,195448,738622,deprecated,4404388
6,10779849,2020-09-02 05:10:23,0x19d3ee09ae29504d21f9c5bd2ef3717b083f242418d78bfea79db6a2bf332831,45,0xcecdc2fd321d0dbd6254228f68508aa1ef6becd153d068b332121f9c5ffbd558,0x3f1d79de69fcbff330410806cabb4b7cdeb5a1d2,0x04fa0d235c4abf4bcf4787af4cf447de572ef828,0x88d97d199b9ed37c29d846d00d443de980832a22,1.391938252293925e+19,UMA Voting Token v1,UMA,18,95,212605,480000000000,167780,5344907,deprecated,4404303
7,10779849,2020-09-02 05:10:23,0x19d3ee09ae29504d21f9c5bd2ef3717b083f242418d78bfea79db6a2bf332831,45,0xcecdc2fd321d0dbd6254228f68508aa1ef6becd153d068b332121f9c5ffbd558,0x0000000000000000000000000000000000000000,0x88d97d199b9ed37c29d846d00d443de980832a22,0x3f1d79de69fcbff330410806cabb4b7cdeb5a1d2,2.7456123280291154e+18,Uniswap V2,UNI-V2,18,95,212605,480000000000,167780,5344907,deprecated,4404303
8,10779882,2020-09-02 05:19:38,0x1710504f6c8218910b26c70f6ec9deca388a4ede0f4b8843a323713fc5b03441,46,0xbdeb45f3e555c7eee6327a6cd9119dc980fb21600303d184820108ffd4759883,0x3f1d79de69fcbff330410806cabb4b7cdeb5a1d2,0x88d97d199b9ed37c29d846d00d443de980832a22,0xc2edad668740f1aa35e4d8f227fb8e17dca888cd,2.7456123280291154e+18,Uniswap V2,UNI-V2,18,76,212403,480000000000,126602,6246352,deprecated,4404270
9,10851734,2020-09-13 05:27:43,0x31002f607c08dd5bf95bcaced27bb08a41aaafe44a203ca44ac2b71722785c99,400,0xc37ce5237da6c1c0b059f521f95ed68deb0b45145c3b639dd57a53713f8fb17a,0xec5692311caa96068cbf77ca3a4b9d752584b78c,0x6b3595068778dd592e39a122f4f5a5cf09c90fe2,0x3f1d79de69fcbff330410806cabb4b7cdeb5a1d2,1.014348e+18,SushiToken,SUSHI,18,101,79402,126000000000,51169,2303676,deprecated,4332418
