,blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,confirmations
0,10761446,2020-08-30 09:39:46,0x578fff799f16f57ca6a4524982cb75fe4039fd3ec447a448a550cfe86ccfa4fe,0,0x1979cfc1752c6bdeed4ffaec6471b852c9cfed34ef50851fabe8ae3d00b7c99b,0xd2e0c4928789e5db620e53af29f5fc7bca262635,0x6f87d756daf0503d08eb8993686c7fc01dc44fb1,0x41636d98461bcb958491fae93b31df0c22e827d3,6.975264983399717e+20,UniTrade,TRADE,18,173,165160,220000000233,124575,10106556,deprecated,4422827
1,10762122,2020-08-30 12:18:44,0x31ee3528d90f6ed43aaaf107bf295c4d16505e73154e8b81dffcac2aeb701a2c,1,0x4512016f9923deea54d7ef1ed6b9010a1b903a3f0b3b7a9e071bdc561b072fdb,0xce84867c3c02b05dc570d0135103d3fb9cc19433,0x6b3595068778dd592e39a122f4f5a5cf09c90fe2,0x41636d98461bcb958491fae93b31df0c22e827d3,4.614494888438295e+20,SushiToken,SUSHI,18,29,151565,240900000233,124425,863564,deprecated,4422151
2,10762127,2020-08-30 12:19:59,0x1766e1c578cbf5a8ffd136791e1449e923d30cddfe477ce659c952873b476029,2,0xe2857a152ab719a1a3d44de3f62a51d9e4f5afff14119d2f5b128a429bf54764,0x41636d98461bcb958491fae93b31df0c22e827d3,0x6b3595068778dd592e39a122f4f5a5cf09c90fe2,0x122f7e3651a885575cd0ff7a2c4e26f8fadf0713,4.614494e+20,SushiToken,SUSHI,18,49,60000,175000001459,51181,1966237,deprecated,4422146
3,10763119,2020-08-30 15:57:49,0x99fe772bb4ed38612373478ab7520e65bdf6a67761abd7aee07b08fc7687e373,4,0x9e9d66e3d7fdf256a52e339008a4b90938796e898f440836c3902e63d73bfa15,0x41636d98461bcb958491fae93b31df0c22e827d3,0x6f87d756daf0503d08eb8993686c7fc01dc44fb1,0xd2e0c4928789e5db620e53af29f5fc7bca262635,6.975264983399717e+20,UniTrade,TRADE,18,88,168457,246000001459,112861,5174722,deprecated,4421154
4,10763269,2020-08-30 16:30:10,0xb8fd0234c3a1469a8a0d57c058114cc30ef7975d96ceedce545015c508906e2b,5,0x02cd6fec6068c6065662af004106b36743d806385685d1678f0b3b0f8ad7bc25,0x88d97d199b9ed37c29d846d00d443de980832a22,0x04fa0d235c4abf4bcf4787af4cf447de572ef828,0x41636d98461bcb958491fae93b31df0c22e827d3,4.7693563942443655e+19,UMA Voting Token v1,UMA,18,151,244358,271000001459,195448,5903264,deprecated,4421004
5,10763300,2020-08-30 16:36:00,0x08322cf929513557f46b050810dbd587db12afcdb91444bc238068ae5e2625af,7,0x1d1761cb1f2ec5bc88b2a15aef84d4d03f6de4c2b7abbc93c364ec68513cd8f3,0x41636d98461bcb958491fae93b31df0c22e827d3,0x04fa0d235c4abf4bcf4787af4cf447de572ef828,0x88d97d199b9ed37c29d846d00d443de980832a22,4.713879910469075e+19,UMA Voting Token v1,UMA,18,31,191246,265100000233,160290,1610882,deprecated,4420973
6,10763300,2020-08-30 16:36:00,0x08322cf929513557f46b050810dbd587db12afcdb91444bc238068ae5e2625af,7,0x1d1761cb1f2ec5bc88b2a15aef84d4d03f6de4c2b7abbc93c364ec68513cd8f3,0x0000000000000000000000000000000000000000,0x88d97d199b9ed37c29d846d00d443de980832a22,0x41636d98461bcb958491fae93b31df0c22e827d3,8.557697712248431e+18,Uniswap V2,UNI-V2,18,31,191246,265100000233,160290,1610882,deprecated,4420973
7,10763434,2020-08-30 17:05:27,0xd899fd8e77c105924c538856fb4031ce697d73e0edc839c3a0561d98f869d833,10,0x99344255406b30d251d1a04b98cce73c365e0719654f40c74f029c41e485b5ac,0x41636d98461bcb958491fae93b31df0c22e827d3,0x88d97d199b9ed37c29d846d00d443de980832a22,0xc2edad668740f1aa35e4d8f227fb8e17dca888cd,8.557697712248431e+18,Uniswap V2,UNI-V2,18,99,212403,240000000000,126602,7208513,deprecated,4420839
8,10769685,2020-08-31 16:10:40,0xd97a1ae129d496b6380230499605d739bff891cf9d3d53b5a4a5746657ed59c9,13,0x3db4ea9f20a6fe310ac2e88e656d350fea2d3b7c1eec13446352427b644769a2,0xc2edad668740f1aa35e4d8f227fb8e17dca888cd,0x6b3595068778dd592e39a122f4f5a5cf09c90fe2,0x41636d98461bcb958491fae93b31df0c22e827d3,3.110995709859968e+19,SushiToken,SUSHI,18,143,177601,300000000000,118401,8834924,deprecated,4414588
9,10769685,2020-08-31 16:10:40,0xd97a1ae129d496b6380230499605d739bff891cf9d3d53b5a4a5746657ed59c9,13,0x3db4ea9f20a6fe310ac2e88e656d350fea2d3b7c1eec13446352427b644769a2,0x41636d98461bcb958491fae93b31df0c22e827d3,0x88d97d199b9ed37c29d846d00d443de980832a22,0xc2edad668740f1aa35e4d8f227fb8e17dca888cd,0.0,Uniswap V2,UNI-V2,18,143,177601,300000000000,118401,8834924,deprecated,4414588
10,10769749,2020-08-31 16:23:12,0xf81b3a0a52de1f90cf83f6912bb345b17800b1ef38c4d5acfcf6e7a5f964e592,15,0x9e89f01bd16b8c00a16a1a1206001a9414f264f811a492957b275021c26af781,0x41636d98461bcb958491fae93b31df0c22e827d3,0x6b3595068778dd592e39a122f4f5a5cf09c90fe2,0x122f7e3651a885575cd0ff7a2c4e26f8fadf0713,3.111e+19,SushiToken,SUSHI,18,121,60000,300000001459,36169,4324198,deprecated,4414524
11,10772650,2020-09-01 02:43:43,0xc18a0d18bfe719d9e189c9b3c5733bcc76bcc97257b589615dcaee933163c58c,18,0xde0d39c5b4916a695c8949c8aae81b20b90f1edb7f7b58b3b4418a883ae8fdf4,0xc2edad668740f1aa35e4d8f227fb8e17dca888cd,0x6b3595068778dd592e39a122f4f5a5cf09c90fe2,0x41636d98461bcb958491fae93b31df0c22e827d3,1.0289198728784075e+19,SushiToken,SUSHI,18,44,217726,236000000000,145151,4504916,deprecated,4411623
12,10772650,2020-09-01 02:43:43,0xc18a0d18bfe719d9e189c9b3c5733bcc76bcc97257b589615dcaee933163c58c,18,0xde0d39c5b4916a695c8949c8aae81b20b90f1edb7f7b58b3b4418a883ae8fdf4,0xc2edad668740f1aa35e4d8f227fb8e17dca888cd,0x88d97d199b9ed37c29d846d00d443de980832a22,0x41636d98461bcb958491fae93b31df0c22e827d3,8.557e+18,Uniswap V2,UNI-V2,18,44,217726,236000000000,145151,4504916,deprecated,4411623
