,blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,confirmations
0,10780829,2020-09-02 08:49:04,0x862bd4ab311a83b90816d39e2820296beaea0893acf974e34d0df25eda074f03,0,0xac744c14ca9c9d91b15dcfa60867304b1831870b3c08bf32b267d48dc4e172ad,0xc5be99a02c6857f9eac67bbce58df5572498f40c,0xd46ba6d942050d489dbd938a2c909a5d5039a161,0x434cac886f61d953d9f7a1b007e9e98fed5fb604,6511065919395.0,Ampleforth,AMPL,9,104,173580,499000000000,132108,4595508,deprecated,4403230
1,10786250,2020-09-03 04:36:33,0xd1e330ab6c32a6e1eaba8049d3f885a979a6b9831da190a39b70c1b714559254,2,0x367ab615ea73859c3c97636c92d56b20ddf9aa2aeadf5aaa5b790ec4661e8930,0x434cac886f61d953d9f7a1b007e9e98fed5fb604,0xd46ba6d942050d489dbd938a2c909a5d5039a161,0xc5be99a02c6857f9eac67bbce58df5572498f40c,6792104404338.0,Ampleforth,AMPL,9,51,215781,360000000000,173743,3785362,deprecated,4397809
2,10786250,2020-09-03 04:36:33,0xd1e330ab6c32a6e1eaba8049d3f885a979a6b9831da190a39b70c1b714559254,2,0x367ab615ea73859c3c97636c92d56b20ddf9aa2aeadf5aaa5b790ec4661e8930,0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852,0xdac17f958d2ee523a2206206994597c13d831ec7,0x434cac886f61d953d9f7a1b007e9e98fed5fb604,8840841186.0,Tether USD,USDT,6,51,215781,360000000000,173743,3785362,deprecated,4397809
3,10788197,2020-09-03 12:01:16,0x2680d4e239f89f2c017b906a16ea1402add839134ac700d33e14e9b096c4ceb8,3,0x418472f774d41ce0c2645cec0095f995f7a0634adcc8eb33711ee40f82652158,0x434cac886f61d953d9f7a1b007e9e98fed5fb604,0xdac17f958d2ee523a2206206994597c13d831ec7,0x324c172125143231a322c7e113a0aa5b8c2edff5,2500000000.0,Tether USD,USDT,6,56,84295,450000000000,41197,2804739,deprecated,4395862
4,10788275,2020-09-03 12:19:12,0x40bc4f28edf09a1fa6f9fb79cc68a5c74d2e051240f76415ea10069a6fff0a45,4,0xa5d962e10100dd44267176e8c3cf3a23b7d71a7be530756ee68e8488b4ebbd7e,0x434cac886f61d953d9f7a1b007e9e98fed5fb604,0xdac17f958d2ee523a2206206994597c13d831ec7,0x324c172125143231a322c7e113a0aa5b8c2edff5,5000000000.0,Tether USD,USDT,6,1,61813,1500000000000,41209,82418,deprecated,4395784
5,10794718,2020-09-04 12:00:29,0x1eddcdb1ea4f4a0ba5b1980e8bcae1e843244a23d40972c790b13dd9e6facc58,1,0xb2780ee58ae29158fa0975df3f7e9ee197590b6c56fe83e0253016365919dcd3,0xd152f549545093347a162dce210e7293f1452150,0x152687bc4a7fcc89049cf119f9ac3e5acf2ee7ef,0x434cac886f61d953d9f7a1b007e9e98fed5fb604,1e+22,DeltaHub Community,DHC,18,33,10407043,250000000000,10387843,12303645,deprecated,4389341
6,10794718,2020-09-04 12:00:29,0x1eddcdb1ea4f4a0ba5b1980e8bcae1e843244a23d40972c790b13dd9e6facc58,1,0xb2780ee58ae29158fa0975df3f7e9ee197590b6c56fe83e0253016365919dcd3,0xd152f549545093347a162dce210e7293f1452150,0x152687bc4a7fcc89049cf119f9ac3e5acf2ee7ef,0x434cac886f61d953d9f7a1b007e9e98fed5fb604,2e+22,DeltaHub Community,DHC,18,33,10407043,250000000000,10387843,12303645,deprecated,4389341
7,10794845,2020-09-04 12:28:23,0x5161d46dd9b7cd3f14e2f473998ffaf809bc3b54a46474ceab08cfbf2df610eb,6,0x1054d98410e6a3fea6ce468aa68714c00efbcb9efb07222211bcca66d3bcfa19,0x434cac886f61d953d9f7a1b007e9e98fed5fb604,0x152687bc4a7fcc89049cf119f9ac3e5acf2ee7ef,0xfefe1fb25cfcefff49d51de61d4daef6eaf35af9,1e+22,DeltaHub Community,DHC,18,68,155184,201000000000,115795,4922830,deprecated,4389214
8,10794914,2020-09-04 12:41:50,0xbb679a6b2eee05db75ffba3838e40ca3cb50cc032c870fbaf15f18cb3aa465a8,7,0x85b6c113e46dacb3b8caa3de5b4cfab8f0f3a41af03d4d0f51516e6381112c51,0x434cac886f61d953d9f7a1b007e9e98fed5fb604,0x152687bc4a7fcc89049cf119f9ac3e5acf2ee7ef,0xfefe1fb25cfcefff49d51de61d4daef6eaf35af9,1e+22,DeltaHub Community,DHC,18,102,168402,170000000000,127811,7207122,deprecated,4389145
9,10795046,2020-09-04 13:07:39,0x91ad65d5097bcc59b2589a8b7921f68357779bbef668f10f04ffe7f2adfc6875,9,0x95ca2149bf548539208e9758a9546c24f3f7f604605a6359ec4bb9119c3f2d11,0x434cac886f61d953d9f7a1b007e9e98fed5fb604,0x152687bc4a7fcc89049cf119f9ac3e5acf2ee7ef,0xfefe1fb25cfcefff49d51de61d4daef6eaf35af9,5e+21,DeltaHub Community,DHC,18,137,155537,201000000000,127811,8429130,deprecated,4389013
