,blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,confirmations
0,10777427,2020-09-01 20:11:51,0x068f59d2198506ae32974ebe6d6dcaf006a1d837aa217f7bcdb113ff1323bcc4,0,0xade844e1d528bdacdc53cbd9cfe1ef8fcba76dda7e2f1a42000f002c75b1e24e,0xc4da39e646e7f5d233b89ca0f7b75344e7ddb2cc,0x1e18821e69b9faa8e6e75dffe54e7e25754beda0,0x44110090577ca29e4c79983762ec642a6e78e08a,7e+19,KIMCHI.finance,KIMCHI,18,78,160102,479000000000,120264,8463965,deprecated,4406754
1,10777695,2020-09-01 21:22:09,0xdc612dd6210fc5e166f7204013c909e7e6f14db707eca4e18332167c62c076c6,7,0x556bb22c597b33afb0aa4f233d9a2fcd4a24e12f286bb32e41af532f01ad7a5d,0x44110090577ca29e4c79983762ec642a6e78e08a,0x1e18821e69b9faa8e6e75dffe54e7e25754beda0,0xc4da39e646e7f5d233b89ca0f7b75344e7ddb2cc,3e+19,KIMCHI.finance,KIMCHI,18,100,154818,479000000000,115462,8274283,deprecated,4406486
2,10777695,2020-09-01 21:22:09,0xce29c96335eeb6e485d897b1568b784126487b63983a1be85393f1902dfa3ff1,8,0x556bb22c597b33afb0aa4f233d9a2fcd4a24e12f286bb32e41af532f01ad7a5d,0x44110090577ca29e4c79983762ec642a6e78e08a,0x1e18821e69b9faa8e6e75dffe54e7e25754beda0,0xc4da39e646e7f5d233b89ca0f7b75344e7ddb2cc,3e+19,KIMCHI.finance,KIMCHI,18,101,168036,479000000000,115462,8389745,deprecated,4406486
3,10777725,2020-09-01 21:27:49,0x8009c29765dfb8fce56e9c464c1b3b8839fd0b78ec524db94ecd9d38f8005c74,9,0x492f583ac5b08217742d700ce96465410e0bd96581fd5e9e03d6422280ea514d,0xc4da39e646e7f5d233b89ca0f7b75344e7ddb2cc,0x1e18821e69b9faa8e6e75dffe54e7e25754beda0,0x44110090577ca29e4c79983762ec642a6e78e08a,2.5e+19,KIMCHI.finance,KIMCHI,18,64,143602,479000000000,117280,5569118,deprecated,4406456
4,10777740,2020-09-01 21:30:07,0x839486bf99ac444e69916fae2664d165c78fd33e331b11f566321fd1e4b55ddf,10,0x9ea1863b8e5f7bb771dcfcd0cc181d01d0ac28d16ea591136be81011b7695ae5,0x44110090577ca29e4c79983762ec642a6e78e08a,0x1e18821e69b9faa8e6e75dffe54e7e25754beda0,0xc4da39e646e7f5d233b89ca0f7b75344e7ddb2cc,2.9552498748992385e+19,KIMCHI.finance,KIMCHI,18,57,200383,479000000000,149167,5696906,deprecated,4406441
5,10777740,2020-09-01 21:30:07,0x839486bf99ac444e69916fae2664d165c78fd33e331b11f566321fd1e4b55ddf,10,0x9ea1863b8e5f7bb771dcfcd0cc181d01d0ac28d16ea591136be81011b7695ae5,0x0000000000000000000000000000000000000000,0xc4da39e646e7f5d233b89ca0f7b75344e7ddb2cc,0x44110090577ca29e4c79983762ec642a6e78e08a,3.2174334045973094e+18,Uniswap V2,UNI-V2,18,57,200383,479000000000,149167,5696906,deprecated,4406441
6,10777819,2020-09-01 21:45:50,0x88c830a3246eda00dae0f86a7e991c9259e8456fdba349356c9130aa9bdc8f56,12,0xeb1bb3d4f1f2f0cfe85035aaff37bd6642469eabdac4fbdbfaf1a58c36dd7810,0x44110090577ca29e4c79983762ec642a6e78e08a,0xc4da39e646e7f5d233b89ca0f7b75344e7ddb2cc,0x9dd5b5c71842a4fd51533532e5470298bfa398fd,3.2174334045963095e+18,Uniswap V2,UNI-V2,18,45,218749,479000000000,145833,3995935,deprecated,4406362
7,10778362,2020-09-01 23:39:18,0x1cee90dfdbdedf9e1b779d6863aebe07ae26912c435325b3a92633d3613b843a,13,0xd83d10d870db3c006a2718529c57bdd36408ea50e4879af77ca151db24d2c126,0xc4da39e646e7f5d233b89ca0f7b75344e7ddb2cc,0x1e18821e69b9faa8e6e75dffe54e7e25754beda0,0x44110090577ca29e4c79983762ec642a6e78e08a,1.6930541186584125e+19,KIMCHI.finance,KIMCHI,18,154,134652,480000000000,97273,11237014,deprecated,4405819
8,10778372,2020-09-01 23:41:16,0xe62900d1999504507468c104dbe6910185a7bbbbd481e34861b8bac360c0834d,14,0xd43b3ce60150c7454b655967eb2c6ec6aec2b0752b38072e126b0bcddb55a2bc,0x44110090577ca29e4c79983762ec642a6e78e08a,0x1e18821e69b9faa8e6e75dffe54e7e25754beda0,0xc4da39e646e7f5d233b89ca0f7b75344e7ddb2cc,2.1712685788166603e+19,KIMCHI.finance,KIMCHI,18,200,162313,480000000000,122201,8480317,deprecated,4405809
9,10778372,2020-09-01 23:41:16,0xe62900d1999504507468c104dbe6910185a7bbbbd481e34861b8bac360c0834d,14,0xd43b3ce60150c7454b655967eb2c6ec6aec2b0752b38072e126b0bcddb55a2bc,0x0000000000000000000000000000000000000000,0xc4da39e646e7f5d233b89ca0f7b75344e7ddb2cc,0x44110090577ca29e4c79983762ec642a6e78e08a,2.755125484974026e+18,Uniswap V2,UNI-V2,18,200,162313,480000000000,122201,8480317,deprecated,4405809
