,blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,confirmations
0,10768790,2020-08-31 12:49:50,0x217faf7c520f8d8bf46008839b5c4086d8e8188abfebd06ed071bce1d1558797,193,0x8ba971dbfd030a1803daef4a662454ea02e87b490ec19db165741ec7344a5e8c,0xe7057e58d8e10f05dcd184213d5b462bbb5285cf,0xf421c3f2e695c2d4c0765379ccace8ade4a480d9,0x44284e10668e31cbb6903d211d1968aadf1eda45,2e+18,Uniswap V2,UNI-V2,18,190,76458,220000000000,50972,11134523,deprecated,4414942
1,10768803,2020-08-31 12:52:59,0x867254bfaf17673169766eb36f3c657c25224f61147e99af1596005ee7ea2213,195,0x282cda7764b2586ab2d71635181582986a806e121e91a088b139bda12e8077a0,0xe7057e58d8e10f05dcd184213d5b462bbb5285cf,0xf421c3f2e695c2d4c0765379ccace8ade4a480d9,0x44284e10668e31cbb6903d211d1968aadf1eda45,5.281161077841117e+20,Uniswap V2,UNI-V2,18,129,54012,220000000000,21008,11275545,deprecated,4414929
2,10768839,2020-08-31 12:59:40,0x2d5307be19227217a7572a7d2501f34a4a3e0a7d6ce7a2e6187549beffb638aa,1,0xa589d2daafb8c6564f60a342266fbe14c36058905965b80747d38d1d4166a027,0x44284e10668e31cbb6903d211d1968aadf1eda45,0xf421c3f2e695c2d4c0765379ccace8ade4a480d9,0xc2edad668740f1aa35e4d8f227fb8e17dca888cd,5.301161077841117e+20,Uniswap V2,UNI-V2,18,122,242421,231000000000,126614,7337403,deprecated,4414893
3,10769497,2020-08-31 15:28:32,0xedcba0116306e065afd40481772a19c4d95fb23e713ba21b041380beb01c89c4,2,0x0a2b891f8fbdfdafadcafba087105ca3fb9fd99a6b0a7043f23d5f28449f924c,0xc2edad668740f1aa35e4d8f227fb8e17dca888cd,0x6b3595068778dd592e39a122f4f5a5cf09c90fe2,0x44284e10668e31cbb6903d211d1968aadf1eda45,1.3182088000395138e+20,SushiToken,SUSHI,18,52,200101,292000000000,133401,1999117,deprecated,4414235
4,10769497,2020-08-31 15:28:32,0xedcba0116306e065afd40481772a19c4d95fb23e713ba21b041380beb01c89c4,2,0x0a2b891f8fbdfdafadcafba087105ca3fb9fd99a6b0a7043f23d5f28449f924c,0x44284e10668e31cbb6903d211d1968aadf1eda45,0xf421c3f2e695c2d4c0765379ccace8ade4a480d9,0xc2edad668740f1aa35e4d8f227fb8e17dca888cd,0.0,Uniswap V2,UNI-V2,18,52,200101,292000000000,133401,1999117,deprecated,4414235
5,10769507,2020-08-31 15:30:11,0xabf6d882de3a4acea147a6bbad7c2ef739453fd5c7b4410930b14a3929a73851,3,0xe5bb28fa2225b05e67a51d5fc38407345ae7179ad8d7522abb8afa82ebf0bd4c,0x44284e10668e31cbb6903d211d1968aadf1eda45,0x6b3595068778dd592e39a122f4f5a5cf09c90fe2,0xd8c1fdedf2bce443dfb5952ca944f535ab50b800,1.3182088000395138e+20,SushiToken,SUSHI,18,170,54271,298000000000,21181,8544253,deprecated,4414225
6,10771308,2020-08-31 21:51:01,0x3e9ff3b6e4f197da2e1dfba9f19d1ed2b65fbc90013fdc9c71c258df8327c518,5,0x97890a8b3afc39be289548c4dcdb292570389a14ca3a952af90a333f35ce382f,0xc2edad668740f1aa35e4d8f227fb8e17dca888cd,0x6b3595068778dd592e39a122f4f5a5cf09c90fe2,0x44284e10668e31cbb6903d211d1968aadf1eda45,3.31514024120822e+20,SushiToken,SUSHI,18,75,220101,243180993385,133401,5363242,deprecated,4412424
7,10771308,2020-08-31 21:51:01,0x3e9ff3b6e4f197da2e1dfba9f19d1ed2b65fbc90013fdc9c71c258df8327c518,5,0x97890a8b3afc39be289548c4dcdb292570389a14ca3a952af90a333f35ce382f,0x44284e10668e31cbb6903d211d1968aadf1eda45,0xf421c3f2e695c2d4c0765379ccace8ade4a480d9,0xc2edad668740f1aa35e4d8f227fb8e17dca888cd,0.0,Uniswap V2,UNI-V2,18,75,220101,243180993385,133401,5363242,deprecated,4412424
8,10771320,2020-08-31 21:52:48,0x74ba0ee13298be4990ed512f0c6b1480f4f396b3f4852711868eccf5b775f9ac,6,0xb7c71089e62003b5880620685d74d8623d497839a9947d69c433290fceffd293,0x44284e10668e31cbb6903d211d1968aadf1eda45,0x6b3595068778dd592e39a122f4f5a5cf09c90fe2,0xbc29f67faab89cfd50ec0ebbbaa48098ac9c5e8d,1e+18,SushiToken,SUSHI,18,65,76735,204000000000,51157,5258986,deprecated,4412412
9,10771334,2020-08-31 21:56:14,0x65a4f4927d74110b60be4679835e42c50ffb60c8a34c8bc13cb3a0a06d6acfba,7,0xc0c497bb3aa8e6568a2964b70efca7a7ce6e13f3c064ac125d61fc047dca3171,0x44284e10668e31cbb6903d211d1968aadf1eda45,0x6b3595068778dd592e39a122f4f5a5cf09c90fe2,0xbc29f67faab89cfd50ec0ebbbaa48098ac9c5e8d,3.30514024120822e+20,SushiToken,SUSHI,18,103,54289,204000000000,21193,7976271,deprecated,4412398
10,10771564,2020-08-31 22:44:30,0xc2f08fc4aa02f2867a88fdf6dab20a22d7e6f4aac7895d7eb62aab37b957b39f,2767422,0x74398626b838dec58d328927686d64d52ca714d46df237ea36593e531a35f1b8,0xd551234ae421e3bcba99a0da6d736074f22192ff,0xba11d00c5f74255f56a5e366f4f77f5a186d7f55,0x44284e10668e31cbb6903d211d1968aadf1eda45,1.392e+20,BandToken,BAND,18,47,207128,237000000000,129631,3072735,deprecated,4412168
11,10771609,2020-08-31 22:55:41,0xf1cadbf94133b41d5e45b4e0bc673a14dd6ad98fd46249081e88ab7b8b44a46a,9,0x16ea0e53c7df9e944f4ca154266b6923eb2eb93b50f3887a317541edc16d1835,0x44284e10668e31cbb6903d211d1968aadf1eda45,0xba11d00c5f74255f56a5e366f4f77f5a186d7f55,0xf421c3f2e695c2d4c0765379ccace8ade4a480d9,1.392e+20,BandToken,BAND,18,18,282803,220000000000,205946,1650934,deprecated,4412123
12,10771609,2020-08-31 22:55:41,0xf1cadbf94133b41d5e45b4e0bc673a14dd6ad98fd46249081e88ab7b8b44a46a,9,0x16ea0e53c7df9e944f4ca154266b6923eb2eb93b50f3887a317541edc16d1835,0x0000000000000000000000000000000000000000,0xf421c3f2e695c2d4c0765379ccace8ade4a480d9,0x44284e10668e31cbb6903d211d1968aadf1eda45,1.875840399694223e+19,Uniswap V2,UNI-V2,18,18,282803,220000000000,205946,1650934,deprecated,4412123
13,10771621,2020-08-31 22:57:18,0xf3dda0ddeb73a06c81b514d2b253b255062988b6a6e1e1adbf01404a0a1650e0,10,0xf1252358b0f86ab3d4bd8938a529f7d81f5b8e05312b28244b87e663aec11106,0xc2edad668740f1aa35e4d8f227fb8e17dca888cd,0x6b3595068778dd592e39a122f4f5a5cf09c90fe2,0x44284e10668e31cbb6903d211d1968aadf1eda45,5.441119837096701e+19,SushiToken,SUSHI,18,93,195177,221000000000,131109,6144351,deprecated,4412111
14,10771621,2020-08-31 22:57:18,0xf3dda0ddeb73a06c81b514d2b253b255062988b6a6e1e1adbf01404a0a1650e0,10,0xf1252358b0f86ab3d4bd8938a529f7d81f5b8e05312b28244b87e663aec11106,0x44284e10668e31cbb6903d211d1968aadf1eda45,0xf421c3f2e695c2d4c0765379ccace8ade4a480d9,0xc2edad668740f1aa35e4d8f227fb8e17dca888cd,1.875840399694223e+19,Uniswap V2,UNI-V2,18,93,195177,221000000000,131109,6144351,deprecated,4412111
15,10772234,2020-09-01 01:06:25,0x31c1bc086fc4c6d8d7d261a2139b11eb30bf0fbef6a69ebca393e86e84fdf677,12,0x6c9ea30317295a6c84cb722fe89389b513c7b8b29598cb99ab8e341ca14ca451,0xc2edad668740f1aa35e4d8f227fb8e17dca888cd,0x6b3595068778dd592e39a122f4f5a5cf09c90fe2,0x44284e10668e31cbb6903d211d1968aadf1eda45,1.0657871063635848e+20,SushiToken,SUSHI,18,11,177601,279419037149,118401,819144,deprecated,4411498
