,blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,confirmations
0,10777797,2020-09-01 21:41:44,0x658fe3c2c219974ced23cc415f1a93b2d6344d6fbd463e22dbdf5b8534252e41,24,0x83bcb7d7039ff71735f7d6f571be7f8350ee0fd09a19e1121e925c36242a95bb,0xc4da39e646e7f5d233b89ca0f7b75344e7ddb2cc,0x1e18821e69b9faa8e6e75dffe54e7e25754beda0,0x44df0b1cfb126dfe15298fa30031127d4318c2e5,7.236261149793926e+18,KIMCHI.finance,KIMCHI,18,35,151413,526000000000,112273,2863726,deprecated,4406233
1,10801633,2020-09-05 13:20:51,0x9faeffaf12898b815e8d55140c3f60038b3fc9adc0cb7bb066368208512677ff,25,0xd2f2f4773821419c0d255075af5f566d805d67d5f0a9e75f8a9a429a07a39bf7,0x082f8f6ee4fe559e3676924ba5e626e76d9812e8,0x47632da9227e322eda59f9e7691eacc6430ac87c,0x44df0b1cfb126dfe15298fa30031127d4318c2e5,1e+19,YFIBusiness.Finance,YFIB,18,51,173253,530000000000,132219,3582728,deprecated,4382397
2,10846564,2020-09-12 10:27:21,0x3121d1a1e43af4e11892bda7791683abd006252c50332423f6a1b0920d571d87,27,0xa218978e9a70a93631930ef4005fec8864f2f370c57bce08af26935cb37f1298,0x55111bad5bc368a2cb9ecc9fbc923296bedb3b89,0x68a118ef45063051eac49c7e647ce5ace48a68a5,0x44df0b1cfb126dfe15298fa30031127d4318c2e5,3.9e+19,$BASED,$BASED,18,150,175843,84000000000,134574,8493386,deprecated,4337466
3,10892965,2020-09-19 13:28:57,0xedc0839b4a58a56923d9b5e83691d893fb11fd39cee9e6aa79e0e9d612811c6f,28,0x694d7c82a15e8629a739ab8d1e3144a7f66938dd702d055a25fe4a7c3049ca87,0x090d4613473dee047c3f2706764f49e0821d256e,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,0x44df0b1cfb126dfe15298fa30031127d4318c2e5,4e+20,Uniswap,UNI,18,193,90020,123000000000,81837,12298556,deprecated,4291065
4,10893381,2020-09-19 15:05:48,0x8c70408cb62a39be0c48f5ae7b6af3de66895357796141b53d21882d65349ab5,31,0xc0409bb68be7ad1eb0e21c01c0166062b4139ab954b7784b50d7979089d6e01f,0x44df0b1cfb126dfe15298fa30031127d4318c2e5,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,0xd3d2e2692501a5c9ca623199d38826e513033a17,4e+20,Uniswap,UNI,18,138,165449,180000000000,98111,8336336,deprecated,4290649
5,10981910,2020-10-03 08:32:21,0xae1c4df133b4c2731eedf92658d136c3594e0a0d88f4bbb3a1b5fa98df713404,34,0x10b544239fbeaec8fbb565674f7c6ed05181b356f3a6702152891875c2afb3ca,0x55a06945e79f2d6a14b5c4f18e8e73091e2e57d6,0xab7aaf9e485a3bc885985184abe9fc6aba727bd6,0x44df0b1cfb126dfe15298fa30031127d4318c2e5,1.0423766632566338e+20,MANY,MANY,18,135,165108,43000000000,124528,6641053,deprecated,4202120
6,10981929,2020-10-03 08:36:50,0xa1bc4b1ac6c9d731258810ff3022cd6c48f85f94b3e1fa74ae272167eb46ee75,35,0x97b928a0c7b21aa36e99d5c8909802af459707265402b5eff1afc177aab9dc79,0x32ce7e48debdccbfe0cd037cc89526e4382cb81b,0x62359ed7505efc61ff1d56fef82158ccaffa23d7,0x44df0b1cfb126dfe15298fa30031127d4318c2e5,1.0964134005042352e+16,cVault.finance,CORE,18,69,181819,44000000000,139481,7691572,deprecated,4202101
7,11300368,2020-11-21 08:19:52,0x44b3b0cafd51335a911e2bbdb52edcefa6dde4926ff8571d6e5129ffe1a62ace,11,0x6bffd3b22e333c0efb21cecdabf006a18ba91e96228433ddca15ca7387d28d3b,0xd1917932a7db6af687b523d5db5d7f5c2734763f,0xd1afbccc9a2c2187ea544363b986ea0ab6ef08b5,0x44df0b1cfb126dfe15298fa30031127d4318c2e5,9500000000000000.0,Ethereum Yield,ETHY,18,32,7743366,23797000000,7197343,9711835,deprecated,3883662
8,11583166,2021-01-03 18:30:40,0xa311b073b4f7572ac0cd78b0ed59d53600e9645de1ab0b25f7f097f33940020b,37,0x9f9f2fb31a8061a8fd3484225586796afcf5290bb38dabbca153cb986d979aa1,0x9dc696f1067a6b9929986283f6d316be9c9198fd,0xd2dda223b2617cb616c1580db421e4cfae6a8a85,0x44df0b1cfb126dfe15298fa30031127d4318c2e5,1e+21,Bondly Token,BONDLY,18,117,173488,109000000000,132433,9487508,deprecated,3600864
9,11870391,2021-02-16 21:55:29,0x686ee93e43df9a13901d051759b515eeb750d1be66b4f4267e849e2b71c576d8,44,0xe564e95b4a87d191e8941a0a7f865a502dbce1fee7ff0e9c8cfb4acf0113c7b3,0x44df0b1cfb126dfe15298fa30031127d4318c2e5,0xd2dda223b2617cb616c1580db421e4cfae6a8a85,0x9dc696f1067a6b9929986283f6d316be9c9198fd,1e+21,Bondly Token,BONDLY,18,201,168525,167000000000,112923,11918068,deprecated,3313639
10,12038915,2021-03-14 20:42:10,0x60f979320d93441eff61f9a8d097191d20349173dc2d0ab8d36ef44484f1e5a3,47,0x27df5737ae9388fd03c76561136fabe67a20a575d937c5451364eabdbcef7f9f,0x5916953296edf0996a0e77488b3af450095e2a35,0xf29992d7b589a0a6bd2de7be29a97a6eb73eaf85,0x44df0b1cfb126dfe15298fa30031127d4318c2e5,2e+21,DMScript,DMST,18,249,175857,180000000000,134586,12036735,deprecated,3145115
