,blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,confirmations
0,5418560,2018-04-11 01:26:49,0x7027637a3b579290b9eb834872b38a4855f6c1cc5c01b29eeffcc09ff4e5856b,2644,0x0a77b1b82a772534a630cc70e8dbe85e6fbba33b6c6016ae2502ea9ca9da5d90,0x31a240648e2baf4f9f17225987f6f53fceb1699a,0x31a240648e2baf4f9f17225987f6f53fceb1699a,0x467f88986fcca782b72a0c3f35c18985d14f03fa,777.0,SAFE.AD - 20% DISCOUNT UNTIL 1 MAY,safe.ad,0,51,300000,300000000,240688,6616002,deprecated,9765273
1,5800862,2018-06-16 19:56:07,0x8af8c75e4987c9043ebd5ed7a7f494e8faf5f3e28749b3760acbf74cb57562b4,242,0xcd52f8e57d356ef87a8f23504ac2b16d4e5cc231ba7d232714280b1bab07ec47,0x0000000000000000000000000000000000000000,0x7b2f9706cd8473b4f5b7758b0171a9933fc6c4d6,0x467f88986fcca782b72a0c3f35c18985d14f03fa,911.0,An Etheal Promo,HEALP,0,9,1800000,2000000000,1707333,5714002,deprecated,9382971
2,5992580,2018-07-19 14:07:44,0x6ea99dfec1b2342bf36adfde5feaf8e3096dfdb3a09dff4896ae90fbe9a34868,2424,0x742183bbb8b593c60771567692fa8d1b537777be991765d42d3d4c9e75b641b3,0xc7304352548c192f6ba59ee15e3e1ae9a5605608,0xe530441f4f73bdb6dc2fa5af7c3fc5fd551ec838,0x467f88986fcca782b72a0c3f35c18985d14f03fa,200000.0,GSENetwork,GSE,4,47,4500000,2100000000,1984024,4508187,deprecated,9191253
3,6276685,2018-09-05 14:11:50,0x17f9301b461d88453311227ffe746b1f5bbe44a3a660990dff4835e9f1199be0,291,0xd0e9eb79bc1dde30f47872405c68d91bfcdb58ddb9cb4912907c3307b0800cd0,0x8e306b005773bee6ba6a6e8972bc79d766cc15c8,0x58b6a8a3302369daec383334672404ee733ab239,0x467f88986fcca782b72a0c3f35c18985d14f03fa,2.2047676436556198e+18,Livepeer Token,LPT,18,5,1700000,2800000000,1463122,4931799,deprecated,8907148
4,6501846,2018-10-12 15:06:43,0xa066bdbbf3293658693bb068db0890dc168be3d67cd1a100d5bc62a51680badb,480,0xae710d07d6004ed1e776e7ffd8fe8fe51990a19dbc5af91de86f491fb9d1ca8b,0x0000000000000000000000000000000000000000,0xaf47ebbd460f21c2b3262726572ca8812d7143b0,0x467f88986fcca782b72a0c3f35c18985d14f03fa,5.0,Promodl,PMOD,0,51,2000000,8000000000,1700794,6092803,deprecated,8681987
5,10729809,2020-08-25 13:21:22,0xb23bae6a06df93a7d48857ec7cb06f9f1e72db76e8f40cd527d2a6a9562b0ace,2714551,0xe02b30dd788c93021bbb9d5b940e57f097c2cc04e0cb9ef063e3110b397964a4,0xd551234ae421e3bcba99a0da6d736074f22192ff,0x514910771af9ca656af840dff83e8264ecf986ca,0x467f88986fcca782b72a0c3f35c18985d14f03fa,2.478e+19,ChainLink Token,LINK,18,12,207128,124000000000,51589,904297,deprecated,4454024
6,10749125,2020-08-28 12:23:01,0x175fc509ede01c7013a001ec061b4b6f8417a721000b78227889fa716ba07e9f,2698013,0x38a34eb8818ae40919ee8fa654e965b7dba2bbd92fb1194dc474bd82ea850b64,0x0681d8db095565fe8a346fa0277bffde9c0edbbf,0x514910771af9ca656af840dff83e8264ecf986ca,0x467f88986fcca782b72a0c3f35c18985d14f03fa,1.000751e+21,ChainLink Token,LINK,18,77,207128,92000000000,36601,4938589,deprecated,4434708
7,10749162,2020-08-28 12:32:08,0x3e2833e50fc59ba00b302ca79ccb25075ecf0165aa8f68ebcfb60f25d0381fcc,5006446,0x837a749e4cbb257a722b05b49f0c12f66d65978adfd08e72de81d87efe5673bd,0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,0x0d438f3b5175bebc262bf23753c1e53d03432bde,0x467f88986fcca782b72a0c3f35c18985d14f03fa,4.95e+18,Wrapped NXM,wNXM,18,42,207128,92000000000,51238,3356467,deprecated,4434671
8,10769033,2020-08-31 13:44:31,0x6c3430d22c777ab91f6a4b0524121049b20d8b2b87db1ee058ff696508c6fd5f,3,0x2da3d5112442120c614cbc2e25425b3fcfbfc6c39e4b6d197bc7dfffbac95f58,0x467f88986fcca782b72a0c3f35c18985d14f03fa,0x514910771af9ca656af840dff83e8264ecf986ca,0xfb6a4c200553ea2e46eefff664da1c30eab24204,1.025531e+21,ChainLink Token,LINK,18,77,103178,261000000000,36589,3175460,deprecated,4414800
9,10772691,2020-09-01 02:51:53,0x80af441e1d4a91c1020f1e038327f42c10e06e6b210e1a81313eb7106ad7bdb0,14,0x4083d7ee9ccd705026491f9ea31466faddb6db6c9d5140136439ec82ef21847d,0x77367816476dfd2dc3dd58aa76615fc4a29e4248,0x0ae055097c6d159879521c384f1d2123d1f195e6,0x467f88986fcca782b72a0c3f35c18985d14f03fa,2.5688902379181912e+19,STAKE,STAKE,18,107,81834,245000000000,39556,3875717,deprecated,4411142
