,blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,confirmations
0,10771995,2020-09-01 00:16:17,0x5a29838d54292eedb5bf91caf7b3e154362d69fa72b75dc558b5154d11221e13,203,0x3571b2d8f2a088e48110dba5e8dcefc0fb5f5d42e6f0160b7dbaf13ae9289f6e,0x15b458f7af474220ca05f34c22667dc70fde017e,0xba21ef4c9f433ede00badefcc2754b8e74bd538a,0x4699cd4edb02bd300b57da29519d8741e67f8fed,1.6783516002426265e+22,Swapfolio,SWFL,18,43,66829,221000000000,36407,11691400,deprecated,4411920
1,10774770,2020-09-01 10:36:18,0x06f9fc4be38ebc5336bf77346b03244cfa21d179754dc72e0971feb22fbb42b7,2,0xca713f773732ec66f8823d127f198e509c0d5a73d370ae4ebf0003dc7a2eb342,0x4699cd4edb02bd300b57da29519d8741e67f8fed,0xba21ef4c9f433ede00badefcc2754b8e74bd538a,0xcaf234ae8112d30d8b20712895937d23787c052d,1.6783516e+22,Swapfolio,SWFL,18,367,300000,400000000000,179971,12268296,deprecated,4409145
2,10778719,2020-09-02 01:01:49,0x399c2476b2d02e205b6b2067249dfc1ef27cb3646fe16a6016c21b387ebb3ded,3,0x011cd2401063d542ff0edb572ebe90710cf2b26d22abcef7ec21763264c089b7,0xf33d5c3a7490ba374890b0ab8fa059bdf7749564,0x4b4f5286e0f93e965292b922b9cd1677512f1222,0x4699cd4edb02bd300b57da29519d8741e67f8fed,1.7213834043128262e+21,YUNo.finance,YUNO,18,78,231320,490000000000,192585,3824019,deprecated,4405196
3,10778770,2020-09-02 01:12:28,0x23efa72ebd8d54a5b061fb59ca12a7ac888cba71fae1d93139cd927f0b0b5ac6,227,0xd4fb114cfef2fa9f65b0bfc72851dd13647c935f92524bf9cc899f5cf141cf56,0x15b458f7af474220ca05f34c22667dc70fde017e,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x4699cd4edb02bd300b57da29519d8741e67f8fed,2711294669.0,USD Coin,USDC,6,91,75218,531000000000,42381,7170134,deprecated,4405145
4,10778867,2020-09-02 01:34:17,0x546a26357a5b3a9edc860707a6e5c5ac076ab27f2e21ac7f7c0d99226f266f25,10,0x442328a1859dc2c882849a573ab5fc92b851dff71e545945bda2be60f6d33263,0x4699cd4edb02bd300b57da29519d8741e67f8fed,0x4b4f5286e0f93e965292b922b9cd1677512f1222,0xa446ecee1fa06054fd8dcbe0d7f85f5976530439,1.6637976717442983e+21,YUNo.finance,YUNO,18,119,182032,480000000000,146840,10837043,deprecated,4405048
5,10778867,2020-09-02 01:34:17,0x546a26357a5b3a9edc860707a6e5c5ac076ab27f2e21ac7f7c0d99226f266f25,10,0x442328a1859dc2c882849a573ab5fc92b851dff71e545945bda2be60f6d33263,0x4699cd4edb02bd300b57da29519d8741e67f8fed,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xa446ecee1fa06054fd8dcbe0d7f85f5976530439,2705641902.0,USD Coin,USDC,6,119,182032,480000000000,146840,10837043,deprecated,4405048
6,10778867,2020-09-02 01:34:17,0x546a26357a5b3a9edc860707a6e5c5ac076ab27f2e21ac7f7c0d99226f266f25,10,0x442328a1859dc2c882849a573ab5fc92b851dff71e545945bda2be60f6d33263,0x0000000000000000000000000000000000000000,0xa446ecee1fa06054fd8dcbe0d7f85f5976530439,0x4699cd4edb02bd300b57da29519d8741e67f8fed,2110705004590030.0,Uniswap V2,UNI-V2,18,119,182032,480000000000,146840,10837043,deprecated,4405048
7,10778910,2020-09-02 01:41:51,0xaef46b47db3c2156bed4e25e2e7806670a61f552ebd49d003855023d0ce4b23d,12,0x9668d68a2b7aaecee867d0824a2ddd87437ffcfedc893a15ca5f882f4492dd8b,0x4699cd4edb02bd300b57da29519d8741e67f8fed,0xa446ecee1fa06054fd8dcbe0d7f85f5976530439,0x450f143f1a8650fff968d890814bd5884bdc8f1d,2110699999999900.0,Uniswap V2,UNI-V2,18,136,221701,471000000000,147801,8086653,deprecated,4405005
8,10784904,2020-09-02 23:49:42,0x4d813448a92bb28161685af2e2c077d5d89d3eada1dffa7e4cf079ac1c9edc36,14,0x4d5ea57b6c7813466d29c6aca400d81e8ba3d2d8e08de4e4445649f7a7510e7e,0xcaf234ae8112d30d8b20712895937d23787c052d,0xba21ef4c9f433ede00badefcc2754b8e74bd538a,0x4699cd4edb02bd300b57da29519d8741e67f8fed,2.4189899955547462e+20,Swapfolio,SWFL,18,229,300000,320000000000,86118,10878504,deprecated,4399011
9,10784985,2020-09-03 00:07:28,0xaeef16e9af96a762c4ebfb1fd00675bc5c8d39b24e30b59f7c16b561dcfc3d52,15,0xbb18038280c94a4d37eded8972f30f99b4aa84783f3f2c283bbd6710e64df6df,0x450f143f1a8650fff968d890814bd5884bdc8f1d,0x4b4f5286e0f93e965292b922b9cd1677512f1222,0x4699cd4edb02bd300b57da29519d8741e67f8fed,2.4235706375280405e+21,YUNo.finance,YUNO,18,72,181084,331100000000,120723,3760744,deprecated,4398930
