,blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,confirmations
0,10772340,2020-09-01 01:34:36,0x277cef2a43e0d7e5a94de5c4131e7d5e7ce3598e14f6f3a19e131e6e4fc5cb1b,0,0xa1dba04a830d0394269b922cd0aab9bdca1922e6b22e773681b2837cccb60afd,0x62032bbfce119852a33ce9b962969508027a358d,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x481bbf7195b038504721aba31aa283a8e96877f7,997819772.0,USD Coin,USDC,6,36,200000,264000000000,42381,1876752,deprecated,4411605
1,10772776,2020-09-01 03:09:38,0x2d260deb9a7f4b0a03e4e21423803a8ef3fbd96ecfe49731573e18ed33c4d135,1,0x92221504d18631a396e09d8815f97f706e32c7456177f0f77d3a924bee070d55,0x481bbf7195b038504721aba31aa283a8e96877f7,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,997819772.0,USD Coin,USDC,6,166,264808,247000000000,226514,8776781,deprecated,4411169
2,10772776,2020-09-01 03:09:38,0x2d260deb9a7f4b0a03e4e21423803a8ef3fbd96ecfe49731573e18ed33c4d135,1,0x92221504d18631a396e09d8815f97f706e32c7456177f0f77d3a924bee070d55,0x43ae24960e5534731fc831386c07755a2dc33d47,0xc011a73ee8576fb46f5e1c5751ca3b9fe0af2a6f,0x481bbf7195b038504721aba31aa283a8e96877f7,1.2985594107988751e+20,Synthetix Network Token,SNX,18,166,264808,247000000000,226514,8776781,deprecated,4411169
3,11467420,2020-12-17 00:32:47,0x5e37d167612adcea9a41d918dbd3eeaef87031c559b7f86c8331cdc91005c846,2,0x6aab9f1c2dc28d08d3b2fb96c54fcd24bf49ff8794a2b5b5cc1c90923846052b,0x481bbf7195b038504721aba31aa283a8e96877f7,0xc011a73ee8576fb46f5e1c5751ca3b9fe0af2a6f,0x69b6f4ea0d3c1fd9e0fcba47c31d4e85d7e7a2b2,1.2985594107988751e+20,Synthetix Network Token,SNX,18,64,139236,99500000000,77049,7421652,deprecated,3716525
4,12629425,2021-06-14 00:35:00,0x2a5162270c51359f2ebc62c199a7b55802d49cec71ebb5f96de60f8aa548eef7,3,0xf3ede2a401679fc15171c65733b4db55f0f372f664ddc29426a3b95e408aaffe,0x0000000000000000000000000000000000000000,0x030ba81f1c18d280636f32af80b9aad02cf0854e,0x481bbf7195b038504721aba31aa283a8e96877f7,9.6e+18,Aave interest bearing WETH,aWETH,18,155,416149,11000000000,292280,14003905,deprecated,2554520
5,12629440,2021-06-14 00:38:41,0x4a10447497cb9e90b43214133df5ceeab591824a09bc8572709b624c35aa69bf,4,0xb8876907576a3b0d64dbe237fc84e13b345d36bda951d10034a460f37b810a77,0x0000000000000000000000000000000000000000,0x619beb58998ed2278e08620f97007e1116d5d25b,0x481bbf7195b038504721aba31aa283a8e96877f7,6000000000.0,Aave variable debt bearing USDC,variableDebtUSDC,6,56,501932,11000000000,380535,6983285,deprecated,2554505
6,12629440,2021-06-14 00:38:41,0x4a10447497cb9e90b43214133df5ceeab591824a09bc8572709b624c35aa69bf,4,0xb8876907576a3b0d64dbe237fc84e13b345d36bda951d10034a460f37b810a77,0xbcca60bb61934080951369a648fb03df4f96263c,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x481bbf7195b038504721aba31aa283a8e96877f7,6000000000.0,USD Coin,USDC,6,56,501932,11000000000,380535,6983285,deprecated,2554505
7,12629457,2021-06-14 00:41:23,0x1aaa7644d753ece681cd52d4d950cef205c362dc4e1044d03beee2ecbc2ddf58,5,0xe788c5888dbed5a1ed3959e2b1adf9d4e84e9a41f6556e9a7211649b952081b4,0x481bbf7195b038504721aba31aa283a8e96877f7,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x29c196f20e213b0ce2a5ece0ea6038423a4e345a,10000000.0,USD Coin,USDC,6,81,99226,15000000000,65613,4117146,deprecated,2554488
8,12629464,2021-06-14 00:43:07,0x951a4a275f27225befe122f519ad91f01c7ddf1bcfe29ddd3945b20675779f6d,6,0xf8e3389cdc370b88cca1421b0d4652c6fe7031be1ee9f0bec3ed24c438531291,0x481bbf7195b038504721aba31aa283a8e96877f7,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x29c196f20e213b0ce2a5ece0ea6038423a4e345a,5990000000.0,USD Coin,USDC,6,77,73206,13000000000,33537,5675931,deprecated,2554481
9,13513002,2021-10-29 16:05:41,0xeffad0ca854497398cc2782892759e933a0a8239a9a67a32c3111868128810e6,210,0xd7976d0bdb7603a7f1ee58415d87fabcb45e66e16a84d878ea982a8204a7473c,0x734a5422eaff72a38b91dd6ac4c0142bf593cc31,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x481bbf7195b038504721aba31aa283a8e96877f7,6120000000.0,USD Coin,USDC,6,148,99244,257832006270,60825,7515090,deprecated,1670943
10,13513039,2021-10-29 16:16:02,0xbe3c41edee0cfe904720a226333300832d2c398168795e86d60d00e3c53d8a00,8,0x87342b3e385f90c276587cacaf840d9cc6a8ae77bee7184ebee5d39e814f33a1,0x481bbf7195b038504721aba31aa283a8e96877f7,0x619beb58998ed2278e08620f97007e1116d5d25b,0x0000000000000000000000000000000000000000,6117178656.0,Aave variable debt bearing USDC,variableDebtUSDC,6,100,393351,245567195169,293517,9813880,deprecated,1670906
