,blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,confirmations
0,5792061,2018-06-15 07:50:39,0xba507616c2c93faa18149ba488fac24097baa9e606923c9734fcfb6f7168c9fc,8,0x144a206f2376296640dbef70aa55ef8b103b2d4c50f0c4beb1275221d956b144,0x6ffe7d8621fcb1a1e00e31d94d161e32d40e3d24,0x0f513ffb4926ff82d7f60a05069047aca295c413,0x4ab5ebd3392bfb40abbaad92e925b77592d12ec9,2.5e+19,CrowdstartCoin,XSC,18,8,52839,41000000000,37839,951032,deprecated,9392058
1,5868676,2018-06-28 10:50:02,0x189cc7192f29269415c5270c4828001bfa23850e40a776a58a120d73ae895d1a,2,0x034c633d0caf38255dfbee219e5d7f2aea67834da3d7dd0485aec68807bde175,0x8d12a197cb00d4747a1fe03395095ce2a5cc6819,0xafc39788c51f0c1ff7b55317f3e70299e521fff6,0x4ab5ebd3392bfb40abbaad92e925b77592d12ec9,10000000000.0,eBitcoinCash,eBCH,8,56,250000,4000000000,47300,5620712,deprecated,9315443
2,5935886,2018-07-09 23:47:48,0xec404688bf5ccd6224d03a20b947999d6e66b006bb40ff40c465cbcb7540180a,5,0x6881b6ec69f246d02fce4e775219ff0ffcbab0723c2798359129f65f64ea77c7,0x4ab5ebd3392bfb40abbaad92e925b77592d12ec9,0xafc39788c51f0c1ff7b55317f3e70299e521fff6,0x6ffe7d8621fcb1a1e00e31d94d161e32d40e3d24,10000000000.0,eBitcoinCash,eBCH,8,41,77020,18000000000,36347,1258468,deprecated,9248233
3,6965833,2018-12-28 03:50:04,0xc82bd10fdcd5a60b38e3f491f549b990ca2f9620590daaefd5cc5a3f4a0adc9e,12,0xf637868f4c3e66306bf6f7309b1baa2c93a3381e68c5584ff8b91aed8787b352,0x0000000000000000000000000000000000000000,0x71c118b00759b0851785642541ceb0f4ceea0bd5,0x4ab5ebd3392bfb40abbaad92e925b77592d12ec9,2543.0,Chibi Fighters,CBF,0,147,571534,6000000000,519577,7792918,deprecated,8218286
4,6970467,2018-12-28 22:32:38,0xfe0d07ea30cf9b46e8ecbe330b4bb29394ce40c293088f63d6a94d03ff48780e,15,0x54b5da1ecba97597a69849e565d171e438e1307cf5ab376e55b5fa8604275751,0x74744f8f676feba599e6668a8513b97bf5306e77,0x9469d013805bffb7d3debe5e7839237e535ec483,0x4ab5ebd3392bfb40abbaad92e925b77592d12ec9,2.000173653322336e+18,Darwinia Network Native Token,RING,18,37,373358,2000000000,242053,2807778,deprecated,8213652
5,6990433,2019-01-01 07:27:12,0x908329f5357a4e5671a1ea44ede161f99247f7cfefa408f51d61cdc7f9050d06,22,0x3616fbedab588e3fddab9bcf21c0b958e835ae869400f70ac03bdb620f242fae,0x4ab5ebd3392bfb40abbaad92e925b77592d12ec9,0x71c118b00759b0851785642541ceb0f4ceea0bd5,0x8aca6db035e1f21c3639b2b72a5fcbc6600ea5af,2543.0,Chibi Fighters,CBF,0,55,245062,6000000000,118375,2359972,deprecated,8193686
6,7000995,2019-01-03 02:28:25,0x5a8141ecc12c5799b4d06aba0bb72645fcd969e92f5af2f4dc712193987b8bcb,17,0x296b220a748b7a322c8d55efb12a381609b3f6dc1f7aaf8d394fadcb8523ec8f,0x8aca6db035e1f21c3639b2b72a5fcbc6600ea5af,0x71c118b00759b0851785642541ceb0f4ceea0bd5,0x4ab5ebd3392bfb40abbaad92e925b77592d12ec9,2543.0,Chibi Fighters,CBF,0,93,245040,3000000000,118360,6678495,deprecated,8183124
7,7002460,2019-01-03 08:49:35,0xc697a0d7373fc15587957bf77e365299ab026f0a00f939f629e21cd503445ba2,24,0xcfd59da5f950990e81e441389f2e380b414cfdf99c686d33deecd26acf2eaa55,0x4ab5ebd3392bfb40abbaad92e925b77592d12ec9,0x71c118b00759b0851785642541ceb0f4ceea0bd5,0x23b45c658737b12f1748ce56e9b6784b5e9f3ff8,2543.0,Chibi Fighters,CBF,0,54,500000,3000000000,202177,7445070,deprecated,8181659
8,7011001,2019-01-04 21:41:15,0x224d4ffe023373759869746d7ee59505479f9f46a359f77d0ae69bd3bfbfa6ed,25,0x56273d63cd5d8f21837aba27abddad940552e746349340cea565ac3ae0a6b668,0x23b45c658737b12f1748ce56e9b6784b5e9f3ff8,0x71c118b00759b0851785642541ceb0f4ceea0bd5,0x4ab5ebd3392bfb40abbaad92e925b77592d12ec9,2543.0,Chibi Fighters,CBF,0,15,300450,3000000000,99892,760974,deprecated,8173118
9,7016458,2019-01-05 21:01:25,0xbcef027fba5d7bf23363f08a6917100a8bf6554361e7cf5e629c9bcaa88bd58d,28,0x6abc475c64ce4066554ce15ce2806de527a9f5a27f9c1b6f3ccfafc557e3c0e6,0x0000000000000000000000000000000000000000,0x71c118b00759b0851785642541ceb0f4ceea0bd5,0x4ab5ebd3392bfb40abbaad92e925b77592d12ec9,2611.0,Chibi Fighters,CBF,0,30,1213743,6000000000,794571,1989966,deprecated,8167661
10,7103098,2019-01-21 09:35:51,0xade19beeadcad005f3209878fbc329073fdb8370d36cc9066150b08ffd1aa9ad,44,0x374108db60f9e7c87a719632432d837ed114d7d21a221036d5f5946635b72f76,0x0000000000000000000000000000000000000000,0x71c118b00759b0851785642541ceb0f4ceea0bd5,0x4ab5ebd3392bfb40abbaad92e925b77592d12ec9,2730.0,Chibi Fighters,CBF,0,26,1129545,6000000000,735275,1628366,deprecated,8081021
11,7155214,2019-01-31 19:33:00,0xd27f75a6d69377b25894a4efd391f7ce3a13e0ce715a58b9c38e469bf3c3678e,57,0x307e25dee6efb61215ff4430f41aae53496b26fca5b7d29a789510c676d57df6,0x0000000000000000000000000000000000000000,0x71c118b00759b0851785642541ceb0f4ceea0bd5,0x4ab5ebd3392bfb40abbaad92e925b77592d12ec9,2805.0,Chibi Fighters,CBF,0,55,1217104,6000000000,795908,3360487,deprecated,8028905
12,7194823,2019-02-08 21:24:51,0x0bd00418ac2f0666c2a9f743291c2ef4ba669b740b7a82cd19bba79511444b90,66,0x61b50f49712d535ae1d7661e269c5f73ffb7e2f1517b4ac0921c8301ce9cbf61,0x0000000000000000000000000000000000000000,0x71c118b00759b0851785642541ceb0f4ceea0bd5,0x4ab5ebd3392bfb40abbaad92e925b77592d12ec9,2921.0,Chibi Fighters,CBF,0,68,1168099,6000000000,762231,4241146,deprecated,7989296
13,7230988,2019-02-17 07:28:14,0x39a9ca42ed146e73dd9bbed95de9f2c562a65d8a19bc5423a14c67edca39418d,80,0x4536db082e5e33ecfc091c16adbe74e2040e04d907b8f9377a6f41e72f8c2662,0x0000000000000000000000000000000000000000,0x71c118b00759b0851785642541ceb0f4ceea0bd5,0x4ab5ebd3392bfb40abbaad92e925b77592d12ec9,3020.0,Chibi Fighters,CBF,0,40,1169667,6000000000,760808,1851338,deprecated,7953131
14,7237173,2019-02-18 18:53:38,0x666815e38b07038053dac655de01061b2977b14cb384410b156914dc25de36f9,86,0x5deb08abe6636f15c753752f7912b7b265fc782bf340bc1fb538a127d1fc26f6,0x4ab5ebd3392bfb40abbaad92e925b77592d12ec9,0x71c118b00759b0851785642541ceb0f4ceea0bd5,0x23b45c658737b12f1748ce56e9b6784b5e9f3ff8,2730.0,Chibi Fighters,CBF,0,82,500000,5000000000,186970,7216269,deprecated,7946946
15,7237177,2019-02-18 18:56:04,0xfbef69a99f660317ba505a40a62cc358b33b998f6c4f14f2308ff4616c1f071d,88,0xc1089ec27d3b51cdece899a44277f88037036b34edf4a61d26bb83ab8ae7b457,0x4ab5ebd3392bfb40abbaad92e925b77592d12ec9,0x71c118b00759b0851785642541ceb0f4ceea0bd5,0x23b45c658737b12f1748ce56e9b6784b5e9f3ff8,2611.0,Chibi Fighters,CBF,0,104,500000,5000000000,187034,7399190,deprecated,7946942
