,blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,confirmations
0,10768720,2020-08-31 12:33:26,0xe13ab46c434d3b9acf899acb716f987f1b5937faeacc3e9d5812abda30865a77,1,0x96575ce72cc8013d1faa2326bbeb7d75cc86a57c69d0db604f25544f18fd38fe,0xa478c2975ab1ea89e8196811f51a7b7ade33eb11,0x6b175474e89094c44da98b954eedeac495271d0f,0x4ba4575bbcaad20cb917d326e396c3402ec06cb2,5.1153750997699674e+19,Dai Stablecoin,DAI,18,92,165969,217000000000,113282,6918914,deprecated,4415998
1,10769845,2020-08-31 16:42:51,0xed9ff9b9f63eaa68ae24cfb3c4f8bca2b9301079a6a12dad5cfa18496700a956,3,0x565da17c48238cadc4070512fbace76a976ca3f28ba611687ebc141cafb64d19,0x4ba4575bbcaad20cb917d326e396c3402ec06cb2,0x6b175474e89094c44da98b954eedeac495271d0f,0x5550c3e3b732f0f1aac2a02d4e9ce343afff41fb,0.0,Dai Stablecoin,DAI,18,161,42801,296000000000,28534,11222613,deprecated,4414873
2,10880804,2020-09-17 16:30:55,0x95862d6f3ea371ffb94eb6f748a4e14ae5513b6762743712086cffd85e3c5f71,5,0x11c52b95b5b743dd576a456505464fd58eafaabb6b5c6d63bd268c56eb5619ee,0x090d4613473dee047c3f2706764f49e0821d256e,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,0x4ba4575bbcaad20cb917d326e396c3402ec06cb2,4e+20,Uniswap,UNI,18,17,90018,491000000000,81835,1342713,deprecated,4303914
3,10881696,2020-09-17 19:43:13,0x9f39aadd7f4e2574eaa854c5ed295def0311ad2dc8b4356eacd7bd70163aac8d,8,0xe4ee2a491ef05d53acf7ab65a79c60824b3bcf22c50ded09479608e9e0e4a0ec,0x4ba4575bbcaad20cb917d326e396c3402ec06cb2,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,0xd3d2e2692501a5c9ca623199d38826e513033a17,4e+20,Uniswap,UNI,18,123,171169,450000000000,130524,6567487,deprecated,4303022
4,10881696,2020-09-17 19:43:13,0x9f39aadd7f4e2574eaa854c5ed295def0311ad2dc8b4356eacd7bd70163aac8d,8,0xe4ee2a491ef05d53acf7ab65a79c60824b3bcf22c50ded09479608e9e0e4a0ec,0xa478c2975ab1ea89e8196811f51a7b7ade33eb11,0x6b175474e89094c44da98b954eedeac495271d0f,0x4ba4575bbcaad20cb917d326e396c3402ec06cb2,1.3890136992058282e+21,Dai Stablecoin,DAI,18,123,171169,450000000000,130524,6567487,deprecated,4303022
5,10913529,2020-09-22 17:07:49,0x7c49f1cd75f015e7d78ad9e0324440dc896bc7e48decc7fcbdb330c2c269ed04,11,0x49678ef661d2f9c9b825a81ae95cd80cb40d5afd08ccf302244bc6d4bf989016,0x4ba4575bbcaad20cb917d326e396c3402ec06cb2,0x6b175474e89094c44da98b954eedeac495271d0f,0xa478c2975ab1ea89e8196811f51a7b7ade33eb11,1e+20,Dai Stablecoin,DAI,18,121,196219,295000000000,167879,10924753,deprecated,4271189
6,10913529,2020-09-22 17:07:49,0x7c49f1cd75f015e7d78ad9e0324440dc896bc7e48decc7fcbdb330c2c269ed04,11,0x49678ef661d2f9c9b825a81ae95cd80cb40d5afd08ccf302244bc6d4bf989016,0x4e19b5cd6589c0b7204f395119cd619b273704aa,0x05d27cdd23e22ca63e7f9c7c6d1b79ede9c4fcf5,0x4ba4575bbcaad20cb917d326e396c3402ec06cb2,6.195898928866389e+18,Yearn Finance Passive Income,YFPI,18,121,196219,295000000000,167879,10924753,deprecated,4271189
7,10920825,2020-09-23 19:52:53,0xb669d9e71d4985891fe77ea532e2a8d2a961125df2fe02c306e427498311bfbe,13,0x788434dc839568ac5001f26c61ed5c0ae354324b6ad8ae7f085968c550e6cc5c,0x4c099acacc28cb046d351e891117e669484e270d,0x825130aa1beef07bdf4f389705321816d05b0d0f,0x4ba4575bbcaad20cb917d326e396c3402ec06cb2,4e+20,UNII,UNII,18,100,116181,177000000000,77454,10696944,deprecated,4263893
8,10925006,2020-09-24 11:22:07,0x873a12a54953e944a15131451190e7cbaa9755e62665b57cc9d8de434b868693,15,0xe6dce764865f1d937c12764644d1ce5c675f939e206becf8f6bb809cbecf5f25,0x4ba4575bbcaad20cb917d326e396c3402ec06cb2,0x6b175474e89094c44da98b954eedeac495271d0f,0x75116bd1ab4b0065b44e1a4ea9b4180a171406ed,4.0693e+19,Dai Stablecoin,DAI,18,40,155851,82000000000,136023,3048489,deprecated,4259712
9,10931760,2020-09-25 12:15:31,0x77bd2528d54e7ef0b942635ef0d8e378e9b5bb3059ab4dd4e632a3252e9e4309,16,0x1c37522dd443971a1ff6c1af4c22852155957dda5bb835bd89406b2510785fd0,0x4ba4575bbcaad20cb917d326e396c3402ec06cb2,0x6b175474e89094c44da98b954eedeac495271d0f,0xa478c2975ab1ea89e8196811f51a7b7ade33eb11,3.35567118723664e+20,Dai Stablecoin,DAI,18,63,196285,84000001459,179955,3813628,deprecated,4252958
