,blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,confirmations
0,10712300,2020-08-22 20:40:32,0x1a39ab4de792a4529c47eefff6ae055805c35829a32332330391a67b47e71ea2,7,0xe3eb3be58b2ee18f9297415dac1c517347cf8f5d260f37a0f6b5d55746ae240b,0xd1917932a7db6af687b523d5db5d7f5c2734763f,0x9694eed198c1b7ab81addaf36255ea58acf13fab,0x4f347ba3886c80d89a7df09e0cd3b68a2fc4f6e0,7200000000000.0,DoubleHelix,DHX,9,123,5610382,73000000000,5081515,10892897,deprecated,4472018
1,10763406,2020-08-30 16:59:37,0xd8e133d4bf3910d90ce0ec3c15b69616d803423d1bef0a3e480817603e8c2cd1,2,0xf3c763ea704b9a654ae16f86b4ccd0e98743277b589a9ccef75be498da05581a,0x4f347ba3886c80d89a7df09e0cd3b68a2fc4f6e0,0x9694eed198c1b7ab81addaf36255ea58acf13fab,0x75cedceb012a8682bdf737a300f5102dda5a5ca0,200000000000.0,DoubleHelix,DHX,9,62,169252,290000000000,128584,2677531,deprecated,4420912
2,10765813,2020-08-31 01:49:23,0x786334e1c2de3a7c72264ae52f3a107bbbf538d3ccf280ea4216d998183b6900,3,0x06fc3727da6a1665049f8155e921d19942268cdfafcd4df7219413996df1b774,0x75cedceb012a8682bdf737a300f5102dda5a5ca0,0x9694eed198c1b7ab81addaf36255ea58acf13fab,0x4f347ba3886c80d89a7df09e0cd3b68a2fc4f6e0,212298859130.0,DoubleHelix,DHX,9,10,151857,210000000000,112669,728970,deprecated,4418505
3,10878062,2020-09-17 06:32:03,0x8104e48a00c2acdeb048874150ef42c7b075c934d8364f82eea8384c3bfe700b,5,0x386e31513a8505c1ad31572c78da7650f9a1b68c6f07ae199910588fe6f6e26e,0x090d4613473dee047c3f2706764f49e0821d256e,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,0x4f347ba3886c80d89a7df09e0cd3b68a2fc4f6e0,4e+20,Uniswap,UNI,18,105,90040,600000001359,81855,7055122,deprecated,4306256
4,10884949,2020-09-18 08:03:37,0x61d8448197c196aff7d656274b5a343e07c06b1bdeee24a6050e4f8fc4f7b11d,6,0x7af6156a1880f0fa3269b5c17be8dafa13df1cf97b763481356d3dff0789c8a0,0x4f347ba3886c80d89a7df09e0cd3b68a2fc4f6e0,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,0xad1bfdb685d29e8eeac826ad6390a4b49ce63d96,4e+20,Uniswap,UNI,18,139,60000,480000001459,40506,9122999,deprecated,4299369
5,10921252,2020-09-23 21:28:15,0x7f38969a8d6d24c78333ec7ee214c108f72298eaf33d06ede7eaa89821bf9486,9,0x40d281cf65da0f3f2aa742eb9ca34d02a6d27cac338aefe006bf6ce662204ecc,0x4f347ba3886c80d89a7df09e0cd3b68a2fc4f6e0,0x9694eed198c1b7ab81addaf36255ea58acf13fab,0x75cedceb012a8682bdf737a300f5102dda5a5ca0,170000000000.0,DoubleHelix,DHX,9,113,240834,197900000000,188515,8544166,deprecated,4263066
6,10921252,2020-09-23 21:28:15,0x7f38969a8d6d24c78333ec7ee214c108f72298eaf33d06ede7eaa89821bf9486,9,0x40d281cf65da0f3f2aa742eb9ca34d02a6d27cac338aefe006bf6ce662204ecc,0x835d4f29e06dede8766c19f49b66962304cf95a5,0x11068577ae36897ffab0024f010247b9129459e6,0x4f347ba3886c80d89a7df09e0cd3b68a2fc4f6e0,3.0483020491625935e+19,Hot Pot.finance,HOTPOT,18,113,240834,197900000000,188515,8544166,deprecated,4263066
7,10925278,2020-09-24 12:17:59,0xb645ed0a5754131f901533adbbc8348a615f1d0291378132837c873e2d9ff3bc,10,0x7ea257c2b5d43baa7ebe506e922d696f1af07d8054011891673b395914a60a06,0x4f347ba3886c80d89a7df09e0cd3b68a2fc4f6e0,0x9694eed198c1b7ab81addaf36255ea58acf13fab,0x75cedceb012a8682bdf737a300f5102dda5a5ca0,500000000000.0,DoubleHelix,DHX,9,91,222395,65900000000,173515,5687002,deprecated,4259040
8,10925278,2020-09-24 12:17:59,0xb645ed0a5754131f901533adbbc8348a615f1d0291378132837c873e2d9ff3bc,10,0x7ea257c2b5d43baa7ebe506e922d696f1af07d8054011891673b395914a60a06,0x835d4f29e06dede8766c19f49b66962304cf95a5,0x11068577ae36897ffab0024f010247b9129459e6,0x4f347ba3886c80d89a7df09e0cd3b68a2fc4f6e0,5.0165833611734835e+19,Hot Pot.finance,HOTPOT,18,91,222395,65900000000,173515,5687002,deprecated,4259040
9,10929549,2020-09-25 04:04:10,0x12e3cd2c69a2462d7f486eea38aaea614352e0e5b4da5778992d7dc29c1022cc,12,0x1ab376f213cef4e0384c7ccd25ccff39d783a6582af4be11fa2a862c04450875,0x4f347ba3886c80d89a7df09e0cd3b68a2fc4f6e0,0x11068577ae36897ffab0024f010247b9129459e6,0x835d4f29e06dede8766c19f49b66962304cf95a5,5e+19,Hot Pot.finance,HOTPOT,18,25,185071,154000000000,127670,1049828,deprecated,4254769
