,blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,confirmations
0,10507550,2020-07-22 06:25:25,0x90f0d9e7c8c2a1bf46f8f9e03283761adb2953146ce546103e328fcc2027d88c,3,0xc4c1148e6128f8c2ec4a6e7d8273ad4f565358876730792e100eed12b6fd7953,0x1e3f30004af550cca48f26da8b860aae699a8478,0x861d899e74ec0e84fa8a15ba58088bb3baccb6fa,0x5084d69cee04cb182964a0b240fe2433ab7e1a73,15350000000000.0,Tether DeFi,USDD,10,110,66836,76000000000,51413,4716396,deprecated,4677122
1,10514128,2020-07-23 06:29:24,0x5c19a2910f6287bc2c6bed9d96af140ed14d95b30ef787ba477182c6b246c2e8,0,0x48ece89937815a806f79649c2135acbb1cba682c2edf1a9146849b70d8054c1e,0x5084d69cee04cb182964a0b240fe2433ab7e1a73,0x861d899e74ec0e84fa8a15ba58088bb3baccb6fa,0xfc815cdaad5e084a212e8d8c1252c984b2775418,1500000000000.0,Tether DeFi,USDD,10,104,71978,76230001765,51413,4396443,deprecated,4670544
2,10519583,2020-07-24 02:42:17,0xd02965af940a4f32e15a6a84b869131fc1fc1a437562ffa01ec384033cdf0aa3,18,0xe0af9683fb821919d6d0729eda0a6afc96d07c28c1643e0ec32a956b989f1418,0x1e3f30004af550cca48f26da8b860aae699a8478,0x861d899e74ec0e84fa8a15ba58088bb3baccb6fa,0x5084d69cee04cb182964a0b240fe2433ab7e1a73,15000000000000.0,Tether DeFi,USDD,10,282,47336,53000000000,36413,11125623,deprecated,4665089
3,10520346,2020-07-24 05:30:31,0x342c71615dc065b969fa0943e207d39e993d73848772770f572b40931a92312b,1,0x5a0e047a26a034be4af1406f1172aa810a75a6320ea48fe94e0a32711c2ce536,0x5084d69cee04cb182964a0b240fe2433ab7e1a73,0x861d899e74ec0e84fa8a15ba58088bb3baccb6fa,0xfc815cdaad5e084a212e8d8c1252c984b2775418,2000000000000.0,Tether DeFi,USDD,10,46,50978,70400000000,36413,5386322,deprecated,4664326
4,10521389,2020-07-24 09:30:50,0x09ba8f5753ee71f137fd2c87a29c43fe272d34c4202d538929a393788f9dce76,2,0x9522e21704358098a6615f65fa8e9e3ccbfe32f6c704c8b04ddadecce8c07e0e,0x5084d69cee04cb182964a0b240fe2433ab7e1a73,0x861d899e74ec0e84fa8a15ba58088bb3baccb6fa,0xfc815cdaad5e084a212e8d8c1252c984b2775418,2500000000000.0,Tether DeFi,USDD,10,188,50978,93500000000,36413,5728281,deprecated,4663283
5,10526510,2020-07-25 04:33:45,0x3d2fea9237f8d9160e10ab171429239b563480ba130bf08ccc4296f0918b737c,46,0xb62767330eb13e22129ba06c0b0dd40b1f40ee83162ab5a377e4cf62f76813ae,0xfc815cdaad5e084a212e8d8c1252c984b2775418,0x861d899e74ec0e84fa8a15ba58088bb3baccb6fa,0x5084d69cee04cb182964a0b240fe2433ab7e1a73,1500000000000.0,Tether DeFi,USDD,10,111,47336,92000000000,36413,5374782,deprecated,4658162
6,10527258,2020-07-25 07:26:31,0x4e894f61c97b05ce76617ec4a1ee8132ce66b2ffc0813c7f2110a844fb793519,3,0xb53d3fbd642dc29b3fb2bbe6f847afb098b110e2cca9d1aba6700ba1e16b43dd,0x5084d69cee04cb182964a0b240fe2433ab7e1a73,0x861d899e74ec0e84fa8a15ba58088bb3baccb6fa,0xfc815cdaad5e084a212e8d8c1252c984b2775418,2500000000000.0,Tether DeFi,USDD,10,58,50978,93500000000,36413,2523602,deprecated,4657414
7,10730424,2020-08-25 15:36:19,0xbe4a2b0d17ee5864842c3cdc92f302165662c742e448a761150bd4ea9b99f5ba,66,0x5042fcb821c50ac2b5a18eed95c0709d28d98c58884631aa51125fc2468288d1,0x1e3f30004af550cca48f26da8b860aae699a8478,0x861d899e74ec0e84fa8a15ba58088bb3baccb6fa,0x5084d69cee04cb182964a0b240fe2433ab7e1a73,5000000000000.0,Tether DeFi,USDD,10,242,47336,130000000000,36413,11397497,deprecated,4454248
8,10748473,2020-08-28 09:49:07,0x52be70d5a1d9c6d6ceca218506c84ab37ffcd23127b985c853801a4e36221d9d,4,0x7db0f4bb20aa00c0497c23519c53e64fa869b6c9163dffcf1fdb9e2a7dd5fe38,0x5084d69cee04cb182964a0b240fe2433ab7e1a73,0x861d899e74ec0e84fa8a15ba58088bb3baccb6fa,0xe071c23553ced184de49d027b8abe58c6c3d1668,100000000000.0,Tether DeFi,USDD,10,264,50961,60390001444,36401,9887472,deprecated,4436199
9,10762942,2020-08-30 15:19:24,0x1177a2b150688b51fd8915a4f37d4def7990c808c79d8975b4e403be341f369b,5,0xb396ecc9002b76baf51d1fae1cd99b23ceea8a405379226d5f9f22a70d837eab,0x966053ca4fca049173eb1f27e4cb168ccb794534,0x6b785a0322126826d8226d77e173d75dafb84d11,0x5084d69cee04cb182964a0b240fe2433ab7e1a73,7.2e+20,Bankroll Vault,VLT,18,111,174163,259600000000,133046,6242139,deprecated,4421730
10,10819089,2020-09-08 05:27:21,0x54bf3e6f97a8b8ec72d79af821442d96af8530c0a0d9dca3bd7c64263d66a258,6,0xa3113285022260c4e8274e818b97fd1f044f50784b61cfe133488275cec23613,0x5084d69cee04cb182964a0b240fe2433ab7e1a73,0x861d899e74ec0e84fa8a15ba58088bb3baccb6fa,0x5704a35a2404e51707ea2b2af180dd3968a88dcb,500000000000.0,Tether DeFi,USDD,10,127,50961,74250001235,36401,10074798,deprecated,4365583
11,10820854,2020-09-08 11:57:39,0x3cb982da98a7aac4f845ce1986369ee65813a1dc0ef2788b6542a5fbbcb04839,7,0x1552707abe0a2168350a0c4d82f8a0d4b40225c5fe4a6ddb894d4bff638ba056,0x5084d69cee04cb182964a0b240fe2433ab7e1a73,0x861d899e74ec0e84fa8a15ba58088bb3baccb6fa,0xf7a4f388259e9159f195da0837924dc09cd74bdd,5000000000000.0,Tether DeFi,USDD,10,84,71978,70400001235,51413,6029148,deprecated,4363818
