,blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,confirmations
0,10782921,2020-09-02 16:32:40,0x0a319bc40afbc5a705c7fc94d4cafd040280cedec76ea81ba8ff442e7aa1aac6,11,0x86ef88d10d02085b7b51f1eef04e52bef6201f99b129a20b1eb22baaa5327f04,0xa5025faba6e70b84f74e9b1113e5f7f4e7f4859f,0xf80b96baff90115fffa4fa312a5e8d8969948dbd,0x50a77dfd94802198feaa4f86491ed04fe135d26c,1.8273938e+21,Yieldby.finance,YBFI,18,127,1052963,552000000000,433763,6873471,deprecated,4400758
1,10784712,2020-09-02 23:10:20,0xa560e7c703a5de4ce6d6e1a57720e0abb0ab3c8c7731440349796dacbca29aee,1,0xf7b5c5c39de91b0daa40de9312ac1cfb7a6e2fc2f35630f3db86017e258177fa,0x0896d42069299904674b23388382135ad5244647,0xf80b96baff90115fffa4fa312a5e8d8969948dbd,0x50a77dfd94802198feaa4f86491ed04fe135d26c,4.018857153919579e+18,Yieldby.finance,YBFI,18,40,148204,370000000000,109399,3248709,deprecated,4398967
2,10784741,2020-09-02 23:16:39,0xa77e8fc9ab4a64bed85b3bd914fd3bea9a828bd6d02a4ee3100e2f03163a7542,4,0xdd2bc2041707817f85cc7a276354bd8bd72dc17d911d276a6278970da3640420,0x50a77dfd94802198feaa4f86491ed04fe135d26c,0xf80b96baff90115fffa4fa312a5e8d8969948dbd,0x0896d42069299904674b23388382135ad5244647,3e+19,Yieldby.finance,YBFI,18,17,165988,400000000000,125617,1559253,deprecated,4398938
3,10784745,2020-09-02 23:18:00,0xea1c6941e6cfda8be4c744963bd1758ea09eb0e9c72e351437a9da7e9aa89bbf,5,0x85dca723074ecc642fb00c9c085c40cc97d25ecadd4c0f0f220feb91fa0a1976,0x50a77dfd94802198feaa4f86491ed04fe135d26c,0xf80b96baff90115fffa4fa312a5e8d8969948dbd,0x0896d42069299904674b23388382135ad5244647,4e+19,Yieldby.finance,YBFI,18,109,165988,400000000000,125617,7189228,deprecated,4398934
4,10784781,2020-09-02 23:24:28,0x4a3b572afe13c38a31057941441db20393ad520d07420dbfdf70e696d2f4ce94,7,0xc54a40a68a5cbb8042025d0be7e8dc4e3eaf3a4490d5d2aff205e49320e4892c,0x50a77dfd94802198feaa4f86491ed04fe135d26c,0xf80b96baff90115fffa4fa312a5e8d8969948dbd,0x0896d42069299904674b23388382135ad5244647,4e+19,Yieldby.finance,YBFI,18,30,165988,400000000000,125617,3279870,deprecated,4398898
5,10784795,2020-09-02 23:26:31,0x2f3bff7667dbe59adf46bd04f468bf6c77f7e158c6c6d32b83fe6d16db6d2683,8,0x92a21cd51b86f21b76e24db0b5fe6f5bc61b76fd772f4687331fe8b8f0a35ac7,0x50a77dfd94802198feaa4f86491ed04fe135d26c,0xf80b96baff90115fffa4fa312a5e8d8969948dbd,0x0896d42069299904674b23388382135ad5244647,3.7e+19,Yieldby.finance,YBFI,18,90,165988,387000000000,125617,3673636,deprecated,4398884
6,10784930,2020-09-02 23:56:30,0x9510ad905e205a83a8c726779a6c449171e943c9f5c8cbe6feff04a54288c1be,10,0x058b6347a3b5d18ccfaa56b200f3a388209c9f3e905c1b6128257c3e6534a12f,0x0896d42069299904674b23388382135ad5244647,0xf80b96baff90115fffa4fa312a5e8d8969948dbd,0x50a77dfd94802198feaa4f86491ed04fe135d26c,2.412758806338931e+18,Yieldby.finance,YBFI,18,46,148204,350000000000,109399,2068012,deprecated,4398749
7,10784938,2020-09-02 23:58:09,0x30c7a49378e5860ad8e9b7fc21791aa0c6bf76939354088bc079e46eb5080fb1,11,0x565a590e0b866feed9159ca38bc799e1231cbf686b7ea89b0c0761209a783522,0x0896d42069299904674b23388382135ad5244647,0xf80b96baff90115fffa4fa312a5e8d8969948dbd,0x50a77dfd94802198feaa4f86491ed04fe135d26c,1.197416719573021e+18,Yieldby.finance,YBFI,18,13,148204,350000000000,109399,1552289,deprecated,4398741
8,10784944,2020-09-02 23:59:32,0x8719e5e39662b9405869bddec55a9c4fa1b0035e632a7c4e23570b203e2e9fc2,12,0x093b7e71c0beafb4c620234e57f0ea1b76719e3d942761fce7d3af18743aed6a,0x50a77dfd94802198feaa4f86491ed04fe135d26c,0xf80b96baff90115fffa4fa312a5e8d8969948dbd,0x0896d42069299904674b23388382135ad5244647,1e+19,Yieldby.finance,YBFI,18,36,165975,330000000000,125605,2230690,deprecated,4398735
9,10784994,2020-09-03 00:09:30,0x2c209ff692faec02d66532471d0f45f629325683e24795b1ae8685c8b3f3c60c,13,0x904cad34d1161af255dcea63ec5494a8c8d136378edc5048806f740635848603,0x50a77dfd94802198feaa4f86491ed04fe135d26c,0xf80b96baff90115fffa4fa312a5e8d8969948dbd,0x0896d42069299904674b23388382135ad5244647,2e+19,Yieldby.finance,YBFI,18,104,165988,340000000000,125617,4863351,deprecated,4398685
