,blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,confirmations
0,10770360,2020-08-31 18:34:50,0x19f54428e04ae71c22242e603bfdcdf3798d853471dddd1e21567ff9321e5961,4,0x087eeae8fc72392fba19acca79b339e100bfafc940f864d96aabc46d3bac90d8,0xe964d013d193354170ad1d3d8e500f6d26334f45,0x54c9ea2e9c9e8ed865db4a4ce6711c2a0d5063ba,0x52783c070d38f4008b78abffc1808c3aeb136996,3.623326367921479e+21,BarterTrade,BART,18,114,165100,301000000000,124520,6771653,deprecated,4413879
1,10770459,2020-08-31 18:55:24,0xf72cfcb48e3586222e71400d4b2c7ae6bb9e079b6e1cc40e5871b23a3c5999a1,5,0x9d20164ee6b5ed1f05a4114a1b55ba67169d401482578fcc9855a7c2a035d7be,0x2c814e0346672ce6813f7e1eaf944be8703ec10f,0x6b9f031d718dded0d681c20cb754f97b3bb81b78,0x52783c070d38f4008b78abffc1808c3aeb136996,1.4349649471251905e+20,Geeq,GEEQ,18,154,166262,240000000000,125561,8940214,deprecated,4413780
2,10784924,2020-09-02 23:55:32,0xabcdd76115fba2c3b09e6c49de608ddd46785ccde1311acfe9e8e97a6f5a1b4d,6,0x5d852882d181170328a95cb92e393f920d99e900094e8303a9e3fea743a6cbe2,0xe20d1742b1e01a2beb257c3826eb4ce96e1752e7,0x0501e7a02c285b9b520fdbf1badc74ae931ad75d,0x52783c070d38f4008b78abffc1808c3aeb136996,3.236794312198642e+19,Walnut.Finance,WTF,18,69,177334,242000000000,123453,7713536,deprecated,4399315
3,10784996,2020-09-03 00:10:10,0x552e831f48ca8783005345f5337ea4326b26e1ce2a1b7cfba49629466f172e9e,7,0x1d13566687d4e64a584f883f8ba0b831b54db5e1f139f8e52ada339d8f605939,0x2c261530356f52c70aab0b5e61aaa0d64bf35f77,0x8f57e8e38e61975a0433fa792542f453d8ed4d7d,0x52783c070d38f4008b78abffc1808c3aeb136996,4.117189572090212e+18,YFIEXCHANGE.FINANCE,YFIE,18,152,171750,241000000000,130472,7079867,deprecated,4399243
4,10785009,2020-09-03 00:14:13,0x1c79d886f64a5d94908b8df2b4a858bf2e35ec0873eff1da7123e14895418fe8,8,0x00c92488265735220e7e9e8b657648a3948aa744e7a11773ae877ba15b77335c,0x2c261530356f52c70aab0b5e61aaa0d64bf35f77,0x8f57e8e38e61975a0433fa792542f453d8ed4d7d,0x52783c070d38f4008b78abffc1808c3aeb136996,4.105817048077185e+18,YFIEXCHANGE.FINANCE,YFIE,18,48,154988,241000000000,115472,4287687,deprecated,4399230
5,10785694,2020-09-03 02:37:57,0xbcfee28809eb7dc721744611b407817dd153895e9189766f6feec465d51758c0,9,0x8057032c67f7e9c3efd025e484323ed56ddf6ebc153fbe57c3c7de0875c20291,0x0a93e8241849752fe8597e120aa57021d1871115,0x048fe49be32adfc9ed68c37d32b5ec9df17b3603,0x52783c070d38f4008b78abffc1808c3aeb136996,8.093608291390918e+22,Skrumble Network V2,SKM,18,123,305705,317000000000,244036,11769672,deprecated,4398545
6,10785714,2020-09-03 02:42:25,0x5f83f66b51420cc6f9d4c7a4383399dd63b09b19c3ceee01741995fff834b1b5,10,0x2a434d915cb89f0216909d87bd6d9a3728b592ec836fdeb852ec1e756792379a,0x2caccf71bdf8fff97c06a46eca29b611b1a74b5e,0xba21ef4c9f433ede00badefcc2754b8e74bd538a,0x52783c070d38f4008b78abffc1808c3aeb136996,3.133797462107402e+21,Swapfolio,SWFL,18,63,165260,317000000000,112648,6960351,deprecated,4398525
7,10785945,2020-09-03 03:29:40,0x024ab6b059670e1600772a5eb46d28f09e815052df85381e490eb2f7b28369ee,12,0x427ac0dbd89e2be3aa68df345bd1518f5050521a83edb1ffc93ec495bfce2e46,0x84e34df6f8f85f15d24ec8e347d32f1184089a14,0xf4cd3d3fda8d7fd6c5a500203e38640a70bf9577,0x52783c070d38f4008b78abffc1808c3aeb136996,2.2407984535810885e+18,YfDAI.finance,Yf-DAI,18,49,167393,330000000000,126571,4704454,deprecated,4398294
8,10843793,2020-09-12 00:11:46,0x2bff0e1808827e40abdab38a94474ba0c3856aa8f358b02d8717a73b1d0aa230,13,0x70d45c4e6f2dcdf71126edda7d109c0d6af3088b7dbbb99a2ef39d30f12cb919,0x927a4aae0c92cdd84b3bb6a2034a299eccb27f7f,0x8a6f3bf52a26a21531514e23016eeae8ba7e7018,0x52783c070d38f4008b78abffc1808c3aeb136996,595258241956.0,Multiplier,MXX,8,58,244619,84000000000,180640,6334209,deprecated,4340446
9,10844562,2020-09-12 03:03:23,0x402d53aa78a4d909485f7e37757c701aa83ed5efc2e8d101c5cdc3dc003559e2,16,0x56c73882138007236d9eef772462269ab888f54cae790b43d1dc3391378998ce,0x52783c070d38f4008b78abffc1808c3aeb136996,0x8a6f3bf52a26a21531514e23016eeae8ba7e7018,0x19b292c1a84379aab41564283e7f75bf20e45f91,586708414872.0,Multiplier,MXX,8,87,281709,91000001459,182122,6390602,deprecated,4339677
10,10881869,2020-09-17 20:21:15,0x46e117d047956f113ff4ece97783f513770d0d6e73de7a799ef27fd5767847ce,17,0xe2e1bc8bb09c9bae54c6f927ee7966b4b680caa433154a4af5c14efaadc412b6,0x090d4613473dee047c3f2706764f49e0821d256e,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,0x52783c070d38f4008b78abffc1808c3aeb136996,4e+20,Uniswap,UNI,18,58,90031,600000000000,81847,3636385,deprecated,4302370
11,10895689,2020-09-19 23:34:57,0x203ff3f0d54395fea7231670dc91c77d1bc9d4e1272d0b81b8d0ed77f7076dae,20,0xf277424af29276dab1aeb713ec741931ca6070a5ec75ad46175193ff337b637e,0x52783c070d38f4008b78abffc1808c3aeb136996,0xf4cd3d3fda8d7fd6c5a500203e38640a70bf9577,0x84e34df6f8f85f15d24ec8e347d32f1184089a14,5e+17,YfDAI.finance,Yf-DAI,18,1,169351,201000000000,128674,244393,deprecated,4288550
12,10909697,2020-09-22 02:50:31,0x551f3fcda135e12216ee3707ded4b58df3b93329c65fe12c4a231541401af542,23,0x5d91bc5a4b27aec2f07ceacc03b7aa53a217a24d2955d3b44eeaacce55b5a5af,0x52783c070d38f4008b78abffc1808c3aeb136996,0x0501e7a02c285b9b520fdbf1badc74ae931ad75d,0xe20d1742b1e01a2beb257c3826eb4ce96e1752e7,3.1945263690766557e+19,Walnut.Finance,WTF,18,20,183407,125000000000,141146,3061483,deprecated,4274542
13,10909697,2020-09-22 02:50:31,0x551f3fcda135e12216ee3707ded4b58df3b93329c65fe12c4a231541401af542,23,0x5d91bc5a4b27aec2f07ceacc03b7aa53a217a24d2955d3b44eeaacce55b5a5af,0x52783c070d38f4008b78abffc1808c3aeb136996,0x0501e7a02c285b9b520fdbf1badc74ae931ad75d,0x0000000000000000000000000000000000000000,3.226794312198642e+17,Walnut.Finance,WTF,18,20,183407,125000000000,141146,3061483,deprecated,4274542
14,10925877,2020-09-24 14:28:37,0x04f66fd34f27ec4c0f8e8b4380df90584c6822fdece66202d1bf74c260cd8665,25,0x2bce4d59c819a5300c596dfbe67b17db52b8136b4169e90c5321fb1a98045253,0x52783c070d38f4008b78abffc1808c3aeb136996,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x608903534527b0623fe0b0bd81a2f29bc5b50d32,2e+18,Wrapped Ether,WETH,18,42,175324,110000000000,152470,3450742,deprecated,4258362
15,10925877,2020-09-24 14:28:37,0x04f66fd34f27ec4c0f8e8b4380df90584c6822fdece66202d1bf74c260cd8665,25,0x2bce4d59c819a5300c596dfbe67b17db52b8136b4169e90c5321fb1a98045253,0x608903534527b0623fe0b0bd81a2f29bc5b50d32,0xa54c67bd320da4f9725a6f585b7635a0c09b122e,0x52783c070d38f4008b78abffc1808c3aeb136996,831381.0,TimeMiner,TIME,6,42,175324,110000000000,152470,3450742,deprecated,4258362
16,10926063,2020-09-24 15:08:07,0xf13166cab8d29a8f46b73fea44f3c5351d541dad39636c39fa19f909a4ab9cd8,27,0x835e5b317c29525ed57ffd3b40b33d8ab828849e2b3912730597d702912f14b4,0x52783c070d38f4008b78abffc1808c3aeb136996,0xa54c67bd320da4f9725a6f585b7635a0c09b122e,0x608903534527b0623fe0b0bd81a2f29bc5b50d32,832429.0,TimeMiner,TIME,6,162,186313,124000000000,129094,11799823,deprecated,4258176
17,11068585,2020-10-16 18:32:25,0x7b5113462e38965b0ee8c595797ead6b91d66268f30950e6477b858e5ed9badf,28,0xe2596b84adbdf65e8f3ef84ac162cf66cdb5bfed952c83208c6353e9f9f48976,0x52783c070d38f4008b78abffc1808c3aeb136996,0x8f57e8e38e61975a0433fa792542f453d8ed4d7d,0x82a7e02b745c24ba513b691d62487b21a0778e38,8.223006620167397e+18,YFIEXCHANGE.FINANCE,YFIE,18,55,85899,84000000000,42266,3318838,deprecated,4115654
18,11068614,2020-10-16 18:38:05,0x160a52fee05b7b886b8cbcdaab16a8eef0ab418e0346538097b69788398ba1f1,29,0x55eacc20602c0f36764d0f2e176476748f199cf1f4d3256240ff8992ed9140ce,0x52783c070d38f4008b78abffc1808c3aeb136996,0xf4cd3d3fda8d7fd6c5a500203e38640a70bf9577,0x82a7e02b745c24ba513b691d62487b21a0778e38,1.7407984535810885e+18,YfDAI.finance,Yf-DAI,18,96,80290,84000000000,38527,3259432,deprecated,4115625
19,11486026,2020-12-19 21:08:10,0xc83b57a76c60ce4df54d4156111b6f2a7149116d87113a326fb9ff78312895c1,33,0xd29017aedac23d7f0ebcbf96f1be8f2cbe6d71d6627d0823497cb5e9875587fc,0x52783c070d38f4008b78abffc1808c3aeb136996,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,0x82a7e02b745c24ba513b691d62487b21a0778e38,4e+20,Uniswap,UNI,18,79,131812,29700000000,72875,7898677,deprecated,3698213
