,blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,confirmations
0,10760165,2020-08-30 04:52:45,0x95cf60c502f485254b290c0fc238cbe549f5986e143aac6f9b2a5240a0eab541,1069409,0xc11ab997c5e33fda1002fad3a2302998b78a101002d78cca6513ddc7500bddfa,0xadb2b42f6bd96f5c65920b9ac88619dce4166f94,0xdac17f958d2ee523a2206206994597c13d831ec7,0x58651fb19e6033a6b401f62e02f02546081e386c,50650000.0,Tether USD,USDT,6,26,100000,366000000000,56209,1355998,deprecated,4424438
1,10760503,2020-08-30 06:05:26,0xacc6e48f22defb46a4bbc59bbe776fd6fe2375a0b63fffe62cdc46ce52c8d1af,2,0x2ef30acedf447751dae90ad54a98049b4ba9604ab6c761581da17a8c1499db55,0x58651fb19e6033a6b401f62e02f02546081e386c,0xdac17f958d2ee523a2206206994597c13d831ec7,0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852,50650000.0,Tether USD,USDT,6,141,214212,310000000000,157230,7938401,deprecated,4424100
2,10760503,2020-08-30 06:05:26,0xacc6e48f22defb46a4bbc59bbe776fd6fe2375a0b63fffe62cdc46ce52c8d1af,2,0x2ef30acedf447751dae90ad54a98049b4ba9604ab6c761581da17a8c1499db55,0x55df969467ebdf954fe33470ed9c3c0f8fab0816,0xdf5e0e81dff6faf3a7e52ba697820c5e32d806a8,0x58651fb19e6033a6b401f62e02f02546081e386c,4.810280100274013e+19,Curve.fi yDAI/yUSDC/yUSDT/yTUSD,yDAI+yUSDC+yUSDT+yTUSD,18,141,214212,310000000000,157230,7938401,deprecated,4424100
3,10760633,2020-08-30 06:36:22,0x19608b9fbe7a118875db062bdbaa0e915d0e707c5c1995432a9b915d94a85531,4,0x1314088ef37f3a0fafc75fa2f9ccdc0c7b37a21c74db685d53351b0be5bd4b6e,0x58651fb19e6033a6b401f62e02f02546081e386c,0xdf5e0e81dff6faf3a7e52ba697820c5e32d806a8,0xd2db1ef55549ecdacb4e7da081216ae96f0eedcb,4.81028e+19,Curve.fi yDAI/yUSDC/yUSDT/yTUSD,yDAI+yUSDC+yUSDT+yTUSD,18,163,130956,179000000000,120956,12180375,deprecated,4423970
4,10878595,2020-09-17 08:33:25,0xedecf7ccf44b625bbe0484b90c11b73a05f7372c891e33e13e6e9daed55933a5,8,0x67f41a1d766a5c07b853312c662211a3cf2f1c36f33b026262029523d353b125,0x090d4613473dee047c3f2706764f49e0821d256e,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,0x58651fb19e6033a6b401f62e02f02546081e386c,4e+20,Uniswap,UNI,18,26,90011,967000000000,81829,1254223,deprecated,4306008
5,10878689,2020-09-17 08:51:48,0xc0677a2afba68cfd871c6b17b241f8eca1e465b3b64255a2a97401efcfc6eca6,11,0x4e442fa5f1cc413b7694dcffb4e7214929f2f8669e47b6985ba6453c48244fcd,0x58651fb19e6033a6b401f62e02f02546081e386c,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,0x2ec32139ae3c9a3dce6ec8ebc20fb453c0bfae63,4e+20,Uniswap,UNI,18,71,100000,650000000000,40506,2933229,deprecated,4305914
6,10927738,2020-09-24 21:27:08,0x3a86f5a9b4272be165e1b45294ad9f43281e08fd28f46307f3810b242e29f33b,12,0x52fff8e169b2797f4b19760789fdae61a087df9bf4efd7a1da8af273be9d52d8,0x4c099acacc28cb046d351e891117e669484e270d,0x825130aa1beef07bdf4f389705321816d05b0d0f,0x58651fb19e6033a6b401f62e02f02546081e386c,4e+20,UNII,UNII,18,6,116172,142000000000,77448,887160,deprecated,4256865
7,10950825,2020-09-28 11:55:55,0x071aae66c7ab1f304b6ead1f83d9d1d3ca0a1b8446551ad218db8256e38b3bea,13,0xb5bbd3efb9f51ff8ae1286f0277b75773d9d377d89ed487fb7075e13220203b4,0xd2db1ef55549ecdacb4e7da081216ae96f0eedcb,0xa1d0e215a23d7030842fc67ce582a6afa3ccab83,0x58651fb19e6033a6b401f62e02f02546081e386c,904395003751340.0,YFII.finance,YFII,18,91,131203,138000000000,87275,9478150,deprecated,4233778
8,11163662,2020-10-31 08:56:09,0x51356e553591f07ec3a85b84a06d77cf0b651f937b5270d8cbb1dab4894b8211,28,0xe7bfd104cff750619bcf87da2552a4e89a9e9cb22a55036b3466e3584816c5d5,0xd31e655bc4eb5bcfe25a47d636b25bb4aa4041b2,0xa9517b2e61a57350d6555665292dbc632c76adfe,0x58651fb19e6033a6b401f62e02f02546081e386c,856420144564.0,a!NEVER VISIT www.168pools.com to check DeFi ROi !,a!NEVER VISIT www.168pools.com to check DeFi ROi !,0,56,2500000,25000000000,2332863,5533471,deprecated,4020941
9,11181691,2020-11-03 03:06:40,0x9696bd31ba71959b385faea58a4f9f1c712a8770f2ac4b9deda06114404f605a,62,0x7996374e036e256fb142699fe7d390145a162f9c485290940e6d71aa5d1da4fb,0xd31e655bc4eb5bcfe25a47d636b25bb4aa4041b2,0xb07de4b2989e180f8907b8c7e617637c26ce2776,0x58651fb19e6033a6b401f62e02f02546081e386c,856420144564.0,A! WWW.SPACESWAP.APP ! TOP DEFI AGGREGATOR !,A! WWW.SPACESWAP.APP ! TOP DEFI AGGREGATOR !,0,62,2500000,30000000000,2332863,5549102,deprecated,4002912
