,blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,confirmations
0,10768297,2020-08-31 10:59:08,0x13c10dec4f0974abfe31bda6917d96c85dbf2f2224bf65ca4dd6457408d3d5e5,0,0x736ebabfddf11af1f532d94ae8e976e55b87f7c61684ea6e0d77a49af32f08ba,0x8973be4402bf0a39448f419c2d64bd3591dd2299,0xa1d0e215a23d7030842fc67ce582a6afa3ccab83,0x5d3beccf0e695cf7e291d9545cb069fb39bc7ef8,2.3838049821779613e+17,YFII.finance,YFII,18,165,151421,198000000000,124296,10903956,deprecated,4416148
1,10768323,2020-08-31 11:04:36,0x5ab099b5f63693e9a4d4d9cc126fa1198ada60ccedcecdf9cdcd6f46ebe85614,1,0x16bddca6a24472f4449b2916d415b9081c4d57e39a6e87122991146d4e9ebff9,0x70258aa9830c2c84d855df1d61e12c256f6448b4,0x0ba45a8b5d5575935b8158a88c631e9f9c95a2e5,0x5d3beccf0e695cf7e291d9545cb069fb39bc7ef8,6.623600394181327e+17,Tellor Tributes,TRB,18,124,262608,200000000000,211779,11647503,deprecated,4416122
2,10772208,2020-09-01 01:01:56,0x9b62db2ef255cd4fb0fac81e1f58dffc6dfe043c8e93ff3a4ca063e78ebe0f88,4,0x1eafe23ad175786ee4b8c01d4fdef62f2f18217d7d862398cc8e4a3258878b24,0x8973be4402bf0a39448f419c2d64bd3591dd2299,0xa1d0e215a23d7030842fc67ce582a6afa3ccab83,0x5d3beccf0e695cf7e291d9545cb069fb39bc7ef8,5.890983646524906e+16,YFII.finance,YFII,18,46,148074,219000000000,97268,5009982,deprecated,4412237
3,10772241,2020-09-01 01:07:45,0xba3976ce3eee3193a3d9963f4b48acb7c26316c0e7328b37f9ac973f7630dcf1,6,0xf877854b897a08f11f10539b45daa061b1c1b001a9f54dfec296a66bf077b6a5,0x1d6432aefeae2c0ff1393120541863822a4e6fa7,0x28cb7e841ee97947a86b06fa4090c8451f64c0be,0x5d3beccf0e695cf7e291d9545cb069fb39bc7ef8,2.9590726389874746e+17,YFLink,YFL,18,187,164849,220000000000,124296,12363537,deprecated,4412204
4,10772271,2020-09-01 01:15:20,0xaceadfc9aafd51dd4281f61e5fca89864c7edafe47d4f38aceea517f84e65fdd,7,0x618142a8fdb2be26ea6924c6a0f4bb6f792db2331db691568f0ad67de6b549e1,0xd58b1b5d2148f744e9eb3a87f20bebf3ca5f8974,0x45f24baeef268bb6d63aee5129015d69702bcdfa,0x5d3beccf0e695cf7e291d9545cb069fb39bc7ef8,1.862106628443424e+18,YFValue,YFV,18,101,217636,223000000000,180339,7809149,deprecated,4412174
5,10885064,2020-09-18 08:31:28,0x70395aecba9b196bd4e95cdfa8926df6c95d24277fe2359af54f8401f9eda624,9,0x521b583fa56b2c18a5704c8b0a43bc26a06f17dcfac5bec0ff7bdb9ef2747014,0x090d4613473dee047c3f2706764f49e0821d256e,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,0x5d3beccf0e695cf7e291d9545cb069fb39bc7ef8,4e+20,Uniswap,UNI,18,127,89961,420000000000,81783,7910358,deprecated,4299381
6,10885083,2020-09-18 08:36:16,0x22268309bb10f41d426a20e38018e8b42b39986515b8b5cce04a8f7c247815dd,11,0x6482986bb1b041741a3d8300e919303fc38eb4ebd208c4013c0508a14b5ff303,0x5d3beccf0e695cf7e291d9545cb069fb39bc7ef8,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,0xd3d2e2692501a5c9ca623199d38826e513033a17,3.5e+20,Uniswap,UNI,18,184,152245,420000000000,113123,10415869,deprecated,4299362
7,11213679,2020-11-08 01:04:04,0x7d6fd273cfbe1629460bbc6a98bb824f7ac9680e3d5b138c38f4f3b7e97bda75,7,0xe6f45748f26739ddfc2d7df8a75893f9b70638fa11461101431057902da1ebbb,0xd1917932a7db6af687b523d5db5d7f5c2734763f,0xc259bd68fe764cfa3fd5c04a3bd24363c7e112ec,0x5d3beccf0e695cf7e291d9545cb069fb39bc7ef8,775240000000000.0,yfi.name,YFIN,18,39,5999641,23000000000,5465217,6743918,deprecated,3970766
8,11273669,2020-11-17 06:04:24,0xe188b60d04cd374d5c11708bda0731a9154f53c862f29d995906842cbf3a0203,12,0x5c4e9223e56d505a5fe308c349d219c126d01757768a058109e8a1e5d8710415,0x5d3beccf0e695cf7e291d9545cb069fb39bc7ef8,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,0xd3d2e2692501a5c9ca623199d38826e513033a17,5e+19,Uniswap,UNI,18,104,152245,48000000000,110139,6969157,deprecated,3910776
9,11273718,2020-11-17 06:14:21,0x6af4818b1404f39f8bbd723b4a31a20d82d1e53812a2dea13c6244d0aa067fd0,14,0xe7e34c38c3ea0702069ee4b6310207ade1f7d8c3e53a0af802584e0c5bbc6057,0x5d3beccf0e695cf7e291d9545cb069fb39bc7ef8,0xa1d0e215a23d7030842fc67ce582a6afa3ccab83,0x02967f96c614b6031b99de66f01cd43e9033089f,2.95e+17,YFII.finance,YFII,18,4,76710,93000000000,51140,250332,deprecated,3910727
10,11347361,2020-11-28 13:44:43,0x44dd9ab4563a816ace10fb434b067ab88ca4205dcab5ac4b357cbb0d686f86cf,14,0x7a4c260ef0165beec93024596da618763480bb845780e1699b1d7cbdafd949f3,0xd1917932a7db6af687b523d5db5d7f5c2734763f,0x2a7e79b5f3d8efb718943191a6daf19955a501f4,0x5d3beccf0e695cf7e291d9545cb069fb39bc7ef8,775240000000000.0,YFI.Name,YFIN,18,6,7721290,17000000000,7197725,7511247,deprecated,3837084
11,11606739,2021-01-07 09:27:02,0x83fef77327a7db95d37fe97abbd05acdcb2dd5b5babfb987e25e50f6c72aa2c2,17,0x0ac450e582d855ab9511d52db9cb73e57f6cb6d130c1502ca8ed46459a35503e,0x5d3beccf0e695cf7e291d9545cb069fb39bc7ef8,0x28cb7e841ee97947a86b06fa4090c8451f64c0be,0x1d6432aefeae2c0ff1393120541863822a4e6fa7,2.7590726389874746e+17,YFLink,YFL,18,86,168137,101785714286,127570,4015327,deprecated,3577706
12,11872234,2021-02-17 04:51:32,0x86661653363f2785df195c6c2ff639507a54a4fcbcacc4ad9e74f33b796a134d,19,0xdebebb95d009f27d760d79b451ec7180cea4e96aee8b25493ef7785667e62cdb,0x4214290310264a27b0ba8cff02b4c592d0234aa1,0xa1d6df714f91debf4e0802a542e13067f31b8262,0x5d3beccf0e695cf7e291d9545cb069fb39bc7ef8,5.083226053706511e+21,RFOX,RFOX,18,43,166237,152000000000,125539,3819810,deprecated,3312211
13,12133672,2021-03-29 10:49:24,0x32235dec47550587ebd285e015e76f1239dcf78746b708010e1628eda0ad6b79,21,0x3d4315477212b004c5043230a42b570622ee221c813361fd82081a7a1285a546,0x5d3beccf0e695cf7e291d9545cb069fb39bc7ef8,0xa1d6df714f91debf4e0802a542e13067f31b8262,0x4214290310264a27b0ba8cff02b4c592d0234aa1,2.0832260537065115e+21,RFOX,RFOX,18,114,169843,124000000000,129121,8198771,deprecated,3050773
14,12223814,2021-04-12 07:11:29,0x1e9f6384cf18b9af97423ebc0d4896da91a41d2ec48f007b7e243eb7e5d10057,22,0xf2af96e3d4ae0889005025c4dedc5a4b31da6f240f21b2057f566bbcb5d3986d,0xe495fdfabc7c51c0851e76543c0f552205414894,0x947aeb02304391f8fbe5b25d7d98d649b57b1788,0x5d3beccf0e695cf7e291d9545cb069fb39bc7ef8,2.087969985643674e+21,MANDALA EXCHANGE TOKEN,MDX,18,65,165914,81675000001,125249,4783593,deprecated,2960631
