,blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,confirmations
0,10777094,2020-09-01 18:59:59,0x15fd06d50a865373cdf784b68f6681dc4991115806ab9bb67016b83430b4d5c9,1,0xa7d210b58179e8bd6353d7c06100709aec7cc9ef778c9850b790cc77b177519b,0xce84867c3c02b05dc570d0135103d3fb9cc19433,0x6b3595068778dd592e39a122f4f5a5cf09c90fe2,0x5d504f005dee9df8d41c2f4fffa6cfdc276e30ec,9.665746235195065e+21,SushiToken,SUSHI,18,4,171563,979000000000,124425,456722,deprecated,4406598
1,10777303,2020-09-01 19:49:02,0x1884e28357710e669c9b9f20f66642e9f4f8dda7751f3cd5f50d176a8866a864,4,0xeb9856e62668219ee44c52ba961a4fbd6d5cefdf1fac777c43ea73d7275ebd41,0x5d504f005dee9df8d41c2f4fffa6cfdc276e30ec,0x6b3595068778dd592e39a122f4f5a5cf09c90fe2,0xce84867c3c02b05dc570d0135103d3fb9cc19433,4.7e+21,SushiToken,SUSHI,18,145,155050,479000000000,115673,9740747,deprecated,4406389
2,10777317,2020-09-01 19:51:46,0xe3215ee9a6469add9fa36a4488141c5385066d10f5729b865ff66cc3671a5b99,5,0x6fd3c03608ddf96ba2792a0877a4d61d1b282ea15bcc5c55146390acc6ba5d86,0x5d504f005dee9df8d41c2f4fffa6cfdc276e30ec,0x6b3595068778dd592e39a122f4f5a5cf09c90fe2,0xce84867c3c02b05dc570d0135103d3fb9cc19433,4.758548867037027e+21,SushiToken,SUSHI,18,0,187451,979000000000,156928,156928,deprecated,4406375
3,10777317,2020-09-01 19:51:46,0xe3215ee9a6469add9fa36a4488141c5385066d10f5729b865ff66cc3671a5b99,5,0x6fd3c03608ddf96ba2792a0877a4d61d1b282ea15bcc5c55146390acc6ba5d86,0x0000000000000000000000000000000000000000,0xce84867c3c02b05dc570d0135103d3fb9cc19433,0x5d504f005dee9df8d41c2f4fffa6cfdc276e30ec,6.628011836763017e+20,Uniswap V2,UNI-V2,18,0,187451,979000000000,156928,156928,deprecated,4406375
4,10777392,2020-09-01 20:04:18,0x130592d54c369a25d28aba02715633aff6adf8d80e26e137efa17287a463ec77,6,0x374a234a1fee79f39606a172c744381532a928510471c54ac12bd030230a4b8d,0x5d504f005dee9df8d41c2f4fffa6cfdc276e30ec,0xce84867c3c02b05dc570d0135103d3fb9cc19433,0xc2edad668740f1aa35e4d8f227fb8e17dca888cd,6.628011836763017e+20,Uniswap V2,UNI-V2,18,18,212421,679000000000,126614,1093145,deprecated,4406300
5,10797883,2020-09-04 23:32:40,0x8c4e09a134735a2c74c911a0ea97b8e5f4c821f55ef9c9f29750c9d90a1dba29,10,0xfa97ba76083b818b1d6015c7ae3c9a6177c741def88ebcb22930345b1b6ef0dd,0xc2edad668740f1aa35e4d8f227fb8e17dca888cd,0x6b3595068778dd592e39a122f4f5a5cf09c90fe2,0x5d504f005dee9df8d41c2f4fffa6cfdc276e30ec,1.5612122304077166e+21,SushiToken,SUSHI,18,0,317695,2000000000000,115130,115130,deprecated,4385809
6,10797883,2020-09-04 23:32:40,0x8c4e09a134735a2c74c911a0ea97b8e5f4c821f55ef9c9f29750c9d90a1dba29,10,0xfa97ba76083b818b1d6015c7ae3c9a6177c741def88ebcb22930345b1b6ef0dd,0xc2edad668740f1aa35e4d8f227fb8e17dca888cd,0xce84867c3c02b05dc570d0135103d3fb9cc19433,0x5d504f005dee9df8d41c2f4fffa6cfdc276e30ec,6.628011836763017e+20,Uniswap V2,UNI-V2,18,0,317695,2000000000000,115130,115130,deprecated,4385809
7,10797904,2020-09-04 23:37:23,0x6475a33e64fb4ab2f50570b196277053bca3d78065ec3cb6bf6f57f09b677f29,11,0x5846d0bcbe9dc1b2bc9d667804d005d8b2651278d5a352c04919630cbbff0a46,0x5d504f005dee9df8d41c2f4fffa6cfdc276e30ec,0x6b3595068778dd592e39a122f4f5a5cf09c90fe2,0xce84867c3c02b05dc570d0135103d3fb9cc19433,8.504095985657543e+20,SushiToken,SUSHI,18,0,268281,1305000000000,127701,127701,deprecated,4385788
8,10797913,2020-09-04 23:39:55,0x0b1c7a2de9cf9432fde3527fe8ed1838e531aa0393446f977f2434fbae90d6e7,12,0x3fa17b1f70b9923ef3d11ce2a04c9b228c7275e6532bf4de32699fa2d1576ca4,0x5d504f005dee9df8d41c2f4fffa6cfdc276e30ec,0x6b3595068778dd592e39a122f4f5a5cf09c90fe2,0xce84867c3c02b05dc570d0135103d3fb9cc19433,9.18e+20,SushiToken,SUSHI,18,0,275908,1509000000000,126880,126880,deprecated,4385779
9,10797913,2020-09-04 23:39:55,0x0b1c7a2de9cf9432fde3527fe8ed1838e531aa0393446f977f2434fbae90d6e7,12,0x3fa17b1f70b9923ef3d11ce2a04c9b228c7275e6532bf4de32699fa2d1576ca4,0x0000000000000000000000000000000000000000,0xce84867c3c02b05dc570d0135103d3fb9cc19433,0x5d504f005dee9df8d41c2f4fffa6cfdc276e30ec,9.48818286263112e+19,Uniswap V2,UNI-V2,18,0,275908,1509000000000,126880,126880,deprecated,4385779
