,blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,confirmations
0,10766460,2020-08-31 04:12:00,0x4cb29251c9c43276a2ecb27ea358dabdfab31212a9ccbd4732853d5e54b518aa,0,0xb45f35c431363c716bde025f98b1d0ad17553103819748baf3ec44b21d72944b,0xce84867c3c02b05dc570d0135103d3fb9cc19433,0x6b3595068778dd592e39a122f4f5a5cf09c90fe2,0x60969e331de90c7746347a3becd8f51f2ed6dc09,6.528847221669677e+18,SushiToken,SUSHI,18,58,151552,166100000233,124413,2356187,deprecated,4417826
1,10766603,2020-08-31 04:44:58,0xa360ce5632929a2714583f13f7c4cade8db53b91e8a9af71ae94d2ea71888a9f,2,0xef634b6098dc33a91b1229a0b78c7aa2e0e2b86fd2029f2cf511fcf3e3246478,0x60969e331de90c7746347a3becd8f51f2ed6dc09,0x6b3595068778dd592e39a122f4f5a5cf09c90fe2,0xce84867c3c02b05dc570d0135103d3fb9cc19433,4e+18,SushiToken,SUSHI,18,32,187371,179300000233,144840,1970374,deprecated,4417683
2,10766603,2020-08-31 04:44:58,0xa360ce5632929a2714583f13f7c4cade8db53b91e8a9af71ae94d2ea71888a9f,2,0xef634b6098dc33a91b1229a0b78c7aa2e0e2b86fd2029f2cf511fcf3e3246478,0x0000000000000000000000000000000000000000,0xce84867c3c02b05dc570d0135103d3fb9cc19433,0x60969e331de90c7746347a3becd8f51f2ed6dc09,3.39210180306643e+17,Uniswap V2,UNI-V2,18,32,187371,179300000233,144840,1970374,deprecated,4417683
3,10767597,2020-08-31 08:32:15,0x769db879d909d6c3267654e61d2c771c1a1d0c5e34b73a708216ffe8f632067c,5,0xf788d1b0290fee2a404433dc72832ca6c5b90c0a0e7c3e9586022fe421e9f365,0xce84867c3c02b05dc570d0135103d3fb9cc19433,0x6b3595068778dd592e39a122f4f5a5cf09c90fe2,0x60969e331de90c7746347a3becd8f51f2ed6dc09,2.3207355123528765e+20,SushiToken,SUSHI,18,168,148231,229900000233,109425,10763720,deprecated,4416689
4,10767611,2020-08-31 08:34:44,0x7a6a6382303e4d4346ed15a32e84265ceef78e82b028afe8ac0fb4cf7dcdda9c,6,0xd8aad9585d73e057b867b0d8e4f261679a76bb93b3356290d0440407174e939f,0x60969e331de90c7746347a3becd8f51f2ed6dc09,0x6b3595068778dd592e39a122f4f5a5cf09c90fe2,0xce84867c3c02b05dc570d0135103d3fb9cc19433,6.964833617683839e+19,SushiToken,SUSHI,18,85,162534,229900000233,122410,5904531,deprecated,4416675
5,10767611,2020-08-31 08:34:44,0x7a6a6382303e4d4346ed15a32e84265ceef78e82b028afe8ac0fb4cf7dcdda9c,6,0xd8aad9585d73e057b867b0d8e4f261679a76bb93b3356290d0440407174e939f,0x0000000000000000000000000000000000000000,0xce84867c3c02b05dc570d0135103d3fb9cc19433,0x60969e331de90c7746347a3becd8f51f2ed6dc09,6.263745654439074e+18,Uniswap V2,UNI-V2,18,85,162534,229900000233,122410,5904531,deprecated,4416675
6,10767627,2020-08-31 08:37:58,0xbc6d5476388522aa3f2445ce52f2d1f4976e64dfea2f51dd8f826411ff74bd1d,7,0x24c1f1fa39ace119e91354bfd8c7c76438a3bc6ae13a24d7648f2490d888bbe0,0x60969e331de90c7746347a3becd8f51f2ed6dc09,0xce84867c3c02b05dc570d0135103d3fb9cc19433,0xc2edad668740f1aa35e4d8f227fb8e17dca888cd,3.39210180306643e+17,Uniswap V2,UNI-V2,18,49,212403,181500000000,141602,3769349,deprecated,4416659
7,10767707,2020-08-31 08:54:06,0x513b4eeb66cfbd1cd4440d054c443bf138f3e31e6b68787838cf02a5934cb67d,10,0xf7d89975dd1014a3de56ff49cef4f2509c409e10cdc047e29a6a3d106eac37da,0xc2edad668740f1aa35e4d8f227fb8e17dca888cd,0x6b3595068778dd592e39a122f4f5a5cf09c90fe2,0x60969e331de90c7746347a3becd8f51f2ed6dc09,4915942213303157.0,SushiToken,SUSHI,18,133,196645,195000000000,116097,8509005,deprecated,4416579
8,10767707,2020-08-31 08:54:06,0x513b4eeb66cfbd1cd4440d054c443bf138f3e31e6b68787838cf02a5934cb67d,10,0xf7d89975dd1014a3de56ff49cef4f2509c409e10cdc047e29a6a3d106eac37da,0x60969e331de90c7746347a3becd8f51f2ed6dc09,0xce84867c3c02b05dc570d0135103d3fb9cc19433,0xc2edad668740f1aa35e4d8f227fb8e17dca888cd,6.263745654439074e+18,Uniswap V2,UNI-V2,18,133,196645,195000000000,116097,8509005,deprecated,4416579
9,10769572,2020-08-31 15:43:50,0xf78204fc766f6894b034f665b93f103780ca9943b18d8693e43017ad66ac7a77,11,0x9bd67c606917005237d3b9f5468fd8c9c9aefe5efddc9954a9f99e1d676f6628,0xce84867c3c02b05dc570d0135103d3fb9cc19433,0x6b3595068778dd592e39a122f4f5a5cf09c90fe2,0x60969e331de90c7746347a3becd8f51f2ed6dc09,4.8350211022585076e+20,SushiToken,SUSHI,18,134,134803,267300000233,97409,8859468,deprecated,4414714
10,10769594,2020-08-31 15:48:39,0x424a0865227e58db845b3ec25a40809a8a5cb8014a9a30f4ba4e529dab6ed3a6,12,0xeb099218cef4ce251530e597b1df935aeedd2bdefe89d40f392ccd75de010d3a,0x60969e331de90c7746347a3becd8f51f2ed6dc09,0x6b3595068778dd592e39a122f4f5a5cf09c90fe2,0xce84867c3c02b05dc570d0135103d3fb9cc19433,4.3751610458340504e+20,SushiToken,SUSHI,18,52,179296,292000001347,137410,5165243,deprecated,4414692
11,10769594,2020-08-31 15:48:39,0x424a0865227e58db845b3ec25a40809a8a5cb8014a9a30f4ba4e529dab6ed3a6,12,0xeb099218cef4ce251530e597b1df935aeedd2bdefe89d40f392ccd75de010d3a,0x0000000000000000000000000000000000000000,0xce84867c3c02b05dc570d0135103d3fb9cc19433,0x60969e331de90c7746347a3becd8f51f2ed6dc09,4.295863721140079e+19,Uniswap V2,UNI-V2,18,52,179296,292000001347,137410,5165243,deprecated,4414692
12,10769679,2020-08-31 16:09:21,0xd81bda029000533f71005b5dc68ff558167b09ceb3305d727b75cd872809807a,14,0xcdc5a70589e4c7a7fe62d8bcd460412e9b6b08d629c188f476ae5ef3cd3c35b6,0xc2edad668740f1aa35e4d8f227fb8e17dca888cd,0x6b3595068778dd592e39a122f4f5a5cf09c90fe2,0x60969e331de90c7746347a3becd8f51f2ed6dc09,2.1645552569341448e+18,SushiToken,SUSHI,18,90,121000,292820000000,66785,12404895,deprecated,4414607
13,10769679,2020-08-31 16:09:21,0xd81bda029000533f71005b5dc68ff558167b09ceb3305d727b75cd872809807a,14,0xcdc5a70589e4c7a7fe62d8bcd460412e9b6b08d629c188f476ae5ef3cd3c35b6,0x60969e331de90c7746347a3becd8f51f2ed6dc09,0xce84867c3c02b05dc570d0135103d3fb9cc19433,0xc2edad668740f1aa35e4d8f227fb8e17dca888cd,4.295863721140079e+19,Uniswap V2,UNI-V2,18,90,121000,292820000000,66785,12404895,deprecated,4414607
14,10770386,2020-08-31 18:38:55,0xd05310ed4280dc4e31dd917488a586630053ceeff9eb3b6c07000c001da6d5d2,15,0x50f50d645cdde995fa88e32d53b5e34cdd77e945f6802a9ce89e6aeaeee7afc6,0xce84867c3c02b05dc570d0135103d3fb9cc19433,0x6b3595068778dd592e39a122f4f5a5cf09c90fe2,0x60969e331de90c7746347a3becd8f51f2ed6dc09,2.2936466145866406e+20,SushiToken,SUSHI,18,64,148231,331100000233,97409,5273917,deprecated,4413900
15,10770431,2020-08-31 18:48:40,0xbcb4c007da2b6bec51e70d891512fdb161ed425726bc610f4cdb07d04f9894f7,16,0xaece8dcdf5bedabc98c968076361fbef5ff1bdc69580cfb08177c1a4580b6609,0xce84867c3c02b05dc570d0135103d3fb9cc19433,0x6b3595068778dd592e39a122f4f5a5cf09c90fe2,0x60969e331de90c7746347a3becd8f51f2ed6dc09,3.2202723157044376e+20,SushiToken,SUSHI,18,46,134803,331100000233,97409,2477741,deprecated,4413855
16,10770465,2020-08-31 18:56:32,0x3df237be2eb8f686808ffdd296bcc8154b1886356334677c6f2b4e3351ae5f04,18,0x8bb90247279a1b203da3d38c1f743d982d34cae3abee17f8840bfca16d768774,0x60969e331de90c7746347a3becd8f51f2ed6dc09,0x6b3595068778dd592e39a122f4f5a5cf09c90fe2,0xce84867c3c02b05dc570d0135103d3fb9cc19433,3.302942756562878e+20,SushiToken,SUSHI,18,146,179296,284900000233,137410,9766341,deprecated,4413821
17,10770465,2020-08-31 18:56:32,0x3df237be2eb8f686808ffdd296bcc8154b1886356334677c6f2b4e3351ae5f04,18,0x8bb90247279a1b203da3d38c1f743d982d34cae3abee17f8840bfca16d768774,0x0000000000000000000000000000000000000000,0xce84867c3c02b05dc570d0135103d3fb9cc19433,0x60969e331de90c7746347a3becd8f51f2ed6dc09,3.792035845029952e+19,Uniswap V2,UNI-V2,18,146,179296,284900000233,137410,9766341,deprecated,4413821
18,10770474,2020-08-31 18:58:33,0xe7e3f40b866ff8ff2b84515a69db2706ebbb6890fd7df63207c153a03d3f7464,19,0x812a9dc59121d4d82dcb13fe7b2c869287f1c631ee7b4f0d82446be7b47cb1ff,0xc2edad668740f1aa35e4d8f227fb8e17dca888cd,0x6b3595068778dd592e39a122f4f5a5cf09c90fe2,0x60969e331de90c7746347a3becd8f51f2ed6dc09,6.115978328768998e+18,SushiToken,SUSHI,18,14,196663,240000000000,116109,1798992,deprecated,4413812
19,10770474,2020-08-31 18:58:33,0xe7e3f40b866ff8ff2b84515a69db2706ebbb6890fd7df63207c153a03d3f7464,19,0x812a9dc59121d4d82dcb13fe7b2c869287f1c631ee7b4f0d82446be7b47cb1ff,0x60969e331de90c7746347a3becd8f51f2ed6dc09,0xce84867c3c02b05dc570d0135103d3fb9cc19433,0xc2edad668740f1aa35e4d8f227fb8e17dca888cd,3.792035845029952e+19,Uniswap V2,UNI-V2,18,14,196663,240000000000,116109,1798992,deprecated,4413812
20,10773417,2020-09-01 05:37:45,0x87728fa03894b7ee36adeaa822837ed3e3f2d0f7545744ec3073c248b41301c1,21,0xc492df391668463de2a287b3bef98f4d31bb7056b993417c0cf0f467f38bdc27,0x35b9729ff21d54f02bda512f7060466494a40ede,0x4d953cf077c0c95ba090226e59a18fcf97db44ec,0x60969e331de90c7746347a3becd8f51f2ed6dc09,2.112732155007762e+21,MINISWAP,MINI,18,100,159298,385000000233,131345,4012772,deprecated,4410869
21,10774735,2020-09-01 10:31:00,0x7801ae621bb486e7112c7ee787f0d0369f93bac41137237a7ff1806fa2a3b38f,22,0x10b3be756907551f815f893532176c16bd211e8e6fbd7b4b1ea70dfec436aed4,0x60969e331de90c7746347a3becd8f51f2ed6dc09,0x6b3595068778dd592e39a122f4f5a5cf09c90fe2,0xce84867c3c02b05dc570d0135103d3fb9cc19433,2.229276167651893e+20,SushiToken,SUSHI,18,147,187424,485100000233,144888,7334738,deprecated,4409551
22,10774735,2020-09-01 10:31:00,0x7801ae621bb486e7112c7ee787f0d0369f93bac41137237a7ff1806fa2a3b38f,22,0x10b3be756907551f815f893532176c16bd211e8e6fbd7b4b1ea70dfec436aed4,0x0000000000000000000000000000000000000000,0xce84867c3c02b05dc570d0135103d3fb9cc19433,0x60969e331de90c7746347a3becd8f51f2ed6dc09,3.2836147004832375e+19,Uniswap V2,UNI-V2,18,147,187424,485100000233,144888,7334738,deprecated,4409551
23,10774766,2020-09-01 10:35:55,0x5280ac4c4b0edc0dc543d1ced8326b848597f1641a6b804f055aa675cdba464b,23,0x1489d4f9e4edee7e467cccd7c1e8e77099d01b6ade140594681dc654003fb12a,0xc2edad668740f1aa35e4d8f227fb8e17dca888cd,0x6b3595068778dd592e39a122f4f5a5cf09c90fe2,0x60969e331de90c7746347a3becd8f51f2ed6dc09,5.149513728405308e+19,SushiToken,SUSHI,18,129,122677,440000000000,66785,12043683,deprecated,4409520
24,10774766,2020-09-01 10:35:55,0x5280ac4c4b0edc0dc543d1ced8326b848597f1641a6b804f055aa675cdba464b,23,0x1489d4f9e4edee7e467cccd7c1e8e77099d01b6ade140594681dc654003fb12a,0x60969e331de90c7746347a3becd8f51f2ed6dc09,0xce84867c3c02b05dc570d0135103d3fb9cc19433,0xc2edad668740f1aa35e4d8f227fb8e17dca888cd,3.2836147004832375e+19,Uniswap V2,UNI-V2,18,129,122677,440000000000,66785,12043683,deprecated,4409520
