,blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,confirmations
0,10777130,2020-09-01 19:13:22,0x9fe8b842e892bd3b64ed389c0bc2a53e889cf080db5ec7347cbbcf996c8de916,8815,0x57a7ac54f7b32fcc08d0a5fd9996c43ddd087b3e05f3a8b24bf5cc5336a58808,0xd43335742c1f8b8fc9235e2a7ee4bc0af2e54e31,0x9469d013805bffb7d3debe5e7839237e535ec483,0x61d3a4d059d1e8daa5c62cebe767ee461fbbbf8a,3.307507207e+21,Darwinia Network Native Token,RING,18,23,712796,531690000000,105227,1334844,deprecated,4406833
1,10779127,2020-09-02 02:26:44,0x51c48d58b27a32ec3f2c3909c502e29d54bed581796c38565fde1f7ed598db9c,0,0x4b75f30e0d17188ac55e4f95e4e8c4a724348986841bfac17c7581920cf7bd5d,0x0000000000000000000000000000000000000000,0xe1237aa7f535b0cc33fd973d66cbf830354d16c7,0x61d3a4d059d1e8daa5c62cebe767ee461fbbbf8a,9.637960545209552e+16,yearn Wrapped Ether,yWETH,18,128,149413,471000000000,99609,10783993,deprecated,4404836
2,10782229,2020-09-02 13:59:20,0x121cae863c4ec5112e1ed70541f21412aef211951440ae41b0da98e35c1f35de,2,0xccdce849f1ebc57acc663e173a39826160e05350f846d81e89a44addfcbab56d,0x0000000000000000000000000000000000000000,0xe1237aa7f535b0cc33fd973d66cbf830354d16c7,0x61d3a4d059d1e8daa5c62cebe767ee461fbbbf8a,9.618902041578787e+16,yearn Wrapped Ether,yWETH,18,36,149413,465000000000,84609,2621637,deprecated,4401734
3,10782229,2020-09-02 13:59:20,0x5bb2bdf137c6b95fceaae7e0de8c360b28e5e06dbe34cbb83a95a423fd04e63f,3,0xccdce849f1ebc57acc663e173a39826160e05350f846d81e89a44addfcbab56d,0x0000000000000000000000000000000000000000,0xe1237aa7f535b0cc33fd973d66cbf830354d16c7,0x61d3a4d059d1e8daa5c62cebe767ee461fbbbf8a,9.618902041578787e+16,yearn Wrapped Ether,yWETH,18,37,149413,471000000000,84609,2706246,deprecated,4401734
4,10782229,2020-09-02 13:59:20,0x7e3eb39f6ec5aa7e01468db52a58b514dfe2f4ec932913dfb33856b35015ca67,4,0xccdce849f1ebc57acc663e173a39826160e05350f846d81e89a44addfcbab56d,0x0000000000000000000000000000000000000000,0xe1237aa7f535b0cc33fd973d66cbf830354d16c7,0x61d3a4d059d1e8daa5c62cebe767ee461fbbbf8a,1.0964551549986182e+17,yearn Wrapped Ether,yWETH,18,38,149413,471000000000,84609,2790855,deprecated,4401734
5,10785648,2020-09-03 02:28:40,0xeb732567b726599f125a90e78d2f74ae3c79e9e137cbbe77940cbadec4645323,9,0x6c926ba2f0b985760a0cdc35719367d6a299f806c7ce8809e82d148b7d4bdab7,0xd4d055fce4948dd9925000967a30933f6bd0fb03,0xeeeeeeeee2af8d0e1940679860398308e0ef24d6,0x61d3a4d059d1e8daa5c62cebe767ee461fbbbf8a,8.67423556295262e+20,Ethverse Token,ETHV,18,176,164852,313000000000,124298,10260711,deprecated,4398315
6,10785777,2020-09-03 02:55:26,0x4b361b20f4f3a439f14b58ef4d4bbb401f4a4a1aa3a992cd4561739866f5ca9e,10,0x59bde46183ec325af0d4f14197c3906da7aec7b73b592c8df6b1a0ed0651ac59,0x61d3a4d059d1e8daa5c62cebe767ee461fbbbf8a,0x9469d013805bffb7d3debe5e7839237e535ec483,0xa32523371390b0cc4e11f6bb236ecf4c2cdea101,3.307507207e+21,Darwinia Network Native Token,RING,18,19,164657,328000000000,109407,1916595,deprecated,4398186
7,10785840,2020-09-03 03:07:46,0xcdf9c9ba17f2b65594c48f8c7d66e0cf03531926a7be428766bd0d39c4ff4b33,11,0x9bd8c73eb703819cec63c18037b8cae256c6e2a111e055d45ea2811258ceeed4,0xb27de0ba2abfbfdf15667a939f041b52118af5ba,0x8400d94a5cb0fa0d041a3788e395285d61c9ee5e,0x61d3a4d059d1e8daa5c62cebe767ee461fbbbf8a,278432988222.0,UniBright,UBT,8,141,272957,330000000000,221040,10590548,deprecated,4398123
8,10794119,2020-09-04 09:41:32,0x5d2f5a79109161a1848da4a7d5f0fbdf2e7b16e14598b01832592829a47139dc,13,0x3e53c63d82d0ddcf076cacdaf6e79cfed48db6b6f9a14a5112d461951009b053,0xddf9b7a31b32ebaf5c064c80900046c9e5b7c65f,0x2ba592f78db6436527729929aaf6c908497cb200,0x61d3a4d059d1e8daa5c62cebe767ee461fbbbf8a,8.262206918568989e+18,Cream,CREAM,18,97,170303,225000000000,129176,11120357,deprecated,4389844
9,10817248,2020-09-07 22:37:00,0xd7b2f68bc850ecff0d6c8972ecf330d8dab63e8f2c81d7a43257291030fa5d6c,15,0xa12342267ae84f8bc580bc74486bd59703bbc215a917f6819ca82a063926eb44,0x01962144d41415cca072900fe87bbe2992a99f10,0x40fd72257597aa14c7231a7b1aaa29fce868f677,0x61d3a4d059d1e8daa5c62cebe767ee461fbbbf8a,3.677905557738627e+18,Sora Token,XOR,18,21,164769,82000000000,124224,2938517,deprecated,4366715
