,blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,confirmations
0,7907044,2019-06-06 17:38:14,0x6568a86a0a926a8f56e48373e577cf37baaf35a25e11a2201b851ab6f6307f18,358,0xec39f6f6b2787d1ce850b8ee5f00c9ba8d1746af774744b360453d410ef1e102,0x9881245b2fc5ab3cd7d8815398c1912a8fd69b10,0xad22f63404f7305e4713ccbd4f296f34770513f4,0x634abbac3aad33988d9040d3dcdb471587d5866a,1500000000.0,Atomic Wallet Token,AWC,8,19,7229911,2000000000,7219911,7860056,deprecated,7277066
1,7957924,2019-06-14 16:46:47,0xb838dc47c35c1e8a85009221436dbe2603be8e21bee44e6e177f556d2d158951,3194452,0x3b9775f6b3708cd9d3aa82604157acc0d1e740ff6205d054365d455fdf4efb45,0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,0x514910771af9ca656af840dff83e8264ecf986ca,0x634abbac3aad33988d9040d3dcdb471587d5866a,5.22465159e+20,ChainLink Token,LINK,18,7,104130,40000000000,52065,345553,deprecated,7226186
2,7989732,2019-06-19 16:13:02,0x40131d433da96ffaaed9e6c2999e8e7b60d6a15fd80819312f014ab61f2e93d2,3,0xd044e887c7080f5330288cca1a5887d3951409b872317027dba4d0ec15f31db6,0x634abbac3aad33988d9040d3dcdb471587d5866a,0x514910771af9ca656af840dff83e8264ecf986ca,0xaecc77a3be6df86f58b5b82ed2ef772586881ee8,2e+19,ChainLink Token,LINK,18,6,200000,18000000000,52001,286878,deprecated,7194378
3,7990322,2019-06-19 18:27:40,0x55a260c2e40966e575d1d43fd879b8aad43194241103ce15da612eb82d88d4cd,4,0xf1d11b947eb32f38ee872d4655cb910f1a5457ef8eb3b2bea1399fee93288780,0x634abbac3aad33988d9040d3dcdb471587d5866a,0x514910771af9ca656af840dff83e8264ecf986ca,0xfde7bc13323795e4b7aac9826708f2e8fd2fa956,2.4e+19,ChainLink Token,LINK,18,18,200000,36000000000,52001,508401,deprecated,7193788
4,8029214,2019-06-25 20:03:14,0x68d943d8149f3181a0fcb6eab6704c47a56ddd0cb1ed15311abb1004353cf317,5,0xda89f3d8de3677361f2f6f2cd4c0a142a9eb77113a881e32736855f0fdb5676c,0x634abbac3aad33988d9040d3dcdb471587d5866a,0x514910771af9ca656af840dff83e8264ecf986ca,0xaecc77a3be6df86f58b5b82ed2ef772586881ee8,4.5e+19,ChainLink Token,LINK,18,28,150000,7200000000,52001,939692,deprecated,7154896
5,8048860,2019-06-28 21:50:10,0xfe2d4e597ed86eea8fd31f316ce4085d5485780923fb1a2450a7bb0ee628225f,3234529,0xf4a47bcafa98577d51ba22b9bb29ef536193cd677c6edab2844a5bc800ee6f42,0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,0x514910771af9ca656af840dff83e8264ecf986ca,0x634abbac3aad33988d9040d3dcdb471587d5866a,1.4662244e+19,ChainLink Token,LINK,18,20,74002,40000000000,37001,1133848,deprecated,7135250
6,8105324,2019-07-07 16:45:42,0xb8ff4f5a3a58ed15e46f3978450b1092d54137f0d0571c5590bc48c9e36159b1,1478279,0x2f1e1043766021d89aca35986201f13b9838cee733a323acf310ced06a105edb,0x564286362092d8e7936f0549571a803b203aaced,0x514910771af9ca656af840dff83e8264ecf986ca,0x634abbac3aad33988d9040d3dcdb471587d5866a,9.5934456e+19,ChainLink Token,LINK,18,18,74130,40000000000,37065,914720,deprecated,7078786
7,8224319,2019-07-26 05:37:42,0xa69355ad3299a3d216cc86f5ebfe27e626ba2e8266248a57c4c8ca3a9e466fc6,165603,0x8296bf2cdd80cdf91e62ffc32a413288ca3be144e3be0546fa37ae600eaa76b3,0x00cfbbaf7ddb3a1476767101c12a0162e241fbad,0x4dc3643dbc642b72c158e7f3d2ff232df61cb6ce,0x634abbac3aad33988d9040d3dcdb471587d5866a,1e+17,Amber,AMB,18,149,60000,2000000000,52108,7469346,deprecated,6959791
8,9446065,2020-02-09 03:08:44,0x20abeb3503f3089a90d414242bab40c60b747f6031dc7e9c35cac4285ceeb58e,14,0xd4bcfd67eed729f4b8f402977dbc703f59cf76ef8c7e0b0a88bdb2460f4ee8dd,0x634abbac3aad33988d9040d3dcdb471587d5866a,0x331fa6c97c64e47475164b9fc8143b533c5ef529,0x0000000000000000000000000000000000000000,0.0,EXMR FDN.,EXMR,18,27,7745216,3000000000,7595216,8968056,deprecated,5738045
9,9446065,2020-02-09 03:08:44,0x20abeb3503f3089a90d414242bab40c60b747f6031dc7e9c35cac4285ceeb58e,14,0xd4bcfd67eed729f4b8f402977dbc703f59cf76ef8c7e0b0a88bdb2460f4ee8dd,0x8293473c07f94b7ed1d509ea9cfa2286617cac2e,0x331fa6c97c64e47475164b9fc8143b533c5ef529,0x634abbac3aad33988d9040d3dcdb471587d5866a,1e+17,EXMR FDN.,EXMR,18,27,7745216,3000000000,7595216,8968056,deprecated,5738045
