,blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,confirmations
0,10778335,2020-09-01 23:32:42,0xc7de1c03e924b124a25dbbc5c932311e8cec7b8bdfd7755dec246a281c9bdc0a,149,0xfcf9211855a55705a174b1dd4803956e2866b06c2047745c17b0e9f42d39cd8f,0x531c036b76509604817222ab29057e892ebde4df,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x67031498f9478a53280ac0f554a1d419e39b373f,20027930880.0,USD Coin,USDC,6,81,86790,528000000000,42381,4044032,deprecated,4405864
1,10778354,2020-09-01 23:36:32,0xb3611daae67b7669a111273192cad23473c0f4fd29a81561b96581ad7c913556,1,0x4f12b8128b05499345a1e34582b645dc499f0dbcb544968b229bd1ee4f3991b6,0x67031498f9478a53280ac0f554a1d419e39b373f,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,10000000000.0,USD Coin,USDC,6,198,164758,484000000000,124498,10514507,deprecated,4405845
2,10778385,2020-09-01 23:44:34,0x66802e95e1d4b06892ba7f93b4566a0bc160c057e59dfb4efaf8db17bed84c2e,5,0x652ce8a7342969b80ac7a11e725fc49bf9c7cc1aeaa310276ed54686cd9c11df,0x67031498f9478a53280ac0f554a1d419e39b373f,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x3041cbd36888becc7bbcbc0045e3b1f144466f5f,10027930880.0,USD Coin,USDC,6,9,500000,600000000000,224037,1033979,deprecated,4405814
3,10778385,2020-09-01 23:44:34,0x66802e95e1d4b06892ba7f93b4566a0bc160c057e59dfb4efaf8db17bed84c2e,5,0x652ce8a7342969b80ac7a11e725fc49bf9c7cc1aeaa310276ed54686cd9c11df,0xc4da39e646e7f5d233b89ca0f7b75344e7ddb2cc,0x1e18821e69b9faa8e6e75dffe54e7e25754beda0,0x67031498f9478a53280ac0f554a1d419e39b373f,1.1093059820681627e+21,KIMCHI.finance,KIMCHI,18,9,500000,600000000000,224037,1033979,deprecated,4405814
4,10778392,2020-09-01 23:46:48,0xd4b69703f9a872ef07202175b7e3cb379c7a0f72fcbed21d8c4f597298a898ac,7,0x3cbe6df28269e70867a57e6d0618bd62c9eecb189799260f5c9b6e81d8addfbd,0x67031498f9478a53280ac0f554a1d419e39b373f,0x1e18821e69b9faa8e6e75dffe54e7e25754beda0,0xc4da39e646e7f5d233b89ca0f7b75344e7ddb2cc,1.1093059820681627e+21,KIMCHI.finance,KIMCHI,18,13,300000,600000000000,141753,542951,deprecated,4405807
5,10778392,2020-09-01 23:46:48,0xd4b69703f9a872ef07202175b7e3cb379c7a0f72fcbed21d8c4f597298a898ac,7,0x3cbe6df28269e70867a57e6d0618bd62c9eecb189799260f5c9b6e81d8addfbd,0x0000000000000000000000000000000000000000,0xc4da39e646e7f5d233b89ca0f7b75344e7ddb2cc,0x67031498f9478a53280ac0f554a1d419e39b373f,1.4370467506109343e+20,Uniswap V2,UNI-V2,18,13,300000,600000000000,141753,542951,deprecated,4405807
6,10778407,2020-09-01 23:49:26,0x06de0468949a3705f9b299a23d47630e094e3459206555d2ccc93a656c007722,9,0x6897932cad2219c4e1a5ca316b3bb50e1033877f42ca06e83be013f494f947a1,0x67031498f9478a53280ac0f554a1d419e39b373f,0xc4da39e646e7f5d233b89ca0f7b75344e7ddb2cc,0x9dd5b5c71842a4fd51533532e5470298bfa398fd,1.4370467506109245e+20,Uniswap V2,UNI-V2,18,40,200000,500000000000,145833,2309215,deprecated,4405792
7,10782703,2020-09-02 15:44:51,0x867edece23f5d6e4785713365d4823e4c8d60d3438c2f09d76ca29847564df7d,12,0x6c2b21dc8a7f1b6ff293b3c21ddceb1a8e0e65fb5fa7d1e085b140ba360ef361,0x9dd5b5c71842a4fd51533532e5470298bfa398fd,0x1e18821e69b9faa8e6e75dffe54e7e25754beda0,0x67031498f9478a53280ac0f554a1d419e39b373f,1.2757832680725655e+21,KIMCHI.finance,KIMCHI,18,185,300000,600000000000,143047,11019959,deprecated,4401496
8,10782703,2020-09-02 15:44:51,0x867edece23f5d6e4785713365d4823e4c8d60d3438c2f09d76ca29847564df7d,12,0x6c2b21dc8a7f1b6ff293b3c21ddceb1a8e0e65fb5fa7d1e085b140ba360ef361,0x9dd5b5c71842a4fd51533532e5470298bfa398fd,0xc4da39e646e7f5d233b89ca0f7b75344e7ddb2cc,0x67031498f9478a53280ac0f554a1d419e39b373f,1.4370467506109145e+20,Uniswap V2,UNI-V2,18,185,300000,600000000000,143047,11019959,deprecated,4401496
9,10782725,2020-09-02 15:49:57,0xd17e321097ccf84234a4fb29fac351baa46216dd95ad211acef68b1c61b2bfbd,14,0x4752fb3425ab3f89a46ad4d075ad84e04701d57fd9c91386014c9910b597b971,0x67031498f9478a53280ac0f554a1d419e39b373f,0xc4da39e646e7f5d233b89ca0f7b75344e7ddb2cc,0xc4da39e646e7f5d233b89ca0f7b75344e7ddb2cc,1.4370467506109243e+20,Uniswap V2,UNI-V2,18,57,223408,600000000000,124184,2874376,deprecated,4401474
