,blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,confirmations
0,4792782,2017-12-25 05:38:14,0xa475dbacce95ec51a198a1d02149f0e4bdb451aab94537a35083577d26070ffe,185435,0x5289453f14b77afbb5a2f6d08757c4584eb1e9ab21a03b315d0821d863eea031,0x05ee546c1a62f90d7acbffd6d846c9c54c7cf94c,0x255aa6df07540cb5d3d297f0d0d4d84cb52bc8e6,0x69530f640cf070a8a5f0d904390afa3f5e265125,1.20856e+21,Raiden,RDN,18,171,200000,23000000000,52199,5499980,deprecated,10391005
1,4792812,2017-12-25 05:48:20,0x72e401282beeed000ed0f8ff0c56618c646779e0864dc6ef06c0b2f263a3c624,185486,0x53758692561933c438a9c1c0810341690701fcaad135aa54cac0e43456a84bf2,0x05ee546c1a62f90d7acbffd6d846c9c54c7cf94c,0xdd974d5c2e2928dea5f71b9825b8b646686bd200,0x69530f640cf070a8a5f0d904390afa3f5e265125,2.9843e+20,KyberNetwork,KNC,18,155,200000,23000000000,52309,6140750,deprecated,10390975
2,4792963,2017-12-25 06:29:44,0xf009794d1869d9bf4b2cb72b96ef835889d912bff2517007d64114dd0867aa63,185702,0xce330a80dabd980d63a1bdab0d8d7da997f7e978255dbcedd120dfa9f9919af8,0x05ee546c1a62f90d7acbffd6d846c9c54c7cf94c,0x255aa6df07540cb5d3d297f0d0d4d84cb52bc8e6,0x69530f640cf070a8a5f0d904390afa3f5e265125,4.799981e+20,Raiden,RDN,18,40,200000,23000000000,37263,1417247,deprecated,10390824
3,4880137,2018-01-09 13:43:17,0x6231ebe1c229ab66a8f36f372e86bc596279e9d4026b4c1dd52fea37286d470e,0,0x34bb21ecc46db85071c6d223e17e8005fe155d4cba2bbc469e8e6d739d5157d5,0x69530f640cf070a8a5f0d904390afa3f5e265125,0xdd974d5c2e2928dea5f71b9825b8b646686bd200,0xd5d37a9d3376b7c820b6fc4501f4f1f8d6780b35,2.9843e+20,KyberNetwork,KNC,18,65,60000,80000000000,37309,1875891,deprecated,10303650
4,4880689,2018-01-09 16:14:56,0x3cbdebe3154baef40c19dd2b5ef432d232a34b3ffc03380325144b6be398082c,1,0xe6ba6415be8474827cb6109e28df23306a0d615ad6b8b79464ebb78e0ff0c7b9,0x69530f640cf070a8a5f0d904390afa3f5e265125,0x255aa6df07540cb5d3d297f0d0d4d84cb52bc8e6,0xd5d37a9d3376b7c820b6fc4501f4f1f8d6780b35,1.6885581e+21,Raiden,RDN,18,295,60000,99000000000,37263,7191792,deprecated,10303098
5,5011037,2018-02-01 10:33:22,0x0e9ec57b75477a5e76bfe2b867f3aea7bac40768ef237e99a7a4e72e9522ce83,164360,0x6dee39b1e96eb26a1f3c3f6c948f8868c4503ed6ae32d03852122804ff069a7d,0x296e781bbb0179b032cbcc31e4b6cdab724b2773,0x86fa049857e0209aa7d9e616f7eb3b3b78ecfdb0,0x69530f640cf070a8a5f0d904390afa3f5e265125,4.503652e+20,EOS,EOS,18,216,90000,57000000000,55843,7921015,deprecated,10172750
6,5011067,2018-02-01 10:38:42,0xf9bda43db8079fe7fa129db1d864e76ff77bea659f94c4f083aa3089096f4bea,441010,0x42e1f0c9760980b41bbd8fb5dd5ca242078433f70c8fbb82cf6b120ccbe8e6f6,0x05ee546c1a62f90d7acbffd6d846c9c54c7cf94c,0x255aa6df07540cb5d3d297f0d0d4d84cb52bc8e6,0x69530f640cf070a8a5f0d904390afa3f5e265125,1.28856e+21,Raiden,RDN,18,74,200000,31000000000,52199,2493877,deprecated,10172720
7,5011071,2018-02-01 10:40:09,0xaf53b398f84a8a298117583fb224464c985d53b0202f91b18b95b062619c88a8,441015,0x66166e3c57dd86780c372052c726f59fe0648ad2a1ca6334e69a78b37409254b,0x05ee546c1a62f90d7acbffd6d846c9c54c7cf94c,0xdd974d5c2e2928dea5f71b9825b8b646686bd200,0x69530f640cf070a8a5f0d904390afa3f5e265125,2.9743e+20,KyberNetwork,KNC,18,225,200000,31000000000,52309,6272471,deprecated,10172716
8,5246736,2018-03-13 07:38:59,0xe436b15e03801ef75005dbe780f9dd6ab4a6d292433f9573582c45e0b5c3ecb8,579464,0xc3e086df8fd8b4e5504cb473772905065da0023a41243f3bf830a055cf8a386b,0x05ee546c1a62f90d7acbffd6d846c9c54c7cf94c,0x255aa6df07540cb5d3d297f0d0d4d84cb52bc8e6,0x69530f640cf070a8a5f0d904390afa3f5e265125,1.6227549e+20,Raiden,RDN,18,73,200000,5000000000,37263,3627557,deprecated,9937051
9,5246739,2018-03-13 07:39:59,0x856df8effd73c14bc04f23f31d510b3a56fc5a2f4e5bd65931cabadeb9a57efc,32899,0x670679dc6bd363f460e2b826dff775d711081039b164bea71679b517ab87e496,0xab5c66752a9e8167967685f1450532fb96d5d24f,0x86fa049857e0209aa7d9e616f7eb3b3b78ecfdb0,0x69530f640cf070a8a5f0d904390afa3f5e265125,6.14268e+20,EOS,EOS,18,192,62000,29000000000,40843,4344169,deprecated,9937048
10,5246739,2018-03-13 07:39:59,0x2c74ec8187b838fe9dd65636075de65ecc815bc19d271c51035ef587b81a9bf7,579466,0x670679dc6bd363f460e2b826dff775d711081039b164bea71679b517ab87e496,0x05ee546c1a62f90d7acbffd6d846c9c54c7cf94c,0x4092678e4e78230f46a1534c0fbc8fa39780892b,0x69530f640cf070a8a5f0d904390afa3f5e265125,2.754032e+22,OCoin,OCN,18,242,200000,5000000000,53318,6546694,deprecated,9937048
11,5456812,2018-04-17 12:43:38,0xdfc59836c6c2d103bb0fb4e59addb628b59914d7cf362a177238c2e256a83c65,3,0xa50988982a031d404c3c99d2a754e70c09ce0603f76c73672f410887692457f0,0x69530f640cf070a8a5f0d904390afa3f5e265125,0x86fa049857e0209aa7d9e616f7eb3b3b78ecfdb0,0xbeb15c8199904ebad5e60dd4bfa41fa58290c2d5,1.0646332e+21,EOS,EOS,18,1,96000,79125000000,40843,61843,deprecated,9726975
12,5459403,2018-04-17 23:10:48,0x5d3255718174e070a79f8ceaea89b6763adfa9bc5eadf3464640340103d2e6fb,1120,0x0af0cd3884c42733304256c8282db1c36c1a2766877847bc2dd6f3bd71c45058,0x0000000000000000000000000000000000000000,0xe534619defdbf0caf673b8abf7158714f5bd4bd9,0x69530f640cf070a8a5f0d904390afa3f5e265125,1.0,TokenFans Token,TFT,0,7,4000000,2000000000,304873,604492,deprecated,9724384
13,5514458,2018-04-27 11:07:45,0x80ff6e9f8f487160a342c45d28c8300e3349825af865f217418045ceb8837aae,70748,0x5cc9e634782eab67da9e842c9cb4cf0c22913937073ac7ce923d97cecfba15f8,0x468b858c964f297fd8fce058032bf4b4911a8ad8,0x7e9e431a0b8c4d532c745b1043c7fa29a48d4fba,0x69530f640cf070a8a5f0d904390afa3f5e265125,1.0646332e+21,eosDAC Community Owned EOS Block Producer ERC20 Tokens,eosDAC,18,112,151754,6710827008,51589,5553049,deprecated,9669329
14,5555508,2018-05-04 15:36:01,0x0a8714aae3ec59d2b35854dbf190af96308e21ad677d5feab390c6677d08c06f,4,0x26cde4cf231477698fafa543acc3a3513339aa85c6c6e3263a11caa73b8f3362,0x69530f640cf070a8a5f0d904390afa3f5e265125,0x4092678e4e78230f46a1534c0fbc8fa39780892b,0x6cf09041b3607b38c6df9cfee87db0145749c9fa,2.754032e+22,OCoin,OCN,18,1,60000,93968750000,42794,63794,deprecated,9628279
15,5871476,2018-06-28 22:27:36,0xb183e2832ba8fc084ccbaccca68e7216a3f13dd854e582c4e753ac9942fc7628,2152,0x35bdbff35ca57b77e4a0cdf016a8bcf5f1be2f7ffc697eb4fd950d60a08e8b37,0x40f959f828e2878e1e3bbfc95893f22917557797,0x076641af1b8f06b7f8c92587156143c109002cbe,0x69530f640cf070a8a5f0d904390afa3f5e265125,1.6e+19,SoPay,SOP,18,36,3524596,1020000000,3397872,5971009,deprecated,9312311
16,6708722,2018-11-15 11:23:13,0xb919c2868d0aeadf525ebf3b0b209290309e686d3860649f1b43bce6947db2a4,212,0xf577a4bfaa73a80cbbe98272dbd3c3e1c172c28822497cd8b4c135cf59fe3d7a,0x72b0e0240655fd51a48a647e5b20d3a4b1a6aa97,0xe235b2a194c9cbf8e32167c398d929a6057877d8,0x69530f640cf070a8a5f0d904390afa3f5e265125,1.188178093259617e+21,AMeiToken,AMT,18,105,60000,7453125000,53434,4413517,deprecated,8475065
17,6749229,2018-11-22 02:43:33,0xc2442f27a9aadbd66fc1c25fa16b80932ef3eedefc1d8ab76909ea23485bc7d5,862,0x4a70319144b7cb1b06b176892a3cfdd317970826bd19e63e1e392037645ec090,0xe7f1be747d9a91794d9d5ea82caf9b3b138a3bae,0xe235b2a194c9cbf8e32167c398d929a6057877d8,0x69530f640cf070a8a5f0d904390afa3f5e265125,4.546e+21,AMeiToken,AMT,18,10,100000,30000000000,38306,553768,deprecated,8434558
18,6926163,2018-12-21 10:32:47,0xda40159ba272ea797594c945d932ca90f678d2038acb5af3a202f16a2110459b,5,0x085e4290c277f04841d81534b4398d24455a8ffcda28065f5d978bb3095d80db,0x69530f640cf070a8a5f0d904390afa3f5e265125,0x255aa6df07540cb5d3d297f0d0d4d84cb52bc8e6,0x6cf09041b3607b38c6df9cfee87db0145749c9fa,1e+21,Raiden,RDN,18,95,60000,4400000000,52199,7208209,deprecated,8257624
19,6929938,2018-12-22 02:00:27,0x6fd9fa7700dcec819ce36debf67232a0937e81123d56213e57c6be0503b01611,8,0x7337ca809e7f8c3d0ff694b85763219aa44fb0e62f7d4dfa45af8078a040b8bd,0x69530f640cf070a8a5f0d904390afa3f5e265125,0x255aa6df07540cb5d3d297f0d0d4d84cb52bc8e6,0x91a502c678605fbce581eae053319747482276b9,4.5e+20,Raiden,RDN,18,203,500000,2310000000,201749,7568429,deprecated,8253849
20,6929951,2018-12-22 02:02:52,0xed890fd1c1a5111d696ec4c6159beccb1e29ac29de72777cda9e04fdd7bc226a,9,0x50a1bd1104066eac0ce55b04ab7899e872382bbec8199f86fc8d528e908f8047,0x69530f640cf070a8a5f0d904390afa3f5e265125,0x255aa6df07540cb5d3d297f0d0d4d84cb52bc8e6,0x91a502c678605fbce581eae053319747482276b9,8.354e+17,Raiden,RDN,18,53,500000,2310000000,201749,2264154,deprecated,8253836
21,7812666,2019-05-22 23:51:49,0x07414016abbd55b63bb28a76b63854218e82994c3c9fdceb4b377fc9b06e9b0a,13,0x773552c9bfeb69dbe9deb234448959e280b0bac18377838f5aac95993986a36b,0x69530f640cf070a8a5f0d904390afa3f5e265125,0x076641af1b8f06b7f8c92587156143c109002cbe,0x618af4d107664bf9e6a0705ecda05a0894ee946a,1.6e+19,SoPay,SOP,18,92,60000,10000000000,38358,4893943,deprecated,7371121
22,9433742,2020-02-07 05:39:21,0x804343c1aba008441c51d075f08cdc68a287a3f5d53efb75cdad0c3a454950dc,14,0xa552a7cc97cc5781e4aa4a47b94aef5e6e1c1e2b04fe533cfce6b409dfd4cd1e,0x69530f640cf070a8a5f0d904390afa3f5e265125,0xdd974d5c2e2928dea5f71b9825b8b646686bd200,0x6cf09041b3607b38c6df9cfee87db0145749c9fa,2.9743e+20,KyberNetwork,KNC,18,105,60000,3000000000,37497,8523485,deprecated,5750045
23,10259219,2020-06-13 19:20:51,0x6fe1ef60dbfe62e9f0fec0ffff9b824d964f8df1cfb019da0277149e735397e5,4718,0x8bf10baf0bd21e5a1f17bd57f79e7a91880eb7291473140474879754df0c1baa,0x1c9a10c43ef76e15eb00f917ffacb07ad74169cd,0xdac17f958d2ee523a2206206994597c13d831ec7,0x69530f640cf070a8a5f0d904390afa3f5e265125,675453901.0,Tether USD,USDT,6,65,100000,41000000000,56209,2261222,deprecated,4924568
24,10260898,2020-06-14 01:31:28,0xbf16f3488761acf948f3576d3e50defc16049ae2893843c53df78675470a7798,15,0xe866a69a7dd1a9a7b41648b869a88156752dea4e6f107d25328f44bc15c81730,0x69530f640cf070a8a5f0d904390afa3f5e265125,0xdac17f958d2ee523a2206206994597c13d831ec7,0xac6ae506f90a54c01321f0f2a21e8f33133fe9a0,369000000.0,Tether USD,USDT,6,62,60000,15900001459,56209,3056051,deprecated,4922889
25,10265470,2020-06-14 18:27:03,0x877ab8362cb6efe4468461b5dbe66cc53257f034f3c539c19bcf220b8586eb34,5143,0xeebafb17813cfebe237565a2f0493088fa97836e1d583aad8ab96b330c6335ac,0x1c9a10c43ef76e15eb00f917ffacb07ad74169cd,0xdac17f958d2ee523a2206206994597c13d831ec7,0x69530f640cf070a8a5f0d904390afa3f5e265125,435028369.0,Tether USD,USDT,6,16,100000,41000000000,41209,593387,deprecated,4918317
26,10273871,2020-06-16 01:27:12,0x424b938f2e94dccdd4082086cf474b72fbd1d3f58db71810d6e596b299c9742c,16,0x6b5dd962e7d4f743b65bbd2d48567e295a3601636dc06d03f44daa70d2cbe25f,0x69530f640cf070a8a5f0d904390afa3f5e265125,0xdac17f958d2ee523a2206206994597c13d831ec7,0xac6ae506f90a54c01321f0f2a21e8f33133fe9a0,145000000.0,Tether USD,USDT,6,149,60000,24000001459,56209,6364789,deprecated,4909916
27,10319507,2020-06-23 03:03:13,0x40c167334159d1e44f2df2210e8324b79e3f1435653e4abc9f1f9c2ba40703de,17,0xaf6013711c22d63dcdc01f0dccab869b7a9c8f543deb288faa20a1034b4b68ed,0x69530f640cf070a8a5f0d904390afa3f5e265125,0xdac17f958d2ee523a2206206994597c13d831ec7,0x6cf09041b3607b38c6df9cfee87db0145749c9fa,596480000.0,Tether USD,USDT,6,158,60000,42000001459,56197,11479640,deprecated,4864280
28,10786915,2020-09-03 07:12:03,0xa3b7bd09c87195e6e7e3e2a394161f7391cea4a622278ee3b44c3a757dd3ced4,18,0xf48388892a3c2e4f61a75cbfc14242d09a92cf73396c2bfd8e1bf91e1b9fd3a1,0xe275eb6154cb4a73f0ba573e43b2b06e9e78b7f0,0xfffffffff15abf397da76f1dcc1a1604f45126db,0x69530f640cf070a8a5f0d904390afa3f5e265125,1.909590341355806e+21,FalconSwap Token,FSW,18,182,165083,423500000233,124505,10808726,deprecated,4396872
29,10787832,2020-09-03 10:36:15,0x3ac69a62ec225edb755704e6300395280f1e9223cc8f7eb3fd5811df83476441,19,0x44b6921bb5f07abacce57b0b6680ed013028ffb932caba5603566b817ccbd9dc,0xe275eb6154cb4a73f0ba573e43b2b06e9e78b7f0,0xfffffffff15abf397da76f1dcc1a1604f45126db,0x69530f640cf070a8a5f0d904390afa3f5e265125,2.3429995537879395e+21,FalconSwap Token,FSW,18,150,148321,297000000233,97489,7324353,deprecated,4395955
30,10794627,2020-09-04 11:40:15,0x78dcad7b7d0fd66e231792c39eb435a0939ce6702c1999c2752fb8da4c984fc6,20,0x2c5e1f9971b84d57fb9fc57dfe300790f5bf6bdbbae90f35070eef9594acc624,0xe275eb6154cb4a73f0ba573e43b2b06e9e78b7f0,0xfffffffff15abf397da76f1dcc1a1604f45126db,0x69530f640cf070a8a5f0d904390afa3f5e265125,1.3461319626353305e+21,FalconSwap Token,FSW,18,391,148321,251900000233,109505,11212574,deprecated,4389160
31,10860775,2020-09-14 14:56:38,0x4a0e22ca3b4cbbf2a49ada435151710aa6d73aa188d087d4661306eb774b2b4d,2819105,0x9dd9b277c73facd0adc6e6820896e9120544888171d76042520db8d941efbf2d,0x0681d8db095565fe8a346fa0277bffde9c0edbbf,0xdac17f958d2ee523a2206206994597c13d831ec7,0x69530f640cf070a8a5f0d904390afa3f5e265125,2369694105.0,Tether USD,USDT,6,4,207128,355000000000,41209,186945,deprecated,4323012
