,blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,confirmations
0,10778573,2020-09-02 00:29:28,0xe6430f544c5af96f7331ddd2c19c66755801036092f32fa7e7272fd3d0f61b64,0,0xf4f84c9691d8579e55390a089f7fe9aa64332e2fb145a3513eebf76c7b227749,0x1d6432aefeae2c0ff1393120541863822a4e6fa7,0x28cb7e841ee97947a86b06fa4090c8451f64c0be,0x698ffce956771547e22c358e2e2785a73607f10c,5.73521336648027e+17,YFLink,YFL,18,78,151421,480000000000,124296,7549831,deprecated,4405216
1,10779056,2020-09-02 02:11:46,0x4afb91a079e4b7457063ddabac80b3a7e1e1604ef28956fa8f182d81183822d7,2,0x40867939d98825cf6ffc587e6ac6ced132413ebdcca3d6c477cb3bb6ab792e1e,0x1d6432aefeae2c0ff1393120541863822a4e6fa7,0x28cb7e841ee97947a86b06fa4090c8451f64c0be,0x698ffce956771547e22c358e2e2785a73607f10c,4.3e+17,YFLink,YFL,18,23,156814,520000000000,117275,1863261,deprecated,4404733
2,11659976,2021-01-15 13:34:27,0xa01f9974e3a202a1b524d608d7fd4e6225610707ea83c19fdc114cabc347a8bb,5,0xff323fb22967e04cc6aa89075eeb543db5f7bdd0153c0a25c89139c9cca2bcf2,0x698ffce956771547e22c358e2e2785a73607f10c,0x28cb7e841ee97947a86b06fa4090c8451f64c0be,0x7e5a536f3d79791e283940ec379cee10c9c40e86,1.0035e+18,YFLink,YFL,18,141,238394,100000000000,168899,10633836,deprecated,3523813
3,11660087,2021-01-15 13:57:37,0x38933e107a74f792f8d3d11097471329a527561775dfd1e0771f85d38e0348e8,6,0x94b34edc46d83a8125a4b2e6543e6654847757330928ccbad5badc43788e16e5,0xbb2b8038a1640196fbe3e38816f3e67cba72d940,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,0x698ffce956771547e22c358e2e2785a73607f10c,1291886.0,Wrapped BTC,WBTC,8,109,167590,80000001459,126748,9168346,deprecated,3523702
4,11660211,2021-01-15 14:24:12,0x5f87546406811cb24f8bc61fa504a2dda278fcbc40bdead824bfa4f2468616d5,8,0x3cedfc8d0a8a049c61686af5dddadba722a85f52f25b9320bb3551ea51f94282,0x698ffce956771547e22c358e2e2785a73607f10c,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,0xbb2b8038a1640196fbe3e38816f3e67cba72d940,1264284.0,Wrapped BTC,WBTC,8,160,201837,74513431413,150479,10508913,deprecated,3523578
5,11660211,2021-01-15 14:24:12,0x5f87546406811cb24f8bc61fa504a2dda278fcbc40bdead824bfa4f2468616d5,8,0x3cedfc8d0a8a049c61686af5dddadba722a85f52f25b9320bb3551ea51f94282,0x0000000000000000000000000000000000000000,0xbb2b8038a1640196fbe3e38816f3e67cba72d940,0x698ffce956771547e22c358e2e2785a73607f10c,630047645019.0,Uniswap V2,UNI-V2,18,160,201837,74513431413,150479,10508913,deprecated,3523578
6,11669513,2021-01-17 00:35:54,0x21e13111473e90195fd85685ff293e87c54aceb6564192a569f271e787ec37a3,9,0xed47997a0f81963ee830072f1bd45707e5e3f40d7df78cf245fa7e8ca36cc74b,0x698ffce956771547e22c358e2e2785a73607f10c,0xbb2b8038a1640196fbe3e38816f3e67cba72d940,0xbb2b8038a1640196fbe3e38816f3e67cba72d940,630047645019.0,Uniswap V2,UNI-V2,18,70,301847,95460000000,176344,4926036,deprecated,3514276
7,11669513,2021-01-17 00:35:54,0x21e13111473e90195fd85685ff293e87c54aceb6564192a569f271e787ec37a3,9,0xed47997a0f81963ee830072f1bd45707e5e3f40d7df78cf245fa7e8ca36cc74b,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,0x698ffce956771547e22c358e2e2785a73607f10c,1293396.0,Wrapped BTC,WBTC,8,70,301847,95460000000,176344,4926036,deprecated,3514276
8,11886670,2021-02-19 10:05:47,0x2dca8ffb7f086f9c84a898a2549272497d3614091409a463b6881f743f4ea228,13,0x6500cbd7a506d44b8f84a20bc2615d34f666bc9fa7fb9813fe4dd3a64e38c7e3,0x698ffce956771547e22c358e2e2785a73607f10c,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,0xbb2b8038a1640196fbe3e38816f3e67cba72d940,1320998.0,Wrapped BTC,WBTC,8,210,169543,151000000000,113848,12143167,deprecated,3297119
9,12549012,2021-06-01 14:09:34,0x0c9eec9dd0d832292a130e4134bc08fe0a46b75e9899c957848f053df0b775e5,15,0x8a0d70b951b792c4656ce4dccefdda1480a04fae4a80980ca62ea22381009ba8,0x291c69fdaebd3cbe953843da243f8605a766a268,0x467bccd9d29f223bce8043b84e8c8b282827790f,0x698ffce956771547e22c358e2e2785a73607f10c,10025509.0,Telcoin,TEL,2,145,168554,22000000000,112795,12465876,deprecated,2634777
