,blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,confirmations
0,10779421,2020-09-02 03:35:12,0xfa78d2877217b8ec2894ac47ea624902a73b4246b3dd8741994d73a221e1eecb,2,0x5f28287fcc8ba77cd881302f9178fbbd32dc55ec9002325ac2d7c78ce7b33827,0x1cac6da8e6928aacb492697fa92b4a04d2162c08,0x0f4ca92660efad97a9a70cb0fe969c755439772c,0x6ae93e15e15fbae38f3d6174b2aa7a1e45e6dede,3048906666333.0,Leverj,LEV,9,66,167967,480000000000,127086,7216087,deprecated,4404698
1,10792769,2020-09-04 04:51:30,0x98150c0905ee86e27428b213cba26f0b7a85bc419ef74bc7170802ecd5cd6f53,3,0xd9f07d1518ff47bf7df56d19293ebf57d791ab2a3a79986982e7b12e8c6db3e1,0x1cac6da8e6928aacb492697fa92b4a04d2162c08,0x0f4ca92660efad97a9a70cb0fe969c755439772c,0x6ae93e15e15fbae38f3d6174b2aa7a1e45e6dede,4106738764555.0,Leverj,LEV,9,95,151206,226000000000,112086,5472501,deprecated,4391350
2,10798070,2020-09-05 00:12:13,0x7252aece9535965881c85771e81fa17d910a969b023f8e732faba681633b20b5,4,0x021b118278be70f0de5b63d8075effbd3ac3ee39b0ed2705475294b11433887b,0x98f90bfc702ec548d21b5a566a4df6853e2890d4,0x8ab7404063ec4dbcfd4598215992dc3f8ec853d7,0x6ae93e15e15fbae38f3d6174b2aa7a1e45e6dede,5.535349826763807e+21,Akropolis,AKRO,18,138,263474,109000000000,221405,10617655,deprecated,4386049
3,10798133,2020-09-05 00:23:21,0x80bfcc0d602a5836c02f6e08149075256ca44c0837788bdc63901f3794c48e55,5,0xab2d40e9af6704983f5eea38b01f7644d267a4edce8433977e20acf16978c098,0xba65016890709dbc9491ca7bf5de395b8441dc8b,0x8762db106b2c2a0bccb3a80d1ed41273552616e8,0x6ae93e15e15fbae38f3d6174b2aa7a1e45e6dede,5.747554653415856e+21,Reserve Rights,RSR,18,233,168139,109000000000,127241,10207267,deprecated,4385986
4,10798443,2020-09-05 01:30:36,0xb972300f4f339c56c704427c69f2fc9b873931f826114ddbc12743cca2ba5c7e,7,0x9b5d27a08c5981c568208b0ffbc2916a67b89f0dda8ed7c8315a74a7b74d1591,0x1cac6da8e6928aacb492697fa92b4a04d2162c08,0x0f4ca92660efad97a9a70cb0fe969c755439772c,0x6ae93e15e15fbae38f3d6174b2aa7a1e45e6dede,4694323182958.0,Leverj,LEV,9,15,151206,120000000000,112086,928123,deprecated,4385676
5,10816882,2020-09-07 21:11:28,0xf091d0d26a856c18cdbd7525e2118b3bff5e75d1f63a85bfd9d3fc823ee9ed88,9,0xd6c00cea432665b9c05b184b1acf64a0c07806ee89134239ca4c3048a14b791b,0x1cac6da8e6928aacb492697fa92b4a04d2162c08,0x0f4ca92660efad97a9a70cb0fe969c755439772c,0x6ae93e15e15fbae38f3d6174b2aa7a1e45e6dede,1541958987715.0,Leverj,LEV,9,74,151206,82000000000,112086,8715724,deprecated,4367237
6,10816956,2020-09-07 21:27:19,0x8b84430677e4f04702fc93ea53de903458de6b543ec8e2f3abcf82fa4e7e4299,11,0x9bb977936f0496c9ecfafa8b2e368b89a439bcb3240fc3e7ae8a3474f1e70b8d,0x6ae93e15e15fbae38f3d6174b2aa7a1e45e6dede,0x8ab7404063ec4dbcfd4598215992dc3f8ec853d7,0x8cb77ea869def8f7fdeab9e4da6cf02897bbf076,5e+21,Akropolis,AKRO,18,149,200687,75000000000,157161,12229528,deprecated,4367163
7,10816979,2020-09-07 21:33:24,0x82541ec3f870460cc39a398f610d54576283b2bcb25e6ea72d4a567c3fc08734,13,0x17a97d56dedf2f1d8950cc028940ce8e6b89eaaf6c0e88e85304c43cd3314e60,0x6ae93e15e15fbae38f3d6174b2aa7a1e45e6dede,0x8762db106b2c2a0bccb3a80d1ed41273552616e8,0xba65016890709dbc9491ca7bf5de395b8441dc8b,5.3e+21,Reserve Rights,RSR,18,123,169761,82000000000,129047,11283229,deprecated,4367140
8,10816992,2020-09-07 21:35:56,0xa2f15947b489bbc9c6f665726e400f75d02584e7df881cda7480d89f8e96ce8c,14,0x7f39f488d05557c44a4339b3f0f7c0622da5bf71be815de8f07479d9c49e5dbe,0x1cac6da8e6928aacb492697fa92b4a04d2162c08,0x0f4ca92660efad97a9a70cb0fe969c755439772c,0x6ae93e15e15fbae38f3d6174b2aa7a1e45e6dede,2950249052959.0,Leverj,LEV,9,60,151206,82000000000,112086,4809270,deprecated,4367127
9,10825414,2020-09-09 04:39:43,0xd22ee2c99d53258c5a0399315af20a11597600ef8c3bf7ecd7bb1378da218218,15,0x7ae5b1ae66bd36c01688a8363ac5348043a6494c67f217f7e095700ea35cd1f6,0x1cac6da8e6928aacb492697fa92b4a04d2162c08,0x0f4ca92660efad97a9a70cb0fe969c755439772c,0x6ae93e15e15fbae38f3d6174b2aa7a1e45e6dede,5853233260032.0,Leverj,LEV,9,62,151206,80000000000,112086,6479793,deprecated,4358705
10,10838267,2020-09-11 03:57:11,0x7e8ed0f45b6778e6330fcf87fd580b148fa8c75a630b1d3721c5fdd3b5420703,16,0x843f323d010fd2dfab064e5a1f72ae47a60b704eb9c01ea190a07b019102e220,0x1cac6da8e6928aacb492697fa92b4a04d2162c08,0x0f4ca92660efad97a9a70cb0fe969c755439772c,0x6ae93e15e15fbae38f3d6174b2aa7a1e45e6dede,9862525355741.0,Leverj,LEV,9,165,151206,151000000000,112086,10521186,deprecated,4345852
11,10900932,2020-09-20 18:38:30,0x050bdd28a181b241333fe5a481743acb1adc06786d24d557b832a5d6a6fc8dbc,17,0x5f993033f6f521ab18973163089adb8eadb0963df2fb99f793d1ddb19663fe05,0x1cac6da8e6928aacb492697fa92b4a04d2162c08,0x0f4ca92660efad97a9a70cb0fe969c755439772c,0x6ae93e15e15fbae38f3d6174b2aa7a1e45e6dede,3479861158477.0,Leverj,LEV,9,34,151206,100000000000,112086,4550478,deprecated,4283187
12,11123667,2020-10-25 05:26:58,0xcf3983c49055c40f58c6114d9d7438f8f0a5b4e57db90553d19ca4e38ccaf442,20,0xef5ee727ccc1d6da5183cb78400c6feafd439903eb92919c5087f7544cec3387,0x6ae93e15e15fbae38f3d6174b2aa7a1e45e6dede,0x0f4ca92660efad97a9a70cb0fe969c755439772c,0xbbff34e47e559ef680067a6b1c980639eeb64d24,35537796428770.0,Leverj,LEV,9,91,85385,21000001459,55385,2802127,deprecated,4060452
13,11123667,2020-10-25 05:26:58,0xcf3983c49055c40f58c6114d9d7438f8f0a5b4e57db90553d19ca4e38ccaf442,20,0xef5ee727ccc1d6da5183cb78400c6feafd439903eb92919c5087f7544cec3387,0x0000000000000000000000000000000000000000,0xbbff34e47e559ef680067a6b1c980639eeb64d24,0x6ae93e15e15fbae38f3d6174b2aa7a1e45e6dede,3.553779642877e+22,Leverj Gluon,L2,18,91,85385,21000001459,55385,2802127,deprecated,4060452
14,11123670,2020-10-25 05:27:17,0xe798edaf3e9756c14433c1850abaf151c35532e101bcd0598f6000ec34f3167d,21,0x2a4b42a82d809702c3b757a611478983f38097cd6b637fe1013bf8e2acda4972,0x6ae93e15e15fbae38f3d6174b2aa7a1e45e6dede,0x0f4ca92660efad97a9a70cb0fe969c755439772c,0xbbff34e47e559ef680067a6b1c980639eeb64d24,0.0,Leverj,LEV,9,150,85385,21000001459,49385,10676921,deprecated,4060449
15,11123670,2020-10-25 05:27:17,0xe798edaf3e9756c14433c1850abaf151c35532e101bcd0598f6000ec34f3167d,21,0x2a4b42a82d809702c3b757a611478983f38097cd6b637fe1013bf8e2acda4972,0x0000000000000000000000000000000000000000,0xbbff34e47e559ef680067a6b1c980639eeb64d24,0x6ae93e15e15fbae38f3d6174b2aa7a1e45e6dede,0.0,Leverj Gluon,L2,18,150,85385,21000001459,49385,10676921,deprecated,4060449
16,11674490,2021-01-17 19:00:58,0x64054205470d82660525162a34a034690c95ca14f804eab61cabd4d44f8a94c4,24,0x1c63737b0748d11cdb8cbae59fad775d0d11f09b9d286aa21bbfac8a577a6eb9,0x6ae93e15e15fbae38f3d6174b2aa7a1e45e6dede,0xbbff34e47e559ef680067a6b1c980639eeb64d24,0x495871f1825193471f614fde19c8c580f5e7ac63,3.3e+22,Leverj Gluon,L2,18,268,160166,56000000000,120324,8823810,deprecated,3509629
