,blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,confirmations
0,9873547,2020-04-14 23:42:40,0x1ea4290c979b852ff4974450b794065c0c9f71d13f68a8900e89b11ea5972506,4051216,0x7c0b33230387340f93bf07e9a0576cf18fa050dc202e25300c47944ab57fbc55,0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,0xdac17f958d2ee523a2206206994597c13d831ec7,0x6ec257536c8f6544017e095c0b30af13b6b90963,25000220000.0,Tether USD,USDT,6,33,207128,20000000000,56221,1223404,deprecated,5310572
1,9956401,2020-04-27 19:26:14,0x0e5c6413e22517f0b07d5ad867e4003b7a9bb3a8000b26bc3bed23f68afcb966,4207841,0x5b02d69be01be5cb723afda05bd8634598eb904795b7496d199d9defae898887,0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,0xdac17f958d2ee523a2206206994597c13d831ec7,0x6ec257536c8f6544017e095c0b30af13b6b90963,25049010000.0,Tether USD,USDT,6,20,207128,20000000000,41221,787045,deprecated,5227718
2,9963146,2020-04-28 20:33:31,0xf3f72c395653879b50ff18662b54355cc7c01b421939686234a4653c062b79cc,2,0x543cdd658aa18e61f67062ed79bdb944602f73429910050b7598a4b4c4e728e8,0x6ec257536c8f6544017e095c0b30af13b6b90963,0xdac17f958d2ee523a2206206994597c13d831ec7,0x11111254369792b2ca5d084ab5eea397ca8fa48b,150000000.0,Tether USD,USDT,6,31,812941,5500000000,226901,1763907,deprecated,5220973
3,9963146,2020-04-28 20:33:31,0xf3f72c395653879b50ff18662b54355cc7c01b421939686234a4653c062b79cc,2,0x543cdd658aa18e61f67062ed79bdb944602f73429910050b7598a4b4c4e728e8,0x11111254369792b2ca5d084ab5eea397ca8fa48b,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x6ec257536c8f6544017e095c0b30af13b6b90963,149794950.0,USD Coin,USDC,6,31,812941,5500000000,226901,1763907,deprecated,5220973
4,9963157,2020-04-28 20:36:53,0x03af39f96bf5f76ef664f0646710d80be4dd9e1d89208e3837d848088c28c4de,3,0x13a0bca2b63635c398bf6103947609bf1aa5770e670a90615f555c7e5e514a66,0x6ec257536c8f6544017e095c0b30af13b6b90963,0xdac17f958d2ee523a2206206994597c13d831ec7,0x11111254369792b2ca5d084ab5eea397ca8fa48b,25000000000.0,Tether USD,USDT,6,81,3682902,5500000000,1021127,5646944,deprecated,5220962
5,9963157,2020-04-28 20:36:53,0x03af39f96bf5f76ef664f0646710d80be4dd9e1d89208e3837d848088c28c4de,3,0x13a0bca2b63635c398bf6103947609bf1aa5770e670a90615f555c7e5e514a66,0x11111254369792b2ca5d084ab5eea397ca8fa48b,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x6ec257536c8f6544017e095c0b30af13b6b90963,25010145637.0,USD Coin,USDC,6,81,3682902,5500000000,1021127,5646944,deprecated,5220962
6,9973416,2020-04-30 10:33:58,0x9ae21f070115b9390aefd266fbccdb37812bca39d50ee44fc2465d3fd9db8f89,4250825,0xda5ce6f3aab231625987afef5f813dac656fbeff846c0043bcda6850f061bea9,0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x6ec257536c8f6544017e095c0b30af13b6b90963,18048920000.0,USD Coin,USDC,6,40,207128,72000000000,43025,1392169,deprecated,5210703
7,10147878,2020-05-27 12:41:09,0xe46a7b8866d106cf0c0ebb187b9f14515f79528a86fad57e4ae27c72b25a2755,3,0xc449b19fbff4772e9252aca08e1dbb6e54c3fd05a081bbe040408cb8ac836219,0x379a764123cc7d18a00d7599c7f602eb4056f188,0xdac17f958d2ee523a2206206994597c13d831ec7,0x6ec257536c8f6544017e095c0b30af13b6b90963,2000000000.0,Tether USD,USDT,6,134,57675,39600001358,41197,9935640,deprecated,5036241
8,10147881,2020-05-27 12:41:59,0x8e0d35e11018c8e68864f70eb15b0b457a223d7b58c89a5f9ea9e12cf706580c,2224762,0x56389adcf9d905fcdea8c8f483cd0782ec63172a61a60fbe71d02c9798def5d2,0xd551234ae421e3bcba99a0da6d736074f22192ff,0xdac17f958d2ee523a2206206994597c13d831ec7,0x6ec257536c8f6544017e095c0b30af13b6b90963,1000000000.0,Tether USD,USDT,6,75,207128,60000000000,41197,3606061,deprecated,5036238
9,10147891,2020-05-27 12:46:07,0xc1580fadf4b52a6dc211b7d9fca4b637a27eaa1dc590d43200d9cbe06fb28c4b,156,0x91ea09d6da4b1d599a91c9bcf16a1507593f212ad58a42e63a529adc09ea1b22,0x5a92bc71ff2cee03202db6b625cb074d588344bb,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x6ec257536c8f6544017e095c0b30af13b6b90963,2000000000.0,USD Coin,USDC,6,39,56227,39000000000,43001,7020206,deprecated,5036228
10,10147900,2020-05-27 12:48:42,0x9d2cbb19c368500d7715596e1d770db8b8ae7f7236e6b1100d9cbc50c4119cb3,788,0x2165516ce3e36ed79720ffdb86fbb7bd3380a45aea538054d417185fcfbaa839,0x0035fc5208ef989c28d47e552e92b0c507d2b318,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x6ec257536c8f6544017e095c0b30af13b6b90963,2000000000.0,USD Coin,USDC,6,104,64878,37000000000,43001,8231815,deprecated,5036219
