,blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,confirmations
0,6059126,2018-07-30 20:06:34,0xb1d5be16a5c46fba58bdff0902ec255c2422f33b4f09722adda3c9daacdcb367,137,0xe9ca9c34cd5dfd7b10ee61940a6d735e7331c4bc6428c359abc3548712c29ccd,0xdd8178dece993174ff4e4eb71f6df550e8877170,0x5f5d0767fb8ba2c2793bf7957993a63b5e67d92b,0x6f067ed7a9b2493c15e3ab197e5a8e6265ecd0a5,100.0,CryptoBots: Idle Token,CBIT,2,6,7120359,2100000000,7120359,7420953,deprecated,9125410
1,6089574,2018-08-04 23:49:37,0xae0a69d11955fddb19d20b4b6005c2faa65c82a359a7a0f18db63ffee969bd8d,198,0x16d25b753700705ff9baefb2626c93f65275ef647fa4afabe3a7125ade90eba9,0xdd8178dece993174ff4e4eb71f6df550e8877170,0xfd79c2aa42ab4bfbd7c03c1e6866491172917b32,0x6f067ed7a9b2493c15e3ab197e5a8e6265ecd0a5,1.0,CryptoBotsBattle,CBTB,0,5,7219789,1010000000,7219789,7532715,deprecated,9094962
2,8675801,2019-10-04 12:59:55,0x58a4cccec0607511d80c43b249a13cfe0b962d49fe6af29473c6da1007c62523,3505,0x5a66e1ea49c5b2b5e95e7cad42400ef5d6a7e9248cc31792a079da7a7b9ee260,0xe5ccfca59acd6a3dea18a97a8d12a1fc5be09b13,0xbddab785b306bcd9fb056da189615cc8ece1d823,0x6f067ed7a9b2493c15e3ab197e5a8e6265ecd0a5,2.602606481872245e+18,Ebakus,EBK,18,14,698177,1010000000,693867,4646391,deprecated,6508735
3,10513103,2020-07-23 02:43:25,0x4297a3e071ccd25962475362ec57e865254d565de4aa760f373d89cbc1743eca,2443407,0x492871420b8872c128c17c73a7b0569ed8b639a7049061da9b0951186c6fed78,0x0681d8db095565fe8a346fa0277bffde9c0edbbf,0xdac17f958d2ee523a2206206994597c13d831ec7,0x6f067ed7a9b2493c15e3ab197e5a8e6265ecd0a5,1500000.0,Tether USD,USDT,6,176,207128,87000000000,56197,6313871,deprecated,4671433
4,10514051,2020-07-23 06:13:33,0x2e89dc227db532701fbed71f690d95febe800160ab4bd7860e7ce229021f15eb,2395681,0xd628e516677bd7a4a200517b4ffa9244b46d2a423ee868fcfba8a0d37c03e400,0x564286362092d8e7936f0549571a803b203aaced,0xdac17f958d2ee523a2206206994597c13d831ec7,0x6f067ed7a9b2493c15e3ab197e5a8e6265ecd0a5,9358405209.0,Tether USD,USDT,6,38,207128,86000000000,41221,1870888,deprecated,4670485
5,10514085,2020-07-23 06:21:43,0x460548660a8989709ae62fca49f98583609b880164e6950ee4a4fd05ed3695bf,7,0x1b1b5d2786c7e564b7ce557e5064894d3c21dcbaf32b52fc996f67f7dfff160a,0x6f067ed7a9b2493c15e3ab197e5a8e6265ecd0a5,0xdac17f958d2ee523a2206206994597c13d831ec7,0xf617346a0fb6320e9e578e0c9b2a4588283d9d39,9359905209.0,Tether USD,USDT,6,81,439468,66000000000,345567,11206375,deprecated,4670451
6,10514085,2020-07-23 06:21:43,0x460548660a8989709ae62fca49f98583609b880164e6950ee4a4fd05ed3695bf,7,0x1b1b5d2786c7e564b7ce557e5064894d3c21dcbaf32b52fc996f67f7dfff160a,0x0000000000000000000000000000000000000000,0xe2f2a5c287993345a840db3b0845fbc70f5935a5,0x6f067ed7a9b2493c15e3ab197e5a8e6265ecd0a5,9.359905209e+21,mStable USD,mUSD,18,81,439468,66000000000,345567,11206375,deprecated,4670451
7,10514098,2020-07-23 06:25:10,0x39cb7fd99c7108826de1458a18ced8e2cd3c1bfc6f48d50e0a2d20ccf34b1e66,9,0xe97bc477d8b74eb04defc90acd7b719cd951f8c876148e96bf6b9bbbfce80ebe,0x6f067ed7a9b2493c15e3ab197e5a8e6265ecd0a5,0xe2f2a5c287993345a840db3b0845fbc70f5935a5,0xcf3f73290803fc04425bee135a4caeb2bab2c2a1,9.359905209e+21,mStable USD,mUSD,18,138,107235,67000002694,82487,7215077,deprecated,4670438
8,10647920,2020-08-12 22:45:20,0x26de788e97981d4731c4191a453cf5ff97ade1de9acb8055e834cf3a8fa29fbc,10,0x590881cd4888d20bcc38cead6aaea8f16f85bd27398de3c0b120c8b80ddb812a,0xcf3f73290803fc04425bee135a4caeb2bab2c2a1,0xe2f2a5c287993345a840db3b0845fbc70f5935a5,0x6f067ed7a9b2493c15e3ab197e5a8e6265ecd0a5,9.514117312715627e+21,mStable USD,mUSD,18,15,85874,275000000000,63068,847960,deprecated,4536616
9,10676056,2020-08-17 06:50:38,0x4cd3d83dbacf2c76b5d8eaf161347acff9c11c3cf2dea9531f0aa37eaad6cd24,4895070,0xc22c525d42d1f3cf418c5424be55834b553c34091e2f409c1fb8a1145f8c0160,0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,0xdac17f958d2ee523a2206206994597c13d831ec7,0x6f067ed7a9b2493c15e3ab197e5a8e6265ecd0a5,6445461053.0,Tether USD,USDT,6,89,207128,120000000000,56221,4759780,deprecated,4508480
10,10676137,2020-08-17 07:12:13,0xb7e83eb1725a14ecfa9177b782483612060ffdff936cdaaa1d55f2cc564995b4,42324,0xc8e630cb249b9b8e7b0b6530fcc9889dec9a293ff17f278e3a441f398661e7c9,0x6f067ed7a9b2493c15e3ab197e5a8e6265ecd0a5,0xdac17f958d2ee523a2206206994597c13d831ec7,0x41f8d14c9475444f30a80431c68cf24dc9a8369a,230000000.0,Tether USD,USDT,6,149,450000,102000000000,272779,8878446,deprecated,4508399
11,10676170,2020-08-17 07:18:49,0x3a2d39656c42fd005cd97615be7eb22ab22b7ee3071879f407daafe886ec8674,13,0x2739110c5f8bd472250140375ddd15da285857dd59a9757f4afac6856f9d290a,0x6f067ed7a9b2493c15e3ab197e5a8e6265ecd0a5,0xe2f2a5c287993345a840db3b0845fbc70f5935a5,0x0000000000000000000000000000000000000000,9.514117312e+21,mStable USD,mUSD,18,122,504178,96000000000,413790,7350512,deprecated,4508366
12,10676170,2020-08-17 07:18:49,0x3a2d39656c42fd005cd97615be7eb22ab22b7ee3071879f407daafe886ec8674,13,0x2739110c5f8bd472250140375ddd15da285857dd59a9757f4afac6856f9d290a,0xf617346a0fb6320e9e578e0c9b2a4588283d9d39,0xdac17f958d2ee523a2206206994597c13d831ec7,0x6f067ed7a9b2493c15e3ab197e5a8e6265ecd0a5,9504603195.0,Tether USD,USDT,6,122,504178,96000000000,413790,7350512,deprecated,4508366
13,10676637,2020-08-17 08:59:12,0x9f721746474fc0187ecd87a737396addc14433044a6a890685b87830d6253a00,14,0xfe0fa293999a72fa60f4292c38162a3648129a4f2b719813afc514ea10cd9c6d,0x6f067ed7a9b2493c15e3ab197e5a8e6265ecd0a5,0xdac17f958d2ee523a2206206994597c13d831ec7,0x1fb07abd20d22c4d598c5d68f2d2cd1592ca5635,5000000000.0,Tether USD,USDT,6,77,60000,78000001347,56209,4628859,deprecated,4507899
14,10767371,2020-08-31 07:44:43,0xdfe497bbb11fcb1638bc3a5d02dadb8b8cefb4155e84a93adfd308a40d5110f4,16,0xba9aa2fa28e1c32af9991901e313442fc490d16a2aa138a4c65fb5de4a095f15,0x6f067ed7a9b2493c15e3ab197e5a8e6265ecd0a5,0xdac17f958d2ee523a2206206994597c13d831ec7,0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852,10720064248.0,Tether USD,USDT,6,130,153437,233000000000,99207,7199741,deprecated,4417165
15,10767516,2020-08-31 08:13:45,0xb2722dffdecffce92bea090865383872df77edb109bedd1b2b6137b3378613f3,5033899,0x818ae633073f435a8a763465a70ce09b811fcc6a492fc7aea45b87f8d30043f4,0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,0xc00e94cb662c3520282e6f5717214004a7f26888,0x6f067ed7a9b2493c15e3ab197e5a8e6265ecd0a5,8.03506188e+18,Compound,COMP,18,6,207128,280000000000,55734,351001,deprecated,4417020
16,10767589,2020-08-31 08:30:10,0xe806a4505d7651966777ef285fb385b449325a944e223f91f2f2165db78eff51,19,0x76fe3f7a8e2a740c0d0e2f121f5b229430ca109473940c17bc84abc59d0ec386,0x6f067ed7a9b2493c15e3ab197e5a8e6265ecd0a5,0xc00e94cb662c3520282e6f5717214004a7f26888,0xcffdded873554f362ac02f8fb1f02e5ada10516f,8.03506188e+18,Compound,COMP,18,83,189787,233000000000,131753,2613769,deprecated,4416947
