,blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,confirmations
0,10701751,2020-08-21 05:40:05,0x399fe8c44a1991c4b51eace97e49de41447b2bc4152af0d4addfbddde5415297,1067671,0x4f2af4fa5cf6c6bb4420fa06ae77481e861d14d803b63c7ba337281f1ca31bb1,0xfdb16996831753d5331ff813c29a93c76834a0ad,0xdac17f958d2ee523a2206206994597c13d831ec7,0x7067088ce93ea8ea86dfd9a0b20d143b33e38b7f,5150000.0,Tether USD,USDT,6,51,100000,162000000000,56197,2167033,deprecated,4482611
1,10701758,2020-08-21 05:41:30,0x5a0df8ffcb8d1ef40e45cf336bbb1f71a7abd78efc1beac64e7bec0fdb4bb5a6,1039076,0xc4153df5a24cbd2ec968f21637802d2c610ce56e5d1d8e84f0aba39371e8966d,0xe93381fb4c4f14bda253907b18fad305d799241a,0xdac17f958d2ee523a2206206994597c13d831ec7,0x7067088ce93ea8ea86dfd9a0b20d143b33e38b7f,193707985.0,Tether USD,USDT,6,182,100000,162000000000,41209,9160329,deprecated,4482604
2,10701791,2020-08-21 05:49:37,0x8453e056738e12ee4a93bec35aa1b07fd500784ef4478f5f017d55b59866f9ff,1,0xdf1118c5519f7359333894644c2ba482231bc4227c6743267974d377346a11a1,0x7067088ce93ea8ea86dfd9a0b20d143b33e38b7f,0x6b175474e89094c44da98b954eedeac495271d0f,0xa5407eae9ba41422680e2e00537571bcc53efbfd,0.0,Dai Stablecoin,DAI,18,120,600000,132000000000,297190,8431082,deprecated,4482571
3,10701791,2020-08-21 05:49:37,0x8453e056738e12ee4a93bec35aa1b07fd500784ef4478f5f017d55b59866f9ff,1,0xdf1118c5519f7359333894644c2ba482231bc4227c6743267974d377346a11a1,0x7067088ce93ea8ea86dfd9a0b20d143b33e38b7f,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xa5407eae9ba41422680e2e00537571bcc53efbfd,0.0,USD Coin,USDC,6,120,600000,132000000000,297190,8431082,deprecated,4482571
4,10701791,2020-08-21 05:49:37,0x8453e056738e12ee4a93bec35aa1b07fd500784ef4478f5f017d55b59866f9ff,1,0xdf1118c5519f7359333894644c2ba482231bc4227c6743267974d377346a11a1,0x7067088ce93ea8ea86dfd9a0b20d143b33e38b7f,0xdac17f958d2ee523a2206206994597c13d831ec7,0xa5407eae9ba41422680e2e00537571bcc53efbfd,198857985.0,Tether USD,USDT,6,120,600000,132000000000,297190,8431082,deprecated,4482571
5,10701791,2020-08-21 05:49:37,0x8453e056738e12ee4a93bec35aa1b07fd500784ef4478f5f017d55b59866f9ff,1,0xdf1118c5519f7359333894644c2ba482231bc4227c6743267974d377346a11a1,0x7067088ce93ea8ea86dfd9a0b20d143b33e38b7f,0x57ab1ec28d129707052df4df418d58a2d46d5f51,0xa5407eae9ba41422680e2e00537571bcc53efbfd,0.0,Synth sUSD,sUSD,18,120,600000,132000000000,297190,8431082,deprecated,4482571
6,10701791,2020-08-21 05:49:37,0x8453e056738e12ee4a93bec35aa1b07fd500784ef4478f5f017d55b59866f9ff,1,0xdf1118c5519f7359333894644c2ba482231bc4227c6743267974d377346a11a1,0x0000000000000000000000000000000000000000,0xc25a3a3b969415c80451098fa907ec722572917f,0x7067088ce93ea8ea86dfd9a0b20d143b33e38b7f,1.945733128155025e+20,Curve.fi DAI/USDC/USDT/sUSD,crvPlain3andSUSD,18,120,600000,132000000000,297190,8431082,deprecated,4482571
7,10701915,2020-08-21 06:19:12,0x2fe519684be5d70b1b8ffd62be96e4746dcdb3bf264cf87eb60598588bef7b09,4,0xd9547a9217175422300af79c0f05de5472a1adb9a272841c88370ebbbe078a50,0x7067088ce93ea8ea86dfd9a0b20d143b33e38b7f,0xc25a3a3b969415c80451098fa907ec722572917f,0xa90996896660decc6e997655e065b23788857849,1.9457e+20,Curve.fi DAI/USDC/USDT/sUSD,crvPlain3andSUSD,18,192,1000000,132000000000,423525,11654924,deprecated,4482447
8,10761903,2020-08-30 11:28:53,0xe3c84c4b26b06a8fa90b0d07db54a5708b0c1c4f16e7cd2858c56cc7227c217e,6,0xf5cefcf4efa4699c8f77cbca564ad7a56f2178bdc05ac7c9cac56e3e43256fe5,0xcb4f983e705caeb7217c5c3785001cb138115f0b,0x45f24baeef268bb6d63aee5129015d69702bcdfa,0x7067088ce93ea8ea86dfd9a0b20d143b33e38b7f,3.9541502850674263e+18,YFValue,YFV,18,72,151421,105500000000,112280,12426436,deprecated,4422459
9,10879204,2020-09-17 10:43:06,0x12b76b11faa89fb27156c533b6ec4a3440d45fe5e19f0f27c8e2123319fb1164,7,0xd9e1380bd596549e60051dbed6ce24ec808c622d258dfeaeb381c765c63f120d,0x090d4613473dee047c3f2706764f49e0821d256e,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,0x7067088ce93ea8ea86dfd9a0b20d143b33e38b7f,4e+20,Uniswap,UNI,18,110,90058,499000000000,81871,7661037,deprecated,4305158
10,10880310,2020-09-17 14:42:54,0xb7c5b6c08dbcfa24c9fd4547671f178bc6dfd070e554717dbd41e57584872434,8,0xdefb123df7263d7d490f149bcfdba1b3eb64d53c5370eedc5bb2a9817b79a0aa,0x7067088ce93ea8ea86dfd9a0b20d143b33e38b7f,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,0x81f7f36334c23b142a92a0a09dddb5b0cd69716f,2e+19,Uniswap,UNI,18,170,83259,405000000000,55506,9301213,deprecated,4304052
11,10883865,2020-09-18 03:52:09,0x241eb3e3cabdac12eaafc41adc2b0867a3d479476a05b9f518cd93a9a50a17b1,10,0xa39242ad4822c250d30d5c2306815a7925726f411524d20b0a62791591c26255,0x7067088ce93ea8ea86dfd9a0b20d143b33e38b7f,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,0x81f7f36334c23b142a92a0a09dddb5b0cd69716f,3.8e+20,Uniswap,UNI,18,67,83259,297000000000,40506,3593413,deprecated,4300497
