,blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,confirmations
0,6678357,2018-11-10 12:12:29,0xd14d5b3ce8a7dad23cd63c10a6a923e01e4f5e6ec5656cc87890d6a389117067,146,0x21399ee0554c7ee1d5b647c53de9a51d304f0159679d336ce567a56e85b997c0,0x97bfc75c5b6a165ad22a897635d921a6ca1e9785,0x2fa32a39fc1c399e0cc7b2935868f5165de7ce97,0x71b1b422295532d7659d6daffc778e673cdff86d,1100098816154.0,PayFair,PFR,8,51,52282,4000000000,37282,3462162,deprecated,8505945
1,6678382,2018-11-10 12:18:04,0x2eff38c8c9b19c1803dbc6cbb2d1a90cddf55ef775d0143898bc7523b74d68fe,1,0xaecefba88b8d043788c047178324621b9732203d09d38543d87ca3052c7dbb6a,0x71b1b422295532d7659d6daffc778e673cdff86d,0x2fa32a39fc1c399e0cc7b2935868f5165de7ce97,0x2a0c0dbecc7e4d658f48e01e3fa353f44050c208,1100098816154.0,PayFair,PFR,8,30,250000,10000000000,58227,872412,deprecated,8505920
2,7983891,2019-06-18 18:22:59,0x227f2f94c5bd4568fb96e8ce7b2790a14db2d6fb51f76a1d09161fec7442523a,172,0xd8a3d5a9baf765a1864b0aeb7d649bfefe735c9d67e52f02c439bd4a6d659613,0x97bfc75c5b6a165ad22a897635d921a6ca1e9785,0x8542325b72c6d9fc0ad2ca965a78435413a915a0,0x71b1b422295532d7659d6daffc778e673cdff86d,192257226079023.0,Oyster Shell,SHL,18,66,53746,5000000000,38746,3639028,deprecated,7200411
3,7984253,2019-06-18 19:46:30,0xe40d119a36ad318c1903db8d45f138ef48a363a114f6ece5d776c89bd6ee7558,178,0xe4baf63964baa175a8e907adaa930445f96d656b531d1916663c42fb3002b1d2,0x97bfc75c5b6a165ad22a897635d921a6ca1e9785,0x27f610bf36eca0939093343ac28b1534a721dbb4,0x71b1b422295532d7659d6daffc778e673cdff86d,88678.0,Wand Token,WAND,18,104,51801,3000000000,36801,3977955,deprecated,7200049
4,7984507,2019-06-18 20:44:10,0x2b2e1434a3f4734ebac9a00a30b6253ce0f4bc9a2d8e5cb3e83553e32ef26652,186,0x248aed7f3c5edbed9c993313c04f5bd1ca77149cfdf8806a65021b5721e5c2a5,0x97bfc75c5b6a165ad22a897635d921a6ca1e9785,0x514910771af9ca656af840dff83e8264ecf986ca,0x71b1b422295532d7659d6daffc778e673cdff86d,1.5e+21,ChainLink Token,LINK,18,35,52001,1000000000,52001,2890858,deprecated,7199795
5,7984637,2019-06-18 21:10:18,0xf01618e07d720086066a84a1de7efee16749e3994e9483bf7a51385cf22c1c6d,189,0xa865416ea0bce2302610564ac89715beaa292a5e6a0059bea98a641129f0a8c9,0x97bfc75c5b6a165ad22a897635d921a6ca1e9785,0xd0352a019e9ab9d757776f532377aaebd36fd541,0x71b1b422295532d7659d6daffc778e673cdff86d,1e+20,Fusion,FSN,18,57,52307,2000000000,52307,3067962,deprecated,7199665
6,7984672,2019-06-18 21:20:28,0x8f010e405a0709b1ba24367626f80fe70b86c983b1703af2915b29e4eb7049e8,192,0x24bf4d9fb903c7393b6e120263febf108676d93c4cbe91d09fdb529ae2275795,0x97bfc75c5b6a165ad22a897635d921a6ca1e9785,0xb7cb1c96db6b22b0d3d9536e0108d062bd488f74,0x71b1b422295532d7659d6daffc778e673cdff86d,2.25e+20,Walton,WTC,18,119,51473,2000000000,51473,6723425,deprecated,7199630
7,7984844,2019-06-18 22:03:12,0x84591392a6224885ef5a5b026042f7ae732a0a5683a02f8850aa89193b94d750,3,0xe8e4cc7525d919cad19cfa2bb5712862d34220780817f5dc0e4d161837ae4f70,0x71b1b422295532d7659d6daffc778e673cdff86d,0x514910771af9ca656af840dff83e8264ecf986ca,0xa3400566ee26e17bbb71ed7b1c7ea82d87da15ff,2.5e+20,ChainLink Token,LINK,18,80,37001,2000000000,37001,4876236,deprecated,7199458
8,7984926,2019-06-18 22:20:08,0xd056a04756b7237517087c56ba198cc7ae7c36c185d71198db9f228269b4a4d6,5,0x9f57cb8ce0f8646a334cf323e184ac514d2cb3dd5bedb10924dc2934421fb928,0x71b1b422295532d7659d6daffc778e673cdff86d,0xb7cb1c96db6b22b0d3d9536e0108d062bd488f74,0xa3400566ee26e17bbb71ed7b1c7ea82d87da15ff,5e+19,Walton,WTC,18,108,51473,1000000000,51473,6754171,deprecated,7199376
9,8217820,2019-07-25 05:03:05,0x66088e964c89ff667f9ea8bf0cad35b725add1a135299a38914bb0ac56dd93ce,158212,0x6bb75e6049a8bb2694f4b1c684977a5a03815a3d7dfb43b770f0510d5ebaac3b,0x00cfbbaf7ddb3a1476767101c12a0162e241fbad,0x4dc3643dbc642b72c158e7f3d2ff232df61cb6ce,0x71b1b422295532d7659d6daffc778e673cdff86d,1e+17,Amber,AMB,18,136,60000,2000000000,52108,4901613,deprecated,6966482
10,9096756,2019-12-12 22:29:20,0x32ff50f6a85e3946204ab86af64392e38bb2356353b0ec45b8bc39a7fa415bb8,672,0x1edff84a4df59fb7d7235eeeae1990cf5c07eb56123d37030fdf2948a2180c84,0xc12d1c73ee7dc3615ba4e37e4abfdbddfa38907e,0xc12d1c73ee7dc3615ba4e37e4abfdbddfa38907e,0x71b1b422295532d7659d6daffc778e673cdff86d,88888800000000.0,KickToken,KICK,8,41,7000000,2000000000,2728042,5068066,deprecated,6087546
11,9320875,2020-01-20 21:47:42,0x11860f17f89d54a7ffc23363fae80e46dc7f03e0b8628c8c7f6b11a332a10110,8199,0x1edbca1614eae02824a6fc1933f3067da78ef521fb3b6a7446b7014f12e8c92f,0x66b44a1dfde63bb71731d838d93bcb5500408245,0xac9bb427953ac7fddc562adca86cf42d988047fd,0x71b1b422295532d7659d6daffc778e673cdff86d,3e+18,Scatter.cx,STT,18,122,200000,1000000000,111660,8813801,deprecated,5863427
12,9377119,2020-01-29 12:45:30,0x61d9b1405df0ba4b3b36a0e3fb46dc6cef3fa59572ff948e840670656546be71,6,0xbd7d09c04f596cf96dad4a36ccd780fb09dc27f6c44b661fd0009a216a663ccd,0x71b1b422295532d7659d6daffc778e673cdff86d,0xb7cb1c96db6b22b0d3d9536e0108d062bd488f74,0x0c759fd1fa4d9af0d803852725bfbd18be5509bb,1.75e+20,Walton,WTC,18,132,36661,3000000000,21661,6954758,deprecated,5807183
13,9853918,2020-04-11 23:26:37,0x965933c3f2912c7f1f5f796021eec16ebf83f0bc8567371d3d81e972b2950529,5588,0xe345d87f91535e229864edb12cc8f208e9db29ab694bb3b785f24be7fc163717,0xc92e74b131d7b1d46e60e07f3fae5d8877dd03f0,0xc92e74b131d7b1d46e60e07f3fae5d8877dd03f0,0x71b1b422295532d7659d6daffc778e673cdff86d,3200000000000.0,Minereum,MNE,8,27,5802905,1100000000,5802905,7184675,deprecated,5330384
