,blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,confirmations
0,10752673,2020-08-29 01:20:06,0xbe681f3b66205c1f981068f4704fd1472cf3c8f1a5aed6ac96dfc8ed03d3387d,0,0x064f457f8b4a9a16452f8bc77d20ff74423326c1322f338135e1f1020f047ee1,0xcb4f983e705caeb7217c5c3785001cb138115f0b,0x45f24baeef268bb6d63aee5129015d69702bcdfa,0x71d434c565038cbf33abd973df246fdf62a6c468,3.2062370017988993e+19,YFValue,YFV,18,177,164862,68000000000,124308,10434177,deprecated,4431899
1,10752686,2020-08-29 01:22:59,0x0b7510da9d4d54b3177243e4eb15228fc340eda214b722727c23c198f46d1a21,1,0x42d289508c04095e49156382141b5c49300d03274e7724eaab04c4f1b11ed0ba,0x2fdbadf3c4d5a8666bc06645b8358ab803996e28,0x0bc529c00c6401aef6d220be8c6ea1667f6ad93e,0x71d434c565038cbf33abd973df246fdf62a6c468,1.807840666552379e+16,yearn.finance,YFI,18,191,165067,66000000000,112475,11168899,deprecated,4431886
2,10752733,2020-08-29 01:33:52,0xe0a909e814d199ea3477087d940bbf868ba37fbc1f7b919ff6a54b525d9ce1ac,2,0x45e51184a37c3f53ee29c2ac3ea65cfa087a5fe0fe2bbab7c9c7ce090774c94d,0x8973be4402bf0a39448f419c2d64bd3591dd2299,0xa1d0e215a23d7030842fc67ce582a6afa3ccab83,0x71d434c565038cbf33abd973df246fdf62a6c468,2.5324414925846138e+17,YFII.finance,YFII,18,39,164849,70000000000,124296,3922959,deprecated,4431839
3,10753202,2020-08-29 03:21:17,0x12d92559bb42a1b64fa3f616a9f0e652564bbbd1012fa46a09c0209744e0068a,3,0xbc47ba95b6ddd2c080f53278fc912903190a0bd2a4dfb5f17897c29ab0b90897,0x596f7383223db0d484fd220d0ab036e042bafea4,0x25377ddb16c79c93b0cbf46809c8de8765f03fcd,0x71d434c565038cbf33abd973df246fdf62a6c468,1.6303805596305658e+19,Synthetic CBDAO,SBREE,18,72,166162,75000000000,125471,5308229,deprecated,4431370
4,10758171,2020-08-29 21:40:39,0xfab740a87fa1f49fe27c9eb93b2ff2d5a6316752fa4e85cb82748bb84e056986,7,0xbda4fa321a95e8d20b3c39e6dc38ce301d33968ba595a6c7007084957f63d803,0x8973be4402bf0a39448f419c2d64bd3591dd2299,0xa1d0e215a23d7030842fc67ce582a6afa3ccab83,0x71d434c565038cbf33abd973df246fdf62a6c468,1.5655454308542006e+17,YFII.finance,YFII,18,85,148087,80000000000,109296,7121777,deprecated,4426401
5,10783594,2020-09-02 18:59:45,0x7bff6a8ee725edce4fc5b9c1c9aea75cf43d5e6f5876997c887880efb22e1033,15,0xa1994f9735bc346392a9488ce829496017de58793f95afe66daaf78976ef9497,0xed643618dd5194f243a8f23c7bd786a37a6dcf8b,0x89ee58af4871b474c30001982c3d7439c933c838,0x71d434c565038cbf33abd973df246fdf62a6c468,2.4904194448666655e+18,yfBETA,YFBETA,18,185,153533,433000000000,114170,11024610,deprecated,4400978
6,10783921,2020-09-02 20:12:22,0xff8c2f2f44952760c08864c307c530aa915b48ef9e068332ff769b55010f333d,17,0x4890cb32df1ad319d7556dde7c9f09f23698d04ab1ddfd122d7f85c859576d78,0x71d434c565038cbf33abd973df246fdf62a6c468,0x89ee58af4871b474c30001982c3d7439c933c838,0xed643618dd5194f243a8f23c7bd786a37a6dcf8b,9.165891336164276e+17,yfBETA,YFBETA,18,183,200414,375000000000,156697,10248079,deprecated,4400651
7,10783921,2020-09-02 20:12:22,0xff8c2f2f44952760c08864c307c530aa915b48ef9e068332ff769b55010f333d,17,0x4890cb32df1ad319d7556dde7c9f09f23698d04ab1ddfd122d7f85c859576d78,0x0000000000000000000000000000000000000000,0xed643618dd5194f243a8f23c7bd786a37a6dcf8b,0x71d434c565038cbf33abd973df246fdf62a6c468,6.678509619379729e+17,Uniswap V2,UNI-V2,18,183,200414,375000000000,156697,10248079,deprecated,4400651
8,10784739,2020-09-02 23:16:34,0x3e85aca36086bd61cac35bb20f76c3dbc583b7da3dac0a21a5705c4364c2535d,18,0xca2ec7f10f9939e7e98ff4a70cba6e0084e60ca3f7ac371052d77819d7b9bf46,0xed643618dd5194f243a8f23c7bd786a37a6dcf8b,0x89ee58af4871b474c30001982c3d7439c933c838,0x71d434c565038cbf33abd973df246fdf62a6c468,3.8080292596761254e+17,yfBETA,YFBETA,18,113,136771,306000000000,99170,8618157,deprecated,4399833
9,10784815,2020-09-02 23:32:18,0x07fba60b1c8f1aab513b3e9053dfa5b5565892527b9c653c9a79a38e881c8fc7,19,0xe7a0694f88ba560f4bf283023c953abdca786cf48e0dfd0f7596cf911c4a4059,0xed643618dd5194f243a8f23c7bd786a37a6dcf8b,0x89ee58af4871b474c30001982c3d7439c933c838,0x71d434c565038cbf33abd973df246fdf62a6c468,1.0392805815509795e+18,yfBETA,YFBETA,18,65,150199,220000000000,111186,6533788,deprecated,4399757
10,10785162,2020-09-03 00:50:00,0xbc3b85146991ada77ca3f8030a7d410dfbc1d658cfbd79d05e0b2062f9141321,23,0xd4c3e4fe0aa45d98de0719b880fec8c403e8fc52ecc7aec633b53a80de512f8f,0xed643618dd5194f243a8f23c7bd786a37a6dcf8b,0x89ee58af4871b474c30001982c3d7439c933c838,0x71d434c565038cbf33abd973df246fdf62a6c468,4.490257959151897e+17,yfBETA,YFBETA,18,54,136771,292000000000,111186,5523784,deprecated,4399410
11,10786290,2020-09-03 04:47:14,0x4111b1b44923946eda91644a0b73b24be182d3759add9b6b84520534991fefd5,25,0xa0509bb60b4439c569a3a09f59d9bcdf8d4b4b64e78f4f9d47015bda4e25c7fa,0xed643618dd5194f243a8f23c7bd786a37a6dcf8b,0x89ee58af4871b474c30001982c3d7439c933c838,0x71d434c565038cbf33abd973df246fdf62a6c468,4.9312463493611994e+17,yfBETA,YFBETA,18,125,150199,345000000000,99170,7717229,deprecated,4398282
12,10794301,2020-09-04 10:29:52,0x34158489fa0509742bc701b3a49e4d752e488991cdef47896da2867e8286e87f,29,0x914fa3c85a6ed7b57cd1b5ead85a35ab95cd1ea8b0c693f5bd1e915d4bcbd06f,0x71d434c565038cbf33abd973df246fdf62a6c468,0xed643618dd5194f243a8f23c7bd786a37a6dcf8b,0xed643618dd5194f243a8f23c7bd786a37a6dcf8b,6.678509619379729e+17,Uniswap V2,UNI-V2,18,102,300598,240000000000,175208,7683779,deprecated,4390271
13,10794301,2020-09-04 10:29:52,0x34158489fa0509742bc701b3a49e4d752e488991cdef47896da2867e8286e87f,29,0x914fa3c85a6ed7b57cd1b5ead85a35ab95cd1ea8b0c693f5bd1e915d4bcbd06f,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0x89ee58af4871b474c30001982c3d7439c933c838,0x71d434c565038cbf33abd973df246fdf62a6c468,6.706291292150587e+17,yfBETA,YFBETA,18,102,300598,240000000000,175208,7683779,deprecated,4390271
